CODMUNRES,ano_nasc,Qtd_mais_de_3parto,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,0.0,386,0.0
110001,2013,0.0,382,0.0
110001,2014,0.0,341,0.0
110001,2015,0.0,373,0.0
110001,2016,0.0,326,0.0
110001,2017,0.0,354,0.0
110001,2018,0.0,408,0.0
110001,2019,0.0,366,0.0
110002,2012,0.0,1339,0.0
110002,2013,0.0,1654,0.0
110002,2014,0.0,1647,0.0
110002,2015,0.0,1783,0.0
110002,2016,0.0,1662,0.0
110002,2017,0.0,1724,0.0
110002,2018,0.0,1682,0.0
110002,2019,0.0,1729,0.0
110003,2012,0.0,64,0.0
110003,2013,0.0,74,0.0
110003,2014,0.0,75,0.0
110003,2015,0.0,86,0.0
110003,2016,0.0,73,0.0
110003,2017,0.0,67,0.0
110003,2018,0.0,82,0.0
110003,2019,0.0,80,0.0
110004,2012,0.0,1201,0.0
110004,2013,0.0,1185,0.0
110004,2014,0.0,1307,0.0
110004,2015,0.0,1360,0.0
110004,2016,0.0,1338,0.0
110004,2017,0.0,1452,0.0
110004,2018,0.0,1446,0.0
110004,2019,0.0,1374,0.0
110005,2012,0.0,244,0.0
110005,2013,0.0,271,0.0
110005,2014,0.0,250,0.0
110005,2015,0.0,277,0.0
110005,2016,0.0,263,0.0
110005,2017,0.0,277,0.0
110005,2018,0.0,264,0.0
110005,2019,0.0,236,0.0
110006,2012,0.0,214,0.0
110006,2013,0.0,256,0.0
110006,2014,0.0,273,0.0
110006,2015,0.0,251,0.0
110006,2016,0.0,222,0.0
110006,2017,0.0,243,0.0
110006,2018,0.0,235,0.0
110006,2019,0.0,214,0.0
110007,2012,0.0,116,0.0
110007,2013,0.0,116,0.0
110007,2014,0.0,125,0.0
110007,2015,0.0,111,0.0
110007,2016,0.0,139,0.0
110007,2017,0.0,87,0.0
110007,2018,0.0,129,0.0
110007,2019,0.0,127,0.0
110008,2012,0.0,234,0.0
110008,2013,0.0,234,0.0
110008,2014,0.0,267,0.0
110008,2015,0.0,245,0.0
110008,2016,0.0,213,0.0
110008,2017,0.0,216,0.0
110008,2018,0.0,246,0.0
110008,2019,0.0,233,0.0
110009,2012,1.0,476,0.0021008403361344537
110009,2013,1.0,463,0.0021598272138228943
110009,2014,0.0,496,0.0
110009,2015,0.0,548,0.0
110009,2016,0.0,486,0.0
110009,2017,0.0,533,0.0
110009,2018,0.0,476,0.0
110009,2019,1.0,450,0.0022222222222222222
110010,2012,0.0,940,0.0
110010,2013,0.0,879,0.0
110010,2014,0.0,923,0.0
110010,2015,0.0,831,0.0
110010,2016,0.0,884,0.0
110010,2017,0.0,842,0.0
110010,2018,0.0,926,0.0
110010,2019,0.0,781,0.0
110011,2012,0.0,808,0.0
110011,2013,0.0,914,0.0
110011,2014,0.0,867,0.0
110011,2015,0.0,788,0.0
110011,2016,0.0,807,0.0
110011,2017,0.0,846,0.0
110011,2018,0.0,911,0.0
110011,2019,0.0,881,0.0
110012,2012,1.0,2075,0.00048192771084337347
110012,2013,0.0,1971,0.0
110012,2014,0.0,1956,0.0
110012,2015,0.0,2094,0.0
110012,2016,0.0,1975,0.0
110012,2017,0.0,2049,0.0
110012,2018,0.0,2278,0.0
110012,2019,0.0,2182,0.0
110013,2012,0.0,542,0.0
110013,2013,0.0,514,0.0
110013,2014,0.0,507,0.0
110013,2015,0.0,480,0.0
110013,2016,0.0,398,0.0
110013,2017,0.0,449,0.0
110013,2018,0.0,517,0.0
110013,2019,0.0,500,0.0
110014,2012,0.0,271,0.0
110014,2013,0.0,278,0.0
110014,2014,0.0,254,0.0
110014,2015,0.0,256,0.0
110014,2016,0.0,276,0.0
110014,2017,0.0,224,0.0
110014,2018,0.0,290,0.0
110014,2019,0.0,260,0.0
110015,2012,0.0,647,0.0
110015,2013,0.0,639,0.0
110015,2014,0.0,674,0.0
110015,2015,0.0,767,0.0
110015,2016,0.0,582,0.0
110015,2017,0.0,578,0.0
110015,2018,0.0,614,0.0
110015,2019,0.0,631,0.0
110018,2012,0.0,553,0.0
110018,2013,0.0,581,0.0
110018,2014,0.0,597,0.0
110018,2015,0.0,594,0.0
110018,2016,0.0,601,0.0
110018,2017,0.0,615,0.0
110018,2018,0.0,651,0.0
110018,2019,0.0,616,0.0
110020,2012,1.0,8940,0.00011185682326621924
110020,2013,1.0,8926,0.00011203226529240422
110020,2014,0.0,9129,0.0
110020,2015,0.0,9093,0.0
110020,2016,1.0,8610,0.00011614401858304297
110020,2017,1.0,8799,0.00011364927832708262
110020,2018,0.0,8752,0.0
110020,2019,0.0,8437,0.0
110025,2012,0.0,243,0.0
110025,2013,0.0,258,0.0
