CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,4.0,16,0.25
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,40.0,386,0.10362694300518134
110001,2013,32.0,382,0.08376963350785341
110001,2014,26.0,341,0.07624633431085044
110001,2015,20.0,373,0.05361930294906166
110001,2016,25.0,326,0.07668711656441718
110001,2017,14.0,354,0.03954802259887006
110001,2018,22.0,408,0.05392156862745098
110001,2019,14.0,366,0.03825136612021858
110002,2012,85.0,1339,0.06348020911127707
110002,2013,76.0,1654,0.045949214026602174
110002,2014,47.0,1647,0.02853673345476624
110002,2015,47.0,1783,0.026360067302299495
110002,2016,98.0,1662,0.05896510228640193
110002,2017,147.0,1724,0.08526682134570766
110002,2018,51.0,1682,0.03032104637336504
110002,2019,62.0,1729,0.035858877964141125
110003,2012,6.0,64,0.09375
110003,2013,3.0,74,0.04054054054054054
110003,2014,3.0,75,0.04
110003,2015,4.0,86,0.046511627906976744
110003,2016,1.0,73,0.0136986301369863
110003,2017,1.0,67,0.014925373134328358
110003,2018,0.0,82,0.0
110003,2019,0.0,80,0.0
110004,2012,42.0,1201,0.034970857618651124
110004,2013,32.0,1185,0.0270042194092827
110004,2014,30.0,1307,0.022953328232593728
110004,2015,18.0,1360,0.013235294117647059
110004,2016,12.0,1338,0.008968609865470852
110004,2017,14.0,1452,0.009641873278236915
110004,2018,15.0,1446,0.01037344398340249
110004,2019,7.0,1374,0.005094614264919942
110005,2012,17.0,244,0.06967213114754098
110005,2013,12.0,271,0.04428044280442804
110005,2014,7.0,250,0.028
110005,2015,14.0,277,0.05054151624548736
110005,2016,3.0,263,0.011406844106463879
110005,2017,0.0,277,0.0
110005,2018,2.0,264,0.007575757575757576
110005,2019,0.0,236,0.0
110006,2012,14.0,214,0.06542056074766354
110006,2013,13.0,256,0.05078125
110006,2014,1.0,273,0.003663003663003663
110006,2015,1.0,251,0.00398406374501992
110006,2016,5.0,222,0.02252252252252252
110006,2017,5.0,243,0.0205761316872428
110006,2018,1.0,235,0.00425531914893617
110006,2019,1.0,214,0.004672897196261682
110007,2012,8.0,116,0.06896551724137931
110007,2013,9.0,116,0.07758620689655173
110007,2014,4.0,125,0.032
110007,2015,5.0,111,0.04504504504504504
110007,2016,1.0,139,0.007194244604316547
110007,2017,2.0,87,0.022988505747126436
110007,2018,6.0,129,0.046511627906976744
110007,2019,2.0,127,0.015748031496062992
110008,2012,20.0,234,0.08547008547008547
110008,2013,17.0,234,0.07264957264957266
110008,2014,17.0,267,0.06367041198501873
110008,2015,5.0,245,0.02040816326530612
110008,2016,10.0,213,0.046948356807511735
110008,2017,9.0,216,0.041666666666666664
110008,2018,6.0,246,0.024390243902439025
110008,2019,10.0,233,0.04291845493562232
110009,2012,27.0,476,0.05672268907563025
110009,2013,26.0,463,0.056155507559395246
110009,2014,33.0,496,0.06653225806451613
110009,2015,15.0,548,0.02737226277372263
110009,2016,17.0,486,0.03497942386831276
110009,2017,18.0,533,0.03377110694183865
110009,2018,15.0,476,0.031512605042016806
110009,2019,13.0,450,0.028888888888888888
110010,2012,120.0,940,0.1276595744680851
110010,2013,60.0,879,0.06825938566552901
110010,2014,48.0,923,0.05200433369447454
110010,2015,38.0,831,0.0457280385078219
110010,2016,51.0,884,0.057692307692307696
110010,2017,36.0,842,0.04275534441805225
110010,2018,43.0,926,0.04643628509719223
110010,2019,17.0,781,0.02176696542893726
110011,2012,35.0,808,0.043316831683168314
110011,2013,48.0,914,0.0525164113785558
110011,2014,13.0,867,0.014994232987312572
110011,2015,14.0,788,0.017766497461928935
110011,2016,9.0,807,0.011152416356877323
110011,2017,10.0,846,0.01182033096926714
110011,2018,12.0,911,0.013172338090010977
110011,2019,23.0,881,0.026106696935300794
110012,2012,90.0,2075,0.043373493975903614
110012,2013,57.0,1971,0.0289193302891933
110012,2014,41.0,1956,0.020961145194274028
110012,2015,32.0,2094,0.015281757402101241
110012,2016,62.0,1975,0.03139240506329114
110012,2017,10.0,2049,0.004880429477794046
110012,2018,31.0,2278,0.013608428446005268
110012,2019,17.0,2182,0.007791017415215398
110013,2012,53.0,542,0.09778597785977859
110013,2013,32.0,514,0.0622568093385214
110013,2014,35.0,507,0.06903353057199212
110013,2015,27.0,480,0.05625
110013,2016,24.0,398,0.06030150753768844
110013,2017,31.0,449,0.06904231625835189
110013,2018,15.0,517,0.029013539651837523
110013,2019,22.0,500,0.044
110014,2012,20.0,271,0.07380073800738007
110014,2013,23.0,278,0.08273381294964029
110014,2014,18.0,254,0.07086614173228346
110014,2015,19.0,256,0.07421875
110014,2016,4.0,276,0.014492753623188406
110014,2017,5.0,224,0.022321428571428572
110014,2018,1.0,290,0.0034482758620689655
110014,2019,5.0,260,0.019230769230769232
110015,2012,33.0,647,0.05100463678516229
110015,2013,39.0,639,0.06103286384976526
110015,2014,31.0,674,0.04599406528189911
110015,2015,5.0,767,0.00651890482398957
110015,2016,12.0,582,0.020618556701030927
110015,2017,19.0,578,0.0328719723183391
110015,2018,8.0,614,0.013029315960912053
110015,2019,5.0,631,0.00792393026941363
110018,2012,11.0,553,0.019891500904159132
110018,2013,12.0,581,0.020654044750430294
110018,2014,16.0,597,0.02680067001675042
110018,2015,7.0,594,0.011784511784511785
110018,2016,5.0,601,0.008319467554076539
110018,2017,2.0,615,0.0032520325203252032
110018,2018,6.0,651,0.009216589861751152
110018,2019,7.0,616,0.011363636363636364
110020,2012,398.0,8940,0.04451901565995526
110020,2013,357.0,8926,0.039995518709388306
110020,2014,428.0,9129,0.04688355789243071
110020,2015,350.0,9093,0.03849114703618168
110020,2016,248.0,8610,0.028803716608594657
110020,2017,182.0,8799,0.020684168655529037
110020,2018,179.0,8752,0.020452468007312614
110020,2019,198.0,8437,0.02346805736636245
110025,2012,10.0,243,0.0411522633744856
110025,2013,12.0,258,0.046511627906976744
110025,2014,5.0,289,0.01730103806228374
110025,2015,2.0,262,0.007633587786259542
110025,2016,10.0,276,0.036231884057971016
110025,2017,3.0,289,0.010380622837370242
110025,2018,3.0,294,0.01020408163265306
110025,2019,2.0,304,0.006578947368421052
110026,2012,6.0,41,0.14634146341463414
110026,2013,2.0,38,0.05263157894736842
110026,2014,1.0,36,0.027777777777777776
110026,2015,1.0,36,0.027777777777777776
110026,2016,2.0,35,0.05714285714285714
110026,2017,3.0,49,0.061224489795918366
110026,2018,1.0,46,0.021739130434782608
110026,2019,2.0,50,0.04
110028,2012,28.0,927,0.030204962243797196
110028,2013,27.0,878,0.030751708428246014
110028,2014,13.0,947,0.013727560718057022
110028,2015,19.0,936,0.0202991452991453
110028,2016,14.0,855,0.016374269005847954
110028,2017,16.0,963,0.016614745586708203
110028,2018,9.0,900,0.01
110028,2019,6.0,927,0.006472491909385114
110029,2012,3.0,118,0.025423728813559324
110029,2013,3.0,98,0.030612244897959183
110029,2014,4.0,103,0.038834951456310676
110029,2015,1.0,109,0.009174311926605505
110029,2016,2.0,114,0.017543859649122806
110029,2017,2.0,112,0.017857142857142856
110029,2018,0.0,103,0.0
110029,2019,2.0,99,0.020202020202020204
110030,2012,19.0,1267,0.01499605367008682
110030,2013,17.0,1388,0.012247838616714697
110030,2014,13.0,1418,0.009167842031029619
110030,2015,18.0,1535,0.011726384364820847
110030,2016,12.0,1427,0.008409250175192713
110030,2017,9.0,1465,0.0061433447098976105
110030,2018,6.0,1557,0.0038535645472061657
110030,2019,12.0,1590,0.007547169811320755
110032,2012,25.0,313,0.07987220447284345
110032,2013,20.0,355,0.056338028169014086
110032,2014,15.0,364,0.04120879120879121
110032,2015,6.0,310,0.01935483870967742
110032,2016,5.0,337,0.01483679525222552
110032,2017,3.0,372,0.008064516129032258
110032,2018,6.0,391,0.015345268542199489
110032,2019,6.0,353,0.0169971671388102
110033,2012,33.0,383,0.08616187989556136
110033,2013,33.0,416,0.07932692307692307
110033,2014,29.0,425,0.06823529411764706
110033,2015,26.0,404,0.06435643564356436
110033,2016,23.0,411,0.05596107055961071
110033,2017,15.0,487,0.030800821355236138
110033,2018,20.0,482,0.04149377593360996
110033,2019,9.0,432,0.020833333333333332
110034,2012,10.0,189,0.05291005291005291
110034,2013,16.0,220,0.07272727272727272
110034,2014,5.0,184,0.02717391304347826
110034,2015,5.0,200,0.025
110034,2016,6.0,166,0.03614457831325301
110034,2017,5.0,178,0.028089887640449437
110034,2018,4.0,162,0.024691358024691357
110034,2019,1.0,205,0.004878048780487805
110037,2012,22.0,189,0.1164021164021164
110037,2013,13.0,163,0.07975460122699386
110037,2014,14.0,172,0.08139534883720931
110037,2015,10.0,149,0.06711409395973154
110037,2016,7.0,168,0.041666666666666664
110037,2017,6.0,172,0.03488372093023256
110037,2018,5.0,160,0.03125
110037,2019,4.0,154,0.025974025974025976
110040,2012,21.0,194,0.10824742268041238
110040,2013,25.0,211,0.11848341232227488
110040,2014,11.0,254,0.04330708661417323
110040,2015,24.0,247,0.09716599190283401
110040,2016,16.0,220,0.07272727272727272
110040,2017,25.0,242,0.10330578512396695
110040,2018,11.0,219,0.0502283105022831
110040,2019,13.0,226,0.05752212389380531
110045,2012,43.0,555,0.07747747747747748
110045,2013,55.0,598,0.09197324414715718
110045,2014,40.0,620,0.06451612903225806
110045,2015,46.0,608,0.0756578947368421
110045,2016,39.0,624,0.0625
110045,2017,15.0,632,0.023734177215189875
110045,2018,17.0,617,0.027552674230145867
110045,2019,9.0,583,0.015437392795883362
110050,2012,9.0,125,0.072
110050,2013,7.0,122,0.05737704918032787
110050,2014,3.0,93,0.03225806451612903
110050,2015,9.0,109,0.08256880733944955
110050,2016,2.0,95,0.021052631578947368
110050,2017,3.0,91,0.03296703296703297
110050,2018,5.0,111,0.04504504504504504
110050,2019,2.0,98,0.02040816326530612
110060,2012,11.0,61,0.18032786885245902
110060,2013,8.0,63,0.12698412698412698
110060,2014,0.0,58,0.0
110060,2015,3.0,72,0.041666666666666664
110060,2016,8.0,67,0.11940298507462686
110060,2017,8.0,71,0.11267605633802817
110060,2018,4.0,80,0.05
