CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
110000,2013,1.0,1,1.0
110000,2014,0.0,2,0.0
110000,2015,1.0,1,1.0
110000,2016,3.0,4,0.75
110000,2018,1.0,1,1.0
110000,2019,3.0,2,1.5
110001,2012,0.0,5,0.0
110001,2013,1.0,6,0.16666666666666666
110001,2014,1.0,5,0.2
110001,2015,5.0,11,0.45454545454545453
110001,2016,2.0,8,0.25
110001,2017,0.0,7,0.0
110001,2018,0.0,3,0.0
110001,2019,2.0,9,0.2222222222222222
110002,2012,16.0,33,0.48484848484848486
110002,2013,23.0,36,0.6388888888888888
110002,2014,22.0,35,0.6285714285714286
110002,2015,36.0,41,0.8780487804878049
110002,2016,30.0,35,0.8571428571428571
110002,2017,16.0,25,0.64
110002,2018,28.0,27,1.037037037037037
110002,2019,34.0,44,0.7727272727272727
110003,2012,1.0,2,0.5
110003,2013,1.0,3,0.3333333333333333
110003,2014,2.0,1,2.0
110003,2015,3.0,1,3.0
110003,2016,3.0,3,1.0
110003,2017,5.0,1,5.0
110003,2018,0.0,1,0.0
110003,2019,3.0,2,1.5
110004,2012,23.0,27,0.8518518518518519
110004,2013,25.0,27,0.9259259259259259
110004,2014,26.0,32,0.8125
110004,2015,18.0,22,0.8181818181818182
110004,2016,25.0,31,0.8064516129032258
110004,2017,30.0,32,0.9375
110004,2018,17.0,21,0.8095238095238095
110004,2019,10.0,23,0.43478260869565216
110005,2012,3.0,7,0.42857142857142855
110005,2013,5.0,10,0.5
110005,2014,8.0,7,1.1428571428571428
110005,2015,4.0,5,0.8
110005,2016,6.0,7,0.8571428571428571
110005,2017,2.0,5,0.4
110005,2018,0.0,5,0.0
110005,2019,1.0,8,0.125
110006,2012,4.0,5,0.8
110006,2013,2.0,5,0.4
110006,2014,5.0,3,1.6666666666666667
110006,2015,5.0,5,1.0
110006,2016,3.0,5,0.6
110006,2017,2.0,6,0.3333333333333333
110006,2018,2.0,5,0.4
110006,2019,1.0,5,0.2
110007,2012,1.0,1,1.0
110007,2013,1.0,2,0.5
110007,2016,2.0,1,2.0
110007,2017,4.0,4,1.0
110007,2018,3.0,2,1.5
110007,2019,1.0,1,1.0
110008,2012,14.0,6,2.3333333333333335
110008,2013,8.0,3,2.6666666666666665
110008,2014,6.0,5,1.2
110008,2015,8.0,6,1.3333333333333333
110008,2016,2.0,2,1.0
110008,2017,7.0,3,2.3333333333333335
110008,2018,7.0,5,1.4
110008,2019,2.0,3,0.6666666666666666
110009,2012,4.0,7,0.5714285714285714
110009,2013,0.0,1,0.0
110009,2014,1.0,5,0.2
110009,2015,1.0,9,0.1111111111111111
110009,2016,0.0,9,0.0
110009,2017,2.0,7,0.2857142857142857
110009,2018,0.0,6,0.0
110009,2019,0.0,5,0.0
110010,2012,13.0,19,0.6842105263157895
110010,2013,3.0,23,0.13043478260869565
110010,2014,6.0,12,0.5
110010,2015,14.0,20,0.7
110010,2016,3.0,19,0.15789473684210525
110010,2017,4.0,18,0.2222222222222222
110010,2018,4.0,16,0.25
110010,2019,3.0,12,0.25
110011,2012,3.0,12,0.25
110011,2013,0.0,12,0.0
110011,2014,3.0,9,0.3333333333333333
110011,2015,11.0,19,0.5789473684210527
110011,2016,18.0,16,1.125
110011,2017,18.0,19,0.9473684210526315
110011,2018,3.0,17,0.17647058823529413
110011,2019,4.0,21,0.19047619047619047
110012,2012,9.0,44,0.20454545454545456
110012,2013,5.0,53,0.09433962264150944
110012,2014,8.0,37,0.21621621621621623
110012,2015,38.0,46,0.8260869565217391
110012,2016,9.0,32,0.28125
110012,2017,13.0,54,0.24074074074074073
110012,2018,3.0,42,0.07142857142857142
110012,2019,5.0,36,0.1388888888888889
110013,2012,0.0,19,0.0
110013,2013,2.0,8,0.25
110013,2014,2.0,16,0.125
110013,2015,6.0,11,0.5454545454545454
110013,2016,9.0,11,0.8181818181818182
110013,2017,5.0,8,0.625
110013,2018,1.0,9,0.1111111111111111
110013,2019,0.0,4,0.0
110014,2012,2.0,4,0.5
110014,2013,5.0,3,1.6666666666666667
110014,2014,3.0,4,0.75
110014,2015,3.0,6,0.5
110014,2016,7.0,9,0.7777777777777778
110014,2017,0.0,2,0.0
110014,2018,4.0,6,0.6666666666666666
110014,2019,0.0,2,0.0
110015,2012,16.0,20,0.8
110015,2013,7.0,10,0.7
110015,2014,23.0,21,1.0952380952380953
110015,2015,17.0,14,1.2142857142857142
110015,2016,17.0,12,1.4166666666666667
110015,2017,15.0,9,1.6666666666666667
110015,2018,4.0,9,0.4444444444444444
110015,2019,10.0,15,0.6666666666666666
110018,2012,29.0,16,1.8125
110018,2013,23.0,20,1.15
110018,2014,10.0,7,1.4285714285714286
110018,2015,8.0,15,0.5333333333333333
110018,2016,16.0,12,1.3333333333333333
110018,2017,12.0,13,0.9230769230769231
110018,2018,9.0,19,0.47368421052631576
110018,2019,12.0,13,0.9230769230769231
110020,2012,142.0,187,0.7593582887700535
110020,2013,142.0,176,0.8068181818181818
110020,2014,162.0,185,0.8756756756756757
110020,2015,121.0,167,0.7245508982035929
110020,2016,151.0,181,0.8342541436464088
110020,2017,203.0,167,1.215568862275449
110020,2018,138.0,142,0.971830985915493
110020,2019,134.0,150,0.8933333333333333
110025,2012,2.0,7,0.2857142857142857
110025,2013,1.0,6,0.16666666666666666
110025,2014,3.0,11,0.2727272727272727
110025,2015,8.0,9,0.8888888888888888
110025,2016,6.0,6,1.0
110025,2017,2.0,8,0.25
110025,2018,1.0,5,0.2
110025,2019,1.0,7,0.14285714285714285
110026,2012,1.0,3,0.3333333333333333
110026,2013,0.0,1,0.0
110026,2014,0.0,1,0.0
110026,2016,1.0,2,0.5
110026,2017,1.0,1,1.0
110026,2018,0.0,1,0.0
110028,2012,5.0,15,0.3333333333333333
110028,2013,6.0,18,0.3333333333333333
110028,2014,7.0,19,0.3684210526315789
110028,2015,4.0,18,0.2222222222222222
110028,2016,1.0,19,0.05263157894736842
110028,2017,0.0,18,0.0
110028,2018,1.0,14,0.07142857142857142
110028,2019,2.0,18,0.1111111111111111
110029,2012,0.0,4,0.0
110029,2013,1.0,3,0.3333333333333333
110029,2014,0.0,4,0.0
110029,2015,0.0,1,0.0
110029,2016,0.0,1,0.0
110029,2018,0.0,2,0.0
110029,2019,0.0,4,0.0
110030,2012,27.0,27,1.0
110030,2013,46.0,27,1.7037037037037037
110030,2014,68.0,29,2.3448275862068964
110030,2015,69.0,20,3.45
110030,2016,72.0,19,3.789473684210526
110030,2017,57.0,30,1.9
110030,2018,35.0,34,1.0294117647058822
110030,2019,34.0,20,1.7
110032,2012,1.0,7,0.14285714285714285
110032,2013,0.0,3,0.0
110032,2014,1.0,3,0.3333333333333333
110032,2015,2.0,8,0.25
110032,2016,0.0,6,0.0
110032,2017,0.0,6,0.0
110032,2018,1.0,6,0.16666666666666666
110032,2019,1.0,2,0.5
110033,2012,15.0,11,1.3636363636363635
110033,2013,0.0,4,0.0
110033,2014,0.0,8,0.0
110033,2015,0.0,2,0.0
110033,2016,0.0,7,0.0
110033,2017,2.0,6,0.3333333333333333
110033,2018,0.0,7,0.0
110033,2019,0.0,4,0.0
110034,2012,1.0,5,0.2
110034,2013,2.0,4,0.5
110034,2014,3.0,4,0.75
110034,2015,1.0,7,0.14285714285714285
110034,2016,2.0,7,0.2857142857142857
110034,2017,2.0,4,0.5
110034,2018,1.0,4,0.25
110034,2019,1.0,6,0.16666666666666666
110037,2012,1.0,9,0.1111111111111111
110037,2013,2.0,4,0.5
110037,2014,0.0,5,0.0
110037,2015,1.0,3,0.3333333333333333
110037,2016,1.0,5,0.2
110037,2017,1.0,1,1.0
110037,2018,0.0,2,0.0
110037,2019,0.0,2,0.0
110040,2012,0.0,4,0.0
110040,2013,2.0,4,0.5
110040,2014,1.0,3,0.3333333333333333
110040,2015,3.0,11,0.2727272727272727
110040,2016,0.0,3,0.0
110040,2017,2.0,4,0.5
110040,2018,0.0,9,0.0
110040,2019,0.0,2,0.0
110045,2012,3.0,10,0.3
110045,2013,2.0,6,0.3333333333333333
110045,2014,0.0,16,0.0
110045,2015,6.0,15,0.4
110045,2016,5.0,10,0.5
110045,2017,2.0,7,0.2857142857142857
110045,2018,0.0,7,0.0
110045,2019,1.0,7,0.14285714285714285
110050,2012,1.0,2,0.5
110050,2013,0.0,3,0.0
110050,2015,0.0,3,0.0
110050,2016,1.0,4,0.25
110050,2017,0.0,3,0.0
110050,2018,0.0,1,0.0
110050,2019,0.0,2,0.0
110060,2012,0.0,2,0.0
110060,2013,2.0,2,1.0
110060,2015,3.0,3,1.0
110060,2017,1.0,1,1.0
110060,2018,2.0,1,2.0
110060,2019,0.0,2,0.0
110070,2012,1.0,3,0.3333333333333333
110070,2013,0.0,1,0.0
110070,2014,0.0,3,0.0
110070,2015,1.0,1,1.0
110070,2016,0.0,4,0.0
110070,2017,2.0,2,1.0
110070,2018,0.0,4,0.0
110070,2019,0.0,2,0.0
110080,2012,1.0,10,0.1
110080,2013,0.0,11,0.0
110080,2014,2.0,7,0.2857142857142857
110080,2015,5.0,8,0.625
110080,2016,2.0,9,0.2222222222222222
110080,2017,4.0,9,0.4444444444444444
110080,2018,1.0,7,0.14285714285714285
110080,2019,1.0,9,0.1111111111111111
110090,2015,0.0,1,0.0
110090,2017,0.0,1,0.0
110090,2019,0.0,1,0.0
110092,2012,2.0,2,1.0
110092,2013,3.0,4,0.75
110092,2014,3.0,2,1.5
110092,2015,8.0,4,2.0
110092,2016,4.0,2,2.0
110092,2017,7.0,3,2.3333333333333335
110092,2018,0.0,4,0.0
110092,2019,2.0,3,0.6666666666666666
110094,2012,1.0,1,1.0
110094,2013,1.0,2,0.5
110094,2014,0.0,1,0.0
110094,2015,2.0,7,0.2857142857142857
110094,2016,0.0,2,0.0
110094,2017,0.0,3,0.0
110094,2018,0.0,3,0.0
110094,2019,0.0,1,0.0
110100,2012,1.0,4,0.25
110100,2013,0.0,1,0.0
110100,2014,4.0,7,0.5714285714285714
110100,2017,3.0,1,3.0
110100,2018,0.0,2,0.0
110100,2019,0.0,6,0.0
110110,2013,2.0,12,0.16666666666666666
110110,2014,0.0,1,0.0
110110,2015,0.0,2,0.0
110110,2016,0.0,1,0.0
110110,2017,0.0,4,0.0
110110,2018,0.0,3,0.0
110110,2019,0.0,3,0.0
110120,2012,3.0,3,1.0
110120,2013,1.0,5,0.2
110120,2014,0.0,3,0.0
110120,2015,2.0,4,0.5
110120,2016,1.0,2,0.5
110120,2017,2.0,3,0.6666666666666666
110120,2018,1.0,2,0.5
110120,2019,0.0,5,0.0
110130,2012,0.0,4,0.0
110130,2013,2.0,4,0.5
110130,2014,0.0,2,0.0
110130,2015,5.0,1,5.0
110130,2016,1.0,1,1.0
110130,2017,1.0,7,0.14285714285714285
110130,2018,0.0,1,0.0
110140,2012,1.0,2,0.5
110140,2013,1.0,3,0.3333333333333333
110140,2014,0.0,4,0.0
110140,2015,3.0,5,0.6
110140,2016,2.0,1,2.0
110140,2017,2.0,5,0.4
110140,2018,0.0,5,0.0
110140,2019,2.0,9,0.2222222222222222
110143,2012,1.0,1,1.0
110143,2013,0.0,2,0.0
110143,2014,2.0,1,2.0
110143,2015,2.0,2,1.0
110143,2016,1.0,4,0.25
110143,2018,0.0,2,0.0
110143,2019,1.0,1,1.0
110145,2013,0.0,1,0.0
110145,2014,0.0,2,0.0
110145,2015,1.0,3,0.3333333333333333
110145,2016,0.0,1,0.0
110146,2016,2.0,2,1.0
110146,2017,0.0,1,0.0
110147,2014,1.0,1,1.0
110147,2015,0.0,2,0.0
110147,2018,0.0,1,0.0
110147,2019,0.0,1,0.0
110148,2012,1.0,3,0.3333333333333333
110148,2013,2.0,3,0.6666666666666666
110148,2014,0.0,2,0.0
110148,2015,0.0,1,0.0
110148,2017,3.0,2,1.5
110148,2018,0.0,2,0.0
110148,2019,0.0,4,0.0
110149,2012,1.0,8,0.125
110149,2013,0.0,4,0.0
110149,2014,3.0,4,0.75
110149,2015,4.0,6,0.6666666666666666
110149,2016,1.0,3,0.3333333333333333
110149,2017,2.0,6,0.3333333333333333
110149,2018,1.0,2,0.5
110149,2019,2.0,10,0.2
110150,2012,0.0,2,0.0
110150,2013,0.0,4,0.0
110150,2014,0.0,1,0.0
110150,2015,1.0,7,0.14285714285714285
110150,2016,1.0,4,0.25
110150,2017,0.0,3,0.0
110150,2018,0.0,2,0.0
110150,2019,0.0,4,0.0
110155,2012,1.0,2,0.5
110155,2013,1.0,2,0.5
110155,2014,0.0,3,0.0
110155,2015,1.0,1,1.0
110155,2016,4.0,2,2.0
110155,2017,2.0,1,2.0
110155,2018,0.0,1,0.0
110155,2019,0.0,1,0.0
110160,2012,0.0,3,0.0
