CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
310010,2012,1,1,1.0
310010,2013,0,1,0.0
310010,2014,1,3,0.3333333333333333
310010,2015,1,2,0.5
310010,2016,3,5,0.6
310010,2017,2,4,0.5
310010,2018,0,1,0.0
310020,2012,0,5,0.0
310020,2013,1,10,0.1
310020,2014,0,7,0.0
310020,2015,1,8,0.125
310020,2016,0,14,0.0
310020,2017,0,7,0.0
310020,2018,0,7,0.0
310020,2019,1,6,0.1666666666666666
310030,2012,2,2,1.0
310030,2013,1,2,0.5
310030,2014,1,4,0.25
310030,2015,3,3,1.0
310030,2016,6,6,1.0
310030,2017,6,6,1.0
310030,2018,2,4,0.5
310030,2019,1,2,0.5
310040,2012,1,2,0.5
310040,2013,0,2,0.0
310040,2014,0,3,0.0
310040,2015,0,1,0.0
310040,2016,0,2,0.0
310040,2017,0,3,0.0
310040,2018,0,2,0.0
310040,2019,0,1,0.0
310050,2012,7,7,1.0
310050,2013,7,7,1.0
310050,2014,2,2,1.0
310050,2015,4,4,1.0
310050,2016,4,4,1.0
310050,2018,1,2,0.5
310050,2019,2,4,0.5
310060,2012,0,2,0.0
310060,2013,0,1,0.0
310060,2014,1,5,0.2
310060,2015,0,6,0.0
310060,2016,0,2,0.0
310060,2017,1,4,0.25
310060,2018,2,3,0.6666666666666666
310060,2019,1,6,0.1666666666666666
310070,2015,0,1,0.0
310080,2013,0,1,0.0
310080,2014,0,2,0.0
310080,2017,2,3,0.6666666666666666
310080,2018,0,3,0.0
310080,2019,0,1,0.0
310090,2012,0,8,0.0
310090,2013,0,5,0.0
310090,2014,1,13,0.0769230769230769
310090,2015,1,7,0.1428571428571428
310090,2016,1,9,0.1111111111111111
310090,2017,2,12,0.1666666666666666
310090,2018,0,5,0.0
310090,2019,2,9,0.2222222222222222
310100,2012,0,2,0.0
310100,2013,2,3,0.6666666666666666
310100,2014,1,2,0.5
310100,2015,1,7,0.1428571428571428
310100,2016,4,5,0.8
310100,2017,1,1,1.0
310100,2018,0,6,0.0
310100,2019,0,8,0.0
310110,2012,6,9,0.6666666666666666
310110,2013,4,4,1.0
310110,2014,1,5,0.2
310110,2015,1,7,0.1428571428571428
310110,2016,2,5,0.4
310110,2017,5,15,0.3333333333333333
310110,2018,2,6,0.3333333333333333
310110,2019,1,4,0.25
310120,2012,2,2,1.0
310120,2013,0,2,0.0
310120,2014,0,1,0.0
310120,2015,4,4,1.0
310120,2016,1,1,1.0
310120,2017,0,2,0.0
310120,2019,0,1,0.0
310130,2012,0,2,0.0
310130,2013,0,2,0.0
310130,2014,0,1,0.0
310130,2016,0,1,0.0
310140,2012,1,1,1.0
310140,2014,0,1,0.0
310140,2017,0,1,0.0
310140,2019,0,1,0.0
310150,2012,15,16,0.9375
310150,2013,11,12,0.9166666666666666
310150,2014,14,17,0.8235294117647058
310150,2015,10,13,0.7692307692307693
310150,2016,14,14,1.0
310150,2017,14,16,0.875
310150,2018,10,15,0.6666666666666666
310150,2019,15,15,1.0
310160,2012,30,38,0.7894736842105263
310160,2013,22,26,0.8461538461538461
310160,2014,25,29,0.8620689655172413
310160,2015,21,22,0.9545454545454546
310160,2016,23,25,0.92
310160,2017,20,28,0.7142857142857143
310160,2018,27,36,0.75
310160,2019,15,23,0.6521739130434783
310163,2012,1,2,0.5
310163,2013,0,1,0.0
310163,2014,1,2,0.5
310163,2015,3,5,0.6
310163,2016,2,2,1.0
310163,2017,0,3,0.0
310163,2019,1,3,0.3333333333333333
310170,2012,9,20,0.45
310170,2013,3,6,0.5
310170,2014,21,22,0.9545454545454546
310170,2015,11,14,0.7857142857142857
310170,2016,13,19,0.6842105263157895
310170,2017,8,17,0.4705882352941176
310170,2018,5,14,0.3571428571428571
