CODMUNRES,Ano,Qtd_Obitos_Declarados_Investigados,Qtd_Total,Ratio
110000,2015,0.0,1,0.0
110001,2012,0.0,5,0.0
110001,2013,0.0,3,0.0
110001,2014,0.0,1,0.0
110001,2015,0.0,5,0.0
110001,2016,0.0,4,0.0
110001,2017,0.0,5,0.0
110001,2018,0.0,3,0.0
110001,2019,0.0,3,0.0
110002,2012,0.0,9,0.0
110002,2013,0.0,10,0.0
110002,2014,0.0,10,0.0
110002,2015,0.0,6,0.0
110002,2016,0.0,14,0.0
110002,2017,0.0,21,0.0
110002,2018,0.0,25,0.0
110002,2019,0.0,16,0.0
110003,2012,0.0,1,0.0
110003,2013,0.0,1,0.0
110003,2014,0.0,2,0.0
110003,2015,0.0,2,0.0
110003,2018,0.0,1,0.0
110003,2019,0.0,2,0.0
110004,2012,0.0,16,0.0
110004,2013,0.0,14,0.0
110004,2014,0.0,19,0.0
110004,2015,0.0,22,0.0
110004,2016,0.0,12,0.0
110004,2017,0.0,14,0.0
110004,2018,0.0,18,0.0
110004,2019,0.0,7,0.0
110005,2012,0.0,6,0.0
110005,2013,0.0,3,0.0
110005,2014,0.0,4,0.0
110005,2015,0.0,1,0.0
110005,2016,0.0,3,0.0
110005,2017,0.0,1,0.0
110005,2018,0.0,3,0.0
110005,2019,0.0,4,0.0
110006,2012,0.0,1,0.0
110006,2013,0.0,3,0.0
110006,2014,0.0,3,0.0
110006,2015,0.0,2,0.0
110006,2016,0.0,1,0.0
110006,2017,0.0,5,0.0
110006,2018,0.0,1,0.0
110007,2014,0.0,2,0.0
110007,2016,0.0,3,0.0
110007,2017,0.0,2,0.0
110007,2018,0.0,1,0.0
110008,2012,0.0,3,0.0
110008,2013,0.0,4,0.0
110008,2014,0.0,4,0.0
110008,2015,0.0,7,0.0
110008,2016,0.0,4,0.0
110008,2017,0.0,5,0.0
110008,2018,0.0,2,0.0
110008,2019,0.0,6,0.0
110009,2012,0.0,4,0.0
110009,2013,0.0,6,0.0
110009,2014,0.0,4,0.0
110009,2015,0.0,6,0.0
110009,2016,0.0,7,0.0
110009,2017,0.0,4,0.0
110009,2018,0.0,5,0.0
110009,2019,0.0,8,0.0
110010,2012,0.0,8,0.0
110010,2013,0.0,7,0.0
110010,2014,0.0,17,0.0
110010,2015,0.0,13,0.0
110010,2016,0.0,13,0.0
110010,2017,0.0,14,0.0
110010,2018,0.0,18,0.0
110010,2019,0.0,7,0.0
110011,2012,0.0,5,0.0
110011,2013,0.0,7,0.0
110011,2014,0.0,7,0.0
110011,2015,0.0,8,0.0
110011,2016,0.0,8,0.0
110011,2017,0.0,5,0.0
110011,2018,0.0,11,0.0
110011,2019,0.0,4,0.0
110012,2012,0.0,15,0.0
110012,2013,0.0,17,0.0
110012,2014,0.0,17,0.0
110012,2015,0.0,22,0.0
110012,2016,0.0,16,0.0
110012,2017,0.0,17,0.0
110012,2018,0.0,33,0.0
110012,2019,0.0,21,0.0
110013,2012,0.0,2,0.0
110013,2013,0.0,4,0.0
110013,2014,0.0,5,0.0
110013,2015,0.0,6,0.0
110013,2016,0.0,5,0.0
110013,2017,0.0,3,0.0
110013,2018,0.0,1,0.0
110013,2019,0.0,9,0.0
110014,2012,0.0,1,0.0
110014,2013,0.0,5,0.0
110014,2014,0.0,2,0.0
110014,2015,0.0,1,0.0
110014,2018,0.0,2,0.0
110014,2019,0.0,7,0.0
110015,2012,0.0,8,0.0
110015,2013,0.0,6,0.0
110015,2014,0.0,4,0.0
110015,2015,0.0,6,0.0
110015,2016,0.0,6,0.0
110015,2017,0.0,2,0.0
110015,2018,0.0,6,0.0
110015,2019,0.0,8,0.0
110018,2012,0.0,6,0.0
110018,2013,0.0,9,0.0
110018,2014,0.0,11,0.0
110018,2015,0.0,10,0.0
110018,2016,0.0,5,0.0
110018,2017,0.0,6,0.0
110018,2018,1.0,8,0.125
110018,2019,0.0,7,0.0
110020,2012,0.0,89,0.0
110020,2013,0.0,87,0.0
110020,2014,0.0,98,0.0
110020,2015,0.0,105,0.0
110020,2016,0.0,108,0.0
110020,2017,8.0,114,0.07017543859649122
110020,2018,0.0,99,0.0
