CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
110000,2012,1.0,2,0.5
110000,2013,9.0,16,0.5625
110000,2014,0.0,4,0.0
110000,2015,1.0,4,0.25
110000,2016,1.0,2,0.5
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,99.0,386,0.25647668393782386
110001,2013,106.0,382,0.2774869109947644
110001,2014,95.0,341,0.2785923753665689
110001,2015,104.0,373,0.27882037533512066
110001,2016,73.0,326,0.22392638036809817
110001,2017,88.0,354,0.24858757062146894
110001,2018,79.0,408,0.19362745098039216
110001,2019,78.0,366,0.21311475409836064
110002,2012,390.0,1339,0.2912621359223301
110002,2013,475.0,1654,0.2871825876662636
110002,2014,496.0,1647,0.30115361262902246
110002,2015,493.0,1783,0.2765002804262479
110002,2016,436.0,1662,0.26233453670276774
110002,2017,454.0,1724,0.2633410672853828
110002,2018,409.0,1682,0.2431629013079667
110002,2019,419.0,1729,0.24233661075766338
110003,2012,23.0,64,0.359375
110003,2013,17.0,74,0.22972972972972974
110003,2014,19.0,75,0.25333333333333335
110003,2015,21.0,86,0.2441860465116279
110003,2016,14.0,73,0.1917808219178082
110003,2017,10.0,67,0.14925373134328357
110003,2018,12.0,82,0.14634146341463414
110003,2019,16.0,80,0.2
110004,2012,298.0,1201,0.24812656119900084
110004,2013,290.0,1185,0.24472573839662448
110004,2014,305.0,1307,0.23335883703136956
110004,2015,286.0,1360,0.21029411764705883
110004,2016,280.0,1338,0.20926756352765322
110004,2017,290.0,1452,0.19972451790633608
110004,2018,290.0,1446,0.20055325034578148
110004,2019,247.0,1374,0.17976710334788937
110005,2012,65.0,244,0.26639344262295084
110005,2013,82.0,271,0.3025830258302583
110005,2014,68.0,250,0.272
110005,2015,56.0,277,0.20216606498194944
110005,2016,53.0,263,0.20152091254752852
110005,2017,65.0,277,0.23465703971119134
110005,2018,46.0,264,0.17424242424242425
110005,2019,36.0,236,0.15254237288135594
110006,2012,58.0,214,0.27102803738317754
110006,2013,59.0,256,0.23046875
110006,2014,57.0,273,0.2087912087912088
110006,2015,58.0,251,0.23107569721115537
110006,2016,40.0,222,0.18018018018018017
110006,2017,47.0,243,0.1934156378600823
110006,2018,51.0,235,0.2170212765957447
110006,2019,37.0,214,0.17289719626168223
110007,2012,36.0,116,0.3103448275862069
110007,2013,39.0,116,0.33620689655172414
110007,2014,32.0,125,0.256
110007,2015,29.0,111,0.26126126126126126
110007,2016,36.0,139,0.2589928057553957
110007,2017,25.0,87,0.28735632183908044
110007,2018,33.0,129,0.2558139534883721
110007,2019,35.0,127,0.2755905511811024
110008,2012,82.0,234,0.3504273504273504
110008,2013,87.0,234,0.3717948717948718
110008,2014,105.0,267,0.39325842696629215
110008,2015,94.0,245,0.3836734693877551
110008,2016,87.0,213,0.4084507042253521
110008,2017,57.0,216,0.2638888888888889
110008,2018,91.0,246,0.3699186991869919
110008,2019,86.0,233,0.36909871244635195
110009,2012,139.0,476,0.2920168067226891
110009,2013,134.0,463,0.2894168466522678
110009,2014,126.0,496,0.2540322580645161
110009,2015,129.0,548,0.2354014598540146
110009,2016,144.0,486,0.2962962962962963
110009,2017,126.0,533,0.23639774859287055
110009,2018,131.0,476,0.27521008403361347
110009,2019,102.0,450,0.22666666666666666
110010,2012,321.0,940,0.3414893617021277
110010,2013,262.0,879,0.29806598407281
110010,2014,312.0,923,0.3380281690140845
110010,2015,223.0,831,0.2683513838748496
110010,2016,265.0,884,0.2997737556561086
110010,2017,264.0,842,0.31353919239904987
110010,2018,272.0,926,0.2937365010799136
110010,2019,219.0,781,0.28040973111395645
110011,2012,215.0,808,0.2660891089108911
110011,2013,222.0,914,0.24288840262582057
110011,2014,244.0,867,0.28143021914648214
110011,2015,174.0,788,0.22081218274111675
110011,2016,176.0,807,0.218091697645601
110011,2017,165.0,846,0.1950354609929078
110011,2018,187.0,911,0.2052689352360044
110011,2019,184.0,881,0.20885357548240635
110012,2012,536.0,2075,0.2583132530120482
110012,2013,490.0,1971,0.24860476915271434
110012,2014,474.0,1956,0.24233128834355827
110012,2015,477.0,2094,0.22779369627507162
110012,2016,425.0,1975,0.21518987341772153
110012,2017,464.0,2049,0.22645192776964373
110012,2018,450.0,2278,0.19754170324846357
110012,2019,430.0,2182,0.19706691109074242
110013,2012,167.0,542,0.3081180811808118
110013,2013,185.0,514,0.35992217898832685
110013,2014,161.0,507,0.3175542406311637
110013,2015,160.0,480,0.3333333333333333
110013,2016,125.0,398,0.314070351758794
110013,2017,134.0,449,0.2984409799554566
110013,2018,137.0,517,0.26499032882011603
110013,2019,123.0,500,0.246
110014,2012,74.0,271,0.2730627306273063
110014,2013,88.0,278,0.31654676258992803
110014,2014,72.0,254,0.28346456692913385
110014,2015,63.0,256,0.24609375
110014,2016,72.0,276,0.2608695652173913
110014,2017,44.0,224,0.19642857142857142
110014,2018,71.0,290,0.24482758620689654
110014,2019,42.0,260,0.16153846153846155
