CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,2.0,386,0.0051813471502590676
110001,2013,1.0,382,0.002617801047120419
110001,2014,0.0,341,0.0
110001,2015,1.0,373,0.002680965147453083
110001,2016,1.0,326,0.003067484662576687
110001,2017,0.0,354,0.0
110001,2018,1.0,408,0.0024509803921568627
110001,2019,0.0,367,0.0
110002,2012,6.0,1339,0.004480955937266617
110002,2013,4.0,1654,0.0024183796856106408
110002,2014,7.0,1647,0.004250151791135397
110002,2015,5.0,1783,0.0028042624789680315
110002,2016,5.0,1662,0.0030084235860409147
110002,2017,3.0,1724,0.0017401392111368909
110002,2018,5.0,1682,0.002972651605231867
110002,2019,7.0,1729,0.004048582995951417
110003,2012,1.0,64,0.015625
110003,2013,0.0,74,0.0
110003,2014,1.0,75,0.013333333333333334
110003,2015,2.0,86,0.023255813953488372
110003,2016,0.0,73,0.0
110003,2017,0.0,67,0.0
110003,2018,0.0,82,0.0
110003,2019,0.0,80,0.0
110004,2012,5.0,1201,0.004163197335553705
110004,2013,7.0,1185,0.00590717299578059
110004,2014,3.0,1307,0.0022953328232593728
110004,2015,4.0,1360,0.0029411764705882353
110004,2016,3.0,1338,0.002242152466367713
110004,2017,3.0,1452,0.002066115702479339
110004,2018,5.0,1446,0.003457814661134163
110004,2019,1.0,1374,0.000727802037845706
110005,2012,3.0,245,0.012244897959183673
110005,2013,1.0,271,0.0036900369003690036
110005,2014,0.0,250,0.0
110005,2015,0.0,277,0.0
110005,2016,1.0,263,0.0038022813688212928
110005,2017,1.0,277,0.0036101083032490976
110005,2018,0.0,264,0.0
110005,2019,0.0,237,0.0
110006,2012,1.0,214,0.004672897196261682
110006,2013,1.0,256,0.00390625
110006,2014,2.0,273,0.007326007326007326
110006,2015,0.0,251,0.0
110006,2016,0.0,223,0.0
110006,2017,1.0,243,0.00411522633744856
110006,2018,1.0,235,0.00425531914893617
110006,2019,1.0,214,0.004672897196261682
110007,2012,0.0,116,0.0
110007,2013,0.0,116,0.0
110007,2014,1.0,125,0.008
110007,2015,0.0,111,0.0
110007,2016,1.0,139,0.007194244604316547
110007,2017,1.0,87,0.011494252873563218
110007,2018,0.0,129,0.0
110007,2019,0.0,127,0.0
110008,2012,1.0,234,0.004273504273504274
110008,2013,0.0,234,0.0
110008,2014,1.0,267,0.003745318352059925
110008,2015,1.0,245,0.004081632653061225
110008,2016,1.0,213,0.004694835680751174
110008,2017,2.0,216,0.009259259259259259
110008,2018,0.0,246,0.0
110008,2019,3.0,233,0.012875536480686695
110009,2012,1.0,476,0.0021008403361344537
110009,2013,2.0,463,0.004319654427645789
110009,2014,0.0,496,0.0
110009,2015,4.0,548,0.0072992700729927005
110009,2016,0.0,486,0.0
110009,2017,2.0,533,0.00375234521575985
110009,2018,1.0,476,0.0021008403361344537
110009,2019,1.0,450,0.0022222222222222222
110010,2012,2.0,940,0.002127659574468085
110010,2013,3.0,879,0.0034129692832764505
110010,2014,8.0,923,0.00866738894907909
110010,2015,7.0,831,0.00842358604091456
110010,2016,8.0,884,0.00904977375565611
110010,2017,6.0,842,0.007125890736342043
110010,2018,4.0,926,0.004319654427645789
110010,2019,0.0,781,0.0
110011,2012,4.0,808,0.0049504950495049506
110011,2013,1.0,914,0.0010940919037199124
110011,2014,3.0,867,0.0034602076124567475
110011,2015,6.0,788,0.007614213197969543
110011,2016,5.0,807,0.006195786864931847
110011,2017,5.0,846,0.00591016548463357
110011,2018,4.0,911,0.0043907793633369925
110011,2019,0.0,881,0.0
110012,2012,7.0,2075,0.0033734939759036144
110012,2013,3.0,1971,0.0015220700152207
110012,2014,12.0,1956,0.006134969325153374
110012,2015,10.0,2094,0.004775549188156638
110012,2016,3.0,1976,0.0015182186234817814
110012,2017,7.0,2050,0.0034146341463414634
110012,2018,12.0,2278,0.0052677787532923615
110012,2019,9.0,2182,0.004124656278643446
110013,2012,2.0,542,0.0036900369003690036
110013,2013,2.0,514,0.0038910505836575876
110013,2014,2.0,507,0.0039447731755424065
110013,2015,2.0,480,0.004166666666666667
110013,2016,2.0,398,0.005025125628140704
110013,2017,1.0,449,0.0022271714922048997
110013,2018,0.0,517,0.0
110013,2019,2.0,500,0.004
110014,2012,1.0,271,0.0036900369003690036
110014,2013,2.0,278,0.007194244604316547
110014,2014,0.0,254,0.0
110014,2015,0.0,256,0.0
110014,2016,0.0,276,0.0
110014,2017,0.0,224,0.0
110014,2018,0.0,290,0.0
110014,2019,3.0,261,0.011494252873563218
110015,2012,4.0,647,0.0061823802163833074
110015,2013,2.0,639,0.003129890453834116
