CODMUNRES,ano_nasc,Qtd_Total
110000,2012,2
110000,2013,16
110000,2014,4
110000,2015,4
110000,2016,2
110000,2018,2
110000,2019,1
110001,2012,386
110001,2013,382
110001,2014,341
110001,2015,373
110001,2016,326
110001,2017,354
110001,2018,408
110001,2019,367
110002,2012,1339
110002,2013,1654
110002,2014,1647
110002,2015,1783
110002,2016,1662
110002,2017,1724
110002,2018,1682
110002,2019,1729
110003,2012,64
110003,2013,74
110003,2014,75
110003,2015,86
110003,2016,73
110003,2017,67
110003,2018,82
110003,2019,80
110004,2012,1201
110004,2013,1185
110004,2014,1307
110004,2015,1360
110004,2016,1338
110004,2017,1452
110004,2018,1446
110004,2019,1374
110005,2012,245
110005,2013,271
110005,2014,250
110005,2015,277
110005,2016,263
110005,2017,277
110005,2018,264
110005,2019,237
110006,2012,214
110006,2013,256
110006,2014,273
110006,2015,251
110006,2016,223
110006,2017,243
110006,2018,235
110006,2019,214
110007,2012,116
110007,2013,116
110007,2014,125
110007,2015,111
110007,2016,139
110007,2017,87
110007,2018,129
110007,2019,127
110008,2012,234
110008,2013,234
110008,2014,267
110008,2015,245
110008,2016,213
110008,2017,216
110008,2018,246
110008,2019,233
110009,2012,476
110009,2013,463
110009,2014,496
110009,2015,548
110009,2016,486
110009,2017,533
110009,2018,476
110009,2019,450
110010,2012,940
110010,2013,879
110010,2014,923
110010,2015,831
110010,2016,884
110010,2017,842
110010,2018,926
110010,2019,781
110011,2012,808
110011,2013,914
110011,2014,867
110011,2015,788
110011,2016,807
110011,2017,846
110011,2018,911
110011,2019,881
110012,2012,2075
110012,2013,1971
110012,2014,1956
110012,2015,2094
110012,2016,1976
110012,2017,2050
110012,2018,2278
110012,2019,2182
110013,2012,542
110013,2013,514
110013,2014,507
110013,2015,480
110013,2016,398
110013,2017,449
110013,2018,517
110013,2019,500
110014,2012,271
110014,2013,278
110014,2014,254
110014,2015,256
110014,2016,276
110014,2017,224
110014,2018,290
110014,2019,261
110015,2012,647
110015,2013,639
110015,2014,674
110015,2015,767
110015,2016,582
110015,2017,578
110015,2018,614
110015,2019,631
110018,2012,553
110018,2013,581
110018,2014,597
110018,2015,594
110018,2016,601
110018,2017,615
110018,2018,651
110018,2019,616
110020,2012,8941
110020,2013,8927
110020,2014,9130
110020,2015,9093
110020,2016,8611
110020,2017,8800
110020,2018,8752
110020,2019,8437
110025,2012,243
110025,2013,258
110025,2014,289
110025,2015,262
110025,2016,276
110025,2017,289
110025,2018,294
110025,2019,304
110026,2012,41
110026,2013,38
110026,2014,36
110026,2015,36
110026,2016,35
110026,2017,49
110026,2018,46
110026,2019,50
110028,2012,927
110028,2013,879
110028,2014,947
110028,2015,936
110028,2016,855
110028,2017,963
110028,2018,900
110028,2019,927
110029,2012,118
110029,2013,98
110029,2014,103
110029,2015,109
110029,2016,114
110029,2017,112
110029,2018,103
110029,2019,99
110030,2012,1269
110030,2013,1388
110030,2014,1418
110030,2015,1535
110030,2016,1427
110030,2017,1465
110030,2018,1557
110030,2019,1590
110032,2012,313
110032,2013,355
110032,2014,364
110032,2015,311
110032,2016,337
110032,2017,372
110032,2018,391
110032,2019,353
110033,2012,383
110033,2013,416
110033,2014,425
110033,2015,404
110033,2016,411
110033,2017,487
110033,2018,482
110033,2019,432
110034,2012,189
110034,2013,220
110034,2014,184
110034,2015,200
110034,2016,166
110034,2017,178
110034,2018,162
110034,2019,205
110037,2012,189
110037,2013,163
110037,2014,172
110037,2015,149
110037,2016,168
110037,2017,172
110037,2018,160
110037,2019,154
110040,2012,194
110040,2013,211
110040,2014,254
110040,2015,247
110040,2016,220
110040,2017,242
110040,2018,219
110040,2019,226
110045,2012,555
110045,2013,598
110045,2014,620
110045,2015,608
110045,2016,624
110045,2017,632
110045,2018,617
110045,2019,583
110050,2012,125
110050,2013,122
110050,2014,93
110050,2015,109
110050,2016,95
110050,2017,91
110050,2018,111
110050,2019,98
110060,2012,61
110060,2013,63
110060,2014,58
110060,2015,72
110060,2016,67
110060,2017,71
110060,2018,80
110060,2019,75
110070,2012,164
110070,2013,183
110070,2014,181
110070,2015,156
110070,2016,162
110070,2017,174
110070,2018,195
110070,2019,166
110080,2012,430
110080,2013,405
110080,2014,296
110080,2015,323
110080,2016,372
110080,2017,397
110080,2018,421
110080,2019,337
110090,2012,53
110090,2013,36
110090,2014,46
110090,2015,52
110090,2016,55
110090,2017,39
110090,2018,56
110090,2019,32
110092,2012,118
110092,2013,158
110092,2014,158
110092,2015,154
110092,2016,153
110092,2017,169
110092,2018,181
110092,2019,162
110094,2012,161
110094,2013,203
110094,2014,240
110094,2015,274
110094,2016,241
110094,2017,209
110094,2018,229
110094,2019,205
110100,2012,133
110100,2013,116
110100,2014,124
110100,2015,132
