CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total,Ratio
110000,2012,1.0,2,0.5
110000,2013,0.0,16,0.0
110000,2014,3.0,4,0.75
110000,2015,1.0,4,0.25
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,105.0,386,0.27202072538860106
110001,2013,0.0,382,0.0
110001,2014,108.0,341,0.31671554252199413
110001,2015,116.0,373,0.3109919571045576
110001,2016,90.0,326,0.27607361963190186
110001,2017,112.0,354,0.3163841807909605
110001,2018,134.0,408,0.3284313725490196
110001,2019,113.0,366,0.3087431693989071
110002,2012,280.0,1339,0.20911127707244212
110002,2013,0.0,1654,0.0
110002,2014,442.0,1647,0.26836672738312084
110002,2015,373.0,1783,0.20919798093101513
110002,2016,82.0,1662,0.049338146811071
110002,2017,78.0,1724,0.04524361948955916
110002,2018,524.0,1682,0.31153388822829964
110002,2019,644.0,1729,0.3724696356275304
110003,2012,15.0,64,0.234375
110003,2013,0.0,74,0.0
110003,2014,17.0,75,0.22666666666666666
110003,2015,29.0,86,0.3372093023255814
110003,2016,36.0,73,0.4931506849315068
110003,2017,24.0,67,0.3582089552238806
110003,2018,39.0,82,0.47560975609756095
110003,2019,26.0,80,0.325
110004,2012,286.0,1201,0.23813488759367193
110004,2013,0.0,1185,0.0
110004,2014,354.0,1307,0.270849273144606
110004,2015,387.0,1360,0.28455882352941175
110004,2016,379.0,1338,0.28325859491778776
110004,2017,442.0,1452,0.3044077134986226
110004,2018,497.0,1446,0.3437067773167358
110004,2019,475.0,1374,0.3457059679767103
110005,2012,58.0,244,0.23770491803278687
110005,2013,0.0,271,0.0
110005,2014,74.0,250,0.296
110005,2015,86.0,277,0.3104693140794224
110005,2016,79.0,263,0.30038022813688214
110005,2017,97.0,277,0.35018050541516244
110005,2018,91.0,264,0.3446969696969697
110005,2019,96.0,236,0.4067796610169492
110006,2012,26.0,214,0.12149532710280374
110006,2013,0.0,256,0.0
110006,2014,71.0,273,0.2600732600732601
110006,2015,68.0,251,0.27091633466135456
110006,2016,74.0,222,0.3333333333333333
110006,2017,85.0,243,0.3497942386831276
110006,2018,81.0,235,0.3446808510638298
110006,2019,67.0,214,0.3130841121495327
110007,2012,28.0,116,0.2413793103448276
110007,2013,0.0,116,0.0
110007,2014,40.0,125,0.32
110007,2015,34.0,111,0.3063063063063063
110007,2016,48.0,139,0.34532374100719426
110007,2017,29.0,87,0.3333333333333333
110007,2018,48.0,129,0.37209302325581395
110007,2019,43.0,127,0.33858267716535434
110008,2012,50.0,234,0.21367521367521367
110008,2013,0.0,234,0.0
110008,2014,57.0,267,0.21348314606741572
110008,2015,64.0,245,0.2612244897959184
110008,2016,57.0,213,0.2676056338028169
110008,2017,67.0,216,0.3101851851851852
110008,2018,76.0,246,0.3089430894308943
110008,2019,67.0,233,0.2875536480686695
110009,2012,133.0,476,0.27941176470588236
110009,2013,0.0,463,0.0
110009,2014,299.0,496,0.6028225806451613
110009,2015,329.0,548,0.6003649635036497
110009,2016,284.0,486,0.5843621399176955
110009,2017,317.0,533,0.5947467166979362
110009,2018,297.0,476,0.6239495798319328
110009,2019,287.0,450,0.6377777777777778
110010,2012,150.0,940,0.1595744680851064
110010,2013,0.0,879,0.0
110010,2014,161.0,923,0.1744312026002167
110010,2015,152.0,831,0.1829121540312876
110010,2016,164.0,884,0.18552036199095023
110010,2017,143.0,842,0.16983372921615203
110010,2018,140.0,926,0.1511879049676026
110010,2019,149.0,781,0.19078104993597952
110011,2012,158.0,808,0.19554455445544555
110011,2013,0.0,914,0.0
110011,2014,288.0,867,0.33217993079584773
110011,2015,248.0,788,0.3147208121827411
110011,2016,227.0,807,0.2812887236679058
110011,2017,301.0,846,0.3557919621749409
110011,2018,394.0,911,0.43249176728869376
110011,2019,310.0,881,0.3518728717366629
110012,2012,496.0,2075,0.23903614457831326
110012,2013,0.0,1971,0.0
110012,2014,497.0,1956,0.25408997955010226
110012,2015,568.0,2094,0.271251193887297
110012,2016,511.0,1975,0.2587341772151899
110012,2017,430.0,2049,0.20985846754514398
110012,2018,623.0,2278,0.27348551360842843
110012,2019,587.0,2182,0.269019248395967
110013,2012,88.0,542,0.16236162361623616
110013,2013,0.0,514,0.0
110013,2014,111.0,507,0.21893491124260356
110013,2015,97.0,480,0.20208333333333334
110013,2016,73.0,398,0.18341708542713567
110013,2017,88.0,449,0.19599109131403117
110013,2018,134.0,517,0.25918762088974856
110013,2019,130.0,500,0.26
110014,2012,76.0,271,0.28044280442804426
110014,2013,0.0,278,0.0
