CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
310010,2012,0,68,0.0
310010,2013,0,57,0.0
310010,2014,0,71,0.0
310010,2015,0,53,0.0
310010,2016,0,59,0.0
310010,2017,0,52,0.0
310010,2018,0,64,0.0
310010,2019,0,56,0.0
310020,2012,0,238,0.0
310020,2013,0,268,0.0
310020,2014,0,260,0.0
310020,2015,0,238,0.0
310020,2016,0,213,0.0
310020,2017,0,244,0.0
310020,2018,0,252,0.0
310020,2019,1,237,421.94092827004215
310030,2012,0,164,0.0
310030,2013,0,153,0.0
310030,2014,0,158,0.0
310030,2015,0,148,0.0
310030,2016,0,150,0.0
310030,2017,0,135,0.0
310030,2018,0,178,0.0
310030,2019,0,162,0.0
310040,2012,0,47,0.0
310040,2013,0,38,0.0
310040,2014,0,38,0.0
310040,2015,0,38,0.0
310040,2016,0,41,0.0
310040,2017,0,36,0.0
310040,2018,0,43,0.0
310040,2019,0,52,0.0
310050,2012,0,93,0.0
310050,2013,0,107,0.0
310050,2014,0,96,0.0
310050,2015,0,115,0.0
310050,2016,0,109,0.0
310050,2017,0,113,0.0
310050,2018,0,109,0.0
310050,2019,0,93,0.0
310060,2012,0,179,0.0
310060,2013,0,193,0.0
310060,2014,1,150,666.6666666666667
310060,2015,0,179,0.0
310060,2016,0,145,0.0
310060,2017,0,190,0.0
310060,2018,0,187,0.0
310060,2019,0,155,0.0
310070,2012,0,23,0.0
310070,2013,0,16,0.0
310070,2014,0,21,0.0
310070,2015,0,25,0.0
310070,2016,0,16,0.0
310070,2017,0,20,0.0
310070,2018,0,29,0.0
310070,2019,0,19,0.0
310080,2012,0,50,0.0
310080,2013,0,69,0.0
310080,2014,0,53,0.0
310080,2015,0,51,0.0
310080,2016,0,40,0.0
310080,2017,0,44,0.0
310080,2018,0,55,0.0
310080,2019,0,32,0.0
310090,2012,0,273,0.0
310090,2013,0,264,0.0
310090,2014,1,262,381.6793893129771
310090,2015,0,273,0.0
310090,2016,0,249,0.0
310090,2017,0,254,0.0
310090,2018,0,294,0.0
310090,2019,0,272,0.0
310100,2012,0,168,0.0
310100,2013,0,184,0.0
310100,2014,0,162,0.0
310100,2015,0,171,0.0
310100,2016,0,165,0.0
310100,2017,0,173,0.0
310100,2018,0,165,0.0
310100,2019,0,145,0.0
310110,2012,1,316,316.4556962025316
310110,2013,0,343,0.0
310110,2014,0,320,0.0
310110,2015,1,279,358.42293906810033
310110,2016,0,309,0.0
310110,2017,0,318,0.0
310110,2018,0,303,0.0
310110,2019,0,316,0.0
310120,2012,0,54,0.0
310120,2013,0,59,0.0
310120,2014,0,43,0.0
310120,2015,0,44,0.0
310120,2016,0,45,0.0
310120,2017,0,53,0.0
310120,2018,0,45,0.0
310120,2019,0,52,0.0
310130,2012,0,13,0.0
310130,2013,0,21,0.0
310130,2014,0,28,0.0
310130,2015,0,19,0.0
310130,2016,0,18,0.0
310130,2017,0,20,0.0
310130,2018,0,31,0.0
310130,2019,0,21,0.0
310140,2012,0,18,0.0
310140,2013,0,27,0.0
310140,2014,0,22,0.0
310140,2015,0,18,0.0
310140,2016,0,31,0.0
310140,2017,0,23,0.0
310140,2018,0,27,0.0
310140,2019,0,27,0.0
310150,2012,0,456,0.0
310150,2013,0,414,0.0
310150,2014,0,456,0.0
310150,2015,0,463,0.0
310150,2016,0,411,0.0
310150,2017,0,407,0.0
310150,2018,0,444,0.0
310150,2019,0,400,0.0
310160,2012,3,1050,285.7142857142857
310160,2013,0,1009,0.0
310160,2014,0,1024,0.0
310160,2015,1,1013,98.71668311944718
310160,2016,0,1012,0.0
310160,2017,0,998,0.0
310160,2018,0,999,0.0
310160,2019,0,1018,0.0
310163,2012,0,79,0.0
310163,2013,0,86,0.0
310163,2014,0,72,0.0
310163,2015,1,58,1724.1379310344828
310163,2016,0,79,0.0
310163,2017,0,49,0.0
310163,2018,0,78,0.0
310163,2019,0,71,0.0
310170,2012,0,591,0.0
310170,2013,2,555,360.3603603603604
310170,2014,0,542,0.0
