CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total
110000,2012,1,2
110000,2013,9,16
110000,2014,0,4
110000,2015,1,4
110000,2016,1,2
110000,2018,0,2
110000,2019,0,1
110001,2012,99,386
110001,2013,106,382
110001,2014,95,341
110001,2015,104,373
110001,2016,73,326
110001,2017,88,354
110001,2018,79,408
110001,2019,78,367
110002,2012,390,1339
110002,2013,475,1654
110002,2014,496,1647
110002,2015,493,1783
110002,2016,436,1662
110002,2017,454,1724
110002,2018,409,1682
110002,2019,419,1729
110003,2012,23,64
110003,2013,17,74
110003,2014,19,75
110003,2015,21,86
110003,2016,14,73
110003,2017,10,67
110003,2018,12,82
110003,2019,16,80
110004,2012,298,1201
110004,2013,290,1185
110004,2014,305,1307
110004,2015,286,1360
110004,2016,280,1338
110004,2017,290,1452
110004,2018,290,1446
110004,2019,247,1374
110005,2012,65,245
110005,2013,82,271
110005,2014,68,250
110005,2015,56,277
110005,2016,53,263
110005,2017,65,277
110005,2018,46,264
110005,2019,36,237
110006,2012,58,214
110006,2013,59,256
110006,2014,57,273
110006,2015,58,251
110006,2016,40,223
110006,2017,47,243
110006,2018,51,235
110006,2019,37,214
110007,2012,36,116
110007,2013,39,116
110007,2014,32,125
110007,2015,29,111
110007,2016,36,139
110007,2017,25,87
110007,2018,33,129
110007,2019,35,127
110008,2012,82,234
110008,2013,87,234
110008,2014,105,267
110008,2015,94,245
110008,2016,87,213
110008,2017,57,216
110008,2018,91,246
110008,2019,86,233
110009,2012,139,476
110009,2013,134,463
110009,2014,126,496
110009,2015,129,548
110009,2016,144,486
110009,2017,126,533
110009,2018,131,476
110009,2019,102,450
110010,2012,321,940
110010,2013,262,879
110010,2014,312,923
110010,2015,223,831
110010,2016,265,884
110010,2017,264,842
110010,2018,272,926
110010,2019,219,781
110011,2012,215,808
110011,2013,222,914
110011,2014,244,867
110011,2015,174,788
110011,2016,176,807
110011,2017,165,846
110011,2018,187,911
110011,2019,184,881
110012,2012,536,2075
110012,2013,490,1971
110012,2014,474,1956
110012,2015,477,2094
110012,2016,425,1976
110012,2017,464,2050
110012,2018,450,2278
110012,2019,430,2182
110013,2012,167,542
110013,2013,185,514
110013,2014,161,507
110013,2015,160,480
110013,2016,125,398
110013,2017,134,449
110013,2018,137,517
110013,2019,123,500
110014,2012,74,271
110014,2013,88,278
110014,2014,72,254
110014,2015,63,256
110014,2016,72,276
110014,2017,44,224
110014,2018,71,290
110014,2019,42,261
110015,2012,157,647
110015,2013,140,639
110015,2014,156,674
110015,2015,184,767
110015,2016,119,582
110015,2017,133,578
110015,2018,126,614
110015,2019,147,631
110018,2012,171,553
110018,2013,168,581
110018,2014,157,597
110018,2015,177,594
110018,2016,177,601
110018,2017,137,615
110018,2018,154,651
110018,2019,167,616
110020,2012,2490,8941
110020,2013,2484,8927
110020,2014,2493,9130
110020,2015,2398,9093
110020,2016,2201,8611
110020,2017,2031,8800
110020,2018,1955,8752
110020,2019,1872,8437
110025,2012,65,243
110025,2013,53,258
110025,2014,62,289
110025,2015,54,262
110025,2016,71,276
110025,2017,58,289
110025,2018,68,294
110025,2019,80,304
110026,2012,13,41
110026,2013,10,38
110026,2014,5,36
110026,2015,11,36
110026,2016,8,35
110026,2017,11,49
110026,2018,8,46
110026,2019,10,50
110028,2012,279,927
110028,2013,227,879
110028,2014,252,947
110028,2015,228,936
110028,2016,211,855
110028,2017,208,963
110028,2018,192,900
110028,2019,174,927
110029,2012,36,118
110029,2013,28,98
110029,2014,29,103
110029,2015,36,109
110029,2016,30,114
110029,2017,22,112
110029,2018,19,103
110029,2019,25,99
110030,2012,325,1269
110030,2013,358,1388
110030,2014,351,1418
110030,2015,350,1535
110030,2016,343,1427
110030,2017,335,1465
110030,2018,311,1557
110030,2019,324,1590
110032,2012,100,313
110032,2013,118,355
110032,2014,115,364
110032,2015,84,311
110032,2016,84,337
110032,2017,96,372
110032,2018,72,391
110032,2019,73,353
110033,2012,135,383
110033,2013,136,416
110033,2014,119,425
110033,2015,125,404
110033,2016,116,411
110033,2017,136,487
110033,2018,141,482
110033,2019,124,432
110034,2012,56,189
110034,2013,58,220
110034,2014,46,184
110034,2015,58,200
110034,2016,45,166
110034,2017,36,178
110034,2018,41,162
110034,2019,50,205
110037,2012,63,189
110037,2013,51,163
110037,2014,41,172
110037,2015,44,149
110037,2016,49,168
110037,2017,55,172
110037,2018,39,160
110037,2019,43,154
110040,2012,74,194
110040,2013,70,211
110040,2014,83,254
110040,2015,63,247
110040,2016,72,220
110040,2017,76,242
110040,2018,67,219
110040,2019,59,226
110045,2012,166,555
110045,2013,189,598
110045,2014,177,620
110045,2015,182,608
110045,2016,201,624
110045,2017,185,632
110045,2018,159,617
110045,2019,134,583
110050,2012,37,125
110050,2013,28,122
110050,2014,24,93
110050,2015,30,109
110050,2016,25,95
110050,2017,27,91
110050,2018,24,111
110050,2019,11,98
110060,2012,16,61
110060,2013,21,63
110060,2014,19,58
110060,2015,19,72
110060,2016,19,67
110060,2017,24,71
110060,2018,18,80
110060,2019,18,75
110070,2012,57,164
110070,2013,49,183
110070,2014,52,181
110070,2015,39,156
110070,2016,58,162
110070,2017,56,174
110070,2018,52,195
110070,2019,44,166
110080,2012,153,430
110080,2013,134,405
110080,2014,106,296
110080,2015,111,323
110080,2016,121,372
110080,2017,134,397
110080,2018,134,421
110080,2019,91,337
110090,2012,19,53
110090,2013,11,36
110090,2014,14,46
110090,2015,16,52
110090,2016,14,55
110090,2017,6,39
110090,2018,10,56
110090,2019,3,32
110092,2012,38,118
110092,2013,39,158
110092,2014,50,158
110092,2015,55,154
110092,2016,44,153
110092,2017,53,169
110092,2018,54,181
110092,2019,45,162
110094,2012,59,161
110094,2013,81,203
110094,2014,83,240
110094,2015,89,274
110094,2016,88,241
110094,2017,64,209
110094,2018,65,229
110094,2019,59,205
110100,2012,26,133
110100,2013,32,116
110100,2014,30,124
110100,2015,34,132
110100,2016,29,112
110100,2017,28,109
110100,2018,27,133
110100,2019,31,112
110110,2012,45,114
110110,2013,46,123
110110,2014,33,97
110110,2015,39,112
110110,2016,46,129
110110,2017,37,95
110110,2018,23,92
110110,2019,29,109
110120,2012,26,100
110120,2013,27,104
110120,2014,34,107
110120,2015,25,93
110120,2016,17,93
110120,2017,21,100
110120,2018,20,92
110120,2019,8,84
110130,2012,38,148
110130,2013,32,122
110130,2014,40,137
110130,2015,48,179
110130,2016,46,148
110130,2017,34,156
110130,2018,42,160
110130,2019,30,164
110140,2012,40,170
110140,2013,65,223
110140,2014,64,204
110140,2015,70,240
110140,2016,50,173
110140,2017,56,200
110140,2018,74,220
110140,2019,50,199
110143,2012,17,99
110143,2013,19,82
110143,2014,27,110
110143,2015,19,73
110143,2016,19,90
110143,2017,21,94
110143,2018,19,87
110143,2019,18,104
110145,2012,17,63
110145,2013,22,55
110145,2014,15,49
110145,2015,12,54
110145,2016,7,50
110145,2017,16,51
110145,2018,9,53
110145,2019,9,44
110146,2012,18,51
110146,2013,16,42
110146,2014,16,37
110146,2015,24,52
110146,2016,11,34
110146,2017,16,52
110146,2018,11,52
110146,2019,10,40
110147,2012,11,43
110147,2013,14,39
110147,2014,19,47
110147,2015,10,40
110147,2016,21,56
110147,2017,11,63
110147,2018,12,38
110147,2019,4,43
110148,2012,17,64
110148,2013,11,61
110148,2014,10,59
110148,2015,15,73
110148,2016,13,54
110148,2017,20,75
110148,2018,11,54
110148,2019,11,54
110149,2012,93,246
110149,2013,80,266
110149,2014,95,308
110149,2015,84,319
110149,2016,91,305
110149,2017,85,333
110149,2018,77,327
110149,2019,66,303
110150,2012,58,190
110150,2013,53,184
110150,2014,42,170
110150,2015,58,188
110150,2016,54,171
110150,2017,45,188
110150,2018,43,154
110150,2019,45,168
110155,2012,16,57
110155,2013,16,80
110155,2014,18,69
110155,2015,18,71
110155,2016,24,59
110155,2017,10,58
110155,2018,11,60
110155,2019,14,64
110160,2012,34,133
110160,2013,34,106
110160,2014,32,125
110160,2015,28,107
110160,2016,28,131
110160,2017,41,146
110160,2018,31,131
110160,2019,22,97
110170,2012,29,146
110170,2013,35,150
110170,2014,31,122
110170,2015,33,138
110170,2016,42,151
110170,2017,39,150
110170,2018,27,139
110170,2019,30,170
110175,2012,27,86
110175,2013,22,89
110175,2014,40,128
110175,2015,25,106
110175,2016,27,110
110175,2017,25,86
110175,2018,19,91
110175,2019,22,93
110180,2012,25,83
110180,2013,27,107
110180,2014,12,90
110180,2015,15,63
110180,2016,26,98
110180,2017,17,79
110180,2018,22,95
110180,2019,19,81
120000,2012,0,1
120001,2012,94,253
120001,2013,89,258
120001,2014,88,269
120001,2015,68,217
120001,2016,76,222
120001,2017,85,256
120001,2018,72,216
120001,2019,74,257
120005,2012,82,219
120005,2013,74,213
120005,2014,90,196
120005,2015,77,238
120005,2016,73,190
120005,2017,82,248
120005,2018,106,264
120005,2019,94,266
120010,2012,178,505
120010,2013,209,530
120010,2014,206,547
120010,2015,190,531
120010,2016,162,490
120010,2017,202,570
120010,2018,180,540
120010,2019,175,540
120013,2012,59,198
120013,2013,79,202
120013,2014,97,242
120013,2015,83,248
120013,2016,91,248
120013,2017,110,307
120013,2018,106,306
120013,2019,106,329
120017,2012,64,201
120017,2013,63,193
120017,2014,88,234
120017,2015,80,219
120017,2016,63,194
120017,2017,82,243
120017,2018,75,222
120017,2019,68,217
120020,2012,604,1741
120020,2013,628,1783
120020,2014,629,1818
120020,2015,614,1839
120020,2016,551,1632
120020,2017,542,1684
120020,2018,542,1756
120020,2019,557,1809
120025,2012,85,282
120025,2013,95,275
120025,2014,84,262
120025,2015,101,279
120025,2016,79,270
120025,2017,95,291
120025,2018,85,273
120025,2019,78,314
120030,2012,322,904
120030,2013,304,791
120030,2014,312,829
120030,2015,309,772
120030,2016,326,834
120030,2017,282,833
120030,2018,325,833
120030,2019,323,871
120032,2012,103,269
120032,2013,107,271
120032,2014,104,282
120032,2015,116,273
120032,2016,104,263
120032,2017,102,266
120032,2018,116,274
120032,2019,90,218
120033,2012,121,386
120033,2013,142,399
120033,2014,127,413
120033,2015,133,395
120033,2016,118,325
120033,2017,114,358
120033,2018,131,367
120033,2019,106,345
120034,2012,95,256
120034,2013,88,229
120034,2014,82,243
120034,2015,111,266
120034,2016,80,236
120034,2017,82,261
120034,2018,90,252
120034,2019,88,230
120035,2012,155,474
120035,2013,166,485
120035,2014,155,458
120035,2015,157,445
120035,2016,128,352
120035,2017,148,388
120035,2018,142,407
120035,2019,171,448
120038,2012,147,353
120038,2013,130,334
120038,2014,112,322
120038,2015,128,350
120038,2016,116,339
120038,2017,100,305
120038,2018,109,309
120038,2019,102,318
120039,2012,89,338
120039,2013,70,287
120039,2014,95,250
120039,2015,106,262
120039,2016,92,230
120039,2017,110,282
120039,2018,110,254
120039,2019,110,270
120040,2012,1905,6531
120040,2013,2057,7116
120040,2014,2037,7011
120040,2015,1940,6965
120040,2016,1740,6614
120040,2017,1623,6460
120040,2018,1521,6495
120040,2019,1423,6324
120042,2012,133,390
120042,2013,119,363
120042,2014,133,394
120042,2015,141,396
120042,2016,119,304
120042,2017,128,366
120042,2018,140,394
120042,2019,116,334
120043,2012,66,259
120043,2013,74,223
120043,2014,42,185
120043,2015,50,150
120043,2016,33,95
120043,2017,78,198
120043,2018,65,207
120043,2019,56,186
120045,2012,137,396
120045,2013,147,425
120045,2014,161,453
120045,2015,164,443
120045,2016,141,410
120045,2017,140,395
120045,2018,155,476
120045,2019,118,417
120050,2012,358,929
120050,2013,361,904
120050,2014,334,827
120050,2015,306,847
120050,2016,289,762
120050,2017,288,780
120050,2018,267,788
120050,2019,273,768
120060,2012,445,1158
120060,2013,448,1138
120060,2014,506,1230
120060,2015,449,1165
120060,2016,440,1078
120060,2017,449,1132
120060,2018,504,1193
120060,2019,468,1143
120070,2012,123,311
120070,2013,117,294
120070,2014,133,306
120070,2015,125,322
120070,2016,116,329
120070,2017,107,305
120070,2018,115,325
120070,2019,91,297
120080,2012,134,346
120080,2013,133,362
120080,2014,122,368
120080,2015,131,358
120080,2016,115,356
120080,2017,159,430
120080,2018,135,392
120080,2019,132,379
130000,2012,4,8
130000,2013,7,18
130000,2014,12,23
130000,2015,16,18
130000,2016,18,25
130000,2017,13,17
130000,2018,19,25
130000,2019,3,12
130002,2012,143,320
130002,2013,157,346
130002,2014,143,308
130002,2015,164,342
130002,2016,151,325
130002,2017,179,401
130002,2018,152,346
130002,2019,173,418
130006,2012,86,242
130006,2013,102,261
130006,2014,97,264
130006,2015,81,214
130006,2016,99,280
130006,2017,104,267
130006,2018,92,247
130006,2019,90,265
130008,2012,85,199
130008,2013,80,201
130008,2014,97,212
130008,2015,67,163
130008,2016,69,182
130008,2017,80,196
130008,2018,78,214
130008,2019,67,190
130010,2012,101,247
130010,2013,118,285
130010,2014,108,267
130010,2015,103,255
130010,2016,111,266
130010,2017,91,257
130010,2018,96,247
130010,2019,91,233
130014,2012,74,195
130014,2013,86,223
130014,2014,101,223
130014,2015,87,204
130014,2016,83,211
130014,2017,96,233
130014,2018,82,242
130014,2019,70,239
130020,2012,146,357
130020,2013,119,354
130020,2014,161,435
130020,2015,164,439
130020,2016,125,380
130020,2017,147,382
130020,2018,117,357
130020,2019,117,313
130030,2012,352,877
130030,2013,354,877
130030,2014,380,955
130030,2015,324,829
130030,2016,355,890
130030,2017,357,897
130030,2018,416,948
130030,2019,361,872
130040,2012,207,469
130040,2013,228,480
130040,2014,184,419
130040,2015,207,505
130040,2016,190,496
130040,2017,205,524
130040,2018,224,570
130040,2019,212,556
130050,2012,238,707
130050,2013,270,769
130050,2014,281,756
130050,2015,285,815
130050,2016,310,810
130050,2017,315,870
130050,2018,320,851
130050,2019,307,857
130060,2012,366,1053
130060,2013,360,1036
130060,2014,369,1077
130060,2015,304,968
130060,2016,335,1021
130060,2017,327,1039
130060,2018,325,985
130060,2019,309,1030
130063,2012,176,427
130063,2013,175,428
130063,2014,180,488
130063,2015,210,489
130063,2016,214,510
130063,2017,235,597
130063,2018,202,501
130063,2019,193,525
130068,2012,114,260
130068,2013,126,321
130068,2014,125,328
130068,2015,148,369
130068,2016,131,312
130068,2017,138,319
130068,2018,143,318
130068,2019,147,330
130070,2012,321,741
130070,2013,344,763
130070,2014,347,734
130070,2015,273,695
130070,2016,277,653
130070,2017,293,771
130070,2018,293,739
130070,2019,266,725
130080,2012,304,690
130080,2013,331,705
130080,2014,282,711
130080,2015,343,725
130080,2016,276,663
130080,2017,300,797
130080,2018,312,789
130080,2019,310,763
130083,2012,56,138
130083,2013,78,203
130083,2014,87,204
130083,2015,68,173
130083,2016,69,183
130083,2017,94,216
130083,2018,68,188
130083,2019,66,169
130090,2012,105,213
130090,2013,93,196
130090,2014,87,231
130090,2015,105,219
130090,2016,103,217
130090,2017,78,191
130090,2018,89,222
130090,2019,68,192
130100,2012,307,656
130100,2013,298,633
130100,2014,285,658
130100,2015,284,628
130100,2016,256,625
130100,2017,264,626
130100,2018,254,636
130100,2019,241,635
130110,2012,148,414
130110,2013,151,442
130110,2014,172,474
130110,2015,153,419
130110,2016,152,481
130110,2017,172,512
130110,2018,169,550
130110,2019,164,564
130115,2012,77,171
130115,2013,60,168
130115,2014,72,208
130115,2015,72,215
130115,2016,70,199
130115,2017,70,237
130115,2018,86,275
130115,2019,60,198
130120,2012,629,1668
130120,2013,720,1750
130120,2014,686,1704
130120,2015,679,1744
130120,2016,614,1646
130120,2017,612,1656
130120,2018,659,1747
130120,2019,630,1698
130130,2012,200,432
130130,2013,157,424
130130,2014,167,426
130130,2015,181,434
130130,2016,151,404
130130,2017,189,439
130130,2018,163,429
130130,2019,194,468
130140,2012,336,833
130140,2013,357,852
130140,2014,343,852
130140,2015,334,825
130140,2016,313,787
130140,2017,355,854
130140,2018,363,830
130140,2019,337,792
130150,2012,125,314
130150,2013,152,366
130150,2014,146,386
130150,2015,189,412
130150,2016,155,369
130150,2017,175,424
130150,2018,146,369
130150,2019,141,391
130160,2012,238,520
130160,2013,250,556
130160,2014,267,606
130160,2015,296,670
130160,2016,259,573
130160,2017,276,630
130160,2018,268,621
130160,2019,255,579
130165,2012,113,360
130165,2013,118,329
130165,2014,134,356
130165,2015,129,334
130165,2016,115,284
130165,2017,116,326
130165,2018,116,293
130165,2019,105,285
130170,2012,336,847
130170,2013,354,902
130170,2014,356,970
130170,2015,370,941
130170,2016,379,977
130170,2017,381,1001
130170,2018,381,1006
130170,2019,348,978
130180,2012,167,439
130180,2013,158,407
130180,2014,153,406
130180,2015,158,441
130180,2016,161,389
130180,2017,141,409
130180,2018,164,413
130180,2019,140,376
130185,2012,342,898
130185,2013,339,849
130185,2014,374,873
130185,2015,346,867
130185,2016,359,928
130185,2017,323,941
130185,2018,317,945
130185,2019,343,1021
130190,2012,724,2019
130190,2013,819,2085
130190,2014,751,2068
130190,2015,743,2078
130190,2016,757,2028
130190,2017,650,1985
130190,2018,651,2068
130190,2019,632,2034
130195,2012,100,197
130195,2013,93,260
130195,2014,101,260
130195,2015,118,293
130195,2016,97,263
130195,2017,94,245
130195,2018,118,303
130195,2019,91,247
130200,2012,90,199
130200,2013,74,184
130200,2014,53,154
130200,2015,56,148
130200,2016,71,187
130200,2017,67,165
130200,2018,68,171
130200,2019,71,173
130210,2012,67,142
130210,2013,55,130
130210,2014,55,148
130210,2015,60,169
