CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total
110000,2012,0,2
110000,2013,1,16
110000,2014,2,4
110000,2015,0,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,23,386
110001,2013,26,382
110001,2014,36,341
110001,2015,22,373
110001,2016,24,326
110001,2017,35,354
110001,2018,53,408
110001,2019,39,367
110002,2012,87,1339
110002,2013,106,1654
110002,2014,117,1647
110002,2015,133,1783
110002,2016,138,1662
110002,2017,134,1724
110002,2018,162,1682
110002,2019,168,1729
110003,2012,0,64
110003,2013,7,74
110003,2014,4,75
110003,2015,8,86
110003,2016,9,73
110003,2017,8,67
110003,2018,11,82
110003,2019,11,80
110004,2012,96,1201
110004,2013,84,1185
110004,2014,119,1307
110004,2015,127,1360
110004,2016,128,1338
110004,2017,167,1452
110004,2018,160,1446
110004,2019,180,1374
110005,2012,15,245
110005,2013,16,271
110005,2014,18,250
110005,2015,25,277
110005,2016,24,263
110005,2017,34,277
110005,2018,27,264
110005,2019,30,237
110006,2012,20,214
110006,2013,18,256
110006,2014,25,273
110006,2015,23,251
110006,2016,26,223
110006,2017,18,243
110006,2018,29,235
110006,2019,33,214
110007,2012,8,116
110007,2013,11,116
110007,2014,13,125
110007,2015,8,111
110007,2016,12,139
110007,2017,6,87
110007,2018,8,129
110007,2019,6,127
110008,2012,13,234
110008,2013,13,234
110008,2014,21,267
110008,2015,16,245
110008,2016,13,213
110008,2017,18,216
110008,2018,21,246
110008,2019,24,233
110009,2012,31,476
110009,2013,35,463
110009,2014,38,496
110009,2015,42,548
110009,2016,44,486
110009,2017,57,533
110009,2018,48,476
110009,2019,49,450
110010,2012,83,940
110010,2013,94,879
110010,2014,71,923
110010,2015,96,831
110010,2016,95,884
110010,2017,112,842
110010,2018,103,926
110010,2019,96,781
110011,2012,53,808
110011,2013,66,914
110011,2014,65,867
110011,2015,54,788
110011,2016,68,807
110011,2017,85,846
110011,2018,92,911
110011,2019,98,881
110012,2012,154,2075
110012,2013,143,1971
110012,2014,156,1956
110012,2015,215,2094
110012,2016,208,1976
110012,2017,223,2050
110012,2018,261,2278
110012,2019,249,2182
110013,2012,35,542
110013,2013,28,514
110013,2014,36,507
110013,2015,25,480
110013,2016,27,398
110013,2017,42,449
110013,2018,42,517
110013,2019,55,500
110014,2012,12,271
110014,2013,16,278
110014,2014,16,254
110014,2015,16,256
110014,2016,20,276
110014,2017,14,224
110014,2018,27,290
110014,2019,25,261
110015,2012,48,647
110015,2013,51,639
110015,2014,56,674
110015,2015,61,767
110015,2016,47,582
110015,2017,56,578
110015,2018,70,614
110015,2019,86,631
110018,2012,28,553
110018,2013,48,581
110018,2014,43,597
110018,2015,52,594
110018,2016,39,601
110018,2017,39,615
110018,2018,71,651
110018,2019,47,616
110020,2012,686,8941
110020,2013,772,8927
110020,2014,832,9130
110020,2015,901,9093
110020,2016,958,8611
110020,2017,1005,8800
110020,2018,1071,8752
110020,2019,1093,8437
110025,2012,13,243
110025,2013,19,258
110025,2014,25,289
110025,2015,27,262
110025,2016,28,276
110025,2017,34,289
110025,2018,34,294
110025,2019,35,304
110026,2012,1,41
110026,2013,5,38
110026,2014,1,36
110026,2015,2,36
110026,2016,2,35
110026,2017,5,49
110026,2018,3,46
110026,2019,5,50
110028,2012,47,927
110028,2013,64,879
110028,2014,89,947
110028,2015,70,936
110028,2016,61,855
110028,2017,96,963
110028,2018,94,900
110028,2019,120,927
110029,2012,4,118
110029,2013,7,98
110029,2014,8,103
110029,2015,5,109
110029,2016,9,114
110029,2017,6,112
110029,2018,14,103
110029,2019,8,99
110030,2012,82,1269
110030,2013,91,1388
110030,2014,108,1418
110030,2015,157,1535
110030,2016,139,1427
110030,2017,145,1465
110030,2018,174,1557
110030,2019,191,1590
110032,2012,25,313
110032,2013,19,355
110032,2014,31,364
110032,2015,27,311
110032,2016,23,337
110032,2017,21,372
110032,2018,32,391
110032,2019,36,353
110033,2012,16,383
110033,2013,25,416
110033,2014,22,425
110033,2015,39,404
110033,2016,22,411
110033,2017,35,487
110033,2018,44,482
110033,2019,44,432
110034,2012,10,189
110034,2013,12,220
110034,2014,18,184
110034,2015,12,200
110034,2016,11,166
110034,2017,17,178
110034,2018,14,162
110034,2019,25,205
110037,2012,9,189
110037,2013,13,163
110037,2014,15,172
110037,2015,10,149
110037,2016,9,168
110037,2017,18,172
110037,2018,15,160
110037,2019,10,154
110040,2012,13,194
110040,2013,13,211
110040,2014,16,254
110040,2015,17,247
110040,2016,13,220
110040,2017,13,242
110040,2018,23,219
110040,2019,18,226
110045,2012,19,555
110045,2013,18,598
110045,2014,34,620
110045,2015,35,608
110045,2016,29,624
110045,2017,43,632
110045,2018,44,617
110045,2019,58,583
110050,2012,12,125
110050,2013,7,122
110050,2014,5,93
110050,2015,9,109
110050,2016,13,95
110050,2017,9,91
110050,2018,13,111
110050,2019,12,98
110060,2012,2,61
110060,2013,4,63
110060,2014,2,58
110060,2015,7,72
110060,2016,4,67
110060,2017,3,71
110060,2018,9,80
110060,2019,7,75
110070,2012,5,164
110070,2013,14,183
110070,2014,10,181
110070,2015,10,156
110070,2016,9,162
110070,2017,9,174
110070,2018,15,195
110070,2019,9,166
110080,2012,35,430
110080,2013,32,405
110080,2014,22,296
110080,2015,23,323
110080,2016,19,372
110080,2017,22,397
110080,2018,38,421
110080,2019,29,337
110090,2012,4,53
110090,2013,1,36
110090,2014,0,46
110090,2015,3,52
110090,2016,2,55
110090,2017,6,39
110090,2018,1,56
110090,2019,3,32
110092,2012,7,118
110092,2013,16,158
110092,2014,12,158
110092,2015,9,154
110092,2016,11,153
110092,2017,10,169
110092,2018,13,181
110092,2019,17,162
110094,2012,12,161
110094,2013,10,203
110094,2014,18,240
110094,2015,16,274
110094,2016,16,241
110094,2017,17,209
110094,2018,20,229
110094,2019,17,205
110100,2012,11,133
110100,2013,4,116
110100,2014,10,124
110100,2015,7,132
110100,2016,6,112
