CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total
110000,2012,0,2
110000,2013,2,16
110000,2014,0,4
110000,2015,0,4
110000,2016,1,2
110000,2018,0,2
110000,2019,0,1
110001,2012,14,386
110001,2013,8,382
110001,2014,8,341
110001,2015,8,373
110001,2016,4,326
110001,2017,10,354
110001,2018,12,408
110001,2019,11,367
110002,2012,53,1339
110002,2013,94,1654
110002,2014,115,1647
110002,2015,58,1783
110002,2016,9,1662
110002,2017,7,1724
110002,2018,73,1682
110002,2019,81,1729
110003,2012,0,64
110003,2013,5,74
110003,2014,0,75
110003,2015,2,86
110003,2016,3,73
110003,2017,1,67
110003,2018,0,82
110003,2019,1,80
110004,2012,53,1201
110004,2013,51,1185
110004,2014,56,1307
110004,2015,78,1360
110004,2016,71,1338
110004,2017,93,1452
110004,2018,86,1446
110004,2019,83,1374
110005,2012,4,245
110005,2013,11,271
110005,2014,8,250
110005,2015,8,277
110005,2016,20,263
110005,2017,6,277
110005,2018,4,264
110005,2019,5,237
110006,2012,2,214
110006,2013,9,256
110006,2014,10,273
110006,2015,5,251
110006,2016,14,223
110006,2017,11,243
110006,2018,4,235
110006,2019,2,214
110007,2012,1,116
110007,2013,9,116
110007,2014,3,125
110007,2015,5,111
110007,2016,11,139
110007,2017,3,87
110007,2018,7,129
110007,2019,5,127
110008,2012,6,234
110008,2013,28,234
110008,2014,16,267
110008,2015,16,245
110008,2016,12,213
110008,2017,11,216
110008,2018,19,246
110008,2019,7,233
110009,2012,18,476
110009,2013,18,463
110009,2014,20,496
110009,2015,29,548
110009,2016,16,486
110009,2017,15,533
110009,2018,22,476
110009,2019,27,450
110010,2012,1,940
110010,2013,6,879
110010,2014,23,923
110010,2015,37,831
110010,2016,11,884
110010,2017,5,842
110010,2018,6,926
110010,2019,3,781
110011,2012,35,808
110011,2013,20,914
110011,2014,32,867
110011,2015,29,788
110011,2016,26,807
110011,2017,23,846
110011,2018,31,911
110011,2019,34,881
110012,2012,37,2075
110012,2013,26,1971
110012,2014,91,1956
110012,2015,114,2094
110012,2016,56,1976
110012,2017,63,2050
110012,2018,65,2278
110012,2019,72,2182
110013,2012,23,542
110013,2013,42,514
110013,2014,40,507
110013,2015,41,480
110013,2016,14,398
110013,2017,17,449
110013,2018,10,517
110013,2019,8,500
110014,2012,9,271
110014,2013,6,278
110014,2014,1,254
110014,2015,6,256
110014,2016,7,276
110014,2017,3,224
110014,2018,3,290
110014,2019,6,261
110015,2012,23,647
110015,2013,25,639
110015,2014,19,674
110015,2015,30,767
110015,2016,27,582
110015,2017,20,578
110015,2018,21,614
110015,2019,25,631
110018,2012,39,553
110018,2013,29,581
110018,2014,29,597
110018,2015,27,594
110018,2016,31,601
110018,2017,33,615
110018,2018,36,651
110018,2019,25,616
110020,2012,306,8941
110020,2013,295,8927
110020,2014,200,9130
110020,2015,266,9093
110020,2016,171,8611
110020,2017,202,8800
110020,2018,232,8752
110020,2019,166,8437
110025,2012,11,243
110025,2013,6,258
110025,2014,14,289
110025,2015,10,262
110025,2016,15,276
110025,2017,19,289
110025,2018,16,294
110025,2019,13,304
110026,2012,2,41
110026,2013,3,38
110026,2014,1,36
110026,2015,0,36
110026,2016,0,35
110026,2017,1,49
110026,2018,4,46
110026,2019,2,50
110028,2012,29,927
110028,2013,26,879
110028,2014,21,947
110028,2015,34,936
110028,2016,24,855
110028,2017,17,963
110028,2018,33,900
110028,2019,50,927
110029,2012,3,118
110029,2013,2,98
110029,2014,5,103
110029,2015,4,109
110029,2016,5,114
110029,2017,2,112
110029,2018,4,103
110029,2019,7,99
110030,2012,12,1269
110030,2013,9,1388
110030,2014,18,1418
110030,2015,47,1535
110030,2016,77,1427
110030,2017,69,1465
110030,2018,27,1557
110030,2019,39,1590
110032,2012,26,313
110032,2013,18,355
110032,2014,20,364
110032,2015,12,311
110032,2016,23,337
110032,2017,11,372
110032,2018,16,391
110032,2019,8,353
110033,2012,19,383
110033,2013,16,416
110033,2014,17,425
110033,2015,13,404
110033,2016,13,411
110033,2017,12,487
110033,2018,6,482
110033,2019,4,432
110034,2012,7,189
110034,2013,11,220
110034,2014,13,184
110034,2015,14,200
110034,2016,9,166
110034,2017,12,178
110034,2018,4,162
110034,2019,5,205
110037,2012,8,189
110037,2013,1,163
110037,2014,2,172
110037,2015,6,149
110037,2016,4,168
110037,2017,6,172
110037,2018,4,160
110037,2019,10,154
110040,2012,8,194
110040,2013,21,211
110040,2014,18,254
110040,2015,13,247
110040,2016,3,220
110040,2017,1,242
110040,2018,5,219
110040,2019,13,226
110045,2012,20,555
110045,2013,13,598
110045,2014,25,620
110045,2015,27,608
110045,2016,30,624
110045,2017,24,632
110045,2018,23,617
110045,2019,21,583
110050,2012,5,125
110050,2013,4,122
110050,2014,1,93
110050,2015,1,109
110050,2016,2,95
110050,2017,1,91
110050,2018,1,111
110050,2019,4,98
110060,2012,5,61
110060,2013,7,63
110060,2014,3,58
110060,2015,3,72
110060,2016,3,67
110060,2017,0,71
110060,2018,3,80
110060,2019,4,75
110070,2012,11,164
110070,2013,4,183
110070,2014,8,181
110070,2015,4,156
110070,2016,10,162
110070,2017,4,174
110070,2018,7,195
110070,2019,3,166
110080,2012,16,430
110080,2013,15,405
110080,2014,15,296
110080,2015,9,323
110080,2016,9,372
110080,2017,13,397
110080,2018,7,421
110080,2019,11,337
110090,2012,3,53
110090,2013,0,36
110090,2014,3,46
110090,2015,4,52
110090,2016,2,55
110090,2017,1,39
110090,2018,2,56
110090,2019,3,32
110092,2012,4,118
110092,2013,2,158
110092,2014,1,158
110092,2015,8,154
110092,2016,7,153
110092,2017,7,169
110092,2018,9,181
110092,2019,10,162
110094,2012,9,161
110094,2013,13,203
110094,2014,17,240
110094,2015,11,274
110094,2016,5,241
110094,2017,9,209
110094,2018,14,229
110094,2019,11,205
110100,2012,6,133
110100,2013,6,116
110100,2014,7,124
110100,2015,2,132
110100,2016,2,112
110100,2017,4,109
110100,2018,6,133
110100,2019,3,112
110110,2012,2,114
110110,2013,2,123
110110,2014,3,97
110110,2015,6,112
110110,2016,4,129
110110,2017,1,95
110110,2018,3,92
110110,2019,5,109
110120,2012,3,100
110120,2013,3,104
110120,2014,8,107
110120,2015,1,93
110120,2016,3,93
110120,2017,4,100
110120,2018,3,92
110120,2019,4,84
110130,2012,6,148
110130,2013,6,122
110130,2014,13,137
110130,2015,8,179
110130,2016,3,148
110130,2017,5,156
110130,2018,5,160
110130,2019,6,164
110140,2012,12,170
110140,2013,6,223
110140,2014,5,204
110140,2015,9,240
