CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total
110000,2012,0,2
110000,2013,0,16
110000,2014,0,4
110000,2015,0,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,13,386
110001,2013,17,382
110001,2014,21,341
110001,2015,25,373
110001,2016,23,326
110001,2017,15,354
110001,2018,19,408
110001,2019,22,367
110002,2012,1,1339
110002,2013,2,1654
110002,2014,1,1647
110002,2015,2,1783
110002,2016,1,1662
110002,2017,0,1724
110002,2018,0,1682
110002,2019,0,1729
110003,2012,0,64
110003,2013,0,74
110003,2014,0,75
110003,2015,0,86
110003,2016,0,73
110003,2017,0,67
110003,2018,0,82
110003,2019,0,80
110004,2012,47,1201
110004,2013,50,1185
110004,2014,37,1307
110004,2015,34,1360
110004,2016,37,1338
110004,2017,38,1452
110004,2018,40,1446
110004,2019,44,1374
110005,2012,0,245
110005,2013,0,271
110005,2014,0,250
110005,2015,0,277
110005,2016,0,263
110005,2017,1,277
110005,2018,0,264
110005,2019,0,237
110006,2012,0,214
110006,2013,0,256
110006,2014,0,273
110006,2015,0,251
110006,2016,0,223
110006,2017,0,243
110006,2018,0,235
110006,2019,0,214
110007,2012,0,116
110007,2013,0,116
110007,2014,0,125
110007,2015,0,111
110007,2016,0,139
110007,2017,0,87
110007,2018,0,129
110007,2019,0,127
110008,2012,3,234
110008,2013,2,234
110008,2014,1,267
110008,2015,4,245
110008,2016,0,213
110008,2017,5,216
110008,2018,2,246
110008,2019,5,233
110009,2012,44,476
110009,2013,36,463
110009,2014,39,496
110009,2015,31,548
110009,2016,41,486
110009,2017,43,533
110009,2018,38,476
110009,2019,34,450
110010,2012,197,940
110010,2013,146,879
110010,2014,189,923
110010,2015,160,831
110010,2016,182,884
110010,2017,174,842
110010,2018,179,926
110010,2019,172,781
110011,2012,3,808
110011,2013,0,914
110011,2014,1,867
110011,2015,4,788
110011,2016,0,807
110011,2017,2,846
110011,2018,2,911
110011,2019,1,881
110012,2012,55,2075
110012,2013,41,1971
110012,2014,48,1956
110012,2015,44,2094
110012,2016,32,1976
110012,2017,33,2050
110012,2018,44,2278
110012,2019,42,2182
110013,2012,1,542
110013,2013,0,514
110013,2014,1,507
110013,2015,0,480
110013,2016,1,398
110013,2017,0,449
110013,2018,0,517
110013,2019,0,500
110014,2012,0,271
110014,2013,0,278
110014,2014,0,254
110014,2015,0,256
110014,2016,0,276
110014,2017,0,224
110014,2018,0,290
110014,2019,0,261
110015,2012,1,647
110015,2013,0,639
110015,2014,2,674
110015,2015,1,767
110015,2016,0,582
110015,2017,0,578
110015,2018,1,614
