CODMUNRES,ano_nasc,Qtd_1parto,Qtd_Total
110000,2012,1,2
110000,2013,3,16
110000,2014,1,4
110000,2015,1,4
110000,2016,1,2
110000,2018,1,2
110000,2019,0,1
110001,2012,137,386
110001,2013,153,382
110001,2014,128,341
110001,2015,149,373
110001,2016,132,326
110001,2017,136,354
110001,2018,166,408
110001,2019,169,367
110002,2012,189,1339
110002,2013,425,1654
110002,2014,611,1647
110002,2015,551,1783
110002,2016,134,1662
110002,2017,92,1724
110002,2018,487,1682
110002,2019,675,1729
110003,2012,24,64
110003,2013,26,74
110003,2014,25,75
110003,2015,40,86
110003,2016,26,73
110003,2017,24,67
110003,2018,25,82
110003,2019,41,80
110004,2012,560,1201
110004,2013,485,1185
110004,2014,586,1307
110004,2015,575,1360
110004,2016,603,1338
110004,2017,673,1452
110004,2018,626,1446
110004,2019,574,1374
110005,2012,37,245
110005,2013,83,271
110005,2014,82,250
110005,2015,99,277
110005,2016,119,263
110005,2017,117,277
110005,2018,110,264
110005,2019,83,237
110006,2012,46,214
110006,2013,108,256
110006,2014,103,273
110006,2015,120,251
110006,2016,98,223
110006,2017,110,243
110006,2018,99,235
110006,2019,90,214
110007,2012,20,116
110007,2013,34,116
110007,2014,36,125
110007,2015,46,111
110007,2016,60,139
110007,2017,36,87
110007,2018,51,129
110007,2019,54,127
110008,2012,71,234
110008,2013,39,234
110008,2014,91,267
110008,2015,86,245
110008,2016,88,213
110008,2017,66,216
110008,2018,97,246
110008,2019,100,233
110009,2012,175,476
110009,2013,155,463
110009,2014,46,496
110009,2015,34,548
110009,2016,52,486
110009,2017,44,533
110009,2018,46,476
110009,2019,30,450
110010,2012,296,940
110010,2013,274,879
110010,2014,314,923
110010,2015,249,831
110010,2016,297,884
110010,2017,257,842
110010,2018,312,926
110010,2019,232,781
110011,2012,321,808
110011,2013,286,914
110011,2014,405,867
110011,2015,372,788
110011,2016,408,807
110011,2017,302,846
110011,2018,226,911
110011,2019,352,881
110012,2012,466,2075
110012,2013,827,1971
110012,2014,882,1956
110012,2015,913,2094
110012,2016,895,1976
110012,2017,918,2050
110012,2018,978,2278
110012,2019,912,2182
110013,2012,136,542
110013,2013,50,514
110013,2014,202,507
110013,2015,176,480
110013,2016,119,398
110013,2017,72,449
110013,2018,157,517
110013,2019,178,500
110014,2012,125,271
110014,2013,141,278
110014,2014,114,254
110014,2015,112,256
110014,2016,139,276
110014,2017,106,224
110014,2018,129,290
110014,2019,98,261
110015,2012,219,647
110015,2013,262,639
110015,2014,306,674
110015,2015,339,767
110015,2016,262,582
110015,2017,246,578
110015,2018,242,614
110015,2019,245,631
110018,2012,253,553
110018,2013,103,581
110018,2014,171,597
110018,2015,69,594
110018,2016,269,601
110018,2017,240,615
110018,2018,234,651
110018,2019,257,616
110020,2012,3920,8941
110020,2013,4102,8927
110020,2014,2959,9130
110020,2015,2115,9093
110020,2016,2304,8611
110020,2017,3564,8800
110020,2018,3221,8752
110020,2019,2398,8437
110025,2012,60,243
110025,2013,98,258
110025,2014,112,289
110025,2015,97,262
110025,2016,112,276
110025,2017,122,289
110025,2018,117,294
110025,2019,122,304
110026,2012,5,41
110026,2013,5,38
110026,2014,14,36
110026,2015,8,36
110026,2016,4,35
110026,2017,3,49
110026,2018,16,46
110026,2019,13,50
110028,2012,454,927
110028,2013,399,879
110028,2014,420,947
110028,2015,438,936
110028,2016,408,855
110028,2017,425,963
110028,2018,394,900
110028,2019,385,927
110029,2012,55,118
110029,2013,45,98
110029,2014,45,103
110029,2015,49,109
110029,2016,50,114
110029,2017,49,112
110029,2018,36,103
110029,2019,37,99
110030,2012,375,1269
110030,2013,597,1388
