CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total
110000,2012,0,2
110000,2013,4,16
110000,2014,0,4
110000,2015,0,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,40,386
110001,2013,32,382
110001,2014,26,341
110001,2015,20,373
110001,2016,25,326
110001,2017,14,354
110001,2018,22,408
110001,2019,14,367
110002,2012,85,1339
110002,2013,76,1654
110002,2014,47,1647
110002,2015,47,1783
110002,2016,98,1662
110002,2017,147,1724
110002,2018,51,1682
110002,2019,62,1729
110003,2012,6,64
110003,2013,3,74
110003,2014,3,75
110003,2015,4,86
110003,2016,1,73
110003,2017,1,67
110003,2018,0,82
110003,2019,0,80
110004,2012,42,1201
110004,2013,32,1185
110004,2014,30,1307
110004,2015,18,1360
110004,2016,12,1338
110004,2017,14,1452
110004,2018,15,1446
110004,2019,7,1374
110005,2012,17,245
110005,2013,12,271
110005,2014,7,250
110005,2015,14,277
110005,2016,3,263
110005,2017,0,277
110005,2018,2,264
110005,2019,0,237
110006,2012,14,214
110006,2013,13,256
110006,2014,1,273
110006,2015,1,251
110006,2016,5,223
110006,2017,5,243
110006,2018,1,235
110006,2019,1,214
110007,2012,8,116
110007,2013,9,116
110007,2014,4,125
110007,2015,5,111
110007,2016,1,139
110007,2017,2,87
110007,2018,6,129
110007,2019,2,127
110008,2012,20,234
110008,2013,17,234
110008,2014,17,267
110008,2015,5,245
110008,2016,10,213
110008,2017,9,216
110008,2018,6,246
110008,2019,10,233
110009,2012,27,476
110009,2013,26,463
110009,2014,33,496
110009,2015,15,548
110009,2016,17,486
110009,2017,18,533
110009,2018,15,476
110009,2019,13,450
110010,2012,120,940
110010,2013,60,879
110010,2014,48,923
110010,2015,38,831
110010,2016,51,884
110010,2017,36,842
110010,2018,43,926
110010,2019,17,781
110011,2012,35,808
110011,2013,48,914
110011,2014,13,867
110011,2015,14,788
110011,2016,9,807
110011,2017,10,846
110011,2018,12,911
110011,2019,23,881
110012,2012,90,2075
110012,2013,57,1971
110012,2014,41,1956
110012,2015,32,2094
110012,2016,62,1976
110012,2017,11,2050
110012,2018,31,2278
110012,2019,17,2182
110013,2012,53,542
110013,2013,32,514
110013,2014,35,507
110013,2015,27,480
110013,2016,24,398
110013,2017,31,449
110013,2018,15,517
110013,2019,22,500
110014,2012,20,271
110014,2013,23,278
110014,2014,18,254
110014,2015,19,256
110014,2016,4,276
110014,2017,5,224
110014,2018,1,290
110014,2019,5,261
110015,2012,33,647
110015,2013,39,639
110015,2014,31,674
110015,2015,5,767
110015,2016,12,582
110015,2017,19,578
110015,2018,8,614
110015,2019,5,631
110018,2012,11,553
110018,2013,12,581
110018,2014,16,597
110018,2015,7,594
110018,2016,5,601
110018,2017,2,615
110018,2018,6,651
110018,2019,7,616
110020,2012,398,8941
110020,2013,357,8927
110020,2014,428,9130
110020,2015,350,9093
110020,2016,248,8611
