CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total
110000,2012,1,2
110000,2013,9,16
110000,2014,1,4
110000,2015,1,4
110000,2016,1,2
110000,2018,2,2
110000,2019,0,1
110001,2012,161,386
110001,2013,145,382
110001,2014,134,341
110001,2015,128,373
110001,2016,113,326
110001,2017,105,354
110001,2018,115,408
110001,2019,90,367
110002,2012,471,1339
110002,2013,509,1654
110002,2014,426,1647
110002,2015,406,1783
110002,2016,552,1662
110002,2017,841,1724
110002,2018,498,1682
110002,2019,460,1729
110003,2012,25,64
110003,2013,26,74
110003,2014,19,75
110003,2015,19,86
110003,2016,13,73
110003,2017,14,67
110003,2018,6,82
110003,2019,7,80
110004,2012,264,1201
110004,2013,248,1185
110004,2014,196,1307
110004,2015,192,1360
110004,2016,154,1338
110004,2017,176,1452
110004,2018,147,1446
110004,2019,113,1374
110005,2012,66,245
110005,2013,70,271
110005,2014,53,250
110005,2015,67,277
110005,2016,39,263
110005,2017,47,277
110005,2018,38,264
110005,2019,36,237
110006,2012,72,214
110006,2013,59,256
110006,2014,46,273
110006,2015,36,251
110006,2016,30,223
110006,2017,21,243
110006,2018,19,235
110006,2019,17,214
110007,2012,50,116
110007,2013,43,116
110007,2014,44,125
110007,2015,35,111
110007,2016,36,139
110007,2017,16,87
110007,2018,27,129
110007,2019,22,127
110008,2012,118,234
110008,2013,82,234
110008,2014,90,267
110008,2015,66,245
110008,2016,56,213
110008,2017,63,216
110008,2018,63,246
110008,2019,65,233
110009,2012,168,476
110009,2013,151,463
110009,2014,179,496
110009,2015,220,548
110009,2016,201,486
110009,2017,219,533
110009,2018,158,476
110009,2019,119,450
110010,2012,529,940
110010,2013,377,879
110010,2014,381,923
110010,2015,273,831
110010,2016,257,884
110010,2017,261,842
110010,2018,302,926
110010,2019,156,781
110011,2012,266,808
110011,2013,247,914
110011,2014,171,867
110011,2015,144,788
110011,2016,150,807
110011,2017,153,846
110011,2018,130,911
110011,2019,129,881
110012,2012,641,2075
110012,2013,486,1971
110012,2014,294,1956
110012,2015,263,2094
110012,2016,432,1976
110012,2017,269,2050
110012,2018,370,2278
110012,2019,318,2182
110013,2012,218,542
110013,2013,181,514
110013,2014,172,507
110013,2015,173,480
110013,2016,152,398
110013,2017,184,449
110013,2018,162,517
110013,2019,163,500
110014,2012,121,271
110014,2013,116,278
110014,2014,85,254
110014,2015,85,256
110014,2016,63,276
110014,2017,59,224
110014,2018,57,290
110014,2019,40,261
110015,2012,217,647
110015,2013,219,639
110015,2014,196,674
110015,2015,88,767
110015,2016,99,582
110015,2017,135,578
110015,2018,128,614
110015,2019,103,631
110018,2012,130,553
110018,2013,185,581
110018,2014,151,597
110018,2015,116,594
110018,2016,76,601
110018,2017,107,615
110018,2018,107,651
110018,2019,96,616
110020,2012,2869,8941
110020,2013,2619,8927
110020,2014,3772,9130
110020,2015,2666,9093
110020,2016,2047,8611
110020,2017,1910,8800
110020,2018,1873,8752
110020,2019,1857,8437
110025,2012,95,243
110025,2013,84,258
110025,2014,63,289
110025,2015,48,262
110025,2016,60,276
110025,2017,41,289
110025,2018,38,294
110025,2019,42,304
110026,2012,22,41
110026,2013,19,38
110026,2014,9,36
110026,2015,11,36
110026,2016,12,35
110026,2017,30,49
110026,2018,18,46
110026,2019,19,50
110028,2012,254,927
110028,2013,224,879
110028,2014,252,947
110028,2015,215,936
110028,2016,212,855
110028,2017,226,963
110028,2018,201,900
110028,2019,140,927
110029,2012,31,118
110029,2013,24,98
110029,2014,31,103
110029,2015,34,109
110029,2016,22,114
110029,2017,26,112
110029,2018,27,103
110029,2019,18,99
110030,2012,261,1269
110030,2013,211,1388
110030,2014,207,1418
110030,2015,234,1535
110030,2016,173,1427
110030,2017,142,1465
110030,2018,136,1557
110030,2019,134,1590
110032,2012,133,313
110032,2013,110,355
110032,2014,108,364
110032,2015,56,311
110032,2016,60,337
110032,2017,65,372
110032,2018,75,391
110032,2019,65,353
110033,2012,179,383
110033,2013,206,416
110033,2014,192,425
110033,2015,164,404
110033,2016,156,411
110033,2017,153,487
110033,2018,153,482
110033,2019,99,432
110034,2012,70,189
110034,2013,72,220
110034,2014,36,184
110034,2015,31,200
110034,2016,38,166
110034,2017,32,178
110034,2018,25,162
110034,2019,35,205
110037,2012,92,189
110037,2013,70,163
110037,2014,80,172
110037,2015,59,149
110037,2016,57,168
110037,2017,67,172
110037,2018,56,160
110037,2019,45,154
110040,2012,89,194
110040,2013,96,211
110040,2014,94,254
110040,2015,75,247
110040,2016,82,220
110040,2017,137,242
110040,2018,83,219
110040,2019,87,226
110045,2012,243,555
110045,2013,247,598
110045,2014,240,620
110045,2015,222,608
110045,2016,223,624
110045,2017,173,632
110045,2018,170,617
110045,2019,120,583
110050,2012,49,125
110050,2013,38,122
110050,2014,31,93
110050,2015,36,109
110050,2016,31,95
110050,2017,31,91
110050,2018,31,111
110050,2019,15,98
110060,2012,31,61
110060,2013,24,63
110060,2014,12,58
110060,2015,22,72
110060,2016,19,67
110060,2017,41,71
110060,2018,24,80
110060,2019,21,75
110070,2012,85,164
110070,2013,89,183
110070,2014,86,181
110070,2015,57,156
110070,2016,69,162
110070,2017,65,174
110070,2018,66,195
110070,2019,44,166
110080,2012,205,430
110080,2013,181,405
110080,2014,113,296
110080,2015,154,323
110080,2016,138,372
110080,2017,138,397
110080,2018,134,421
110080,2019,108,337
110090,2012,21,53
110090,2013,9,36
110090,2014,12,46
110090,2015,12,52
110090,2016,12,55
110090,2017,9,39
110090,2018,14,56
110090,2019,6,32
110092,2012,35,118
110092,2013,43,158
110092,2014,44,158
110092,2015,43,154
110092,2016,31,153
110092,2017,19,169
110092,2018,29,181
110092,2019,28,162
110094,2012,89,161
110094,2013,90,203
110094,2014,91,240
110094,2015,118,274
110094,2016,94,241
110094,2017,117,209
110094,2018,83,229
110094,2019,69,205
110100,2012,51,133
110100,2013,41,116
110100,2014,44,124
110100,2015,35,132
110100,2016,24,112
110100,2017,23,109
110100,2018,15,133
110100,2019,24,112
110110,2012,56,114
110110,2013,59,123
110110,2014,43,97
110110,2015,41,112
110110,2016,50,129
110110,2017,39,95
110110,2018,31,92
110110,2019,47,109
110120,2012,47,100
110120,2013,33,104
110120,2014,26,107
110120,2015,23,93
110120,2016,29,93
110120,2017,8,100
110120,2018,12,92
110120,2019,13,84
110130,2012,65,148
110130,2013,39,122
110130,2014,44,137
110130,2015,30,179
110130,2016,43,148
110130,2017,41,156
110130,2018,30,160
110130,2019,35,164
110140,2012,89,170
110140,2013,94,223
110140,2014,71,204
110140,2015,70,240
110140,2016,57,173
110140,2017,81,200
110140,2018,83,220
110140,2019,59,199
110143,2012,34,99
110143,2013,37,82
110143,2014,31,110
110143,2015,19,73
110143,2016,20,90
110143,2017,32,94
110143,2018,21,87
110143,2019,18,104
110145,2012,28,63
110145,2013,24,55
110145,2014,18,49
110145,2015,12,54
110145,2016,18,50
110145,2017,16,51
110145,2018,13,53
110145,2019,8,44
110146,2012,27,51
110146,2013,11,42
110146,2014,15,37
110146,2015,12,52
110146,2016,6,34
110146,2017,8,52
110146,2018,5,52
110146,2019,4,40
110147,2012,13,43
110147,2013,11,39
110147,2014,16,47
110147,2015,8,40
110147,2016,8,56
110147,2017,10,63
110147,2018,9,38
110147,2019,9,43
110148,2012,16,64
110148,2013,14,61
110148,2014,20,59
110148,2015,14,73
110148,2016,12,54
110148,2017,11,75
110148,2018,5,54
110148,2019,7,54
110149,2012,105,246
110149,2013,58,266
110149,2014,69,308
110149,2015,62,319
110149,2016,70,305
110149,2017,72,333
110149,2018,75,327
110149,2019,57,303
110150,2012,85,190
110150,2013,84,184
110150,2014,59,170
110150,2015,51,188
110150,2016,41,171
110150,2017,40,188
110150,2018,41,154
110150,2019,34,168
110155,2012,25,57
110155,2013,32,80
110155,2014,25,69
110155,2015,10,71
110155,2016,15,59
110155,2017,13,58
110155,2018,12,60
110155,2019,16,64
110160,2012,47,133
110160,2013,43,106
110160,2014,30,125
110160,2015,25,107
110160,2016,32,131
110160,2017,33,146
110160,2018,26,131
110160,2019,19,97
110170,2012,65,146
110170,2013,68,150
110170,2014,50,122
110170,2015,35,138
110170,2016,40,151
110170,2017,24,150
110170,2018,41,139
110170,2019,36,170
110175,2012,37,86
110175,2013,36,89
110175,2014,43,128
110175,2015,19,106
110175,2016,42,110
110175,2017,23,86
110175,2018,25,91
110175,2019,27,93
110180,2012,38,83
110180,2013,50,107
110180,2014,23,90
110180,2015,10,63
110180,2016,26,98
110180,2017,25,79
110180,2018,20,95
110180,2019,17,81
120000,2012,0,1
120001,2012,142,253
120001,2013,117,258
120001,2014,133,269
120001,2015,98,217
120001,2016,99,222
120001,2017,111,256
120001,2018,97,216
120001,2019,132,257
120005,2012,139,219
120005,2013,138,213
120005,2014,125,196
120005,2015,168,238
120005,2016,124,190
120005,2017,143,248
120005,2018,143,264
120005,2019,150,266
120010,2012,154,505
120010,2013,262,530
120010,2014,337,547
120010,2015,314,531
120010,2016,242,490
120010,2017,255,570
120010,2018,231,540
120010,2019,206,540
120013,2012,105,198
120013,2013,100,202
120013,2014,131,242
120013,2015,125,248
120013,2016,121,248
120013,2017,158,307
120013,2018,154,306
120013,2019,172,329
120017,2012,102,201
120017,2013,97,193
120017,2014,132,234
120017,2015,105,219
120017,2016,91,194
120017,2017,126,243
120017,2018,118,222
120017,2019,117,217
120020,2012,626,1741
120020,2013,521,1783
120020,2014,481,1818
120020,2015,711,1839
120020,2016,387,1632
120020,2017,334,1684
120020,2018,284,1756
120020,2019,250,1809
120025,2012,88,282
120025,2013,102,275
120025,2014,116,262
120025,2015,150,279
120025,2016,104,270
120025,2017,116,291
120025,2018,98,273
120025,2019,117,314
120030,2012,585,904
120030,2013,515,791
120030,2014,559,829
120030,2015,424,772
120030,2016,463,834
120030,2017,421,833
120030,2018,400,833
120030,2019,365,871
120032,2012,214,269
120032,2013,217,271
120032,2014,190,282
120032,2015,194,273
120032,2016,151,263
120032,2017,145,266
120032,2018,149,274
120032,2019,121,218
120033,2012,167,386
120033,2013,155,399
120033,2014,123,413
120033,2015,162,395
120033,2016,110,325
120033,2017,96,358
120033,2018,75,367
120033,2019,66,345
120034,2012,195,256
120034,2013,157,229
120034,2014,176,243
120034,2015,189,266
120034,2016,153,236
120034,2017,148,261
120034,2018,164,252
120034,2019,146,230
120035,2012,308,474
120035,2013,293,485
120035,2014,260,458
120035,2015,253,445
120035,2016,199,352
120035,2017,166,388
120035,2018,169,407
120035,2019,180,448
120038,2012,190,353
120038,2013,158,334
120038,2014,164,322
120038,2015,163,350
120038,2016,146,339
120038,2017,138,305
120038,2018,151,309
120038,2019,150,318
120039,2012,178,338
120039,2013,178,287
120039,2014,159,250
120039,2015,144,262
120039,2016,112,230
120039,2017,128,282
120039,2018,91,254
120039,2019,78,270
120040,2012,2100,6531
120040,2013,2135,7116
120040,2014,2169,7011
120040,2015,2134,6965
120040,2016,1995,6614
120040,2017,1860,6460
120040,2018,1911,6495
120040,2019,1986,6324
120042,2012,210,390
120042,2013,176,363
120042,2014,159,394
120042,2015,193,396
120042,2016,119,304
120042,2017,125,366
120042,2018,129,394
120042,2019,88,334
120043,2012,224,259
120043,2013,185,223
120043,2014,153,185
120043,2015,117,150
120043,2016,63,95
120043,2017,107,198
120043,2018,93,207
120043,2019,121,186
120045,2012,176,396
120045,2013,161,425
120045,2014,194,453
120045,2015,209,443
120045,2016,179,410
120045,2017,155,395
120045,2018,199,476
120045,2019,192,417
120050,2012,556,929
120050,2013,533,904
120050,2014,452,827
120050,2015,449,847
120050,2016,383,762
120050,2017,353,780
120050,2018,383,788
120050,2019,345,768
120060,2012,653,1158
120060,2013,679,1138
120060,2014,708,1230
120060,2015,630,1165
120060,2016,544,1078
120060,2017,550,1132
120060,2018,555,1193
120060,2019,487,1143
120070,2012,172,311
120070,2013,159,294
120070,2014,194,306
120070,2015,158,322
120070,2016,152,329
120070,2017,129,305
120070,2018,156,325
120070,2019,157,297
120080,2012,207,346
120080,2013,207,362
120080,2014,208,368
120080,2015,193,358
120080,2016,194,356
120080,2017,199,430
120080,2018,198,392
120080,2019,191,379
130000,2012,3,8
130000,2013,8,18
130000,2014,2,23
130000,2015,1,18
130000,2016,7,25
130000,2017,8,17
130000,2018,4,25
130000,2019,1,12
130002,2012,194,320
130002,2013,174,346
130002,2014,164,308
130002,2015,179,342
130002,2016,126,325
130002,2017,155,401
130002,2018,112,346
130002,2019,140,418
130006,2012,169,242
130006,2013,175,261
130006,2014,161,264
130006,2015,88,214
130006,2016,151,280
130006,2017,121,267
130006,2018,121,247
130006,2019,97,265
130008,2012,91,199
130008,2013,75,201
130008,2014,64,212
130008,2015,48,163
130008,2016,49,182
130008,2017,43,196
130008,2018,63,214
130008,2019,30,190
130010,2012,115,247
130010,2013,104,285
130010,2014,90,267
130010,2015,72,255
130010,2016,80,266
130010,2017,57,257
130010,2018,51,247
130010,2019,57,233
130014,2012,101,195
130014,2013,83,223
130014,2014,74,223
130014,2015,65,204
130014,2016,63,211
130014,2017,54,233
130014,2018,63,242
130014,2019,57,239
130020,2012,276,357
130020,2013,249,354
130020,2014,266,435
130020,2015,254,439
130020,2016,251,380
130020,2017,257,382
130020,2018,233,357
130020,2019,194,313
130030,2012,442,877
130030,2013,306,877
130030,2014,320,955
130030,2015,299,829
130030,2016,319,890
130030,2017,283,897
130030,2018,309,948
130030,2019,268,872
130040,2012,304,469
130040,2013,272,480
130040,2014,175,419
130040,2015,132,505
130040,2016,202,496
130040,2017,286,524
130040,2018,331,570
130040,2019,306,556
130050,2012,386,707
130050,2013,406,769
130050,2014,353,756
130050,2015,348,815
130050,2016,351,810
130050,2017,362,870
130050,2018,347,851
130050,2019,320,857
130060,2012,575,1053
130060,2013,475,1036
130060,2014,510,1077
130060,2015,369,968
130060,2016,397,1021
130060,2017,395,1039
130060,2018,312,985
130060,2019,317,1030
130063,2012,291,427
130063,2013,261,428
130063,2014,288,488
130063,2015,243,489
130063,2016,259,510
130063,2017,281,597
130063,2018,219,501
130063,2019,208,525
130068,2012,112,260
130068,2013,111,321
130068,2014,87,328
130068,2015,81,369
130068,2016,82,312
130068,2017,76,319
130068,2018,61,318
130068,2019,54,330
130070,2012,440,741
130070,2013,422,763
130070,2014,407,734
130070,2015,323,695
130070,2016,334,653
130070,2017,351,771
130070,2018,331,739
130070,2019,290,725
130080,2012,407,690
130080,2013,372,705
130080,2014,282,711
130080,2015,300,725
130080,2016,235,663
130080,2017,309,797
130080,2018,256,789
130080,2019,214,763
130083,2012,74,138
130083,2013,108,203
130083,2014,97,204
130083,2015,81,173
130083,2016,91,183
130083,2017,68,216
130083,2018,64,188
130083,2019,63,169
130090,2012,140,213
130090,2013,104,196
130090,2014,132,231
130090,2015,107,219
130090,2016,104,217
130090,2017,94,191
130090,2018,98,222
130090,2019,81,192
130100,2012,324,656
130100,2013,321,633
130100,2014,302,658
130100,2015,264,628
130100,2016,246,625
130100,2017,220,626
130100,2018,207,636
130100,2019,192,635
130110,2012,220,414
130110,2013,219,442
130110,2014,215,474
130110,2015,184,419
130110,2016,184,481
130110,2017,183,512
130110,2018,206,550
130110,2019,174,564
130115,2012,84,171
130115,2013,78,168
130115,2014,78,208
130115,2015,72,215
130115,2016,83,199
130115,2017,77,237
130115,2018,55,275
130115,2019,52,198
130120,2012,802,1668
130120,2013,939,1750
130120,2014,653,1704
130120,2015,692,1744
130120,2016,580,1646
130120,2017,518,1656
130120,2018,503,1747
130120,2019,468,1698
130130,2012,198,432
130130,2013,185,424
130130,2014,182,426
130130,2015,195,434
130130,2016,180,404
130130,2017,161,439
130130,2018,174,429
130130,2019,151,468
130140,2012,532,833
130140,2013,465,852
130140,2014,492,852
130140,2015,430,825
130140,2016,361,787
130140,2017,340,854
130140,2018,366,830
130140,2019,332,792
130150,2012,181,314
130150,2013,228,366
130150,2014,218,386
130150,2015,219,412
130150,2016,204,369
130150,2017,221,424
130150,2018,168,369
130150,2019,180,391
130160,2012,269,520
130160,2013,258,556
130160,2014,228,606
130160,2015,273,670
130160,2016,233,573
130160,2017,238,630
130160,2018,236,621
130160,2019,184,579
130165,2012,209,360
130165,2013,167,329
130165,2014,165,356
130165,2015,187,334
130165,2016,141,284
130165,2017,120,326
130165,2018,87,293
130165,2019,64,285
130170,2012,461,847
130170,2013,408,902
130170,2014,408,970
130170,2015,334,941
130170,2016,321,977
130170,2017,293,1001
130170,2018,272,1006
130170,2019,247,978
130180,2012,355,439
130180,2013,332,407
130180,2014,311,406
130180,2015,357,441
130180,2016,300,389
130180,2017,324,409
130180,2018,266,413
130180,2019,187,376
130185,2012,402,898
130185,2013,331,849
130185,2014,356,873
130185,2015,351,867
130185,2016,322,928
130185,2017,269,941
130185,2018,231,945
130185,2019,229,1021
130190,2012,763,2019
130190,2013,697,2085
130190,2014,646,2068
130190,2015,586,2078
130190,2016,505,2028
130190,2017,457,1985
130190,2018,449,2068
130190,2019,362,2034
130195,2012,126,197
130195,2013,164,260
130195,2014,162,260
130195,2015,182,293
130195,2016,157,263
130195,2017,139,245
130195,2018,167,303
130195,2019,114,247
130200,2012,35,199
130200,2013,34,184
130200,2014,36,154
130200,2015,29,148
130200,2016,19,187
130200,2017,20,165
130200,2018,38,171
130200,2019,26,173
130210,2012,75,142
130210,2013,82,130
130210,2014,82,148
130210,2015,62,169
