CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total
110000,2012,0,2
110000,2013,0,16
110000,2014,0,4
110000,2015,0,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,7,386
110001,2013,4,382
110001,2014,9,341
110001,2015,9,373
110001,2016,7,326
110001,2017,7,354
110001,2018,8,408
110001,2019,6,367
110002,2012,22,1339
110002,2013,34,1654
110002,2014,19,1647
110002,2015,19,1783
110002,2016,32,1662
110002,2017,24,1724
110002,2018,31,1682
110002,2019,19,1729
110003,2012,0,64
110003,2013,0,74
110003,2014,0,75
110003,2015,2,86
110003,2016,4,73
110003,2017,4,67
110003,2018,2,82
110003,2019,0,80
110004,2012,26,1201
110004,2013,15,1185
110004,2014,27,1307
110004,2015,27,1360
110004,2016,20,1338
110004,2017,26,1452
110004,2018,26,1446
110004,2019,10,1374
110005,2012,5,245
110005,2013,2,271
110005,2014,1,250
110005,2015,9,277
110005,2016,6,263
110005,2017,9,277
110005,2018,5,264
110005,2019,3,237
110006,2012,2,214
110006,2013,5,256
110006,2014,10,273
110006,2015,5,251
110006,2016,4,223
110006,2017,0,243
110006,2018,8,235
110006,2019,10,214
110007,2012,2,116
110007,2013,2,116
110007,2014,4,125
110007,2015,0,111
110007,2016,4,139
110007,2017,1,87
110007,2018,1,129
110007,2019,0,127
110008,2012,0,234
110008,2013,3,234
110008,2014,4,267
110008,2015,2,245
110008,2016,3,213
110008,2017,4,216
110008,2018,4,246
110008,2019,4,233
110009,2012,8,476
110009,2013,5,463
110009,2014,8,496
110009,2015,0,548
110009,2016,8,486
110009,2017,9,533
110009,2018,2,476
110009,2019,8,450
110010,2012,17,940
110010,2013,3,879
110010,2014,10,923
110010,2015,13,831
110010,2016,8,884
110010,2017,13,842
110010,2018,8,926
110010,2019,8,781
110011,2012,15,808
110011,2013,15,914
110011,2014,6,867
110011,2015,17,788
110011,2016,14,807
110011,2017,18,846
110011,2018,17,911
110011,2019,16,881
110012,2012,19,2075
110012,2013,34,1971
110012,2014,32,1956
110012,2015,31,2094
110012,2016,40,1976
110012,2017,30,2050
110012,2018,57,2278
110012,2019,19,2182
110013,2012,16,542
110013,2013,11,514
110013,2014,6,507
110013,2015,7,480
110013,2016,8,398
110013,2017,6,449
110013,2018,13,517
110013,2019,10,500
110014,2012,9,271
110014,2013,4,278
110014,2014,2,254
110014,2015,4,256
110014,2016,0,276
110014,2017,3,224
110014,2018,16,290
110014,2019,4,261
110015,2012,6,647
110015,2013,2,639
110015,2014,13,674
110015,2015,14,767
110015,2016,8,582
110015,2017,7,578
110015,2018,6,614
