CODMUNRES,ano_nasc,Qtd_Ao_Menos_1_Consulta_Pre_Natal,Qtd_Total
110000,2012,2,2
110000,2013,0,16
110000,2014,3,4
110000,2015,4,4
110000,2016,2,2
110000,2018,2,2
110000,2019,0,1
110001,2012,381,386
110001,2013,0,382
110001,2014,338,341
110001,2015,361,373
110001,2016,321,326
110001,2017,333,354
110001,2018,405,408
110001,2019,362,367
110002,2012,1259,1339
110002,2013,0,1654
110002,2014,1594,1647
110002,2015,1271,1783
110002,2016,305,1662
110002,2017,224,1724
110002,2018,1310,1682
110002,2019,1706,1729
110003,2012,54,64
110003,2013,0,74
110003,2014,72,75
110003,2015,82,86
110003,2016,72,73
110003,2017,64,67
110003,2018,82,82
110003,2019,80,80
110004,2012,1169,1201
110004,2013,0,1185
110004,2014,1288,1307
110004,2015,1340,1360
110004,2016,1320,1338
110004,2017,1432,1452
110004,2018,1441,1446
110004,2019,1364,1374
110005,2012,175,245
110005,2013,0,271
110005,2014,248,250
110005,2015,266,277
110005,2016,261,263
110005,2017,273,277
110005,2018,259,264
110005,2019,234,237
110006,2012,105,214
110006,2013,0,256
110006,2014,267,273
110006,2015,251,251
110006,2016,222,223
110006,2017,238,243
110006,2018,235,235
110006,2019,211,214
110007,2012,82,116
110007,2013,0,116
110007,2014,122,125
110007,2015,107,111
110007,2016,138,139
110007,2017,85,87
110007,2018,127,129
110007,2019,126,127
110008,2012,207,234
110008,2013,0,234
110008,2014,262,267
110008,2015,240,245
110008,2016,207,213
110008,2017,211,216
110008,2018,243,246
110008,2019,231,233
110009,2012,468,476
110009,2013,0,463
110009,2014,486,496
110009,2015,545,548
110009,2016,483,486
110009,2017,531,533
110009,2018,474,476
110009,2019,442,450
110010,2012,913,940
110010,2013,0,879
110010,2014,787,923
110010,2015,787,831
110010,2016,838,884
110010,2017,763,842
110010,2018,826,926
110010,2019,733,781
110011,2012,732,808
110011,2013,0,914
110011,2014,849,867
110011,2015,766,788
110011,2016,769,807
110011,2017,799,846
110011,2018,900,911
110011,2019,871,881
110012,2012,1983,2075
110012,2013,0,1971
110012,2014,1929,1956
110012,2015,2060,2094
110012,2016,1944,1976
110012,2017,2022,2050
110012,2018,2246,2278
110012,2019,2148,2182
110013,2012,517,542
110013,2013,0,514
110013,2014,499,507
110013,2015,436,480
110013,2016,279,398
110013,2017,293,449
110013,2018,479,517
110013,2019,491,500
110014,2012,269,271
110014,2013,0,278
110014,2014,254,254
110014,2015,253,256
110014,2016,273,276
110014,2017,224,224
110014,2018,286,290
110014,2019,260,261
110015,2012,511,647
110015,2013,0,639
110015,2014,656,674
110015,2015,747,767
110015,2016,574,582
110015,2017,569,578
110015,2018,607,614
110015,2019,626,631
110018,2012,539,553
110018,2013,0,581
110018,2014,593,597
110018,2015,587,594
110018,2016,595,601
110018,2017,614,615
110018,2018,649,651
110018,2019,614,616
110020,2012,7773,8941
110020,2013,0,8927
110020,2014,5808,9130
110020,2015,8007,9093
110020,2016,7700,8611
110020,2017,7990,8800
110020,2018,8129,8752
110020,2019,7772,8437
110025,2012,192,243
110025,2013,0,258
110025,2014,289,289
110025,2015,258,262
110025,2016,275,276
110025,2017,287,289
110025,2018,290,294
110025,2019,302,304
110026,2012,37,41
110026,2013,0,38
110026,2014,35,36
110026,2015,21,36
110026,2016,10,35
110026,2017,6,49
110026,2018,41,46
110026,2019,50,50
110028,2012,915,927
110028,2013,0,879
110028,2014,939,947
110028,2015,931,936
110028,2016,851,855
110028,2017,957,963
110028,2018,884,900
110028,2019,906,927
110029,2012,105,118
110029,2013,0,98
110029,2014,103,103
110029,2015,108,109
110029,2016,113,114
110029,2017,111,112
110029,2018,102,103
110029,2019,97,99
110030,2012,965,1269
110030,2013,0,1388
110030,2014,1412,1418
110030,2015,1526,1535
110030,2016,1419,1427
110030,2017,1451,1465
110030,2018,1550,1557
110030,2019,1576,1590
110032,2012,307,313
110032,2013,0,355
110032,2014,360,364
110032,2015,305,311
110032,2016,337,337
110032,2017,367,372
110032,2018,387,391
110032,2019,351,353
110033,2012,373,383
110033,2013,0,416
110033,2014,392,425
110033,2015,384,404
110033,2016,395,411
110033,2017,452,487
110033,2018,447,482
110033,2019,406,432
110034,2012,108,189
110034,2013,0,220
110034,2014,183,184
110034,2015,196,200
110034,2016,163,166
110034,2017,177,178
110034,2018,161,162
110034,2019,197,205
110037,2012,187,189
110037,2013,0,163
110037,2014,172,172
110037,2015,148,149
110037,2016,167,168
110037,2017,172,172
110037,2018,158,160
110037,2019,151,154
110040,2012,185,194
110040,2013,0,211
110040,2014,246,254
110040,2015,187,247
110040,2016,55,220
110040,2017,48,242
110040,2018,171,219
110040,2019,222,226
110045,2012,540,555
110045,2013,0,598
110045,2014,608,620
110045,2015,596,608
110045,2016,606,624
110045,2017,603,632
110045,2018,606,617
110045,2019,577,583
110050,2012,124,125
110050,2013,0,122
110050,2014,93,93
110050,2015,107,109
110050,2016,95,95
110050,2017,90,91
110050,2018,110,111
110050,2019,92,98
110060,2012,57,61
110060,2013,0,63
110060,2014,57,58
110060,2015,47,72
110060,2016,15,67
110060,2017,19,71
110060,2018,66,80
110060,2019,71,75
110070,2012,160,164
110070,2013,0,183
110070,2014,180,181
110070,2015,147,156
110070,2016,138,162
110070,2017,134,174
110070,2018,179,195
110070,2019,165,166
110080,2012,391,430
110080,2013,0,405
110080,2014,245,296
110080,2015,293,323
110080,2016,330,372
110080,2017,362,397
110080,2018,395,421
110080,2019,313,337
110090,2012,53,53
110090,2013,0,36
110090,2014,46,46
110090,2015,52,52
110090,2016,55,55
110090,2017,38,39
110090,2018,56,56
110090,2019,32,32
110092,2012,102,118
110092,2013,0,158
110092,2014,154,158
110092,2015,151,154
110092,2016,152,153
110092,2017,166,169
110092,2018,174,181
110092,2019,156,162
110094,2012,141,161
110094,2013,0,203
110094,2014,230,240
110094,2015,235,274
110094,2016,139,241
110094,2017,94,209
110094,2018,189,229
110094,2019,200,205
110100,2012,120,133
110100,2013,0,116
110100,2014,119,124
110100,2015,126,132
110100,2016,108,112
110100,2017,103,109
110100,2018,133,133
110100,2019,111,112
110110,2012,92,114
110110,2013,0,123
110110,2014,96,97
110110,2015,99,112
110110,2016,110,129
110110,2017,77,95
110110,2018,84,92
110110,2019,101,109
110120,2012,96,100
110120,2013,0,104
110120,2014,107,107
110120,2015,93,93
110120,2016,93,93
110120,2017,97,100
110120,2018,92,92
110120,2019,84,84
110130,2012,120,148
110130,2013,0,122
110130,2014,136,137
110130,2015,178,179
110130,2016,147,148
110130,2017,150,156
110130,2018,159,160
110130,2019,162,164
110140,2012,162,170
110140,2013,0,223
110140,2014,202,204
110140,2015,198,240
110140,2016,94,173
110140,2017,108,200
110140,2018,190,220
110140,2019,196,199
110143,2012,72,99
110143,2013,0,82
110143,2014,109,110
110143,2015,70,73
110143,2016,87,90
110143,2017,87,94
110143,2018,86,87
110143,2019,102,104
110145,2012,63,63
110145,2013,0,55
110145,2014,49,49
110145,2015,53,54
110145,2016,50,50
110145,2017,51,51
110145,2018,53,53
110145,2019,42,44
110146,2012,27,51
110146,2013,0,42
110146,2014,36,37
110146,2015,47,52
110146,2016,32,34
110146,2017,52,52
110146,2018,52,52
110146,2019,39,40
110147,2012,43,43
110147,2013,0,39
110147,2014,47,47
110147,2015,40,40
110147,2016,56,56
110147,2017,63,63
110147,2018,38,38
110147,2019,43,43
110148,2012,64,64
110148,2013,0,61
110148,2014,58,59
110148,2015,73,73
110148,2016,53,54
110148,2017,73,75
110148,2018,54,54
110148,2019,53,54
110149,2012,150,246
110149,2013,0,266
110149,2014,304,308
110149,2015,316,319
110149,2016,301,305
110149,2017,328,333
110149,2018,323,327
110149,2019,303,303
110150,2012,185,190
110150,2013,0,184
110150,2014,167,170
110150,2015,188,188
110150,2016,170,171
110150,2017,187,188
110150,2018,151,154
110150,2019,166,168
110155,2012,43,57
110155,2013,0,80
110155,2014,69,69
110155,2015,70,71
110155,2016,59,59
110155,2017,56,58
110155,2018,58,60
110155,2019,63,64
110160,2012,119,133
110160,2013,0,106
110160,2014,121,125
110160,2015,106,107
110160,2016,121,131
110160,2017,139,146
110160,2018,125,131
110160,2019,95,97
110170,2012,117,146
110170,2013,0,150
110170,2014,119,122
110170,2015,133,138
110170,2016,146,151
110170,2017,143,150
110170,2018,132,139
110170,2019,163,170
110175,2012,83,86
110175,2013,0,89
110175,2014,128,128
110175,2015,101,106
110175,2016,104,110
110175,2017,81,86
110175,2018,90,91
110175,2019,90,93
110180,2012,70,83
110180,2013,0,107
110180,2014,89,90
110180,2015,61,63
110180,2016,94,98
110180,2017,75,79
110180,2018,93,95
110180,2019,80,81
120000,2012,1,1
120001,2012,248,253
120001,2013,0,258
120001,2014,250,269
120001,2015,207,217
120001,2016,219,222
120001,2017,253,256
120001,2018,214,216
120001,2019,256,257
120005,2012,177,219
120005,2013,0,213
120005,2014,164,196
120005,2015,213,238
120005,2016,170,190
120005,2017,163,248
120005,2018,161,264
120005,2019,141,266
120010,2012,477,505
120010,2013,0,530
120010,2014,444,547
120010,2015,486,531
120010,2016,472,490
120010,2017,552,570
120010,2018,533,540
120010,2019,531,540
120013,2012,198,198
120013,2013,0,202
120013,2014,235,242
