CODMUNRES,ano_nasc,Qtd_Mais_de_5_Consultas_Pre_Natal,Qtd_Total
110000,2012,2,2
110000,2013,0,16
110000,2014,1,4
110000,2015,3,4
110000,2016,2,2
110000,2018,0,2
110000,2019,0,1
110001,2012,306,386
110001,2013,0,382
110001,2014,278,341
110001,2015,297,373
110001,2016,269,326
110001,2017,288,354
110001,2018,344,408
110001,2019,306,367
110002,2012,1017,1339
110002,2013,0,1654
110002,2014,1160,1647
110002,2015,954,1783
110002,2016,210,1662
110002,2017,181,1724
110002,2018,1076,1682
110002,2019,1451,1729
110003,2012,38,64
110003,2013,0,74
110003,2014,52,75
110003,2015,71,86
110003,2016,61,73
110003,2017,52,67
110003,2018,76,82
110003,2019,77,80
110004,2012,946,1201
110004,2013,0,1185
110004,2014,1017,1307
110004,2015,1128,1360
110004,2016,1147,1338
110004,2017,1255,1452
110004,2018,1259,1446
110004,2019,1187,1374
110005,2012,140,245
110005,2013,0,271
110005,2014,184,250
110005,2015,235,277
110005,2016,223,263
110005,2017,240,277
110005,2018,230,264
110005,2019,206,237
110006,2012,91,214
110006,2013,0,256
110006,2014,236,273
110006,2015,215,251
110006,2016,201,223
110006,2017,223,243
110006,2018,202,235
110006,2019,186,214
110007,2012,54,116
110007,2013,0,116
110007,2014,90,125
110007,2015,96,111
110007,2016,114,139
110007,2017,78,87
110007,2018,114,129
110007,2019,118,127
110008,2012,155,234
110008,2013,0,234
110008,2014,217,267
110008,2015,203,245
110008,2016,162,213
110008,2017,182,216
110008,2018,217,246
110008,2019,204,233
110009,2012,367,476
110009,2013,0,463
110009,2014,387,496
110009,2015,457,548
110009,2016,387,486
110009,2017,443,533
110009,2018,374,476
110009,2019,364,450
110010,2012,228,940
110010,2013,0,879
110010,2014,473,923
110010,2015,476,831
110010,2016,447,884
110010,2017,394,842
110010,2018,464,926
110010,2019,420,781
110011,2012,580,808
110011,2013,0,914
110011,2014,712,867
110011,2015,648,788
110011,2016,670,807
110011,2017,710,846
110011,2018,828,911
110011,2019,812,881
110012,2012,1462,2075
110012,2013,0,1971
110012,2014,1425,1956
110012,2015,1653,2094
110012,2016,1608,1976
110012,2017,1713,2050
110012,2018,1962,2278
110012,2019,1901,2182
110013,2012,409,542
110013,2013,0,514
110013,2014,383,507
110013,2015,363,480
110013,2016,229,398
110013,2017,243,449
110013,2018,415,517
110013,2019,416,500
110014,2012,211,271
110014,2013,0,278
110014,2014,212,254
110014,2015,213,256
110014,2016,222,276
110014,2017,187,224
110014,2018,248,290
110014,2019,238,261
110015,2012,418,647
110015,2013,0,639
110015,2014,549,674
110015,2015,655,767
110015,2016,502,582
110015,2017,494,578
110015,2018,506,614
110015,2019,558,631
110018,2012,448,553
110018,2013,0,581
110018,2014,488,597
110018,2015,491,594
110018,2016,503,601
110018,2017,533,615
110018,2018,556,651
110018,2019,528,616
110020,2012,5360,8941
110020,2013,0,8927
110020,2014,4025,9130
110020,2015,5703,9093
110020,2016,5616,8611
110020,2017,5890,8800
110020,2018,5947,8752
110020,2019,5712,8437
110025,2012,158,243
110025,2013,0,258
110025,2014,245,289
110025,2015,219,262
110025,2016,228,276
110025,2017,252,289
110025,2018,252,294
110025,2019,271,304
110026,2012,31,41
110026,2013,0,38
110026,2014,27,36
110026,2015,15,36
110026,2016,10,35
110026,2017,5,49
110026,2018,35,46
110026,2019,41,50
110028,2012,738,927
110028,2013,0,879
110028,2014,713,947
110028,2015,765,936
110028,2016,688,855
110028,2017,795,963
110028,2018,753,900
110028,2019,781,927
110029,2012,91,118
110029,2013,0,98
110029,2014,91,103
110029,2015,100,109
110029,2016,98,114
110029,2017,100,112
110029,2018,92,103
110029,2019,88,99
110030,2012,821,1269
110030,2013,0,1388
110030,2014,1118,1418
110030,2015,1313,1535
110030,2016,1190,1427
110030,2017,1245,1465
110030,2018,1334,1557
110030,2019,1395,1590
110032,2012,265,313
110032,2013,0,355
110032,2014,308,364
110032,2015,240,311
110032,2016,284,337
110032,2017,332,372
110032,2018,338,391
110032,2019,302,353
110033,2012,184,383
110033,2013,0,416
110033,2014,266,425
110033,2015,284,404
110033,2016,295,411
110033,2017,329,487
110033,2018,342,482
110033,2019,310,432
110034,2012,89,189
110034,2013,0,220
110034,2014,146,184
110034,2015,143,200
110034,2016,133,166
110034,2017,151,178
110034,2018,149,162
110034,2019,173,205
110037,2012,166,189
110037,2013,0,163
110037,2014,143,172
110037,2015,133,149
110037,2016,149,168
110037,2017,154,172
110037,2018,140,160
110037,2019,137,154
110040,2012,155,194
110040,2013,0,211
110040,2014,200,254
110040,2015,155,247
110040,2016,45,220
110040,2017,41,242
110040,2018,141,219
110040,2019,197,226
110045,2012,462,555
110045,2013,0,598
110045,2014,502,620
110045,2015,518,608
110045,2016,499,624
110045,2017,513,632
110045,2018,538,617
110045,2019,523,583
110050,2012,108,125
110050,2013,0,122
110050,2014,77,93
110050,2015,96,109
110050,2016,84,95
110050,2017,77,91
110050,2018,99,111
110050,2019,83,98
110060,2012,52,61
110060,2013,0,63
110060,2014,42,58
110060,2015,37,72
110060,2016,11,67
110060,2017,16,71
110060,2018,58,80
110060,2019,62,75
110070,2012,133,164
110070,2013,0,183
110070,2014,155,181
110070,2015,115,156
110070,2016,119,162
110070,2017,115,174
110070,2018,155,195
110070,2019,144,166
110080,2012,268,430
110080,2013,0,405
110080,2014,181,296
110080,2015,221,323
110080,2016,256,372
110080,2017,267,397
110080,2018,312,421
110080,2019,249,337
110090,2012,42,53
110090,2013,0,36
110090,2014,38,46
110090,2015,42,52
110090,2016,46,55
110090,2017,33,39
110090,2018,51,56
110090,2019,28,32
110092,2012,63,118
110092,2013,0,158
110092,2014,124,158
110092,2015,127,154
110092,2016,126,153
110092,2017,143,169
110092,2018,141,181
110092,2019,123,162
110094,2012,105,161
110094,2013,0,203
110094,2014,165,240
110094,2015,172,274
110094,2016,104,241
110094,2017,76,209
110094,2018,159,229
110094,2019,173,205
110100,2012,107,133
110100,2013,0,116
110100,2014,105,124
110100,2015,116,132
110100,2016,103,112
110100,2017,95,109
110100,2018,121,133
110100,2019,103,112
110110,2012,72,114
110110,2013,0,123
110110,2014,76,97
110110,2015,82,112
110110,2016,93,129
110110,2017,73,95
110110,2018,73,92
110110,2019,93,109
110120,2012,89,100
110120,2013,0,104
110120,2014,100,107
110120,2015,84,93
110120,2016,89,93
110120,2017,84,100
110120,2018,78,92
110120,2019,72,84
110130,2012,96,148
110130,2013,0,122
110130,2014,118,137
110130,2015,157,179
110130,2016,132,148
110130,2017,140,156
110130,2018,147,160
110130,2019,152,164
110140,2012,140,170
110140,2013,0,223
110140,2014,174,204
110140,2015,161,240
110140,2016,82,173
110140,2017,95,200
110140,2018,170,220
110140,2019,168,199
110143,2012,65,99
110143,2013,0,82
110143,2014,103,110
110143,2015,53,73
110143,2016,72,90
110143,2017,76,94
110143,2018,79,87
110143,2019,98,104
110145,2012,50,63
110145,2013,0,55
110145,2014,42,49
110145,2015,52,54
110145,2016,45,50
110145,2017,46,51
110145,2018,46,53
110145,2019,33,44
110146,2012,15,51
110146,2013,0,42
110146,2014,25,37
110146,2015,35,52
110146,2016,25,34
110146,2017,39,52
110146,2018,35,52
110146,2019,32,40
110147,2012,36,43
110147,2013,0,39
110147,2014,42,47
110147,2015,31,40
110147,2016,51,56
110147,2017,60,63
110147,2018,35,38
110147,2019,41,43
110148,2012,58,64
110148,2013,0,61
110148,2014,47,59
110148,2015,67,73
110148,2016,47,54
110148,2017,64,75
110148,2018,48,54
110148,2019,52,54
110149,2012,126,246
110149,2013,0,266
110149,2014,265,308
110149,2015,269,319
110149,2016,260,305
110149,2017,287,333
110149,2018,297,327
110149,2019,272,303
110150,2012,155,190
110150,2013,0,184
110150,2014,149,170
110150,2015,167,188
110150,2016,163,171
110150,2017,174,188
110150,2018,141,154
110150,2019,152,168
110155,2012,38,57
110155,2013,0,80
110155,2014,63,69
110155,2015,61,71
110155,2016,47,59
110155,2017,52,58
110155,2018,55,60
110155,2019,60,64
110160,2012,99,133
110160,2013,0,106
110160,2014,104,125
110160,2015,96,107
110160,2016,112,131
110160,2017,123,146
110160,2018,117,131
110160,2019,84,97
110170,2012,98,146
110170,2013,0,150
110170,2014,105,122
110170,2015,113,138
110170,2016,123,151
110170,2017,114,150
110170,2018,119,139
110170,2019,151,170
110175,2012,60,86
110175,2013,0,89
110175,2014,104,128
110175,2015,82,106
110175,2016,97,110
110175,2017,74,86
110175,2018,84,91
110175,2019,83,93
110180,2012,64,83
110180,2013,0,107
110180,2014,73,90
110180,2015,53,63
110180,2016,78,98
110180,2017,61,79
110180,2018,82,95
110180,2019,70,81
120000,2012,1,1
120001,2012,153,253
120001,2013,0,258
120001,2014,196,269
120001,2015,169,217
120001,2016,169,222
120001,2017,178,256
120001,2018,171,216
120001,2019,196,257
120005,2012,76,219
120005,2013,0,213
120005,2014,90,196
120005,2015,97,238
120005,2016,101,190
120005,2017,102,248
120005,2018,110,264
120005,2019,95,266
120010,2012,295,505
120010,2013,0,530
120010,2014,279,547
120010,2015,336,531
120010,2016,327,490
120010,2017,386,570
120010,2018,396,540
120010,2019,387,540
120013,2012,133,198
120013,2013,0,202
120013,2014,162,242
120013,2015,175,248
