CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total
110000,2012,1,2
110000,2013,6,16
110000,2014,4,4
110000,2015,4,4
110000,2016,0,2
110000,2018,1,2
110000,2019,0,1
110001,2012,267,386
110001,2013,272,382
110001,2014,238,341
110001,2015,271,373
110001,2016,226,326
110001,2017,278,354
110001,2018,318,408
110001,2019,295,367
110002,2012,970,1339
110002,2013,1194,1654
110002,2014,1164,1647
110002,2015,1278,1783
110002,2016,1187,1662
110002,2017,1223,1724
110002,2018,1169,1682
110002,2019,1176,1729
110003,2012,52,64
110003,2013,63,74
110003,2014,60,75
110003,2015,68,86
110003,2016,60,73
110003,2017,51,67
110003,2018,64,82
110003,2019,60,80
110004,2012,925,1201
110004,2013,958,1185
110004,2014,1090,1307
110004,2015,1104,1360
110004,2016,1058,1338
110004,2017,1165,1452
110004,2018,1171,1446
110004,2019,1113,1374
110005,2012,207,245
110005,2013,229,271
110005,2014,198,250
110005,2015,213,277
110005,2016,213,263
110005,2017,216,277
110005,2018,191,264
110005,2019,179,237
110006,2012,145,214
110006,2013,203,256
110006,2014,231,273
110006,2015,184,251
110006,2016,167,223
110006,2017,189,243
110006,2018,174,235
110006,2019,160,214
110007,2012,89,116
110007,2013,84,116
110007,2014,107,125
110007,2015,85,111
110007,2016,110,139
110007,2017,67,87
110007,2018,90,129
110007,2019,90,127
110008,2012,148,234
110008,2013,148,234
110008,2014,139,267
110008,2015,155,245
110008,2016,142,213
110008,2017,139,216
110008,2018,159,246
110008,2019,148,233
110009,2012,352,476
110009,2013,363,463
110009,2014,422,496
110009,2015,465,548
110009,2016,381,486
110009,2017,413,533
110009,2018,385,476
110009,2019,377,450
110010,2012,406,940
110010,2013,395,879
110010,2014,390,923
110010,2015,316,831
110010,2016,355,884
110010,2017,302,842
110010,2018,330,926
110010,2019,303,781
110011,2012,600,808
110011,2013,687,914
110011,2014,688,867
110011,2015,588,788
110011,2016,599,807
110011,2017,615,846
110011,2018,694,911
110011,2019,623,881
110012,2012,1283,2075
110012,2013,1250,1971
110012,2014,1201,1956
110012,2015,1397,2094
110012,2016,1331,1976
110012,2017,1270,2050
110012,2018,1416,2278
110012,2019,1384,2182
110013,2012,314,542
110013,2013,282,514
110013,2014,291,507
110013,2015,276,480
110013,2016,235,398
110013,2017,242,449
110013,2018,307,517
110013,2019,299,500
110014,2012,243,271
110014,2013,253,278
110014,2014,236,254
110014,2015,228,256
110014,2016,247,276
110014,2017,208,224
110014,2018,269,290
110014,2019,231,261
110015,2012,479,647
110015,2013,493,639
110015,2014,513,674
110015,2015,613,767
110015,2016,459,582
110015,2017,431,578
110015,2018,482,614
110015,2019,458,631
110018,2012,423,553
110018,2013,494,581
110018,2014,507,597
110018,2015,495,594
110018,2016,518,601
110018,2017,551,615
110018,2018,568,651
110018,2019,529,616
110020,2012,4987,8941
110020,2013,4740,8927
110020,2014,4744,9130
110020,2015,4866,9093
110020,2016,4533,8611
110020,2017,4692,8800
110020,2018,4678,8752
110020,2019,4702,8437
110025,2012,148,243
110025,2013,169,258
110025,2014,191,289
110025,2015,187,262
110025,2016,176,276
110025,2017,210,289
110025,2018,217,294
110025,2019,220,304
110026,2012,28,41
110026,2013,28,38
110026,2014,27,36
110026,2015,28,36
110026,2016,19,35
110026,2017,41,49
110026,2018,23,46
110026,2019,31,50
110028,2012,801,927
110028,2013,773,879
110028,2014,835,947
110028,2015,814,936
110028,2016,737,855
110028,2017,863,963
110028,2018,818,900
110028,2019,835,927
110029,2012,103,118
110029,2013,85,98
110029,2014,91,103
110029,2015,97,109
110029,2016,97,114
110029,2017,97,112
110029,2018,94,103
110029,2019,87,99
110030,2012,984,1269
110030,2013,1073,1388
110030,2014,1152,1418
110030,2015,1189,1535
110030,2016,1163,1427
110030,2017,1157,1465
110030,2018,1136,1557
110030,2019,1199,1590
110032,2012,238,313
110032,2013,290,355
110032,2014,273,364
110032,2015,243,311
110032,2016,286,337
110032,2017,334,372
110032,2018,336,391
110032,2019,306,353
110033,2012,206,383
110033,2013,220,416
110033,2014,246,425
110033,2015,233,404
110033,2016,230,411
110033,2017,260,487
110033,2018,253,482
110033,2019,239,432
110034,2012,116,189
110034,2013,133,220
110034,2014,101,184
