CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total
110000,2012,0,2
110000,2013,0,16
110000,2014,0,4
110000,2015,1,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,21,386
110001,2013,0,382
110001,2014,14,341
110001,2015,22,373
110001,2016,14,326
110001,2017,17,354
110001,2018,33,408
110001,2019,46,367
110002,2012,199,1339
110002,2013,0,1654
110002,2014,260,1647
110002,2015,221,1783
110002,2016,31,1662
110002,2017,17,1724
110002,2018,88,1682
110002,2019,133,1729
110003,2012,4,64
110003,2013,0,74
110003,2014,4,75
110003,2015,3,86
110003,2016,1,73
110003,2017,1,67
110003,2018,6,82
110003,2019,15,80
110004,2012,171,1201
110004,2013,0,1185
110004,2014,142,1307
110004,2015,103,1360
110004,2016,104,1338
110004,2017,141,1452
110004,2018,145,1446
110004,2019,119,1374
110005,2012,24,245
110005,2013,0,271
110005,2014,44,250
110005,2015,33,277
110005,2016,22,263
110005,2017,17,277
110005,2018,33,264
110005,2019,13,237
110006,2012,8,214
110006,2013,0,256
110006,2014,34,273
110006,2015,18,251
110006,2016,11,223
110006,2017,12,243
110006,2018,23,235
110006,2019,15,214
110007,2012,1,116
110007,2013,0,116
110007,2014,17,125
110007,2015,13,111
110007,2016,3,139
110007,2017,6,87
110007,2018,7,129
110007,2019,11,127
110008,2012,7,234
110008,2013,0,234
110008,2014,11,267
110008,2015,7,245
110008,2016,16,213
110008,2017,8,216
110008,2018,7,246
110008,2019,11,233
110009,2012,26,476
110009,2013,0,463
110009,2014,10,496
110009,2015,6,548
110009,2016,6,486
110009,2017,10,533
110009,2018,17,476
110009,2019,5,450
110010,2012,5,940
110010,2013,0,879
110010,2014,4,923
110010,2015,5,831
110010,2016,14,884
110010,2017,19,842
110010,2018,14,926
110010,2019,16,781
110011,2012,95,808
110011,2013,0,914
110011,2014,143,867
110011,2015,111,788
110011,2016,109,807
110011,2017,89,846
110011,2018,63,911
110011,2019,34,881
110012,2012,207,2075
110012,2013,0,1971
110012,2014,155,1956
110012,2015,211,2094
110012,2016,131,1976
110012,2017,156,2050
110012,2018,163,2278
110012,2019,197,2182
110013,2012,51,542
110013,2013,0,514
110013,2014,55,507
110013,2015,46,480
110013,2016,20,398
110013,2017,13,449
110013,2018,34,517
110013,2019,13,500
110014,2012,12,271
110014,2013,0,278
110014,2014,5,254
110014,2015,9,256
110014,2016,24,276
110014,2017,9,224
110014,2018,12,290
110014,2019,7,261
110015,2012,34,647
110015,2013,0,639
110015,2014,15,674
110015,2015,18,767
110015,2016,17,582
110015,2017,21,578
110015,2018,24,614
110015,2019,36,631
