CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
110000,2012,1,2
110000,2013,0,16
110000,2014,3,4
110000,2015,1,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,105,386
110001,2013,0,382
110001,2014,108,341
110001,2015,116,373
110001,2016,90,326
110001,2017,112,354
110001,2018,134,408
110001,2019,113,367
110002,2012,280,1339
110002,2013,0,1654
110002,2014,442,1647
110002,2015,373,1783
110002,2016,82,1662
110002,2017,78,1724
110002,2018,524,1682
110002,2019,644,1729
110003,2012,15,64
110003,2013,0,74
110003,2014,17,75
110003,2015,29,86
110003,2016,36,73
110003,2017,24,67
110003,2018,39,82
110003,2019,26,80
110004,2012,286,1201
110004,2013,0,1185
110004,2014,354,1307
110004,2015,387,1360
110004,2016,379,1338
110004,2017,442,1452
110004,2018,497,1446
110004,2019,475,1374
110005,2012,58,245
110005,2013,0,271
110005,2014,74,250
110005,2015,86,277
110005,2016,79,263
110005,2017,97,277
110005,2018,91,264
110005,2019,96,237
110006,2012,26,214
110006,2013,0,256
110006,2014,71,273
110006,2015,68,251
110006,2016,74,223
110006,2017,85,243
110006,2018,81,235
110006,2019,67,214
110007,2012,28,116
110007,2013,0,116
110007,2014,40,125
110007,2015,34,111
110007,2016,48,139
110007,2017,29,87
110007,2018,48,129
110007,2019,43,127
110008,2012,50,234
110008,2013,0,234
110008,2014,57,267
110008,2015,64,245
110008,2016,57,213
110008,2017,67,216
110008,2018,76,246
110008,2019,67,233
110009,2012,133,476
110009,2013,0,463
110009,2014,299,496
110009,2015,329,548
110009,2016,284,486
110009,2017,317,533
110009,2018,297,476
110009,2019,287,450
110010,2012,150,940
110010,2013,0,879
110010,2014,161,923
110010,2015,152,831
110010,2016,164,884
110010,2017,143,842
110010,2018,140,926
110010,2019,149,781
110011,2012,158,808
110011,2013,0,914
110011,2014,288,867
110011,2015,248,788
110011,2016,227,807
110011,2017,301,846
110011,2018,394,911
110011,2019,310,881
110012,2012,496,2075
110012,2013,0,1971
110012,2014,497,1956
110012,2015,568,2094
110012,2016,512,1976
110012,2017,430,2050
110012,2018,623,2278
110012,2019,587,2182
110013,2012,88,542
110013,2013,0,514
110013,2014,111,507
110013,2015,97,480
110013,2016,73,398
110013,2017,88,449
110013,2018,134,517
110013,2019,130,500
110014,2012,76,271
