CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
110000,2012,0,2
110000,2013,0,16
110000,2014,0,4
110000,2015,0,4
110000,2016,1,2
110000,2018,0,2
110000,2019,0,1
110001,2012,10,386
110001,2013,0,382
110001,2014,3,341
110001,2015,6,373
110001,2016,8,326
110001,2017,20,354
110001,2018,3,408
110001,2019,11,367
110002,2012,309,1339
110002,2013,0,1654
110002,2014,91,1647
110002,2015,512,1783
110002,2016,1340,1662
110002,2017,1486,1724
110002,2018,367,1682
110002,2019,17,1729
110003,2012,6,64
110003,2013,0,74
110003,2014,12,75
110003,2015,7,86
110003,2016,0,73
110003,2017,2,67
110003,2018,3,82
110003,2019,0,80
110004,2012,19,1201
110004,2013,0,1185
110004,2014,24,1307
110004,2015,33,1360
110004,2016,21,1338
110004,2017,11,1452
110004,2018,6,1446
110004,2019,4,1374
110005,2012,26,245
110005,2013,0,271
110005,2014,5,250
110005,2015,18,277
110005,2016,5,263
110005,2017,6,277
110005,2018,1,264
110005,2019,8,237
110006,2012,11,214
110006,2013,0,256
110006,2014,9,273
110006,2015,14,251
110006,2016,1,223
110006,2017,12,243
110006,2018,0,235
110006,2019,1,214
110007,2012,11,116
110007,2013,0,116
110007,2014,3,125
110007,2015,12,111
110007,2016,0,139
110007,2017,0,87
110007,2018,3,129
110007,2019,4,127
110008,2012,12,234
110008,2013,0,234
110008,2014,6,267
110008,2015,5,245
110008,2016,8,213
110008,2017,9,216
110008,2018,3,246
110008,2019,10,233
110009,2012,5,476
110009,2013,0,463
110009,2014,45,496
110009,2015,59,548
110009,2016,42,486
110009,2017,58,533
110009,2018,36,476
110009,2019,40,450
110010,2012,10,940
110010,2013,0,879
110010,2014,17,923
110010,2015,16,831
110010,2016,42,884
110010,2017,93,842
110010,2018,220,926
110010,2019,69,781
110011,2012,39,808
110011,2013,0,914
110011,2014,94,867
110011,2015,62,788
110011,2016,29,807
110011,2017,43,846
110011,2018,11,911
110011,2019,13,881
110012,2012,340,2075
110012,2013,0,1971
110012,2014,98,1956
110012,2015,73,2094
110012,2016,93,1976
110012,2017,441,2050
110012,2018,185,2278
110012,2019,248,2182
110013,2012,101,542
110013,2013,0,514
110013,2014,24,507
110013,2015,47,480
110013,2016,116,398
110013,2017,175,449
110013,2018,47,517
110013,2019,11,500
110014,2012,1,271
110014,2013,0,278
110014,2014,1,254
110014,2015,2,256
110014,2016,0,276
110014,2017,3,224
110014,2018,1,290
110014,2019,3,261
110015,2012,87,647
110015,2013,0,639
110015,2014,290,674
110015,2015,199,767
110015,2016,4,582
110015,2017,26,578
110015,2018,17,614
