CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
110000,2012,0,2
110000,2013,1,16
110000,2014,0,4
110000,2015,0,4
110000,2016,0,2
110000,2018,1,2
110000,2019,0,1
110001,2012,11,386
110001,2013,15,382
110001,2014,28,341
110001,2015,22,373
110001,2016,22,326
110001,2017,23,354
110001,2018,24,408
110001,2019,26,367
110002,2012,87,1339
110002,2013,129,1654
110002,2014,114,1647
110002,2015,109,1783
110002,2016,121,1662
110002,2017,122,1724
110002,2018,102,1682
110002,2019,93,1729
110003,2012,4,64
110003,2013,5,74
110003,2014,7,75
110003,2015,2,86
110003,2016,5,73
110003,2017,3,67
110003,2018,7,82
110003,2019,2,80
110004,2012,78,1201
110004,2013,76,1185
110004,2014,109,1307
110004,2015,99,1360
110004,2016,76,1338
110004,2017,100,1452
110004,2018,81,1446
110004,2019,76,1374
110005,2012,13,245
110005,2013,10,271
110005,2014,16,250
110005,2015,17,277
110005,2016,18,263
110005,2017,24,277
110005,2018,20,264
110005,2019,25,237
110006,2012,15,214
110006,2013,18,256
110006,2014,16,273
110006,2015,20,251
110006,2016,12,223
110006,2017,12,243
110006,2018,19,235
110006,2019,22,214
110007,2012,9,116
110007,2013,9,116
110007,2014,5,125
110007,2015,5,111
110007,2016,9,139
110007,2017,8,87
110007,2018,6,129
110007,2019,4,127
110008,2012,6,234
110008,2013,14,234
110008,2014,21,267
110008,2015,16,245
110008,2016,16,213
110008,2017,12,216
110008,2018,15,246
110008,2019,14,233
110009,2012,27,476
110009,2013,27,463
110009,2014,29,496
110009,2015,27,548
110009,2016,45,486
110009,2017,22,533
110009,2018,20,476
110009,2019,30,450
110010,2012,64,940
110010,2013,61,879
110010,2014,54,923
110010,2015,52,831
110010,2016,62,884
110010,2017,54,842
110010,2018,52,926
110010,2019,45,781
110011,2012,55,808
110011,2013,66,914
110011,2014,43,867
110011,2015,48,788
110011,2016,48,807
110011,2017,66,846
110011,2018,60,911
110011,2019,50,881
110012,2012,122,2075
110012,2013,118,1971
110012,2014,120,1956
110012,2015,141,2094
110012,2016,115,1976
110012,2017,126,2050
110012,2018,172,2278
110012,2019,141,2182
110013,2012,45,542
110013,2013,29,514
110013,2014,33,507
110013,2015,38,480
110013,2016,33,398
110013,2017,35,449
110013,2018,33,517
110013,2019,45,500
110014,2012,23,271
110014,2013,15,278
110014,2014,12,254
110014,2015,14,256
110014,2016,6,276
110014,2017,11,224
110014,2018,18,290
110014,2019,20,261
110015,2012,35,647
110015,2013,39,639
110015,2014,50,674
110015,2015,38,767
110015,2016,33,582
110015,2017,35,578
110015,2018,45,614
110015,2019,41,631
110018,2012,29,553
110018,2013,33,581
110018,2014,38,597
110018,2015,37,594
110018,2016,39,601
110018,2017,43,615
110018,2018,39,651
110018,2019,30,616
110020,2012,637,8941
110020,2013,611,8927
110020,2014,645,9130
110020,2015,687,9093
110020,2016,663,8611
110020,2017,614,8800
110020,2018,657,8752
110020,2019,687,8437
110025,2012,15,243
110025,2013,18,258
110025,2014,10,289
110025,2015,19,262
110025,2016,18,276
110025,2017,31,289
110025,2018,22,294
110025,2019,29,304
110026,2012,3,41
110026,2013,1,38
110026,2014,2,36
110026,2015,4,36
110026,2016,1,35
110026,2017,1,49
110026,2018,3,46
110026,2019,7,50
110028,2012,81,927
110028,2013,52,879
110028,2014,46,947
110028,2015,53,936
110028,2016,61,855
110028,2017,54,963
110028,2018,62,900
110028,2019,59,927
110029,2012,3,118
110029,2013,6,98
110029,2014,1,103
110029,2015,10,109
110029,2016,9,114
110029,2017,8,112
110029,2018,5,103
110029,2019,7,99
110030,2012,108,1269
110030,2013,93,1388
110030,2014,95,1418
110030,2015,118,1535
110030,2016,117,1427
110030,2017,110,1465
110030,2018,100,1557
110030,2019,131,1590
110032,2012,16,313
110032,2013,20,355
110032,2014,19,364
110032,2015,18,311
110032,2016,20,337
110032,2017,23,372
110032,2018,30,391
110032,2019,17,353
110033,2012,26,383
110033,2013,20,416
110033,2014,27,425
110033,2015,24,404
110033,2016,22,411
110033,2017,33,487
110033,2018,32,482
110033,2019,32,432
110034,2012,11,189
110034,2013,19,220
110034,2014,13,184
110034,2015,12,200
110034,2016,8,166
110034,2017,17,178
110034,2018,9,162
110034,2019,14,205
110037,2012,8,189
110037,2013,10,163
110037,2014,7,172
110037,2015,6,149
110037,2016,11,168
110037,2017,13,172
110037,2018,7,160
110037,2019,11,154
110040,2012,15,194
110040,2013,15,211
110040,2014,17,254
110040,2015,10,247
110040,2016,8,220
110040,2017,14,242
110040,2018,15,219
110040,2019,12,226
110045,2012,36,555
110045,2013,35,598
110045,2014,45,620
110045,2015,34,608
110045,2016,32,624
110045,2017,53,632
110045,2018,48,617
110045,2019,41,583
110050,2012,8,125
110050,2013,8,122
110050,2014,7,93
110050,2015,5,109
110050,2016,6,95
110050,2017,6,91
110050,2018,6,111
110050,2019,6,98
110060,2012,5,61
110060,2013,2,63
110060,2014,7,58
110060,2015,5,72
110060,2016,3,67
110060,2017,4,71
110060,2018,7,80
110060,2019,5,75
110070,2012,7,164
110070,2013,10,183
110070,2014,12,181
110070,2015,6,156
110070,2016,12,162
110070,2017,16,174
110070,2018,15,195
110070,2019,10,166
110080,2012,38,430
110080,2013,35,405
110080,2014,16,296
110080,2015,31,323
110080,2016,21,372
110080,2017,26,397
110080,2018,29,421
110080,2019,17,337
110090,2012,4,53
110090,2013,3,36
110090,2014,3,46
110090,2015,2,52
110090,2016,5,55
110090,2017,3,39
110090,2018,3,56
110090,2019,2,32
110092,2012,15,118
110092,2013,11,158
110092,2014,7,158
110092,2015,10,154
110092,2016,10,153
110092,2017,11,169
110092,2018,7,181
110092,2019,6,162
110094,2012,14,161
110094,2013,16,203
110094,2014,25,240
110094,2015,17,274
110094,2016,23,241
110094,2017,13,209
110094,2018,13,229
110094,2019,6,205
110100,2012,5,133
110100,2013,12,116
110100,2014,12,124
110100,2015,4,132
110100,2016,7,112
