CODMUNRES,ano_nasc,Qtd_Termo_Precoce,Qtd_Total
110000,2012,0,2
110000,2013,2,16
110000,2014,3,4
110000,2015,0,4
110000,2016,0,2
110000,2018,0,2
110000,2019,0,1
110001,2012,106,386
110001,2013,106,382
110001,2014,89,341
110001,2015,105,373
110001,2016,96,326
110001,2017,120,354
110001,2018,129,408
110001,2019,126,367
110002,2012,385,1339
110002,2013,513,1654
110002,2014,631,1647
110002,2015,495,1783
110002,2016,97,1662
110002,2017,74,1724
110002,2018,466,1682
110002,2019,582,1729
110003,2012,22,64
110003,2013,30,74
110003,2014,21,75
110003,2015,28,86
110003,2016,22,73
110003,2017,18,67
110003,2018,29,82
110003,2019,24,80
110004,2012,454,1201
110004,2013,447,1185
110004,2014,451,1307
110004,2015,495,1360
110004,2016,513,1338
110004,2017,518,1452
110004,2018,527,1446
110004,2019,478,1374
110005,2012,71,245
110005,2013,79,271
110005,2014,103,250
110005,2015,87,277
110005,2016,71,263
110005,2017,91,277
110005,2018,87,264
110005,2019,70,237
110006,2012,39,214
110006,2013,78,256
110006,2014,122,273
110006,2015,97,251
110006,2016,87,223
110006,2017,78,243
110006,2018,78,235
110006,2019,71,214
110007,2012,20,116
110007,2013,37,116
110007,2014,59,125
110007,2015,33,111
110007,2016,37,139
110007,2017,31,87
110007,2018,30,129
110007,2019,29,127
110008,2012,56,234
110008,2013,55,234
110008,2014,74,267
110008,2015,58,245
110008,2016,68,213
110008,2017,58,216
110008,2018,64,246
110008,2019,62,233
110009,2012,107,476
110009,2013,113,463
110009,2014,131,496
110009,2015,127,548
110009,2016,132,486
110009,2017,125,533
110009,2018,106,476
110009,2019,97,450
110010,2012,248,940
110010,2013,179,879
110010,2014,211,923
110010,2015,168,831
110010,2016,196,884
110010,2017,178,842
110010,2018,184,926
110010,2019,182,781
110011,2012,246,808
110011,2013,289,914
110011,2014,259,867
110011,2015,245,788
110011,2016,265,807
110011,2017,273,846
110011,2018,320,911
110011,2019,286,881
110012,2012,574,2075
110012,2013,603,1971
110012,2014,561,1956
110012,2015,669,2094
110012,2016,644,1976
110012,2017,465,2050
110012,2018,652,2278
110012,2019,604,2182
110013,2012,176,542
110013,2013,149,514
110013,2014,147,507
110013,2015,122,480
110013,2016,80,398
110013,2017,77,449
110013,2018,165,517
110013,2019,126,500
110014,2012,89,271
110014,2013,119,278
110014,2014,113,254
110014,2015,111,256
110014,2016,97,276
110014,2017,80,224
110014,2018,117,290
110014,2019,91,261
110015,2012,148,647
110015,2013,232,639
110015,2014,105,674
110015,2015,230,767
110015,2016,219,582
110015,2017,202,578
110015,2018,235,614
110015,2019,243,631
110018,2012,189,553
110018,2013,216,581
110018,2014,208,597
110018,2015,205,594
110018,2016,222,601
110018,2017,214,615
110018,2018,221,651
110018,2019,223,616
110020,2012,1938,8941
110020,2013,1792,8927
110020,2014,1599,9130
110020,2015,2037,9093
110020,2016,2143,8611
110020,2017,2058,8800
110020,2018,2158,8752
110020,2019,2167,8437
110025,2012,54,243
110025,2013,93,258
110025,2014,86,289
110025,2015,101,262
110025,2016,90,276
110025,2017,100,289
110025,2018,121,294
110025,2019,105,304
110026,2012,16,41
110026,2013,11,38
110026,2014,18,36
110026,2015,8,36
110026,2016,2,35
110026,2017,2,49
110026,2018,17,46
110026,2019,27,50
110028,2012,246,927
110028,2013,261,879
110028,2014,289,947
110028,2015,272,936
110028,2016,285,855
110028,2017,319,963
110028,2018,308,900
110028,2019,322,927
110029,2012,36,118
110029,2013,30,98
110029,2014,30,103
110029,2015,31,109
110029,2016,45,114
110029,2017,33,112
110029,2018,31,103
110029,2019,39,99
110030,2012,336,1269
110030,2013,374,1388
110030,2014,537,1418
110030,2015,587,1535
110030,2016,515,1427
110030,2017,525,1465
110030,2018,515,1557
110030,2019,484,1590
110032,2012,73,313
110032,2013,111,355
110032,2014,95,364
110032,2015,91,311
110032,2016,88,337
110032,2017,130,372
110032,2018,125,391
110032,2019,139,353
110033,2012,101,383
110033,2013,121,416
110033,2014,119,425
110033,2015,97,404
110033,2016,127,411
110033,2017,143,487
110033,2018,115,482
110033,2019,125,432
110034,2012,33,189
110034,2013,53,220
110034,2014,35,184
110034,2015,62,200
110034,2016,51,166
110034,2017,52,178
110034,2018,49,162
110034,2019,72,205
110037,2012,42,189
110037,2013,49,163
110037,2014,45,172
110037,2015,44,149
110037,2016,53,168
110037,2017,54,172
110037,2018,47,160
110037,2019,56,154
110040,2012,65,194
110040,2013,66,211
110040,2014,107,254
110040,2015,78,247
110040,2016,13,220
110040,2017,16,242
110040,2018,59,219
110040,2019,74,226
110045,2012,138,555
110045,2013,137,598
110045,2014,208,620
110045,2015,177,608
110045,2016,182,624
110045,2017,183,632
110045,2018,202,617
110045,2019,189,583
110050,2012,43,125
110050,2013,39,122
110050,2014,26,93
110050,2015,37,109
110050,2016,28,95
110050,2017,32,91
110050,2018,36,111
110050,2019,34,98
110060,2012,20,61
110060,2013,14,63
110060,2014,19,58
110060,2015,18,72
110060,2016,4,67
110060,2017,8,71
110060,2018,24,80
110060,2019,22,75
110070,2012,45,164
110070,2013,45,183
110070,2014,61,181
110070,2015,46,156
110070,2016,42,162
110070,2017,55,174
110070,2018,60,195
110070,2019,57,166
110080,2012,89,430
110080,2013,69,405
110080,2014,72,296
110080,2015,80,323
110080,2016,83,372
110080,2017,98,397
110080,2018,87,421
110080,2019,83,337
110090,2012,16,53
110090,2013,8,36
110090,2014,9,46
110090,2015,16,52
110090,2016,21,55
110090,2017,15,39
110090,2018,19,56
110090,2019,11,32
110092,2012,37,118
110092,2013,48,158
110092,2014,53,158
110092,2015,48,154
110092,2016,54,153
110092,2017,60,169
110092,2018,60,181
110092,2019,55,162
110094,2012,38,161
110094,2013,49,203
110094,2014,67,240
110094,2015,84,274
110094,2016,52,241
110094,2017,28,209
110094,2018,55,229
110094,2019,54,205
110100,2012,38,133
110100,2013,36,116
110100,2014,39,124
110100,2015,42,132
110100,2016,36,112
110100,2017,40,109
110100,2018,36,133
110100,2019,42,112
110110,2012,29,114
110110,2013,27,123
110110,2014,30,97
110110,2015,23,112
110110,2016,26,129
110110,2017,17,95
110110,2018,17,92
110110,2019,28,109
110120,2012,29,100
110120,2013,44,104
110120,2014,43,107
110120,2015,30,93
110120,2016,42,93
110120,2017,35,100
110120,2018,32,92
110120,2019,41,84
110130,2012,35,148
110130,2013,34,122
110130,2014,42,137
110130,2015,61,179
110130,2016,45,148
110130,2017,53,156
110130,2018,53,160
110130,2019,55,164
110140,2012,41,170
110140,2013,62,223
110140,2014,68,204
