CODMUNRES,Ano,Qtd_Total,Pop
110001,2012,386,7810
110001,2013,382,7704
110001,2014,341,7591
110001,2015,373,7466
110001,2016,326,7352
110001,2017,354,7227
110001,2018,408,7096
110001,2019,366,6961
110037,2012,189,4127
110037,2013,163,4157
110037,2014,172,4181
110037,2015,149,4202
110037,2016,168,4193
110037,2017,172,4181
110037,2018,160,4165
110037,2019,154,4144
110040,2012,194,5795
110040,2013,211,5971
110040,2014,254,6138
110040,2015,247,6302
110040,2016,220,6434
110040,2017,242,6555
110040,2018,219,6676
110040,2019,226,6778
110034,2012,189,5263
110034,2013,220,5153
110034,2014,184,5037
110034,2015,200,4914
110034,2016,166,4795
110034,2017,178,4670
110034,2018,162,4534
110034,2019,205,4409
110002,2012,1339,32588
110002,2013,1654,33143
110002,2014,1647,33684
110002,2015,1783,34218
110002,2016,1662,34619
110002,2017,1724,34984
110002,2018,1682,35361
110002,2019,1729,35679
110045,2012,555,11343
110045,2013,598,11613
110045,2014,620,11875
110045,2015,608,12132
110045,2016,624,12337
110045,2017,632,12525
110045,2018,617,12708
110045,2019,583,12882
110003,2012,64,1873
110003,2013,74,1835
110003,2014,75,1789
110003,2015,86,1733
110003,2016,73,1690
110003,2017,67,1649
110003,2018,82,1598
110003,2019,80,1549
110060,2012,61,1894
110060,2013,63,1920
110060,2014,58,1938
110060,2015,72,1955
110060,2016,67,1964
110060,2017,71,1972
110060,2018,80,1973
110060,2019,75,1977
110004,2012,1201,27621
110004,2013,1185,27704
110004,2014,1307,27761
110004,2015,1360,27787
110004,2016,1338,27824
110004,2017,1452,27824
110004,2018,1446,27800
110004,2019,1374,27748
110070,2012,164,4089
110070,2013,183,4149
110070,2014,181,4202
110070,2015,156,4255
110070,2016,162,4296
110070,2017,174,4330
110070,2018,195,4362
110070,2019,166,4393
110080,2012,430,6911
110080,2013,404,7163
110080,2014,296,7417
110080,2015,323,7663
110080,2016,372,7901
110080,2017,397,8123
110080,2018,421,8340
110080,2019,337,8552
110090,2012,53,1111
110090,2013,36,1094
110090,2014,46,1070
110090,2015,52,1045
110090,2016,55,1023
110090,2017,39,996
110090,2018,56,967
110090,2019,32,943
110005,2012,244,5676
110005,2013,271,5602
110005,2014,250,5526
110005,2015,277,5451
110005,2016,263,5387
110005,2017,277,5309
110005,2018,264,5221
110005,2019,236,5136
110092,2012,118,2938
110092,2013,158,3046
110092,2014,158,3149
110092,2015,154,3252
110092,2016,153,3358
110092,2017,169,3460
110092,2018,181,3558
110092,2019,162,3655
110006,2012,214,5863
110006,2013,256,5719
110006,2014,273,5570
110006,2015,251,5411
110006,2016,222,5280
110006,2017,243,5140
110006,2018,235,4980
110006,2019,214,4826
110007,2012,116,2698
110007,2013,116,2648
110007,2014,125,2588
110007,2015,111,2530
110007,2016,139,2466
110007,2017,87,2399
110007,2018,129,2330
110007,2019,127,2254
110008,2012,234,4643
110008,2013,234,4816
110008,2014,267,4983
110008,2015,245,5146
110008,2016,213,5291
110008,2017,216,5428
110008,2018,246,5560
110008,2019,233,5689
110094,2012,161,5848
110094,2013,203,6216
110094,2014,240,6579
110094,2015,274,6943
110094,2016,241,7284
110094,2017,209,7616
110094,2018,229,7947
110094,2019,205,8262
110009,2012,476,9816
110009,2013,463,9917
110009,2014,496,9995
110009,2015,548,10068
110009,2016,486,10147
110009,2017,533,10210
110009,2018,476,10263
110009,2019,450,10307
110100,2012,133,3143
110100,2013,116,3053
110100,2014,124,2958
110100,2015,132,2858
110100,2016,112,2744
110100,2017,109,2630
110100,2018,133,2503
110100,2019,112,2393
110010,2012,940,13994
110010,2013,879,14113
110010,2014,923,14210
110010,2015,831,14297
110010,2016,884,14372
110010,2017,842,14429
110010,2018,926,14464
110010,2019,781,14496
110110,2012,114,2801
110110,2013,123,2858
110110,2014,97,2911
110110,2015,112,2964
110110,2016,129,3011
110110,2017,95,3057
110110,2018,92,3095
110110,2019,109,3135
110011,2012,808,17746
110011,2013,914,17712
110011,2014,867,17642
110011,2015,788,17563
110011,2016,807,17455
110011,2017,846,17319
110011,2018,911,17160
110011,2019,881,16994
