CODMUNRES,Ano,Qtd_Total,Pop
110001,2012,76,2256
110001,2013,79,2162
110001,2014,69,2065
110001,2015,74,1966
110001,2016,58,1900
110001,2017,62,1830
110001,2018,61,1758
110001,2019,55,1687
110037,2012,52,1272
110037,2013,42,1258
110037,2014,29,1241
110037,2015,29,1225
110037,2016,38,1192
110037,2017,40,1158
110037,2018,30,1122
110037,2019,32,1086
110040,2012,55,1840
110040,2013,51,1860
110040,2014,69,1872
110040,2015,51,1885
110040,2016,56,1864
110040,2017,58,1835
110040,2018,48,1803
110040,2019,49,1773
110034,2012,46,1555
110034,2013,46,1471
110034,2014,34,1384
110034,2015,43,1297
110034,2016,36,1238
110034,2017,31,1177
110034,2018,26,1114
110034,2019,39,1052
110002,2012,301,9407
110002,2013,365,9448
110002,2014,387,9481
110002,2015,385,9510
110002,2016,344,9450
110002,2017,340,9373
110002,2018,304,9298
110002,2019,334,9211
110045,2012,125,3514
110045,2013,138,3535
110045,2014,131,3554
110045,2015,129,3576
110045,2016,154,3552
110045,2017,136,3520
110045,2018,124,3487
110045,2019,103,3461
110003,2012,17,523
110003,2013,11,494
110003,2014,12,460
110003,2015,15,428
110003,2016,12,409
110003,2017,8,388
110003,2018,7,369
110003,2019,14,348
110060,2012,14,599
110060,2013,14,602
110060,2014,13,598
110060,2015,18,596
110060,2016,14,580
110060,2017,19,564
110060,2018,15,543
110060,2019,14,526
110004,2012,227,7515
110004,2013,225,7379
110004,2014,222,7211
110004,2015,215,7045
110004,2016,213,6920
110004,2017,199,6778
110004,2018,200,6628
110004,2019,174,6479
110070,2012,46,1298
110070,2013,37,1291
110070,2014,44,1281
110070,2015,27,1271
110070,2016,46,1244
110070,2017,46,1213
110070,2018,39,1182
110070,2019,26,1152
110080,2012,122,2212
110080,2013,105,2251
110080,2014,90,2291
110080,2015,89,2330
110080,2016,101,2334
110080,2017,107,2326
110080,2018,108,2319
110080,2019,70,2312
110090,2012,16,352
110090,2013,10,335
110090,2014,9,309
110090,2015,13,288
110090,2016,11,274
110090,2017,4,256
110090,2018,9,237
110090,2019,3,220
110005,2012,49,1564
110005,2013,61,1491
110005,2014,53,1422
110005,2015,41,1354
110005,2016,43,1309
110005,2017,46,1261
110005,2018,39,1212
110005,2019,27,1162
110092,2012,31,891
110092,2013,30,911
110092,2014,44,929
110092,2015,41,947
110092,2016,31,953
110092,2017,38,957
110092,2018,41,960
110092,2019,36,963
110006,2012,49,1588
110006,2013,41,1502
110006,2014,46,1414
110006,2015,44,1323
110006,2016,33,1264
110006,2017,31,1202
110006,2018,41,1138
110006,2019,31,1075
110007,2012,24,794
110007,2013,30,744
110007,2014,22,689
110007,2015,23,635
110007,2016,28,597
110007,2017,18,558
110007,2018,28,518
110007,2019,24,477
110008,2012,70,1574
110008,2013,75,1613
110008,2014,86,1650
110008,2015,79,1685
110008,2016,69,1671
110008,2017,45,1652
110008,2018,74,1632
110008,2019,70,1613
110094,2012,48,1915
110094,2013,65,2017
110094,2014,62,2116
110094,2015,73,2216
110094,2016,69,2259
110094,2017,49,2297
110094,2018,50,2339
110094,2019,41,2371
110009,2012,105,2822
110009,2013,112,2804
110009,2014,103,2771
110009,2015,103,2737
110009,2016,119,2708
110009,2017,99,2663
110009,2018,102,2621
