res_MUNNOME,CODMUNRES,REGIAO,ESTADO
Município ignorado - RO,110000,NORTE,RONDONIA
Alta Floresta D'Oeste,110001,NORTE,RONDONIA
Ariquemes,110002,NORTE,RONDONIA
Cabixi,110003,NORTE,RONDONIA
Cacoal,110004,NORTE,RONDONIA
Cerejeiras,110005,NORTE,RONDONIA
Colorado do Oeste,110006,NORTE,RONDONIA
Corumbiara,110007,NORTE,RONDONIA
Costa Marques,110008,NORTE,RONDONIA
Espigão D'Oeste,110009,NORTE,RONDONIA
Guajará-Mirim,110010,NORTE,RONDONIA
Jaru,110011,NORTE,RONDONIA
Ji-Paraná,110012,NORTE,RONDONIA
Machadinho D'Oeste,110013,NORTE,RONDONIA
Nova Brasilândia D'Oeste,110014,NORTE,RONDONIA
Ouro Preto do Oeste,110015,NORTE,RONDONIA
Pimenta Bueno,110018,NORTE,RONDONIA
Porto Velho,110020,NORTE,RONDONIA
Presidente Médici,110025,NORTE,RONDONIA
Rio Crespo,110026,NORTE,RONDONIA
Rolim de Moura,110028,NORTE,RONDONIA
Santa Luzia D'Oeste,110029,NORTE,RONDONIA
Vilhena,110030,NORTE,RONDONIA
São Miguel do Guaporé,110032,NORTE,RONDONIA
Nova Mamoré,110033,NORTE,RONDONIA
Alvorada D'Oeste,110034,NORTE,RONDONIA
Alto Alegre dos Parecis,110037,NORTE,RONDONIA
Alto Paraíso,110040,NORTE,RONDONIA
Buritis,110045,NORTE,RONDONIA
Novo Horizonte do Oeste,110050,NORTE,RONDONIA
Cacaulândia,110060,NORTE,RONDONIA
Campo Novo de Rondônia,110070,NORTE,RONDONIA
Candeias do Jamari,110080,NORTE,RONDONIA
Castanheiras,110090,NORTE,RONDONIA
Chupinguaia,110092,NORTE,RONDONIA
Cujubim,110094,NORTE,RONDONIA
Governador Jorge Teixeira,110100,NORTE,RONDONIA
Itapuã do Oeste,110110,NORTE,RONDONIA
Ministro Andreazza,110120,NORTE,RONDONIA
Mirante da Serra,110130,NORTE,RONDONIA
Monte Negro,110140,NORTE,RONDONIA
Nova União,110143,NORTE,RONDONIA
Parecis,110145,NORTE,RONDONIA
Pimenteiras do Oeste,110146,NORTE,RONDONIA
Primavera de Rondônia,110147,NORTE,RONDONIA
São Felipe D'Oeste,110148,NORTE,RONDONIA
São Francisco do Guaporé,110149,NORTE,RONDONIA
Seringueiras,110150,NORTE,RONDONIA
Teixeirópolis,110155,NORTE,RONDONIA
Theobroma,110160,NORTE,RONDONIA
Urupá,110170,NORTE,RONDONIA
Vale do Anari,110175,NORTE,RONDONIA
Vale do Paraíso,110180,NORTE,RONDONIA
Município ignorado - AC,120000,NORTE,ACRE
Acrelândia,120001,NORTE,ACRE
Assis Brasil,120005,NORTE,ACRE
Brasiléia,120010,NORTE,ACRE
Bujari,120013,NORTE,ACRE
Capixaba,120017,NORTE,ACRE
Cruzeiro do Sul,120020,NORTE,ACRE
Epitaciolândia,120025,NORTE,ACRE
Feijó,120030,NORTE,ACRE
Jordão,120032,NORTE,ACRE
Mâncio Lima,120033,NORTE,ACRE
Manoel Urbano,120034,NORTE,ACRE
Marechal Thaumaturgo,120035,NORTE,ACRE
Plácido de Castro,120038,NORTE,ACRE
Porto Walter,120039,NORTE,ACRE
Rio Branco,120040,NORTE,ACRE
Rodrigues Alves,120042,NORTE,ACRE
Santa Rosa do Purus,120043,NORTE,ACRE
Senador Guiomard,120045,NORTE,ACRE
Sena Madureira,120050,NORTE,ACRE
Tarauacá,120060,NORTE,ACRE
Xapuri,120070,NORTE,ACRE
Porto Acre,120080,NORTE,ACRE
Município ignorado - AM,130000,NORTE,AMAZONAS
Alvarães,130002,NORTE,AMAZONAS
Amaturá,130006,NORTE,AMAZONAS
Anamã,130008,NORTE,AMAZONAS
Anori,130010,NORTE,AMAZONAS
Apuí,130014,NORTE,AMAZONAS
