res_MUNNOME,CODMUNRES
Município ignorado - RO,110000
Alta Floresta D'Oeste,110001
Ariquemes,110002
Cabixi,110003
Cacoal,110004
Cerejeiras,110005
Colorado do Oeste,110006
Corumbiara,110007
Costa Marques,110008
Espigão D'Oeste,110009
Guajará-Mirim,110010
Jaru,110011
Ji-Paraná,110012
Machadinho D'Oeste,110013
Nova Brasilândia D'Oeste,110014
Ouro Preto do Oeste,110015
Pimenta Bueno,110018
Porto Velho,110020
Presidente Médici,110025
Rio Crespo,110026
Rolim de Moura,110028
Santa Luzia D'Oeste,110029
Vilhena,110030
São Miguel do Guaporé,110032
Nova Mamoré,110033
Alvorada D'Oeste,110034
Alto Alegre dos Parecis,110037
Alto Paraíso,110040
Buritis,110045
Novo Horizonte do Oeste,110050
Cacaulândia,110060
Campo Novo de Rondônia,110070
Candeias do Jamari,110080
Castanheiras,110090
Chupinguaia,110092
Cujubim,110094
Governador Jorge Teixeira,110100
Itapuã do Oeste,110110
Ministro Andreazza,110120
Mirante da Serra,110130
Monte Negro,110140
Nova União,110143
Parecis,110145
Pimenteiras do Oeste,110146
Primavera de Rondônia,110147
São Felipe D'Oeste,110148
São Francisco do Guaporé,110149
Seringueiras,110150
Teixeirópolis,110155
Theobroma,110160
Urupá,110170
Vale do Anari,110175
Vale do Paraíso,110180
Município ignorado - AC,120000
Acrelândia,120001
Assis Brasil,120005
Brasiléia,120010
Bujari,120013
Capixaba,120017
Cruzeiro do Sul,120020
Epitaciolândia,120025
Feijó,120030
Jordão,120032
Mâncio Lima,120033
Manoel Urbano,120034
Marechal Thaumaturgo,120035
Plácido de Castro,120038
Porto Walter,120039
Rio Branco,120040
Rodrigues Alves,120042
Santa Rosa do Purus,120043
Senador Guiomard,120045
Sena Madureira,120050
Tarauacá,120060
Xapuri,120070
Porto Acre,120080
Município ignorado - AM,130000
Alvarães,130002
Amaturá,130006
Anamã,130008
Anori,130010
Apuí,130014
Atalaia do Norte,130020
Autazes,130030
Barcelos,130040
Barreirinha,130050
Benjamin Constant,130060
Beruri,130063
Boa Vista do Ramos,130068
Boca do Acre,130070
Borba,130080
Caapiranga,130083
Canutama,130090
Carauari,130100
Careiro,130110
Careiro da Várzea,130115
Coari,130120
Codajás,130130
Eirunepé,130140
Envira,130150
Fonte Boa,130160
Guajará,130165
Humaitá,130170
Ipixuna,130180
Iranduba,130185
Itacoatiara,130190
Itamarati,130195
Itapiranga,130200
Japurá,130210
Juruá,130220
Jutaí,130230
Lábrea,130240
Manacapuru,130250
Manaquiri,130255
Manaus,130260
Manicoré,130270
Maraã,130280
Maués,130290
Nhamundá,130300
Nova Olinda do Norte,130310
Novo Airão,130320
Novo Aripuanã,130330
Parintins,130340
Pauini,130350
Presidente Figueiredo,130353
Rio Preto da Eva,130356
Santa Isabel do Rio Negro,130360
Santo Antônio do Içá,130370
São Gabriel da Cachoeira,130380
São Paulo de Olivença,130390
São Sebastião do Uatumã,130395
Silves,130400
Tabatinga,130406
Tapauá,130410
Tefé,130420
Tonantins,130423
Uarini,130426
Urucará,130430
Urucurituba,130440
Município ignorado - RR,140000
Amajari,140002
Alto Alegre,140005
Boa Vista,140010
Bonfim,140015
Cantá,140017
Caracaraí,140020
Caroebe,140023
Iracema,140028
Mucajaí,140030
Normandia,140040
Pacaraima,140045
Rorainópolis,140047
São João da Baliza,140050
São Luiz,140060
Uiramutã,140070
Município ignorado - PA,150000
Abaetetuba,150010
Abel Figueiredo,150013
Acará,150020
Afuá,150030
Água Azul do Norte,150034
Alenquer,150040
Almeirim,150050
Altamira,150060
Anajás,150070
Ananindeua,150080
Anapu,150085
Augusto Corrêa,150090
Aurora do Pará,150095
Aveiro,150100
Bagre,150110
Baião,150120
Bannach,150125
Barcarena,150130
Belém,150140
Belterra,150145
Benevides,150150
Bom Jesus do Tocantins,150157
Bonito,150160
Bragança,150170
Brasil Novo,150172
Brejo Grande do Araguaia,150175
Breu Branco,150178
Breves,150180
Bujaru,150190
Cachoeira do Piriá,150195
Cachoeira do Arari,150200
Cametá,150210
Canaã dos Carajás,150215
Capanema,150220
Capitão Poço,150230
Castanhal,150240
Chaves,150250
Colares,150260
Conceição do Araguaia,150270
Concórdia do Pará,150275
Cumaru do Norte,150276
Curionópolis,150277
Curralinho,150280
Curuá,150285
Curuçá,150290
Dom Eliseu,150293
Eldorado dos Carajás,150295
Faro,150300
Floresta do Araguaia,150304
Garrafão do Norte,150307
Goianésia do Pará,150309
Gurupá,150310
Igarapé-Açu,150320
Igarapé-Miri,150330
Inhangapi,150340
Ipixuna do Pará,150345
Irituia,150350
Itaituba,150360
Itupiranga,150370
Jacareacanga,150375
Jacundá,150380
Juruti,150390
Limoeiro do Ajuru,150400
Mãe do Rio,150405
Magalhães Barata,150410
Marabá,150420
Maracanã,150430
Marapanim,150440
Marituba,150442
Medicilândia,150445
Melgaço,150450
Mocajuba,150460
Moju,150470
Monte Alegre,150480
Muaná,150490
Nova Esperança do Piriá,150495
Nova Ipixuna,150497
Nova Timboteua,150500
Novo Progresso,150503
Novo Repartimento,150506
Óbidos,150510
Oeiras do Pará,150520
Oriximiná,150530
Ourém,150540
Ourilândia do Norte,150543
Pacajá,150548
Palestina do Pará,150549
Paragominas,150550
Parauapebas,150553
Pau D'Arco,150555
Peixe-Boi,150560
Piçarra,150563
Placas,150565
Ponta de Pedras,150570
Portel,150580
Porto de Moz,150590
Prainha,150600
Primavera,150610
Quatipuru,150611
Redenção,150613
Rio Maria,150616
Rondon do Pará,150618
Rurópolis,150619
Salinópolis,150620
Salvaterra,150630
Santa Bárbara do Pará,150635
Santa Cruz do Arari,150640
Santa Isabel do Pará,150650
Santa Luzia do Pará,150655
Santa Maria das Barreiras,150658
Santa Maria do Pará,150660
Santana do Araguaia,150670
Santarém,150680
Santarém Novo,150690
Santo Antônio do Tauá,150700
São Caetano de Odivelas,150710
São Domingos do Araguaia,150715
São Domingos do Capim,150720
São Félix do Xingu,150730
São Francisco do Pará,150740
São Geraldo do Araguaia,150745
São João da Ponta,150746
São João de Pirabas,150747
São João do Araguaia,150750
São Miguel do Guamá,150760
São Sebastião da Boa Vista,150770
Sapucaia,150775
Senador José Porfírio,150780
Soure,150790
Tailândia,150795
Terra Alta,150796
Terra Santa,150797
Tomé-Açu,150800
Tracuateua,150803
Trairão,150805
Tucumã,150808
Tucuruí,150810
Ulianópolis,150812
Uruará,150815
Vigia,150820
Viseu,150830
Vitória do Xingu,150835
Xinguara,150840
Município ignorado - AP,160000
Serra do Navio,160005
Amapá,160010
Pedra Branca do Amapari,160015
Calçoene,160020
Cutias,160021
Ferreira Gomes,160023
Itaubal,160025
Laranjal do Jari,160027
Macapá,160030
Mazagão,160040
Oiapoque,160050
Porto Grande,160053
Pracuúba,160055
Santana,160060
Tartarugalzinho,160070
Vitória do Jari,160080
Município ignorado - TO,170000
Abreulândia,170025
Aguiarnópolis,170030
Aliança do Tocantins,170035
Almas,170040
Alvorada,170070
Ananás,170100
Angico,170105
Aparecida do Rio Negro,170110
Aragominas,170130
Araguacema,170190
Araguaçu,170200
Araguaína,170210
Araguanã,170215
Araguatins,170220
Arapoema,170230
Arraias,170240
Augustinópolis,170255
Aurora do Tocantins,170270
Axixá do Tocantins,170290
Babaçulândia,170300
Bandeirantes do Tocantins,170305
Barra do Ouro,170307
Barrolândia,170310
Bernardo Sayão,170320
Bom Jesus do Tocantins,170330
Brasilândia do Tocantins,170360
Brejinho de Nazaré,170370
Buriti do Tocantins,170380
Cachoeirinha,170382
Campos Lindos,170384
Cariri do Tocantins,170386
Carmolândia,170388
Carrasco Bonito,170389
Caseara,170390
Centenário,170410
Chapada de Areia,170460
Chapada da Natividade,170510
Colinas do Tocantins,170550
Combinado,170555
Conceição do Tocantins,170560
Couto de Magalhães,170600
Cristalândia,170610
Crixás do Tocantins,170625
Darcinópolis,170650
Dianópolis,170700
Divinópolis do Tocantins,170710
Dois Irmãos do Tocantins,170720
Dueré,170730
Esperantina,170740
Fátima,170755
Figueirópolis,170765
Filadélfia,170770
Formoso do Araguaia,170820
Fortaleza do Tabocão,170825
Goianorte,170830
Goiatins,170900
Guaraí,170930
Gurupi,170950
Ipueiras,170980
Itacajá,171050
Itaguatins,171070
Itapiratins,171090
Itaporã do Tocantins,171110
Jaú do Tocantins,171150
Juarina,171180
Lagoa da Confusão,171190
Lagoa do Tocantins,171195
Lajeado,171200
Lavandeira,171215
Lizarda,171240
Luzinópolis,171245
Marianópolis do Tocantins,171250
Mateiros,171270
Maurilândia do Tocantins,171280
Miracema do Tocantins,171320
Miranorte,171330
Monte do Carmo,171360
Monte Santo do Tocantins,171370
Palmeiras do Tocantins,171380
Muricilândia,171395
Natividade,171420
Nazaré,171430
Nova Olinda,171488
Nova Rosalândia,171500
Novo Acordo,171510
Novo Alegre,171515
Novo Jardim,171525
Oliveira de Fátima,171550
Palmeirante,171570
Palmeirópolis,171575
Paraíso do Tocantins,171610
Paranã,171620
Pau D'Arco,171630
Pedro Afonso,171650
Peixe,171660
Pequizeiro,171665
Colméia,171670
Pindorama do Tocantins,171700
Piraquê,171720
Pium,171750
Ponte Alta do Bom Jesus,171780
Ponte Alta do Tocantins,171790
Porto Alegre do Tocantins,171800
Porto Nacional,171820
Praia Norte,171830
Presidente Kennedy,171840
Pugmil,171845
Recursolândia,171850
Riachinho,171855
Rio da Conceição,171865
Rio dos Bois,171870
Rio Sono,171875
Sampaio,171880
Sandolândia,171884
Santa Fé do Araguaia,171886
Santa Maria do Tocantins,171888
Santa Rita do Tocantins,171889
Santa Rosa do Tocantins,171890
Santa Tereza do Tocantins,171900
Santa Terezinha do Tocantins,172000
São Bento do Tocantins,172010
São Félix do Tocantins,172015
São Miguel do Tocantins,172020
São Salvador do Tocantins,172025
São Sebastião do Tocantins,172030
São Valério da Natividade,172049
Silvanópolis,172065
Sítio Novo do Tocantins,172080
Sucupira,172085
Taguatinga,172090
Taipas do Tocantins,172093
Talismã,172097
Palmas,172100
Tocantínia,172110
Tocantinópolis,172120
Tupirama,172125
Tupiratins,172130
Wanderlândia,172208
Xambioá,172210
Município ignorado - MA,210000
Açailândia,210005
Afonso Cunha,210010
Água Doce do Maranhão,210015
Alcântara,210020
Aldeias Altas,210030
Altamira do Maranhão,210040
Alto Alegre do Maranhão,210043
Alto Alegre do Pindaré,210047
Alto Parnaíba,210050
Amapá do Maranhão,210055
Amarante do Maranhão,210060
Anajatuba,210070
Anapurus,210080
Apicum-Açu,210083
Araguanã,210087
Araioses,210090
Arame,210095
Arari,210100
Axixá,210110
Bacabal,210120
Bacabeira,210125
Bacuri,210130
Bacurituba,210135
Balsas,210140
Barão de Grajaú,210150
Barra do Corda,210160
Barreirinhas,210170
Belágua,210173
Bela Vista do Maranhão,210177
Benedito Leite,210180
Bequimão,210190
Bernardo do Mearim,210193
Boa Vista do Gurupi,210197
Bom Jardim,210200
Bom Jesus das Selvas,210203
Bom Lugar,210207
Brejo,210210
Brejo de Areia,210215
Buriti,210220
Buriti Bravo,210230
Buriticupu,210232
Buritirana,210235
Cachoeira Grande,210237
Cajapió,210240
Cajari,210250
Campestre do Maranhão,210255
Cândido Mendes,210260
Cantanhede,210270
Capinzal do Norte,210275
Carolina,210280
Carutapera,210290
Caxias,210300
Cedral,210310
Central do Maranhão,210312
Centro do Guilherme,210315
Centro Novo do Maranhão,210317
Chapadinha,210320
Cidelândia,210325
Codó,210330
Coelho Neto,210340
Colinas,210350
Conceição do Lago-Açu,210355
Coroatá,210360
Cururupu,210370
Davinópolis,210375
Dom Pedro,210380
Duque Bacelar,210390
Esperantinópolis,210400
Estreito,210405
Feira Nova do Maranhão,210407
Fernando Falcão,210408
Formosa da Serra Negra,210409
Fortaleza dos Nogueiras,210410
Fortuna,210420
Godofredo Viana,210430
Gonçalves Dias,210440
Governador Archer,210450
Governador Edison Lobão,210455
Governador Eugênio Barros,210460
Governador Luiz Rocha,210462
Governador Newton Bello,210465
Governador Nunes Freire,210467
Graça Aranha,210470
Grajaú,210480
Guimarães,210490
Humberto de Campos,210500
Icatu,210510
Igarapé do Meio,210515
Igarapé Grande,210520
Imperatriz,210530
Itaipava do Grajaú,210535
Itapecuru Mirim,210540
Itinga do Maranhão,210542
Jatobá,210545
Jenipapo dos Vieiras,210547
João Lisboa,210550
Joselândia,210560
Junco do Maranhão,210565
Lago da Pedra,210570
Lago do Junco,210580
Lago Verde,210590
Lagoa do Mato,210592
Lago dos Rodrigues,210594
Lagoa Grande do Maranhão,210596
Lajeado Novo,210598
Lima Campos,210600
Loreto,210610
Luís Domingues,210620
Magalhães de Almeida,210630
Maracaçumé,210632
Marajá do Sena,210635
Maranhãozinho,210637
Mata Roma,210640
Matinha,210650
Matões,210660
Matões do Norte,210663
Milagres do Maranhão,210667
Mirador,210670
Miranda do Norte,210675
Mirinzal,210680
Monção,210690
Montes Altos,210700
Morros,210710
Nina Rodrigues,210720
Nova Colinas,210725
Nova Iorque,210730
Nova Olinda do Maranhão,210735
Olho d'Água das Cunhãs,210740
Olinda Nova do Maranhão,210745
Paço do Lumiar,210750
Palmeirândia,210760
Paraibano,210770
Parnarama,210780
Passagem Franca,210790
Pastos Bons,210800
Paulino Neves,210805
Paulo Ramos,210810
Pedreiras,210820
Pedro do Rosário,210825
Penalva,210830
Peri Mirim,210840
Peritoró,210845
Pindaré-Mirim,210850
Pinheiro,210860
Pio XII,210870
Pirapemas,210880
Poção de Pedras,210890
Porto Franco,210900
Porto Rico do Maranhão,210905
Presidente Dutra,210910
Presidente Juscelino,210920
Presidente Médici,210923
Presidente Sarney,210927
Presidente Vargas,210930
Primeira Cruz,210940
Raposa,210945
