CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,1.0,16,0.0625
110000,2014,2.0,4,0.5
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,23.0,386,0.05958549222797927
110001,2013,26.0,382,0.06806282722513089
110001,2014,36.0,341,0.10557184750733138
110001,2015,22.0,373,0.058981233243967826
110001,2016,24.0,326,0.0736196319018405
110001,2017,35.0,354,0.09887005649717515
110001,2018,53.0,408,0.12990196078431374
110001,2019,39.0,367,0.10626702997275204
110001,2020,42.0,333,0.12612612612612611
110002,2012,87.0,1339,0.06497386109036594
110002,2013,106.0,1654,0.06408706166868199
110002,2014,117.0,1647,0.07103825136612021
110002,2015,133.0,1783,0.07459338194054964
110002,2016,138.0,1662,0.08303249097472924
110002,2017,134.0,1724,0.0777262180974478
110002,2018,162.0,1682,0.09631391200951249
110002,2019,168.0,1729,0.09716599190283401
110002,2020,158.0,1507,0.10484406104844061
110003,2012,0.0,64,0.0
110003,2013,7.0,74,0.0945945945945946
110003,2014,4.0,75,0.05333333333333334
110003,2015,8.0,86,0.09302325581395349
110003,2016,9.0,73,0.1232876712328767
110003,2017,8.0,67,0.11940298507462686
110003,2018,11.0,82,0.13414634146341464
110003,2019,11.0,80,0.1375
110003,2020,10.0,69,0.14492753623188406
110004,2012,96.0,1201,0.07993338884263114
110004,2013,84.0,1185,0.07088607594936709
110004,2014,119.0,1307,0.09104820198928845
110004,2015,127.0,1360,0.09338235294117647
110004,2016,128.0,1338,0.09566517189835576
110004,2017,167.0,1452,0.11501377410468319
110004,2018,160.0,1446,0.11065006915629322
110004,2019,180.0,1374,0.13100436681222707
110004,2020,176.0,1325,0.1328301886792453
110005,2012,15.0,245,0.061224489795918366
110005,2013,16.0,271,0.05904059040590406
110005,2014,18.0,250,0.072
110005,2015,25.0,277,0.09025270758122744
110005,2016,24.0,263,0.09125475285171103
110005,2017,34.0,277,0.12274368231046931
110005,2018,27.0,264,0.10227272727272728
110005,2019,30.0,237,0.12658227848101267
110005,2020,30.0,269,0.11152416356877323
110006,2012,20.0,214,0.09345794392523364
110006,2013,18.0,256,0.0703125
110006,2014,25.0,273,0.09157509157509157
110006,2015,23.0,251,0.09163346613545817
110006,2016,26.0,223,0.11659192825112108
110006,2017,18.0,243,0.07407407407407407
110006,2018,29.0,235,0.12340425531914893
110006,2019,33.0,214,0.1542056074766355
110006,2020,21.0,203,0.10344827586206896
110007,2012,8.0,116,0.06896551724137931
110007,2013,11.0,116,0.09482758620689655
110007,2014,13.0,125,0.104
110007,2015,8.0,111,0.07207207207207207
110007,2016,12.0,139,0.08633093525179857
110007,2017,6.0,87,0.06896551724137931
110007,2018,8.0,129,0.06201550387596899
110007,2019,6.0,127,0.047244094488188976
110007,2020,13.0,107,0.12149532710280374
110008,2012,13.0,234,0.05555555555555555
110008,2013,13.0,234,0.05555555555555555
110008,2014,21.0,267,0.07865168539325842
110008,2015,16.0,245,0.0653061224489796
110008,2016,13.0,213,0.06103286384976526
110008,2017,18.0,216,0.08333333333333333
110008,2018,21.0,246,0.08536585365853659
110008,2019,24.0,233,0.10300429184549356
110008,2020,15.0,190,0.07894736842105263
110009,2012,31.0,476,0.06512605042016807
110009,2013,35.0,463,0.0755939524838013
110009,2014,38.0,496,0.07661290322580645
110009,2015,42.0,548,0.07664233576642336
110009,2016,44.0,486,0.09053497942386832
110009,2017,57.0,533,0.10694183864915573
110009,2018,48.0,476,0.10084033613445378
110009,2019,49.0,450,0.10888888888888888
110009,2020,59.0,471,0.12526539278131635
110010,2012,83.0,940,0.08829787234042553
110010,2013,94.0,879,0.10693970420932879
110010,2014,71.0,923,0.07692307692307693
110010,2015,96.0,831,0.11552346570397112
110010,2016,95.0,884,0.1074660633484163
110010,2017,112.0,842,0.1330166270783848
110010,2018,103.0,926,0.11123110151187905
110010,2019,96.0,781,0.12291933418693982
110010,2020,111.0,858,0.12937062937062938
110011,2012,53.0,808,0.0655940594059406
110011,2013,66.0,914,0.07221006564551423
110011,2014,65.0,867,0.07497116493656286
110011,2015,54.0,788,0.06852791878172589
110011,2016,68.0,807,0.08426270136307311
110011,2017,85.0,846,0.10047281323877069
110011,2018,92.0,911,0.10098792535675083
110011,2019,98.0,881,0.1112372304199773
110011,2020,93.0,892,0.10426008968609865
110012,2012,154.0,2075,0.07421686746987952
110012,2013,143.0,1971,0.07255200405885337
110012,2014,156.0,1956,0.07975460122699386
110012,2015,215.0,2094,0.10267430754536772
110012,2016,208.0,1976,0.10526315789473684
110012,2017,223.0,2050,0.10878048780487805
110012,2018,261.0,2278,0.11457418788410886
110012,2019,249.0,2182,0.11411549037580201
110012,2020,260.0,2133,0.12189404594467886
110013,2012,35.0,542,0.06457564575645756
110013,2013,28.0,514,0.054474708171206226
110013,2014,36.0,507,0.07100591715976332
110013,2015,25.0,480,0.052083333333333336
110013,2016,27.0,398,0.0678391959798995
110013,2017,42.0,449,0.0935412026726058
110013,2018,42.0,517,0.08123791102514506
110013,2019,55.0,500,0.11
110013,2020,58.0,561,0.10338680926916222
110014,2012,12.0,271,0.04428044280442804
110014,2013,16.0,278,0.05755395683453238
110014,2014,16.0,254,0.06299212598425197
110014,2015,16.0,256,0.0625
110014,2016,20.0,276,0.07246376811594203
110014,2017,14.0,224,0.0625
110014,2018,27.0,290,0.09310344827586207
110014,2019,25.0,261,0.09578544061302682
110014,2020,22.0,230,0.09565217391304348
110015,2012,48.0,647,0.07418856259659969
110015,2013,51.0,639,0.07981220657276995
110015,2014,56.0,674,0.0830860534124629
110015,2015,61.0,767,0.07953063885267275
110015,2016,47.0,582,0.08075601374570447
110015,2017,56.0,578,0.09688581314878893
110015,2018,70.0,614,0.11400651465798045
110015,2019,86.0,631,0.13629160063391443
110015,2020,97.0,600,0.16166666666666665
110018,2012,28.0,553,0.05063291139240506
110018,2013,48.0,581,0.08261617900172118
110018,2014,43.0,597,0.07202680067001675
110018,2015,52.0,594,0.08754208754208755
110018,2016,39.0,601,0.064891846921797
110018,2017,39.0,615,0.06341463414634146
110018,2018,71.0,651,0.10906298003072197
110018,2019,47.0,616,0.0762987012987013
110018,2020,56.0,579,0.09671848013816926
110020,2012,686.0,8941,0.07672519852365507
110020,2013,772.0,8927,0.08647922034278033
110020,2014,832.0,9130,0.09112814895947426
110020,2015,901.0,9093,0.09908720994171341
110020,2016,958.0,8611,0.11125304842643131
110020,2017,1005.0,8800,0.11420454545454546
110020,2018,1071.0,8752,0.12237202925045704
110020,2019,1093.0,8437,0.1295484176840109
110020,2020,1071.0,7893,0.13568985176738882
110025,2012,13.0,243,0.053497942386831275
110025,2013,19.0,258,0.07364341085271318
110025,2014,25.0,289,0.08650519031141868
110025,2015,27.0,262,0.10305343511450382
110025,2016,28.0,276,0.10144927536231885
110025,2017,34.0,289,0.11764705882352941
110025,2018,34.0,294,0.11564625850340136
110025,2019,35.0,304,0.11513157894736842
110025,2020,33.0,259,0.1274131274131274
110026,2012,1.0,41,0.024390243902439025
110026,2013,5.0,38,0.13157894736842105
110026,2014,1.0,36,0.027777777777777776
110026,2015,2.0,36,0.05555555555555555
110026,2016,2.0,35,0.05714285714285714
110026,2017,5.0,49,0.10204081632653061
110026,2018,3.0,46,0.06521739130434782
110026,2019,5.0,50,0.1
110026,2020,5.0,48,0.10416666666666667
110028,2012,47.0,927,0.05070118662351672
110028,2013,64.0,879,0.07281001137656427
110028,2014,89.0,947,0.09398099260823653
110028,2015,70.0,936,0.07478632478632478
110028,2016,61.0,855,0.07134502923976609
110028,2017,96.0,963,0.09968847352024922
110028,2018,94.0,900,0.10444444444444445
110028,2019,120.0,927,0.12944983818770225
110028,2020,96.0,877,0.10946408209806158
110029,2012,4.0,118,0.03389830508474576
110029,2013,7.0,98,0.07142857142857142
110029,2014,8.0,103,0.07766990291262135
110029,2015,5.0,109,0.045871559633027525
110029,2016,9.0,114,0.07894736842105263
110029,2017,6.0,112,0.05357142857142857
110029,2018,14.0,103,0.13592233009708737
110029,2019,8.0,99,0.08080808080808081
110029,2020,14.0,99,0.1414141414141414
110030,2012,82.0,1269,0.06461780929866036
110030,2013,91.0,1388,0.06556195965417867
110030,2014,108.0,1418,0.076163610719323
