CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,2.0,16,0.125
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,1.0,2,0.5
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,14.0,386,0.03626943005181347
110001,2013,8.0,382,0.020942408376963352
110001,2014,8.0,341,0.02346041055718475
110001,2015,8.0,373,0.021447721179624665
110001,2016,4.0,326,0.012269938650306749
110001,2017,10.0,354,0.02824858757062147
110001,2018,12.0,408,0.029411764705882353
110001,2019,11.0,367,0.02997275204359673
110001,2020,12.0,333,0.036036036036036036
110002,2012,53.0,1339,0.039581777445855115
110002,2013,94.0,1654,0.056831922611850064
110002,2014,115.0,1647,0.06982392228293868
110002,2015,58.0,1783,0.03252944475602917
110002,2016,9.0,1662,0.005415162454873646
110002,2017,7.0,1724,0.004060324825986079
110002,2018,73.0,1682,0.043400713436385255
110002,2019,81.0,1729,0.04684788895315211
110002,2020,69.0,1507,0.0457863304578633
110003,2012,0.0,64,0.0
110003,2013,5.0,74,0.06756756756756757
110003,2014,0.0,75,0.0
110003,2015,2.0,86,0.023255813953488372
110003,2016,3.0,73,0.0410958904109589
110003,2017,1.0,67,0.014925373134328358
110003,2018,0.0,82,0.0
110003,2019,1.0,80,0.0125
110003,2020,4.0,69,0.057971014492753624
110004,2012,53.0,1201,0.04412989175686927
110004,2013,51.0,1185,0.043037974683544304
110004,2014,56.0,1307,0.04284621270084162
110004,2015,78.0,1360,0.057352941176470586
110004,2016,71.0,1338,0.053064275037369206
110004,2017,93.0,1452,0.0640495867768595
110004,2018,86.0,1446,0.059474412171507604
110004,2019,83.0,1374,0.06040756914119359
110004,2020,66.0,1325,0.04981132075471698
110005,2012,4.0,245,0.0163265306122449
110005,2013,11.0,271,0.04059040590405904
110005,2014,8.0,250,0.032
110005,2015,8.0,277,0.02888086642599278
110005,2016,20.0,263,0.07604562737642585
110005,2017,6.0,277,0.021660649819494584
110005,2018,4.0,264,0.015151515151515152
110005,2019,5.0,237,0.02109704641350211
110005,2020,12.0,269,0.04460966542750929
110006,2012,2.0,214,0.009345794392523364
110006,2013,9.0,256,0.03515625
110006,2014,10.0,273,0.03663003663003663
110006,2015,5.0,251,0.0199203187250996
110006,2016,14.0,223,0.06278026905829596
110006,2017,11.0,243,0.04526748971193416
110006,2018,4.0,235,0.01702127659574468
110006,2019,2.0,214,0.009345794392523364
110006,2020,10.0,203,0.04926108374384237
110007,2012,1.0,116,0.008620689655172414
110007,2013,9.0,116,0.07758620689655173
110007,2014,3.0,125,0.024
110007,2015,5.0,111,0.04504504504504504
110007,2016,11.0,139,0.07913669064748201
110007,2017,3.0,87,0.034482758620689655
110007,2018,7.0,129,0.05426356589147287
110007,2019,5.0,127,0.03937007874015748
110007,2020,3.0,107,0.028037383177570093
110008,2012,6.0,234,0.02564102564102564
110008,2013,28.0,234,0.11965811965811966
110008,2014,16.0,267,0.0599250936329588
110008,2015,16.0,245,0.0653061224489796
110008,2016,12.0,213,0.056338028169014086
110008,2017,11.0,216,0.05092592592592592
110008,2018,19.0,246,0.07723577235772358
110008,2019,7.0,233,0.030042918454935622
110008,2020,11.0,190,0.05789473684210526
110009,2012,18.0,476,0.037815126050420166
110009,2013,18.0,463,0.038876889848812095
110009,2014,20.0,496,0.04032258064516129
110009,2015,29.0,548,0.05291970802919708
110009,2016,16.0,486,0.03292181069958848
110009,2017,15.0,533,0.028142589118198873
110009,2018,22.0,476,0.046218487394957986
110009,2019,27.0,450,0.06
110009,2020,23.0,471,0.04883227176220807
110010,2012,1.0,940,0.0010638297872340426
110010,2013,6.0,879,0.006825938566552901
110010,2014,23.0,923,0.024918743228602384
110010,2015,37.0,831,0.044524669073405534
110010,2016,11.0,884,0.012443438914027148
110010,2017,5.0,842,0.0059382422802850355
110010,2018,6.0,926,0.0064794816414686825
110010,2019,3.0,781,0.0038412291933418692
110010,2020,4.0,858,0.004662004662004662
110011,2012,35.0,808,0.043316831683168314
110011,2013,20.0,914,0.02188183807439825
110011,2014,32.0,867,0.03690888119953864
110011,2015,29.0,788,0.03680203045685279
110011,2016,26.0,807,0.0322180916976456
110011,2017,23.0,846,0.027186761229314422
110011,2018,31.0,911,0.03402854006586169
110011,2019,34.0,881,0.03859250851305335
110011,2020,53.0,892,0.05941704035874439
110012,2012,37.0,2075,0.01783132530120482
110012,2013,26.0,1971,0.013191273465246067
110012,2014,91.0,1956,0.04652351738241309
110012,2015,114.0,2094,0.054441260744985676
110012,2016,56.0,1976,0.02834008097165992
110012,2017,63.0,2050,0.03073170731707317
110012,2018,65.0,2278,0.028533801580333626
110012,2019,72.0,2182,0.03299725022914757
110012,2020,85.0,2133,0.03984997655883732
110013,2012,23.0,542,0.042435424354243544
110013,2013,42.0,514,0.08171206225680934
110013,2014,40.0,507,0.07889546351084813
110013,2015,41.0,480,0.08541666666666667
110013,2016,14.0,398,0.035175879396984924
110013,2017,17.0,449,0.0378619153674833
110013,2018,10.0,517,0.019342359767891684
110013,2019,8.0,500,0.016
110013,2020,9.0,561,0.016042780748663103
110014,2012,9.0,271,0.033210332103321034
110014,2013,6.0,278,0.02158273381294964
110014,2014,1.0,254,0.003937007874015748
110014,2015,6.0,256,0.0234375
