CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,13.0,386,0.03367875647668394
110001,2013,17.0,382,0.04450261780104712
110001,2014,21.0,341,0.06158357771260997
110001,2015,25.0,373,0.06702412868632708
110001,2016,23.0,326,0.0705521472392638
110001,2017,15.0,354,0.0423728813559322
110001,2018,19.0,408,0.04656862745098039
110001,2019,22.0,367,0.05994550408719346
110001,2020,12.0,333,0.036036036036036036
110002,2012,1.0,1339,0.0007468259895444362
110002,2013,2.0,1654,0.0012091898428053204
110002,2014,1.0,1647,0.0006071645415907711
110002,2015,2.0,1783,0.0011217049915872126
110002,2016,1.0,1662,0.0006016847172081829
110002,2017,0.0,1724,0.0
110002,2018,0.0,1682,0.0
110002,2019,0.0,1729,0.0
110002,2020,2.0,1507,0.0013271400132714001
110003,2012,0.0,64,0.0
110003,2013,0.0,74,0.0
110003,2014,0.0,75,0.0
110003,2015,0.0,86,0.0
110003,2016,0.0,73,0.0
110003,2017,0.0,67,0.0
110003,2018,0.0,82,0.0
110003,2019,0.0,80,0.0
110003,2020,0.0,69,0.0
110004,2012,47.0,1201,0.03913405495420483
110004,2013,50.0,1185,0.04219409282700422
110004,2014,37.0,1307,0.028309104820198928
110004,2015,34.0,1360,0.025
110004,2016,37.0,1338,0.02765321375186846
110004,2017,38.0,1452,0.026170798898071626
110004,2018,40.0,1446,0.027662517289073305
110004,2019,44.0,1374,0.03202328966521106
110004,2020,38.0,1325,0.028679245283018868
110005,2012,0.0,245,0.0
110005,2013,0.0,271,0.0
110005,2014,0.0,250,0.0
110005,2015,0.0,277,0.0
110005,2016,0.0,263,0.0
110005,2017,1.0,277,0.0036101083032490976
110005,2018,0.0,264,0.0
110005,2019,0.0,237,0.0
110005,2020,0.0,269,0.0
110006,2012,0.0,214,0.0
110006,2013,0.0,256,0.0
110006,2014,0.0,273,0.0
110006,2015,0.0,251,0.0
110006,2016,0.0,223,0.0
110006,2017,0.0,243,0.0
110006,2018,0.0,235,0.0
110006,2019,0.0,214,0.0
110006,2020,0.0,203,0.0
110007,2012,0.0,116,0.0
110007,2013,0.0,116,0.0
110007,2014,0.0,125,0.0
110007,2015,0.0,111,0.0
110007,2016,0.0,139,0.0
110007,2017,0.0,87,0.0
110007,2018,0.0,129,0.0
110007,2019,0.0,127,0.0
110007,2020,1.0,107,0.009345794392523364
110008,2012,3.0,234,0.01282051282051282
110008,2013,2.0,234,0.008547008547008548
110008,2014,1.0,267,0.003745318352059925
110008,2015,4.0,245,0.0163265306122449
110008,2016,0.0,213,0.0
110008,2017,5.0,216,0.023148148148148147
110008,2018,2.0,246,0.008130081300813009
110008,2019,5.0,233,0.02145922746781116
110008,2020,4.0,190,0.021052631578947368
110009,2012,44.0,476,0.09243697478991597
110009,2013,36.0,463,0.07775377969762419
110009,2014,39.0,496,0.07862903225806452
110009,2015,31.0,548,0.05656934306569343
110009,2016,41.0,486,0.08436213991769548
110009,2017,43.0,533,0.08067542213883677
110009,2018,38.0,476,0.07983193277310924
110009,2019,34.0,450,0.07555555555555556
110009,2020,41.0,471,0.0870488322717622
110010,2012,197.0,940,0.20957446808510638
110010,2013,146.0,879,0.16609783845278725
110010,2014,189.0,923,0.2047670639219935
110010,2015,160.0,831,0.19253910950661854
110010,2016,182.0,884,0.20588235294117646
110010,2017,174.0,842,0.20665083135391923
110010,2018,179.0,926,0.19330453563714903
110010,2019,172.0,781,0.22023047375160051
110010,2020,169.0,858,0.19696969696969696
110011,2012,3.0,808,0.0037128712871287127
110011,2013,0.0,914,0.0
110011,2014,1.0,867,0.0011534025374855825
110011,2015,4.0,788,0.005076142131979695
110011,2016,0.0,807,0.0
110011,2017,2.0,846,0.002364066193853428
110011,2018,2.0,911,0.0021953896816684962
110011,2019,1.0,881,0.0011350737797956867
110011,2020,2.0,892,0.002242152466367713
110012,2012,55.0,2075,0.02650602409638554
110012,2013,41.0,1971,0.020801623541349568
110012,2014,48.0,1956,0.024539877300613498
110012,2015,44.0,2094,0.021012416427889206
110012,2016,32.0,1976,0.016194331983805668
110012,2017,33.0,2050,0.016097560975609757
110012,2018,44.0,2278,0.019315188762071993
110012,2019,42.0,2182,0.01924839596700275
110012,2020,50.0,2133,0.02344116268166901
110013,2012,1.0,542,0.0018450184501845018
110013,2013,0.0,514,0.0
110013,2014,1.0,507,0.0019723865877712033
110013,2015,0.0,480,0.0
110013,2016,1.0,398,0.002512562814070352
110013,2017,0.0,449,0.0
110013,2018,0.0,517,0.0
110013,2019,0.0,500,0.0
110013,2020,1.0,561,0.0017825311942959
110014,2012,0.0,271,0.0
