CODMUNRES,ano_nasc,Qtd_1parto,Qtd_Total,Ratio
110000,2012,1.0,2,0.5
110000,2013,3.0,16,0.1875
110000,2014,1.0,4,0.25
110000,2015,1.0,4,0.25
110000,2016,1.0,2,0.5
110000,2018,1.0,2,0.5
110000,2019,0.0,1,0.0
110001,2012,137.0,386,0.3549222797927461
110001,2013,153.0,382,0.4005235602094241
110001,2014,128.0,341,0.375366568914956
110001,2015,149.0,373,0.39946380697050937
110001,2016,132.0,326,0.4049079754601227
110001,2017,136.0,354,0.384180790960452
110001,2018,166.0,408,0.4068627450980392
110001,2019,169.0,367,0.4604904632152589
110001,2020,150.0,333,0.45045045045045046
110002,2012,189.0,1339,0.14115011202389843
110002,2013,425.0,1654,0.2569528415961306
110002,2014,611.0,1647,0.3709775349119611
110002,2015,551.0,1783,0.30902972518227706
110002,2016,134.0,1662,0.08062575210589651
110002,2017,92.0,1724,0.05336426914153132
110002,2018,487.0,1682,0.28953626634958385
110002,2019,675.0,1729,0.39039907460960094
110002,2020,590.0,1507,0.391506303915063
110003,2012,24.0,64,0.375
110003,2013,26.0,74,0.35135135135135137
110003,2014,25.0,75,0.3333333333333333
110003,2015,40.0,86,0.46511627906976744
110003,2016,26.0,73,0.3561643835616438
110003,2017,24.0,67,0.3582089552238806
110003,2018,25.0,82,0.3048780487804878
110003,2019,41.0,80,0.5125
110003,2020,20.0,69,0.2898550724637681
110004,2012,560.0,1201,0.466278101582015
110004,2013,485.0,1185,0.4092827004219409
110004,2014,586.0,1307,0.4483550114766641
110004,2015,575.0,1360,0.4227941176470588
110004,2016,603.0,1338,0.45067264573991034
110004,2017,673.0,1452,0.4634986225895317
110004,2018,626.0,1446,0.43291839557399725
110004,2019,574.0,1374,0.4177583697234352
110004,2020,593.0,1325,0.44754716981132076
110005,2012,37.0,245,0.1510204081632653
110005,2013,83.0,271,0.3062730627306273
110005,2014,82.0,250,0.328
110005,2015,99.0,277,0.3574007220216607
110005,2016,119.0,263,0.4524714828897338
110005,2017,117.0,277,0.4223826714801444
110005,2018,110.0,264,0.4166666666666667
110005,2019,83.0,237,0.350210970464135
110005,2020,100.0,269,0.37174721189591076
110006,2012,46.0,214,0.21495327102803738
110006,2013,108.0,256,0.421875
110006,2014,103.0,273,0.3772893772893773
110006,2015,120.0,251,0.47808764940239046
110006,2016,98.0,223,0.43946188340807174
110006,2017,110.0,243,0.45267489711934156
110006,2018,99.0,235,0.42127659574468085
110006,2019,90.0,214,0.4205607476635514
110006,2020,81.0,203,0.39901477832512317
110007,2012,20.0,116,0.1724137931034483
110007,2013,34.0,116,0.29310344827586204
110007,2014,36.0,125,0.288
110007,2015,46.0,111,0.4144144144144144
110007,2016,60.0,139,0.4316546762589928
110007,2017,36.0,87,0.41379310344827586
110007,2018,51.0,129,0.3953488372093023
110007,2019,54.0,127,0.4251968503937008
110007,2020,32.0,107,0.29906542056074764
110008,2012,71.0,234,0.3034188034188034
110008,2013,39.0,234,0.16666666666666666
110008,2014,91.0,267,0.3408239700374532
110008,2015,86.0,245,0.3510204081632653
110008,2016,88.0,213,0.4131455399061033
110008,2017,66.0,216,0.3055555555555556
110008,2018,97.0,246,0.3943089430894309
110008,2019,100.0,233,0.4291845493562232
110008,2020,54.0,190,0.28421052631578947
110009,2012,175.0,476,0.36764705882352944
110009,2013,155.0,463,0.3347732181425486
110009,2014,46.0,496,0.09274193548387097
110009,2015,34.0,548,0.06204379562043796
110009,2016,52.0,486,0.10699588477366255
110009,2017,44.0,533,0.0825515947467167
110009,2018,46.0,476,0.09663865546218488
110009,2019,30.0,450,0.06666666666666667
110009,2020,46.0,471,0.09766454352441614
110010,2012,296.0,940,0.3148936170212766
110010,2013,274.0,879,0.3117178612059158
110010,2014,314.0,923,0.3401950162513543
110010,2015,249.0,831,0.2996389891696751
110010,2016,297.0,884,0.33597285067873306
110010,2017,257.0,842,0.30522565320665085
110010,2018,312.0,926,0.3369330453563715
110010,2019,232.0,781,0.2970550576184379
110010,2020,284.0,858,0.331002331002331
110011,2012,321.0,808,0.3972772277227723
110011,2013,286.0,914,0.31291028446389496
110011,2014,405.0,867,0.4671280276816609
110011,2015,372.0,788,0.4720812182741117
110011,2016,408.0,807,0.5055762081784386
110011,2017,302.0,846,0.35697399527186763
110011,2018,226.0,911,0.24807903402854006
110011,2019,352.0,881,0.3995459704880817
110011,2020,359.0,892,0.4024663677130045
110012,2012,466.0,2075,0.22457831325301206
110012,2013,827.0,1971,0.419583967529173
110012,2014,882.0,1956,0.450920245398773
110012,2015,913.0,2094,0.43600764087870103
110012,2016,895.0,1976,0.45293522267206476
110012,2017,918.0,2050,0.4478048780487805
110012,2018,978.0,2278,0.4293239683933275
110012,2019,912.0,2182,0.41796516956920254
110012,2020,867.0,2133,0.40646976090014064
110013,2012,136.0,542,0.25092250922509224
110013,2013,50.0,514,0.09727626459143969
110013,2014,202.0,507,0.398422090729783
110013,2015,176.0,480,0.36666666666666664
110013,2016,119.0,398,0.2989949748743719
110013,2017,72.0,449,0.1603563474387528
110013,2018,157.0,517,0.3036750483558994
110013,2019,178.0,500,0.356
110013,2020,211.0,561,0.3761140819964349
110014,2012,125.0,271,0.4612546125461255
110014,2013,141.0,278,0.5071942446043165
110014,2014,114.0,254,0.44881889763779526
110014,2015,112.0,256,0.4375
110014,2016,139.0,276,0.5036231884057971
110014,2017,106.0,224,0.4732142857142857
110014,2018,129.0,290,0.44482758620689655
110014,2019,98.0,261,0.37547892720306514
110014,2020,90.0,230,0.391304347826087
