CODMUNRES,ano_nasc,Qtd_mais_de_3parto,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,2.0,16,0.125
110000,2014,0.0,4,0.0
110000,2015,1.0,4,0.25
110000,2016,1.0,2,0.5
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,20.0,386,0.05181347150259067
110001,2013,19.0,382,0.049738219895287955
110001,2014,19.0,341,0.05571847507331378
110001,2015,15.0,373,0.040214477211796246
110001,2016,19.0,326,0.05828220858895705
110001,2017,13.0,354,0.03672316384180791
110001,2018,14.0,408,0.03431372549019608
110001,2019,10.0,367,0.027247956403269755
110001,2020,9.0,333,0.02702702702702703
110002,2012,35.0,1339,0.026138909634055265
110002,2013,75.0,1654,0.04534461910519952
110002,2014,50.0,1647,0.030358227079538554
110002,2015,45.0,1783,0.025238362310712283
110002,2016,12.0,1662,0.007220216606498195
110002,2017,8.0,1724,0.004640371229698376
110002,2018,47.0,1682,0.02794292508917955
110002,2019,58.0,1729,0.0335454019664546
110002,2020,44.0,1507,0.029197080291970802
110003,2012,0.0,64,0.0
110003,2013,2.0,74,0.02702702702702703
110003,2014,0.0,75,0.0
110003,2015,1.0,86,0.011627906976744186
110003,2016,1.0,73,0.0136986301369863
110003,2017,1.0,67,0.014925373134328358
110003,2018,1.0,82,0.012195121951219513
110003,2019,2.0,80,0.025
110003,2020,4.0,69,0.057971014492753624
110004,2012,56.0,1201,0.0466278101582015
110004,2013,43.0,1185,0.036286919831223625
110004,2014,35.0,1307,0.026778882938026015
110004,2015,38.0,1360,0.027941176470588237
110004,2016,43.0,1338,0.032137518684603884
110004,2017,37.0,1452,0.025482093663911846
110004,2018,38.0,1446,0.02627939142461964
110004,2019,32.0,1374,0.023289665211062592
110004,2020,34.0,1325,0.025660377358490565
110005,2012,5.0,245,0.02040816326530612
110005,2013,6.0,271,0.02214022140221402
110005,2014,8.0,250,0.032
110005,2015,8.0,277,0.02888086642599278
110005,2016,3.0,263,0.011406844106463879
110005,2017,7.0,277,0.02527075812274368
110005,2018,7.0,264,0.026515151515151516
110005,2019,3.0,237,0.012658227848101266
110005,2020,6.0,269,0.022304832713754646
110006,2012,3.0,214,0.014018691588785047
110006,2013,6.0,256,0.0234375
110006,2014,8.0,273,0.029304029304029304
110006,2015,6.0,251,0.02390438247011952
110006,2016,3.0,223,0.013452914798206279
110006,2017,2.0,243,0.00823045267489712
110006,2018,6.0,235,0.02553191489361702
110006,2019,6.0,214,0.028037383177570093
110006,2020,5.0,203,0.024630541871921183
110007,2012,1.0,116,0.008620689655172414
110007,2013,7.0,116,0.0603448275862069
110007,2014,4.0,125,0.032
110007,2015,2.0,111,0.018018018018018018
110007,2016,6.0,139,0.04316546762589928
110007,2017,1.0,87,0.011494252873563218
110007,2018,3.0,129,0.023255813953488372
110007,2019,1.0,127,0.007874015748031496
110007,2020,4.0,107,0.037383177570093455
110008,2012,21.0,234,0.08974358974358974
110008,2013,18.0,234,0.07692307692307693
110008,2014,28.0,267,0.10486891385767791
110008,2015,19.0,245,0.07755102040816327
110008,2016,18.0,213,0.08450704225352113
110008,2017,9.0,216,0.041666666666666664
110008,2018,17.0,246,0.06910569105691057
110008,2019,18.0,233,0.07725321888412018
110008,2020,12.0,190,0.06315789473684211
110009,2012,34.0,476,0.07142857142857142
110009,2013,20.0,463,0.04319654427645788
110009,2014,34.0,496,0.06854838709677419
110009,2015,22.0,548,0.040145985401459854
110009,2016,21.0,486,0.043209876543209874
110009,2017,33.0,533,0.06191369606003752
110009,2018,18.0,476,0.037815126050420166
110009,2019,26.0,450,0.057777777777777775
110009,2020,26.0,471,0.055201698513800426
110010,2012,158.0,940,0.16808510638297872
110010,2013,156.0,879,0.17747440273037543
110010,2014,127.0,923,0.13759479956663057
110010,2015,149.0,831,0.1793020457280385
110010,2016,119.0,884,0.1346153846153846
110010,2017,139.0,842,0.16508313539192399
110010,2018,108.0,926,0.11663066954643629
110010,2019,89.0,781,0.11395646606914213
110010,2020,121.0,858,0.14102564102564102
110011,2012,14.0,808,0.017326732673267328
110011,2013,26.0,914,0.028446389496717725
110011,2014,27.0,867,0.031141868512110725
110011,2015,24.0,788,0.030456852791878174
110011,2016,15.0,807,0.01858736059479554
110011,2017,26.0,846,0.030732860520094562
110011,2018,23.0,911,0.025246981339187707
110011,2019,13.0,881,0.014755959137343927
110011,2020,19.0,892,0.021300448430493273
110012,2012,75.0,2075,0.03614457831325301
110012,2013,71.0,1971,0.03602232369355657
110012,2014,56.0,1956,0.028629856850715747
110012,2015,60.0,2094,0.02865329512893983
110012,2016,63.0,1976,0.03188259109311741
110012,2017,57.0,2050,0.027804878048780488
110012,2018,58.0,2278,0.025460930640913083
110012,2019,62.0,2182,0.02841429880843263
110012,2020,60.0,2133,0.02812939521800281
110013,2012,31.0,542,0.05719557195571956
110013,2013,34.0,514,0.06614785992217899
110013,2014,18.0,507,0.03550295857988166
110013,2015,23.0,480,0.04791666666666667
110013,2016,16.0,398,0.04020100502512563
110013,2017,23.0,449,0.051224944320712694
110013,2018,31.0,517,0.059961315280464215
110013,2019,21.0,500,0.042
110013,2020,24.0,561,0.0427807486631016
110014,2012,7.0,271,0.025830258302583026
110014,2013,3.0,278,0.01079136690647482
110014,2014,4.0,254,0.015748031496062992
