CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total,Ratio
110000,2012,1.0,2,0.5
110000,2013,9.0,16,0.5625
110000,2014,1.0,4,0.25
110000,2015,1.0,4,0.25
110000,2016,1.0,2,0.5
110000,2018,2.0,2,1.0
110000,2019,0.0,1,0.0
110001,2012,161.0,386,0.4170984455958549
110001,2013,145.0,382,0.3795811518324607
110001,2014,134.0,341,0.39296187683284456
110001,2015,128.0,373,0.34316353887399464
110001,2016,113.0,326,0.34662576687116564
110001,2017,105.0,354,0.2966101694915254
110001,2018,115.0,408,0.2818627450980392
110001,2019,90.0,367,0.2452316076294278
110002,2012,471.0,1339,0.35175504107542943
110002,2013,509.0,1654,0.30773881499395406
110002,2014,426.0,1647,0.2586520947176685
110002,2015,406.0,1783,0.22770611329220414
110002,2016,552.0,1662,0.33212996389891697
110002,2017,841.0,1724,0.48781902552204176
110002,2018,498.0,1682,0.29607609988109396
110002,2019,460.0,1729,0.26604973973395024
110003,2012,25.0,64,0.390625
110003,2013,26.0,74,0.35135135135135137
110003,2014,19.0,75,0.25333333333333335
110003,2015,19.0,86,0.22093023255813954
110003,2016,13.0,73,0.1780821917808219
110003,2017,14.0,67,0.208955223880597
110003,2018,6.0,82,0.07317073170731707
110003,2019,7.0,80,0.0875
110004,2012,264.0,1201,0.21981681931723562
110004,2013,248.0,1185,0.20928270042194091
110004,2014,196.0,1307,0.1499617444529457
110004,2015,192.0,1360,0.1411764705882353
110004,2016,154.0,1338,0.11509715994020926
110004,2017,176.0,1452,0.12121212121212122
110004,2018,147.0,1446,0.1016597510373444
110004,2019,113.0,1374,0.08224163027656478
110005,2012,66.0,245,0.2693877551020408
110005,2013,70.0,271,0.25830258302583026
110005,2014,53.0,250,0.212
110005,2015,67.0,277,0.24187725631768953
110005,2016,39.0,263,0.1482889733840304
110005,2017,47.0,277,0.16967509025270758
110005,2018,38.0,264,0.14393939393939395
110005,2019,36.0,237,0.1518987341772152
110006,2012,72.0,214,0.3364485981308411
110006,2013,59.0,256,0.23046875
110006,2014,46.0,273,0.1684981684981685
110006,2015,36.0,251,0.14342629482071714
110006,2016,30.0,223,0.13452914798206278
110006,2017,21.0,243,0.08641975308641975
110006,2018,19.0,235,0.08085106382978724
110006,2019,17.0,214,0.0794392523364486
110007,2012,50.0,116,0.43103448275862066
110007,2013,43.0,116,0.3706896551724138
110007,2014,44.0,125,0.352
110007,2015,35.0,111,0.3153153153153153
110007,2016,36.0,139,0.2589928057553957
110007,2017,16.0,87,0.1839080459770115
110007,2018,27.0,129,0.20930232558139536
110007,2019,22.0,127,0.1732283464566929
110008,2012,118.0,234,0.5042735042735043
110008,2013,82.0,234,0.3504273504273504
110008,2014,90.0,267,0.33707865168539325
110008,2015,66.0,245,0.2693877551020408
110008,2016,56.0,213,0.26291079812206575
110008,2017,63.0,216,0.2916666666666667
110008,2018,63.0,246,0.25609756097560976
110008,2019,65.0,233,0.27896995708154504
110009,2012,168.0,476,0.35294117647058826
110009,2013,151.0,463,0.326133909287257
110009,2014,179.0,496,0.36088709677419356
110009,2015,220.0,548,0.40145985401459855
110009,2016,201.0,486,0.41358024691358025
110009,2017,219.0,533,0.41088180112570355
110009,2018,158.0,476,0.3319327731092437
110009,2019,119.0,450,0.2644444444444444
110010,2012,529.0,940,0.5627659574468085
110010,2013,377.0,879,0.42889647326507396
110010,2014,381.0,923,0.41278439869989164
110010,2015,273.0,831,0.3285198555956679
110010,2016,257.0,884,0.2907239819004525
110010,2017,261.0,842,0.30997624703087884
110010,2018,302.0,926,0.326133909287257
110010,2019,156.0,781,0.1997439180537772
110011,2012,266.0,808,0.3292079207920792
110011,2013,247.0,914,0.2702407002188184
110011,2014,171.0,867,0.1972318339100346
110011,2015,144.0,788,0.18274111675126903
110011,2016,150.0,807,0.18587360594795538
110011,2017,153.0,846,0.18085106382978725
110011,2018,130.0,911,0.14270032930845225
110011,2019,129.0,881,0.14642451759364358
110012,2012,641.0,2075,0.3089156626506024
110012,2013,486.0,1971,0.2465753424657534
110012,2014,294.0,1956,0.15030674846625766
110012,2015,263.0,2094,0.1255969436485196
110012,2016,432.0,1976,0.21862348178137653
110012,2017,269.0,2050,0.13121951219512196
110012,2018,370.0,2278,0.16242317822651448
110012,2019,318.0,2182,0.1457378551787351
110013,2012,218.0,542,0.4022140221402214
110013,2013,181.0,514,0.3521400778210117
110013,2014,172.0,507,0.33925049309664695
110013,2015,173.0,480,0.36041666666666666
110013,2016,152.0,398,0.38190954773869346
110013,2017,184.0,449,0.40979955456570155
110013,2018,162.0,517,0.31334622823984526
110013,2019,163.0,500,0.326
110014,2012,121.0,271,0.44649446494464945
110014,2013,116.0,278,0.4172661870503597
110014,2014,85.0,254,0.3346456692913386
110014,2015,85.0,256,0.33203125
110014,2016,63.0,276,0.22826086956521738
110014,2017,59.0,224,0.26339285714285715
110014,2018,57.0,290,0.19655172413793104
110014,2019,40.0,261,0.1532567049808429
