CODMUNRES,ano_nasc,Qtd_Consultas_Pre_Natal,Qtd_Total,Ratio
110000,2012,1,2,0.5
110000,2013,0,16,0.0
110000,2014,0,4,0.0
110000,2015,1,4,0.25
110000,2016,1,2,0.5
110000,2018,0,2,0.0
110000,2019,0,1,0.0
110001,2012,84,386,0.21761658031088082
110001,2013,0,382,0.0
110001,2014,76,341,0.22287390029325513
110001,2015,83,373,0.2225201072386059
110001,2016,77,326,0.2361963190184049
110001,2017,76,354,0.21468926553672316
110001,2018,82,408,0.20098039215686275
110001,2019,74,367,0.2016348773841962
110001,2020,57,333,0.17117117117117117
110002,2012,242,1339,0.18073188946975355
110002,2013,0,1654,0.0
110002,2014,256,1647,0.1554341226472374
110002,2015,248,1783,0.13909141895681434
110002,2016,54,1662,0.032490974729241874
110002,2017,37,1724,0.021461716937354988
110002,2018,218,1682,0.12960760998810938
110002,2019,267,1729,0.15442452284557548
110002,2020,209,1507,0.1386861313868613
110003,2012,8,64,0.125
110003,2013,0,74,0.0
110003,2014,21,75,0.28
110003,2015,17,86,0.19767441860465115
110003,2016,12,73,0.1643835616438356
110003,2017,7,67,0.1044776119402985
110003,2018,22,82,0.2682926829268293
110003,2019,17,80,0.2125
110003,2020,8,69,0.11594202898550725
110004,2012,199,1201,0.16569525395503748
110004,2013,0,1185,0.0
110004,2014,205,1307,0.1568477429227238
110004,2015,225,1360,0.16544117647058823
110004,2016,194,1338,0.14499252615844543
110004,2017,173,1452,0.11914600550964187
110004,2018,206,1446,0.14246196403872752
110004,2019,190,1374,0.13828238719068414
110004,2020,172,1325,0.129811320754717
110005,2012,43,245,0.17551020408163265
110005,2013,0,271,0.0
110005,2014,49,250,0.196
110005,2015,53,277,0.19133574007220217
110005,2016,42,263,0.1596958174904943
110005,2017,48,277,0.17328519855595667
110005,2018,43,264,0.16287878787878787
110005,2019,25,237,0.10548523206751055
110005,2020,35,269,0.13011152416356878
110006,2012,26,214,0.12149532710280374
110006,2013,0,256,0.0
110006,2014,36,273,0.13186813186813187
110006,2015,42,251,0.16733067729083664
110006,2016,29,223,0.13004484304932734
110006,2017,23,243,0.09465020576131687
110006,2018,27,235,0.1148936170212766
110006,2019,26,214,0.12149532710280374
110006,2020,22,203,0.10837438423645321
110007,2012,15,116,0.12931034482758622
110007,2013,0,116,0.0
110007,2014,22,125,0.176
110007,2015,31,111,0.27927927927927926
110007,2016,31,139,0.22302158273381295
110007,2017,16,87,0.1839080459770115
110007,2018,17,129,0.13178294573643412
110007,2019,18,127,0.14173228346456693
110007,2020,10,107,0.09345794392523364
110008,2012,41,234,0.1752136752136752
110008,2013,0,234,0.0
110008,2014,47,267,0.1760299625468165
110008,2015,51,245,0.20816326530612245
110008,2016,31,213,0.14553990610328638
110008,2017,22,216,0.10185185185185185
110008,2018,28,246,0.11382113821138211
110008,2019,29,233,0.12446351931330472
110008,2020,23,190,0.12105263157894737
110009,2012,96,476,0.20168067226890757
110009,2013,0,463,0.0
110009,2014,121,496,0.2439516129032258
110009,2015,122,548,0.22262773722627738
110009,2016,90,486,0.18518518518518517
110009,2017,88,533,0.1651031894934334
110009,2018,74,476,0.15546218487394958
110009,2019,54,450,0.12
110009,2020,69,471,0.1464968152866242
110010,2012,53,940,0.05638297872340425
110010,2013,0,879,0.0
110010,2014,124,923,0.13434452871072589
110010,2015,96,831,0.11552346570397112
110010,2016,105,884,0.11877828054298642
110010,2017,101,842,0.11995249406175772
110010,2018,92,926,0.09935205183585313
110010,2019,74,781,0.09475032010243278
110010,2020,67,858,0.0780885780885781
110011,2012,177,808,0.21905940594059406
110011,2013,0,914,0.0
110011,2014,171,867,0.1972318339100346
110011,2015,135,788,0.1713197969543147
110011,2016,163,807,0.20198265179677818
110011,2017,154,846,0.18203309692671396
110011,2018,118,911,0.12952799121844127
110011,2019,136,881,0.1543700340522134
110011,2020,90,892,0.10089686098654709
110012,2012,291,2075,0.14024096385542167
110012,2013,0,1971,0.0
110012,2014,356,1956,0.18200408997955012
110012,2015,325,2094,0.15520534861509075
110012,2016,293,1976,0.14827935222672065
110012,2017,202,2050,0.09853658536585366
110012,2018,279,2278,0.12247585601404741
110012,2019,221,2182,0.10128322639780019
110012,2020,210,2133,0.09845288326300984
110013,2012,90,542,0.16605166051660517
110013,2013,0,514,0.0
110013,2014,83,507,0.16370808678500987
110013,2015,59,480,0.12291666666666666
110013,2016,41,398,0.10301507537688442
110013,2017,55,449,0.12249443207126949
110013,2018,74,517,0.14313346228239845
110013,2019,70,500,0.14
110013,2020,66,561,0.11764705882352941
110014,2012,53,271,0.19557195571955718
110014,2013,0,278,0.0
110014,2014,56,254,0.2204724409448819
110014,2015,50,256,0.1953125
110014,2016,63,276,0.22826086956521738
110014,2017,50,224,0.22321428571428573
110014,2018,67,290,0.23103448275862068
110014,2019,46,261,0.17624521072796934
110014,2020,32,230,0.1391304347826087
110015,2012,109,647,0.16846986089644514
110015,2013,0,639,0.0
110015,2014,74,674,0.10979228486646884
110015,2015,116,767,0.15123859191655803
110015,2016,97,582,0.16666666666666666
110015,2017,96,578,0.16608996539792387
110015,2018,96,614,0.1563517915309446
110015,2019,92,631,0.14580031695721077
110015,2020,92,600,0.15333333333333332
110018,2012,119,553,0.21518987341772153
110018,2013,0,581,0.0
110018,2014,107,597,0.17922948073701842
110018,2015,108,594,0.18181818181818182
110018,2016,102,601,0.16971713810316139
110018,2017,80,615,0.13008130081300814
110018,2018,90,651,0.1382488479262673
110018,2019,80,616,0.12987012987012986
110018,2020,68,579,0.11744386873920552
110020,2012,1118,8941,0.12504194161726875
110020,2013,0,8927,0.0
110020,2014,837,9130,0.09167579408543264
110020,2015,1126,9093,0.12383151875068735
110020,2016,1124,8611,0.1305307165253745
110020,2017,1116,8800,0.12681818181818183
110020,2018,1176,8752,0.1343692870201097
110020,2019,1181,8437,0.1399786654023942
110020,2020,952,7893,0.1206132015710123
110025,2012,34,243,0.13991769547325103
110025,2013,0,258,0.0
110025,2014,57,289,0.1972318339100346
110025,2015,52,262,0.1984732824427481
110025,2016,61,276,0.2210144927536232
110025,2017,62,289,0.21453287197231835
110025,2018,53,294,0.18027210884353742
110025,2019,59,304,0.19407894736842105
110025,2020,42,259,0.16216216216216217
110026,2012,8,41,0.1951219512195122
110026,2013,0,38,0.0
110026,2014,7,36,0.19444444444444445
110026,2015,5,36,0.1388888888888889
110026,2016,2,35,0.05714285714285714
110026,2017,2,49,0.04081632653061224
110026,2018,6,46,0.13043478260869565
110026,2019,11,50,0.22
110026,2020,8,48,0.16666666666666666
110028,2012,182,927,0.19633225458468176
110028,2013,0,879,0.0
110028,2014,150,947,0.1583949313621964
110028,2015,188,936,0.20085470085470086
110028,2016,141,855,0.1649122807017544
110028,2017,173,963,0.17964693665628245
110028,2018,159,900,0.17666666666666667
110028,2019,142,927,0.15318230852211434
110028,2020,143,877,0.1630558722919042
110029,2012,30,118,0.2542372881355932
110029,2013,0,98,0.0
110029,2014,20,103,0.1941747572815534
