CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total,Ratio
110000,2012,1.0,2,0.5
110000,2013,6.0,16,0.375
110000,2014,4.0,4,1.0
110000,2015,4.0,4,1.0
110000,2016,0.0,2,0.0
110000,2018,1.0,2,0.5
110000,2019,0.0,1,0.0
110001,2012,267.0,386,0.6917098445595855
110001,2013,272.0,382,0.7120418848167539
110001,2014,238.0,341,0.6979472140762464
110001,2015,271.0,373,0.7265415549597856
110001,2016,226.0,326,0.6932515337423313
110001,2017,278.0,354,0.7853107344632768
110001,2018,318.0,408,0.7794117647058824
110001,2019,295.0,367,0.8038147138964578
110002,2012,970.0,1339,0.7244212098581031
110002,2013,1194.0,1654,0.7218863361547763
110002,2014,1164.0,1647,0.7067395264116576
110002,2015,1278.0,1783,0.7167694896242288
110002,2016,1187.0,1662,0.7141997593261131
110002,2017,1223.0,1724,0.7093967517401392
110002,2018,1169.0,1682,0.6950059453032105
110002,2019,1176.0,1729,0.680161943319838
110003,2012,52.0,64,0.8125
110003,2013,63.0,74,0.8513513513513513
110003,2014,60.0,75,0.8
110003,2015,68.0,86,0.7906976744186046
110003,2016,60.0,73,0.821917808219178
110003,2017,51.0,67,0.7611940298507462
110003,2018,64.0,82,0.7804878048780488
110003,2019,60.0,80,0.75
110004,2012,925.0,1201,0.7701915070774354
110004,2013,958.0,1185,0.8084388185654009
110004,2014,1090.0,1307,0.8339709257842387
110004,2015,1104.0,1360,0.8117647058823529
110004,2016,1058.0,1338,0.7907324364723468
110004,2017,1165.0,1452,0.8023415977961432
110004,2018,1171.0,1446,0.809820193637621
110004,2019,1113.0,1374,0.8100436681222707
110005,2012,207.0,245,0.8448979591836735
110005,2013,229.0,271,0.8450184501845018
110005,2014,198.0,250,0.792
110005,2015,213.0,277,0.7689530685920578
110005,2016,213.0,263,0.8098859315589354
110005,2017,216.0,277,0.779783393501805
110005,2018,191.0,264,0.7234848484848485
110005,2019,179.0,237,0.7552742616033755
110006,2012,145.0,214,0.677570093457944
110006,2013,203.0,256,0.79296875
110006,2014,231.0,273,0.8461538461538461
110006,2015,184.0,251,0.7330677290836654
110006,2016,167.0,223,0.7488789237668162
110006,2017,189.0,243,0.7777777777777778
110006,2018,174.0,235,0.7404255319148936
110006,2019,160.0,214,0.7476635514018691
110007,2012,89.0,116,0.7672413793103449
110007,2013,84.0,116,0.7241379310344828
110007,2014,107.0,125,0.856
110007,2015,85.0,111,0.7657657657657657
110007,2016,110.0,139,0.7913669064748201
110007,2017,67.0,87,0.7701149425287356
110007,2018,90.0,129,0.6976744186046512
110007,2019,90.0,127,0.7086614173228346
110008,2012,148.0,234,0.6324786324786325
110008,2013,148.0,234,0.6324786324786325
110008,2014,139.0,267,0.5205992509363296
110008,2015,155.0,245,0.6326530612244898
110008,2016,142.0,213,0.6666666666666666
110008,2017,139.0,216,0.6435185185185185
110008,2018,159.0,246,0.6463414634146342
110008,2019,148.0,233,0.6351931330472103
110009,2012,352.0,476,0.7394957983193278
110009,2013,363.0,463,0.7840172786177105
110009,2014,422.0,496,0.8508064516129032
110009,2015,465.0,548,0.8485401459854015
110009,2016,381.0,486,0.7839506172839507
110009,2017,413.0,533,0.774859287054409
110009,2018,385.0,476,0.8088235294117647
110009,2019,377.0,450,0.8377777777777777
110010,2012,406.0,940,0.4319148936170213
110010,2013,395.0,879,0.44937428896473264
110010,2014,390.0,923,0.4225352112676056
110010,2015,316.0,831,0.3802647412755716
110010,2016,355.0,884,0.40158371040723984
110010,2017,302.0,842,0.3586698337292161
110010,2018,330.0,926,0.3563714902807775
110010,2019,303.0,781,0.3879641485275288
110011,2012,600.0,808,0.7425742574257426
110011,2013,687.0,914,0.7516411378555798
110011,2014,688.0,867,0.7935409457900807
110011,2015,588.0,788,0.7461928934010152
110011,2016,599.0,807,0.7422552664188352
110011,2017,615.0,846,0.7269503546099291
110011,2018,694.0,911,0.7618002195389681
110011,2019,623.0,881,0.7071509648127128
110012,2012,1283.0,2075,0.6183132530120482
110012,2013,1250.0,1971,0.6341958396752917
110012,2014,1201.0,1956,0.6140081799591002
110012,2015,1397.0,2094,0.6671442215854824
110012,2016,1331.0,1976,0.673582995951417
110012,2017,1270.0,2050,0.6195121951219512
110012,2018,1416.0,2278,0.6215978928884986
110012,2019,1384.0,2182,0.6342804766269478
110013,2012,314.0,542,0.5793357933579336
110013,2013,282.0,514,0.5486381322957199
110013,2014,291.0,507,0.5739644970414202
110013,2015,276.0,480,0.575
110013,2016,235.0,398,0.5904522613065326
110013,2017,242.0,449,0.5389755011135857
110013,2018,307.0,517,0.5938104448742747
110013,2019,299.0,500,0.598
110014,2012,243.0,271,0.8966789667896679
110014,2013,253.0,278,0.9100719424460432
110014,2014,236.0,254,0.9291338582677166
110014,2015,228.0,256,0.890625
110014,2016,247.0,276,0.894927536231884
110014,2017,208.0,224,0.9285714285714286
110014,2018,269.0,290,0.9275862068965517
110014,2019,231.0,261,0.8850574712643678
110015,2012,479.0,647,0.740340030911901
110015,2013,493.0,639,0.7715179968701096
110015,2014,513.0,674,0.7611275964391692
110015,2015,613.0,767,0.7992177314211213
110015,2016,459.0,582,0.788659793814433
110015,2017,431.0,578,0.745674740484429
110015,2018,482.0,614,0.7850162866449512
110015,2019,458.0,631,0.7258320126782885
110018,2012,423.0,553,0.7649186256781193
110018,2013,494.0,581,0.8502581755593803
110018,2014,507.0,597,0.8492462311557789
110018,2015,495.0,594,0.8333333333333334
110018,2016,518.0,601,0.8618968386023295
110018,2017,551.0,615,0.8959349593495934
110018,2018,568.0,651,0.8725038402457758
110018,2019,529.0,616,0.8587662337662337
110020,2012,4987.0,8941,0.5577675875181747
110020,2013,4740.0,8927,0.5309734513274337
110020,2014,4744.0,9130,0.51960569550931
110020,2015,4866.0,9093,0.535136918508743
110020,2016,4533.0,8611,0.5264196957380095
110020,2017,4692.0,8800,0.5331818181818182
110020,2018,4678.0,8752,0.5345063985374772
110020,2019,4702.0,8437,0.557307099679981
110025,2012,148.0,243,0.6090534979423868
110025,2013,169.0,258,0.6550387596899225
110025,2014,191.0,289,0.6608996539792388
110025,2015,187.0,262,0.7137404580152672
110025,2016,176.0,276,0.6376811594202898
110025,2017,210.0,289,0.726643598615917
110025,2018,217.0,294,0.7380952380952381
110025,2019,220.0,304,0.7236842105263158
110026,2012,28.0,41,0.6829268292682927
110026,2013,28.0,38,0.7368421052631579
110026,2014,27.0,36,0.75
110026,2015,28.0,36,0.7777777777777778
110026,2016,19.0,35,0.5428571428571428
110026,2017,41.0,49,0.8367346938775511
110026,2018,23.0,46,0.5
110026,2019,31.0,50,0.62
110028,2012,801.0,927,0.8640776699029126
110028,2013,773.0,879,0.8794084186575654
110028,2014,835.0,947,0.8817317845828934
110028,2015,814.0,936,0.8696581196581197
110028,2016,737.0,855,0.8619883040935673
110028,2017,863.0,963,0.8961578400830738
110028,2018,818.0,900,0.9088888888888889
110028,2019,835.0,927,0.9007551240560949
110029,2012,103.0,118,0.8728813559322034
110029,2013,85.0,98,0.8673469387755102
110029,2014,91.0,103,0.883495145631068
110029,2015,97.0,109,0.8899082568807339
110029,2016,97.0,114,0.8508771929824561
110029,2017,97.0,112,0.8660714285714286
110029,2018,94.0,103,0.912621359223301
110029,2019,87.0,99,0.8787878787878788
110030,2012,984.0,1269,0.7754137115839244
110030,2013,1073.0,1388,0.7730547550432276
110030,2014,1152.0,1418,0.8124118476727785
110030,2015,1189.0,1535,0.7745928338762215
110030,2016,1163.0,1427,0.8149964961457603
110030,2017,1157.0,1465,0.7897610921501707
110030,2018,1136.0,1557,0.7296082209377007
110030,2019,1199.0,1590,0.7540880503144655
110032,2012,238.0,313,0.7603833865814696
110032,2013,290.0,355,0.8169014084507042
110032,2014,273.0,364,0.75
110032,2015,243.0,311,0.7813504823151125
110032,2016,286.0,337,0.8486646884272997
110032,2017,334.0,372,0.8978494623655914
110032,2018,336.0,391,0.8593350383631714
110032,2019,306.0,353,0.8668555240793201
110033,2012,206.0,383,0.5378590078328982
110033,2013,220.0,416,0.5288461538461539
110033,2014,246.0,425,0.5788235294117647
110033,2015,233.0,404,0.5767326732673267
110033,2016,230.0,411,0.559610705596107
110033,2017,260.0,487,0.5338809034907598
110033,2018,253.0,482,0.524896265560166
110033,2019,239.0,432,0.5532407407407407
110034,2012,116.0,189,0.6137566137566137
110034,2013,133.0,220,0.6045454545454545
110034,2014,101.0,184,0.5489130434782609
110034,2015,130.0,200,0.65
110034,2016,117.0,166,0.7048192771084337
110034,2017,120.0,178,0.6741573033707865
110034,2018,107.0,162,0.6604938271604939
110034,2019,147.0,205,0.7170731707317073
110037,2012,155.0,189,0.8201058201058201
110037,2013,133.0,163,0.8159509202453987
110037,2014,146.0,172,0.8488372093023255
110037,2015,123.0,149,0.825503355704698
110037,2016,139.0,168,0.8273809523809523
110037,2017,158.0,172,0.9186046511627907
110037,2018,138.0,160,0.8625
110037,2019,124.0,154,0.8051948051948052
110040,2012,146.0,194,0.7525773195876289
110040,2013,159.0,211,0.7535545023696683
110040,2014,201.0,254,0.7913385826771654
110040,2015,195.0,247,0.7894736842105263
110040,2016,160.0,220,0.7272727272727273
110040,2017,178.0,242,0.7355371900826446
110040,2018,143.0,219,0.6529680365296804
110040,2019,169.0,226,0.7477876106194691
110045,2012,438.0,555,0.7891891891891892
110045,2013,506.0,598,0.8461538461538461
110045,2014,510.0,620,0.8225806451612904
110045,2015,492.0,608,0.8092105263157895
110045,2016,483.0,624,0.7740384615384616
110045,2017,504.0,632,0.7974683544303798
110045,2018,493.0,617,0.7990275526742301
110045,2019,430.0,583,0.7375643224699828
110050,2012,103.0,125,0.824
110050,2013,109.0,122,0.8934426229508197
110050,2014,82.0,93,0.8817204301075269
110050,2015,95.0,109,0.8715596330275229
110050,2016,85.0,95,0.8947368421052632
110050,2017,82.0,91,0.9010989010989011
110050,2018,97.0,111,0.8738738738738738
110050,2019,88.0,98,0.8979591836734694
110060,2012,48.0,61,0.7868852459016393
110060,2013,48.0,63,0.7619047619047619
110060,2014,45.0,58,0.7758620689655172
110060,2015,53.0,72,0.7361111111111112
