CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,1.0,4,0.25
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,21.0,386,0.054404145077720206
110001,2013,0.0,382,0.0
110001,2014,14.0,341,0.04105571847507331
110001,2015,22.0,373,0.058981233243967826
110001,2016,14.0,326,0.04294478527607362
110001,2017,17.0,354,0.0480225988700565
110001,2018,33.0,408,0.08088235294117647
110001,2019,46.0,367,0.12534059945504086
110001,2020,35.0,333,0.10510510510510511
110002,2012,199.0,1339,0.1486183719193428
110002,2013,0.0,1654,0.0
110002,2014,260.0,1647,0.15786278081360047
110002,2015,221.0,1783,0.12394840157038699
110002,2016,31.0,1662,0.01865222623345367
110002,2017,17.0,1724,0.009860788863109048
110002,2018,88.0,1682,0.052318668252080855
110002,2019,133.0,1729,0.07692307692307693
110002,2020,190.0,1507,0.126078301260783
110003,2012,4.0,64,0.0625
110003,2013,0.0,74,0.0
110003,2014,4.0,75,0.05333333333333334
110003,2015,3.0,86,0.03488372093023256
110003,2016,1.0,73,0.0136986301369863
110003,2017,1.0,67,0.014925373134328358
110003,2018,6.0,82,0.07317073170731707
110003,2019,15.0,80,0.1875
110003,2020,4.0,69,0.057971014492753624
110004,2012,171.0,1201,0.14238134887593673
110004,2013,0.0,1185,0.0
110004,2014,142.0,1307,0.10864575363427698
110004,2015,103.0,1360,0.07573529411764705
110004,2016,104.0,1338,0.07772795216741404
110004,2017,141.0,1452,0.09710743801652892
110004,2018,145.0,1446,0.10027662517289074
110004,2019,119.0,1374,0.08660844250363901
110004,2020,158.0,1325,0.11924528301886793
110005,2012,24.0,245,0.09795918367346938
110005,2013,0.0,271,0.0
110005,2014,44.0,250,0.176
110005,2015,33.0,277,0.11913357400722022
110005,2016,22.0,263,0.08365019011406843
110005,2017,17.0,277,0.061371841155234655
110005,2018,33.0,264,0.125
110005,2019,13.0,237,0.05485232067510549
110005,2020,36.0,269,0.13382899628252787
110006,2012,8.0,214,0.037383177570093455
110006,2013,0.0,256,0.0
110006,2014,34.0,273,0.12454212454212454
110006,2015,18.0,251,0.07171314741035857
110006,2016,11.0,223,0.04932735426008968
110006,2017,12.0,243,0.04938271604938271
110006,2018,23.0,235,0.09787234042553192
110006,2019,15.0,214,0.07009345794392523
110006,2020,30.0,203,0.1477832512315271
110007,2012,1.0,116,0.008620689655172414
110007,2013,0.0,116,0.0
110007,2014,17.0,125,0.136
110007,2015,13.0,111,0.11711711711711711
110007,2016,3.0,139,0.02158273381294964
110007,2017,6.0,87,0.06896551724137931
110007,2018,7.0,129,0.05426356589147287
110007,2019,11.0,127,0.08661417322834646
110007,2020,7.0,107,0.06542056074766354
110008,2012,7.0,234,0.029914529914529916
110008,2013,0.0,234,0.0
110008,2014,11.0,267,0.04119850187265917
110008,2015,7.0,245,0.02857142857142857
110008,2016,16.0,213,0.07511737089201878
110008,2017,8.0,216,0.037037037037037035
110008,2018,7.0,246,0.028455284552845527
110008,2019,11.0,233,0.04721030042918455
110008,2020,7.0,190,0.03684210526315789
110009,2012,26.0,476,0.0546218487394958
110009,2013,0.0,463,0.0
110009,2014,10.0,496,0.020161290322580645
110009,2015,6.0,548,0.010948905109489052
110009,2016,6.0,486,0.012345679012345678
110009,2017,10.0,533,0.01876172607879925
110009,2018,17.0,476,0.03571428571428571
110009,2019,5.0,450,0.011111111111111112
110009,2020,4.0,471,0.008492569002123142
110010,2012,5.0,940,0.005319148936170213
110010,2013,0.0,879,0.0
110010,2014,4.0,923,0.004333694474539545
110010,2015,5.0,831,0.006016847172081829
110010,2016,14.0,884,0.01583710407239819
110010,2017,19.0,842,0.022565320665083134
110010,2018,14.0,926,0.01511879049676026
110010,2019,16.0,781,0.020486555697823303
110010,2020,14.0,858,0.016317016317016316
110011,2012,95.0,808,0.11757425742574257
110011,2013,0.0,914,0.0
110011,2014,143.0,867,0.16493656286043828
110011,2015,111.0,788,0.14086294416243655
110011,2016,109.0,807,0.13506815365551425
110011,2017,89.0,846,0.10520094562647754
110011,2018,63.0,911,0.06915477497255763
110011,2019,34.0,881,0.03859250851305335
110011,2020,43.0,892,0.04820627802690583
110012,2012,207.0,2075,0.09975903614457832
110012,2013,0.0,1971,0.0
110012,2014,155.0,1956,0.07924335378323108
110012,2015,211.0,2094,0.10076408787010506
110012,2016,131.0,1976,0.06629554655870445
110012,2017,156.0,2050,0.07609756097560975
110012,2018,163.0,2278,0.07155399473222125
110012,2019,197.0,2182,0.09028414298808432
110012,2020,151.0,2133,0.07079231129864041
110013,2012,51.0,542,0.0940959409594096
110013,2013,0.0,514,0.0
110013,2014,55.0,507,0.10848126232741617
110013,2015,46.0,480,0.09583333333333334
