CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,1.0,2,0.5
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,10.0,386,0.025906735751295335
110001,2013,0.0,382,0.0
110001,2014,3.0,341,0.008797653958944282
110001,2015,6.0,373,0.0160857908847185
110001,2016,8.0,326,0.024539877300613498
110001,2017,20.0,354,0.05649717514124294
110001,2018,3.0,408,0.007352941176470588
110001,2019,11.0,367,0.02997275204359673
110001,2020,7.0,333,0.021021021021021023
110002,2012,309.0,1339,0.23076923076923078
110002,2013,0.0,1654,0.0
110002,2014,91.0,1647,0.05525197328476017
110002,2015,512.0,1783,0.2871564778463264
110002,2016,1340.0,1662,0.8062575210589651
110002,2017,1486.0,1724,0.8619489559164734
110002,2018,367.0,1682,0.21819262782401902
110002,2019,17.0,1729,0.009832272990167727
110002,2020,5.0,1507,0.0033178500331785005
110003,2012,6.0,64,0.09375
110003,2013,0.0,74,0.0
110003,2014,12.0,75,0.16
110003,2015,7.0,86,0.08139534883720931
110003,2016,0.0,73,0.0
110003,2017,2.0,67,0.029850746268656716
110003,2018,3.0,82,0.036585365853658534
110003,2019,0.0,80,0.0
110003,2020,4.0,69,0.057971014492753624
110004,2012,19.0,1201,0.01582014987510408
110004,2013,0.0,1185,0.0
110004,2014,24.0,1307,0.018362662586074982
110004,2015,33.0,1360,0.02426470588235294
110004,2016,21.0,1338,0.01569506726457399
110004,2017,11.0,1452,0.007575757575757576
110004,2018,6.0,1446,0.004149377593360996
110004,2019,4.0,1374,0.002911208151382824
110004,2020,4.0,1325,0.0030188679245283017
110005,2012,26.0,245,0.10612244897959183
110005,2013,0.0,271,0.0
110005,2014,5.0,250,0.02
110005,2015,18.0,277,0.06498194945848375
110005,2016,5.0,263,0.019011406844106463
110005,2017,6.0,277,0.021660649819494584
110005,2018,1.0,264,0.003787878787878788
110005,2019,8.0,237,0.03375527426160337
110005,2020,9.0,269,0.03345724907063197
110006,2012,11.0,214,0.0514018691588785
110006,2013,0.0,256,0.0
110006,2014,9.0,273,0.03296703296703297
110006,2015,14.0,251,0.055776892430278883
110006,2016,1.0,223,0.004484304932735426
110006,2017,12.0,243,0.04938271604938271
110006,2018,0.0,235,0.0
110006,2019,1.0,214,0.004672897196261682
110006,2020,4.0,203,0.019704433497536946
110007,2012,11.0,116,0.09482758620689655
110007,2013,0.0,116,0.0
110007,2014,3.0,125,0.024
110007,2015,12.0,111,0.10810810810810811
110007,2016,0.0,139,0.0
110007,2017,0.0,87,0.0
110007,2018,3.0,129,0.023255813953488372
110007,2019,4.0,127,0.031496062992125984
110007,2020,2.0,107,0.018691588785046728
110008,2012,12.0,234,0.05128205128205128
110008,2013,0.0,234,0.0
110008,2014,6.0,267,0.02247191011235955
110008,2015,5.0,245,0.02040816326530612
110008,2016,8.0,213,0.03755868544600939
110008,2017,9.0,216,0.041666666666666664
110008,2018,3.0,246,0.012195121951219513
110008,2019,10.0,233,0.04291845493562232
110008,2020,11.0,190,0.05789473684210526
110009,2012,5.0,476,0.01050420168067227
110009,2013,0.0,463,0.0
110009,2014,45.0,496,0.0907258064516129
110009,2015,59.0,548,0.10766423357664233
110009,2016,42.0,486,0.08641975308641975
110009,2017,58.0,533,0.10881801125703565
110009,2018,36.0,476,0.07563025210084033
110009,2019,40.0,450,0.08888888888888889
110009,2020,1.0,471,0.0021231422505307855
110010,2012,10.0,940,0.010638297872340425
110010,2013,0.0,879,0.0
110010,2014,17.0,923,0.018418201516793065
110010,2015,16.0,831,0.019253910950661854
110010,2016,42.0,884,0.04751131221719457
110010,2017,93.0,842,0.11045130641330166
110010,2018,220.0,926,0.23758099352051837
110010,2019,69.0,781,0.088348271446863
110010,2020,56.0,858,0.06526806526806526
110011,2012,39.0,808,0.04826732673267327
110011,2013,0.0,914,0.0
110011,2014,94.0,867,0.10841983852364476
110011,2015,62.0,788,0.07868020304568528
110011,2016,29.0,807,0.03593556381660471
110011,2017,43.0,846,0.0508274231678487
110011,2018,11.0,911,0.012074643249176729
110011,2019,13.0,881,0.014755959137343927
110011,2020,42.0,892,0.04708520179372197
110012,2012,340.0,2075,0.163855421686747
110012,2013,0.0,1971,0.0
110012,2014,98.0,1956,0.050102249488752554
110012,2015,73.0,2094,0.034861509073543455
110012,2016,93.0,1976,0.04706477732793522
110012,2017,441.0,2050,0.2151219512195122
110012,2018,185.0,2278,0.08121158911325724
110012,2019,248.0,2182,0.11365719523373052
110012,2020,305.0,2133,0.14299109235818097
110013,2012,101.0,542,0.1863468634686347
110013,2013,0.0,514,0.0
110013,2014,24.0,507,0.047337278106508875
110013,2015,47.0,480,0.09791666666666667
110013,2016,116.0,398,0.2914572864321608
