CODMUNRES,ano_nasc,Qtd_Nascimentos_Prematuros,Qtd_Total,Ratio
110000,2012,1.0,2,0.5
110000,2013,1.0,16,0.0625
110000,2014,0.0,4,0.0
110000,2015,1.0,4,0.25
110000,2016,0.0,2,0.0
110000,2018,1.0,2,0.5
110000,2019,1.0,1,1.0
110001,2012,29.0,386,0.07512953367875648
110001,2013,23.0,382,0.060209424083769635
110001,2014,28.0,341,0.08211143695014662
110001,2015,36.0,373,0.09651474530831099
110001,2016,35.0,326,0.10736196319018405
110001,2017,17.0,354,0.0480225988700565
110001,2018,40.0,408,0.09803921568627451
110001,2019,33.0,367,0.08991825613079019
110001,2020,21.0,333,0.06306306306306306
110002,2012,128.0,1339,0.09559372666168783
110002,2013,149.0,1654,0.09008464328899637
110002,2014,132.0,1647,0.08014571948998178
110002,2015,130.0,1783,0.07291082445316882
110002,2016,94.0,1662,0.056558363417569195
110002,2017,76.0,1724,0.04408352668213457
110002,2018,102.0,1682,0.06064209274673008
110002,2019,119.0,1729,0.06882591093117409
110002,2020,162.0,1507,0.1074983410749834
110003,2012,6.0,64,0.09375
110003,2013,4.0,74,0.05405405405405406
110003,2014,10.0,75,0.13333333333333333
110003,2015,4.0,86,0.046511627906976744
110003,2016,4.0,73,0.0547945205479452
110003,2017,6.0,67,0.08955223880597014
110003,2018,7.0,82,0.08536585365853659
110003,2019,4.0,80,0.05
110003,2020,10.0,69,0.14492753623188406
110004,2012,126.0,1201,0.10491257285595337
110004,2013,132.0,1185,0.11139240506329114
110004,2014,181.0,1307,0.1384850803366488
110004,2015,157.0,1360,0.11544117647058824
110004,2016,139.0,1338,0.1038863976083707
110004,2017,145.0,1452,0.09986225895316804
110004,2018,139.0,1446,0.09612724757952974
110004,2019,141.0,1374,0.10262008733624454
110004,2020,173.0,1325,0.13056603773584904
110005,2012,21.0,245,0.08571428571428572
110005,2013,14.0,271,0.05166051660516605
110005,2014,16.0,250,0.064
110005,2015,14.0,277,0.05054151624548736
110005,2016,25.0,263,0.09505703422053231
110005,2017,21.0,277,0.07581227436823104
110005,2018,24.0,264,0.09090909090909091
110005,2019,26.0,237,0.10970464135021098
110005,2020,9.0,269,0.03345724907063197
110006,2012,19.0,214,0.08878504672897196
110006,2013,23.0,256,0.08984375
110006,2014,14.0,273,0.05128205128205128
110006,2015,19.0,251,0.07569721115537849
110006,2016,11.0,223,0.04932735426008968
110006,2017,10.0,243,0.0411522633744856
110006,2018,20.0,235,0.0851063829787234
110006,2019,12.0,214,0.056074766355140186
110006,2020,18.0,203,0.08866995073891626
110007,2012,12.0,116,0.10344827586206896
110007,2013,9.0,116,0.07758620689655173
110007,2014,5.0,125,0.04
110007,2015,1.0,111,0.009009009009009009
110007,2016,8.0,139,0.05755395683453238
110007,2017,4.0,87,0.04597701149425287
110007,2018,6.0,129,0.046511627906976744
110007,2019,7.0,127,0.05511811023622047
110007,2020,5.0,107,0.04672897196261682
110008,2012,19.0,234,0.0811965811965812
110008,2013,16.0,234,0.06837606837606838
110008,2014,39.0,267,0.14606741573033707
110008,2015,29.0,245,0.11836734693877551
110008,2016,23.0,213,0.107981220657277
110008,2017,18.0,216,0.08333333333333333
110008,2018,18.0,246,0.07317073170731707
110008,2019,23.0,233,0.09871244635193133
110008,2020,26.0,190,0.1368421052631579
110009,2012,35.0,476,0.07352941176470588
110009,2013,45.0,463,0.09719222462203024
110009,2014,41.0,496,0.08266129032258064
110009,2015,47.0,548,0.08576642335766424
110009,2016,50.0,486,0.102880658436214
110009,2017,30.0,533,0.05628517823639775
110009,2018,30.0,476,0.06302521008403361
110009,2019,36.0,450,0.08
110009,2020,55.0,471,0.11677282377919321
110010,2012,124.0,940,0.13191489361702127
110010,2013,134.0,879,0.15244596131968147
110010,2014,129.0,923,0.13976164680390032
110010,2015,129.0,831,0.1552346570397112
110010,2016,138.0,884,0.15610859728506787
110010,2017,124.0,842,0.14726840855106887
110010,2018,114.0,926,0.12311015118790497
110010,2019,120.0,781,0.15364916773367476
110010,2020,137.0,858,0.15967365967365968
110011,2012,89.0,808,0.11014851485148515
110011,2013,89.0,914,0.09737417943107221
110011,2014,38.0,867,0.04382929642445214
