CODMUNRES,ano_nasc,Qtd_Termo_Precoce,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,2.0,16,0.125
110000,2014,3.0,4,0.75
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,106.0,386,0.27461139896373055
110001,2013,106.0,382,0.2774869109947644
110001,2014,89.0,341,0.26099706744868034
110001,2015,105.0,373,0.28150134048257375
110001,2016,96.0,326,0.294478527607362
110001,2017,120.0,354,0.3389830508474576
110001,2018,129.0,408,0.3161764705882353
110001,2019,126.0,367,0.34332425068119893
110001,2020,128.0,333,0.3843843843843844
110002,2012,385.0,1339,0.2875280059746079
110002,2013,513.0,1654,0.3101571946795647
110002,2014,631.0,1647,0.38312082574377654
110002,2015,495.0,1783,0.2776219854178351
110002,2016,97.0,1662,0.05836341756919374
110002,2017,74.0,1724,0.042923433874709975
110002,2018,466.0,1682,0.27705112960760997
110002,2019,582.0,1729,0.3366107576633892
110002,2020,516.0,1507,0.3424021234240212
110003,2012,22.0,64,0.34375
110003,2013,30.0,74,0.40540540540540543
110003,2014,21.0,75,0.28
110003,2015,28.0,86,0.32558139534883723
110003,2016,22.0,73,0.3013698630136986
110003,2017,18.0,67,0.26865671641791045
110003,2018,29.0,82,0.35365853658536583
110003,2019,24.0,80,0.3
110003,2020,17.0,69,0.2463768115942029
110004,2012,454.0,1201,0.37801831806827646
110004,2013,447.0,1185,0.37721518987341773
110004,2014,451.0,1307,0.34506503442999237
110004,2015,495.0,1360,0.3639705882352941
110004,2016,513.0,1338,0.3834080717488789
110004,2017,518.0,1452,0.35674931129476584
110004,2018,527.0,1446,0.3644536652835408
110004,2019,478.0,1374,0.34788937409024745
110004,2020,495.0,1325,0.37358490566037733
110005,2012,71.0,245,0.2897959183673469
110005,2013,79.0,271,0.2915129151291513
110005,2014,103.0,250,0.412
110005,2015,87.0,277,0.3140794223826715
110005,2016,71.0,263,0.26996197718631176
110005,2017,91.0,277,0.3285198555956679
110005,2018,87.0,264,0.32954545454545453
110005,2019,70.0,237,0.29535864978902954
110005,2020,91.0,269,0.3382899628252788
110006,2012,39.0,214,0.1822429906542056
110006,2013,78.0,256,0.3046875
110006,2014,122.0,273,0.4468864468864469
110006,2015,97.0,251,0.38645418326693226
110006,2016,87.0,223,0.3901345291479821
110006,2017,78.0,243,0.32098765432098764
110006,2018,78.0,235,0.33191489361702126
110006,2019,71.0,214,0.3317757009345794
110006,2020,71.0,203,0.3497536945812808
110007,2012,20.0,116,0.1724137931034483
110007,2013,37.0,116,0.31896551724137934
110007,2014,59.0,125,0.472
110007,2015,33.0,111,0.2972972972972973
110007,2016,37.0,139,0.26618705035971224
110007,2017,31.0,87,0.3563218390804598
110007,2018,30.0,129,0.23255813953488372
110007,2019,29.0,127,0.2283464566929134
110007,2020,37.0,107,0.34579439252336447
110008,2012,56.0,234,0.23931623931623933
110008,2013,55.0,234,0.23504273504273504
110008,2014,74.0,267,0.27715355805243447
110008,2015,58.0,245,0.23673469387755103
110008,2016,68.0,213,0.3192488262910798
110008,2017,58.0,216,0.26851851851851855
110008,2018,64.0,246,0.2601626016260163
110008,2019,62.0,233,0.26609442060085836
110008,2020,54.0,190,0.28421052631578947
110009,2012,107.0,476,0.22478991596638656
110009,2013,113.0,463,0.24406047516198703
110009,2014,131.0,496,0.26411290322580644
110009,2015,127.0,548,0.23175182481751824
110009,2016,132.0,486,0.2716049382716049
110009,2017,125.0,533,0.23452157598499063
110009,2018,106.0,476,0.22268907563025211
110009,2019,97.0,450,0.21555555555555556
110009,2020,109.0,471,0.23142250530785563
110010,2012,248.0,940,0.26382978723404255
110010,2013,179.0,879,0.2036405005688282
110010,2014,211.0,923,0.228602383531961
110010,2015,168.0,831,0.20216606498194944
110010,2016,196.0,884,0.22171945701357465
110010,2017,178.0,842,0.21140142517814728
110010,2018,184.0,926,0.19870410367170627
110010,2019,182.0,781,0.2330345710627401
110010,2020,218.0,858,0.2540792540792541
110011,2012,246.0,808,0.30445544554455445
110011,2013,289.0,914,0.3161925601750547
110011,2014,259.0,867,0.29873125720876587
110011,2015,245.0,788,0.31091370558375636
110011,2016,265.0,807,0.32837670384138784
110011,2017,273.0,846,0.32269503546099293
110011,2018,320.0,911,0.3512623490669594
110011,2019,286.0,881,0.3246311010215664
110011,2020,330.0,892,0.36995515695067266
110012,2012,574.0,2075,0.2766265060240964
110012,2013,603.0,1971,0.3059360730593607
110012,2014,561.0,1956,0.28680981595092025
110012,2015,669.0,2094,0.3194842406876791
110012,2016,644.0,1976,0.3259109311740891
110012,2017,465.0,2050,0.22682926829268293
110012,2018,652.0,2278,0.286215978928885
110012,2019,604.0,2182,0.2768102658111824
110012,2020,620.0,2133,0.2906704172526957
110013,2012,176.0,542,0.3247232472324723
110013,2013,149.0,514,0.2898832684824903
110013,2014,147.0,507,0.28994082840236685
110013,2015,122.0,480,0.25416666666666665
110013,2016,80.0,398,0.20100502512562815
110013,2017,77.0,449,0.1714922048997773
110013,2018,165.0,517,0.3191489361702128
110013,2019,126.0,500,0.252
110013,2020,173.0,561,0.3083778966131907
110014,2012,89.0,271,0.3284132841328413
110014,2013,119.0,278,0.42805755395683454
110014,2014,113.0,254,0.4448818897637795
