CODMUNRES,ano_nasc,Qtd_Robson10,Qtd_Robson9,Qtd_Robson8,Qtd_Robson7,Qtd_Robson6,Qtd_Robson5,Qtd_Robson4,Qtd_Robson3,Qtd_Robson2,Qtd_Robson1,Qtd_cesariana,Qtd_Total
110000,2012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
110000,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16
110000,2014,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,4
110000,2015,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4
110000,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
110000,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
110000,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110001,2012,72.0,0.0,6.0,6.0,8.0,97.0,2.0,28.0,21.0,72.0,267.0,386
110001,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,382
110001,2014,66.0,0.0,6.0,6.0,4.0,102.0,6.0,22.0,12.0,66.0,238.0,341
110001,2015,84.0,0.0,5.0,2.0,4.0,111.0,7.0,20.0,20.0,84.0,271.0,373
110001,2016,61.0,1.0,4.0,1.0,3.0,84.0,4.0,34.0,14.0,61.0,226.0,326
110001,2017,74.0,0.0,7.0,4.0,2.0,111.0,7.0,38.0,16.0,74.0,278.0,354
110001,2018,79.0,1.0,8.0,4.0,1.0,126.0,12.0,31.0,33.0,79.0,318.0,408
110001,2019,64.0,0.0,4.0,8.0,2.0,104.0,13.0,29.0,45.0,64.0,295.0,367
110002,2012,132.0,0.0,18.0,15.0,13.0,250.0,21.0,11.0,187.0,132.0,970.0,1339
110002,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,1654
110002,2014,183.0,4.0,19.0,25.0,19.0,384.0,82.0,60.0,247.0,183.0,1164.0,1647
110002,2015,116.0,2.0,19.0,15.0,11.0,341.0,83.0,49.0,213.0,116.0,1278.0,1783
110002,2016,34.0,0.0,30.0,6.0,5.0,79.0,14.0,11.0,28.0,34.0,1187.0,1662
110002,2017,20.0,0.0,21.0,2.0,3.0,72.0,9.0,8.0,17.0,20.0,1223.0,1724
110002,2018,185.0,0.0,28.0,4.0,5.0,467.0,30.0,66.0,86.0,185.0,1169.0,1682
110002,2019,223.0,0.0,19.0,5.0,5.0,582.0,44.0,97.0,123.0,223.0,1176.0,1729
110003,2012,13.0,2.0,0.0,1.0,2.0,15.0,0.0,1.0,3.0,13.0,52.0,64
110003,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,74
110003,2014,14.0,0.0,0.0,2.0,0.0,17.0,3.0,3.0,4.0,14.0,60.0,75
110003,2015,19.0,0.0,2.0,0.0,0.0,27.0,1.0,9.0,3.0,19.0,68.0,86
110003,2016,16.0,1.0,3.0,0.0,0.0,33.0,1.0,3.0,1.0,16.0,60.0,73
110003,2017,14.0,0.0,2.0,0.0,0.0,23.0,2.0,6.0,1.0,14.0,51.0,67
110003,2018,8.0,1.0,1.0,0.0,0.0,38.0,1.0,3.0,6.0,8.0,64.0,82
110003,2019,11.0,3.0,0.0,2.0,1.0,25.0,3.0,3.0,11.0,11.0,60.0,80
110004,2012,230.0,13.0,24.0,13.0,29.0,271.0,21.0,71.0,140.0,230.0,925.0,1201
110004,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.0,1185
110004,2014,262.0,4.0,25.0,11.0,14.0,345.0,58.0,104.0,132.0,262.0,1090.0,1307
110004,2015,310.0,3.0,20.0,22.0,13.0,377.0,35.0,105.0,102.0,310.0,1104.0,1360
110004,2016,286.0,3.0,20.0,20.0,22.0,365.0,39.0,109.0,92.0,286.0,1058.0,1338
110004,2017,337.0,4.0,24.0,27.0,6.0,429.0,28.0,83.0,130.0,337.0,1165.0,1452
110004,2018,254.0,2.0,26.0,20.0,11.0,486.0,49.0,96.0,138.0,254.0,1171.0,1446
110004,2019,250.0,6.0,10.0,30.0,11.0,466.0,50.0,92.0,107.0,250.0,1113.0,1374
110005,2012,22.0,1.0,3.0,4.0,2.0,55.0,3.0,4.0,24.0,22.0,207.0,245
110005,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,271
110005,2014,29.0,3.0,1.0,1.0,2.0,71.0,20.0,11.0,43.0,29.0,198.0,250
110005,2015,49.0,0.0,9.0,3.0,3.0,77.0,14.0,6.0,33.0,49.0,213.0,277
110005,2016,56.0,1.0,6.0,7.0,2.0,74.0,14.0,17.0,22.0,56.0,213.0,263
110005,2017,52.0,0.0,9.0,2.0,1.0,95.0,8.0,19.0,17.0,52.0,216.0,277
110005,2018,32.0,2.0,5.0,5.0,4.0,86.0,6.0,6.0,33.0,32.0,191.0,264
110005,2019,26.0,3.0,2.0,6.0,4.0,94.0,6.0,7.0,13.0,26.0,179.0,237
110006,2012,20.0,0.0,2.0,3.0,1.0,25.0,3.0,3.0,8.0,20.0,145.0,214
110006,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,256
110006,2014,58.0,5.0,10.0,4.0,3.0,70.0,16.0,16.0,34.0,58.0,231.0,273
110006,2015,50.0,0.0,5.0,1.0,4.0,65.0,9.0,17.0,18.0,50.0,184.0,251
110006,2016,52.0,1.0,4.0,1.0,0.0,72.0,4.0,16.0,11.0,52.0,167.0,223
110006,2017,57.0,0.0,0.0,1.0,2.0,82.0,3.0,18.0,11.0,57.0,189.0,243
110006,2018,33.0,4.0,8.0,4.0,2.0,74.0,3.0,9.0,23.0,33.0,174.0,235
