CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110001,2012,386.0,24516,0.015744819709577418
110001,2013,382.0,24293,0.015724694356398963
110001,2014,341.0,24066,0.014169367572508933
110001,2015,373.0,23835,0.01564925529683239
110001,2016,326.0,23614,0.013805369695943084
110001,2017,354.0,23392,0.015133378932968537
110001,2018,408.0,23167,0.01761125739197997
110001,2019,366.0,22945,0.015951187622575726
110037,2012,189.0,13141,0.01438246708774066
110037,2013,163.0,13155,0.012390725959711137
110037,2014,172.0,13170,0.013059984813971146
110037,2015,149.0,13184,0.011301577669902913
110037,2016,168.0,13199,0.01272823698765058
110037,2017,172.0,13213,0.01301748278210853
110037,2018,160.0,13227,0.01209646934301051
110037,2019,154.0,13241,0.011630541499886715
110040,2012,194.0,18388,0.010550358929736785
110040,2013,211.0,18819,0.011212072905042775
110040,2014,254.0,19258,0.013189323917333056
110040,2015,247.0,19705,0.01253488962192337
110040,2016,220.0,20134,0.010926790503625708
110040,2017,242.0,20563,0.01176871079122696
110040,2018,219.0,20999,0.010429068050859564
110040,2019,226.0,21428,0.010546947918611164
110034,2012,189.0,16621,0.011371156970098068
110034,2013,220.0,16308,0.013490311503556536
110034,2014,184.0,15989,0.011507911689286384
110034,2015,200.0,15664,0.012768130745658836
110034,2016,166.0,15352,0.010812923397602918
110034,2017,178.0,15040,0.011835106382978723
110034,2018,162.0,14722,0.011003939682108409
110034,2019,205.0,14411,0.014225244604815765
110002,2012,1339.0,95836,0.013971785132935432
110002,2013,1654.0,97540,0.016957145786344063
110002,2014,1647.0,99278,0.01658977819859385
110002,2015,1783.0,101048,0.017645079566146783
110002,2016,1662.0,102744,0.01617612707311376
110002,2017,1724.0,104441,0.016506927356114937
110002,2018,1682.0,106168,0.0158428151608771
110002,2019,1729.0,107863,0.016029593094944512
110045,2012,555.0,34567,0.016055775739867505
110045,2013,598.0,35287,0.016946750928103833
110045,2014,620.0,36023,0.017211226161063766
110045,2015,608.0,36771,0.016534769247504827
110045,2016,624.0,37488,0.016645326504481434
110045,2017,632.0,38206,0.016541904412919438
110045,2018,617.0,38937,0.015846110383439915
110045,2019,583.0,39654,0.014702173803399405
110003,2012,64.0,6207,0.01031093926212341
110003,2013,74.0,6080,0.012171052631578947
110003,2014,75.0,5951,0.012602923878339774
110003,2015,86.0,5819,0.014779171678982643
110003,2016,73.0,5693,0.012822764798875813
110003,2017,67.0,5567,0.01203520747260643
110003,2018,82.0,5438,0.015079073188672305
110003,2019,80.0,5312,0.015060240963855422
110060,2012,61.0,5948,0.010255548083389375
110060,2013,63.0,5988,0.010521042084168337
110060,2014,58.0,6029,0.00962016918228562
110060,2015,72.0,6070,0.01186161449752883
110060,2016,67.0,6110,0.010965630114566284
110060,2017,71.0,6150,0.011544715447154472
110060,2018,80.0,6190,0.012924071082390954
110060,2019,75.0,6230,0.012038523274478331
110004,2012,1201.0,81487,0.014738547252936052
110004,2013,1185.0,82035,0.014445053940391297
110004,2014,1307.0,82595,0.015824202433561353
110004,2015,1360.0,83164,0.016353229762878167
