CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110001,2012,76.0,2256,0.03368794326241135
110001,2013,79.0,2162,0.03654024051803885
110001,2014,69.0,2065,0.03341404358353511
110001,2015,74.0,1966,0.03763987792472025
110001,2016,58.0,1900,0.030526315789473683
110001,2017,62.0,1830,0.033879781420765025
110001,2018,61.0,1758,0.034698521046643914
110001,2019,55.0,1687,0.03260225251926497
110037,2012,52.0,1272,0.040880503144654086
110037,2013,42.0,1258,0.033386327503974564
110037,2014,29.0,1241,0.023368251410153102
110037,2015,29.0,1225,0.0236734693877551
110037,2016,38.0,1192,0.031879194630872486
110037,2017,40.0,1158,0.03454231433506045
110037,2018,30.0,1122,0.026737967914438502
110037,2019,32.0,1086,0.029465930018416207
110040,2012,55.0,1840,0.029891304347826088
110040,2013,51.0,1860,0.027419354838709678
110040,2014,69.0,1872,0.03685897435897436
110040,2015,51.0,1885,0.027055702917771884
110040,2016,56.0,1864,0.030042918454935622
110040,2017,58.0,1835,0.03160762942779292
110040,2018,48.0,1803,0.026622296173044926
110040,2019,49.0,1773,0.02763677382966723
110034,2012,46.0,1555,0.029581993569131833
110034,2013,46.0,1471,0.03127124405166554
110034,2014,34.0,1384,0.024566473988439308
110034,2015,43.0,1297,0.03315343099460293
110034,2016,36.0,1238,0.029079159935379646
110034,2017,31.0,1177,0.026338147833474938
110034,2018,26.0,1114,0.02333931777378815
110034,2019,39.0,1052,0.0370722433460076
110002,2012,301.0,9407,0.031997448708408635
110002,2013,365.0,9448,0.03863251481795089
110002,2014,387.0,9481,0.04081847906338994
110002,2015,385.0,9510,0.04048370136698212
110002,2016,344.0,9450,0.0364021164021164
110002,2017,340.0,9373,0.03627440520644404
110002,2018,304.0,9298,0.03269520326952033
110002,2019,334.0,9211,0.036260992291824994
110045,2012,125.0,3514,0.035571997723392146
110045,2013,138.0,3535,0.03903818953323904
110045,2014,131.0,3554,0.03685987619583568
110045,2015,129.0,3576,0.03607382550335571
110045,2016,154.0,3552,0.04335585585585586
110045,2017,136.0,3520,0.038636363636363635
110045,2018,124.0,3487,0.03556065385718383
110045,2019,103.0,3461,0.029760184917653858
110003,2012,17.0,523,0.032504780114722756
110003,2013,11.0,494,0.022267206477732792
110003,2014,12.0,460,0.02608695652173913
110003,2015,15.0,428,0.035046728971962614
110003,2016,12.0,409,0.029339853300733496
110003,2017,8.0,388,0.020618556701030927
110003,2018,7.0,369,0.018970189701897018
110003,2019,14.0,348,0.040229885057471264
110060,2012,14.0,599,0.02337228714524207
110060,2013,14.0,602,0.023255813953488372
110060,2014,13.0,598,0.021739130434782608
110060,2015,18.0,596,0.030201342281879196
110060,2016,14.0,580,0.02413793103448276
110060,2017,19.0,564,0.03368794326241135
110060,2018,15.0,543,0.027624309392265192
110060,2019,14.0,526,0.026615969581749048
110004,2012,227.0,7515,0.030206254158349967
110004,2013,225.0,7379,0.03049193657677192
110004,2014,222.0,7211,0.0307862987103037
110004,2015,215.0,7045,0.030518097941802696
110004,2016,213.0,6920,0.030780346820809247
110004,2017,199.0,6778,0.02935969312481558
110004,2018,200.0,6628,0.030175015087507542
110004,2019,174.0,6479,0.02685599629572465
110070,2012,46.0,1298,0.03543913713405239
110070,2013,37.0,1291,0.02865995352439969
110070,2014,44.0,1281,0.03434816549570648
110070,2015,27.0,1271,0.021243115656963022
110070,2016,46.0,1244,0.03697749196141479
110070,2017,46.0,1213,0.03792250618301731
110070,2018,39.0,1182,0.03299492385786802
110070,2019,26.0,1152,0.022569444444444444
110080,2012,122.0,2212,0.05515370705244123
110080,2013,105.0,2251,0.046645935139937804
110080,2014,90.0,2291,0.0392841553906591
110080,2015,89.0,2330,0.03819742489270386
110080,2016,101.0,2334,0.043273350471293916
110080,2017,107.0,2326,0.04600171969045572
110080,2018,108.0,2319,0.04657179818887452
110080,2019,70.0,2312,0.03027681660899654
110090,2012,16.0,352,0.045454545454545456
110090,2013,10.0,335,0.029850746268656716
110090,2014,9.0,309,0.02912621359223301
110090,2015,13.0,288,0.04513888888888889
110090,2016,11.0,274,0.040145985401459854
110090,2017,4.0,256,0.015625
110090,2018,9.0,237,0.0379746835443038
110090,2019,3.0,220,0.013636363636363636
110005,2012,49.0,1564,0.03132992327365729
110005,2013,61.0,1491,0.0409121395036888
110005,2014,53.0,1422,0.03727144866385373
110005,2015,41.0,1354,0.030280649926144758
110005,2016,43.0,1309,0.03284950343773873
110005,2017,46.0,1261,0.03647898493259318
110005,2018,39.0,1212,0.03217821782178218
110005,2019,27.0,1162,0.02323580034423408
110092,2012,31.0,891,0.03479236812570146
110092,2013,30.0,911,0.03293084522502744
110092,2014,44.0,929,0.04736275565123789
110092,2015,41.0,947,0.04329461457233368
110092,2016,31.0,953,0.03252885624344176
110092,2017,38.0,957,0.03970741901776385
110092,2018,41.0,960,0.042708333333333334
110092,2019,36.0,963,0.037383177570093455
110006,2012,49.0,1588,0.030856423173803528
110006,2013,41.0,1502,0.02729693741677763
110006,2014,46.0,1414,0.03253182461103253
110006,2015,44.0,1323,0.03325774754346183
110006,2016,33.0,1264,0.02610759493670886
110006,2017,31.0,1202,0.025790349417637273
110006,2018,41.0,1138,0.03602811950790861
110006,2019,31.0,1075,0.02883720930232558
110007,2012,24.0,794,0.030226700251889168
110007,2013,30.0,744,0.04032258064516129
110007,2014,22.0,689,0.03193033381712627
110007,2015,23.0,635,0.03622047244094488
110007,2016,28.0,597,0.04690117252931323
110007,2017,18.0,558,0.03225806451612903
110007,2018,28.0,518,0.05405405405405406
110007,2019,24.0,477,0.050314465408805034
110008,2012,70.0,1574,0.044472681067344345
110008,2013,75.0,1613,0.04649721016738995
110008,2014,86.0,1650,0.052121212121212124
110008,2015,79.0,1685,0.04688427299703264
110008,2016,69.0,1671,0.04129263913824058
110008,2017,45.0,1652,0.027239709443099273
110008,2018,74.0,1632,0.04534313725490196
110008,2019,70.0,1613,0.04339739615623062
110094,2012,48.0,1915,0.025065274151436032
110094,2013,65.0,2017,0.03222607833415964
110094,2014,62.0,2116,0.02930056710775047
110094,2015,73.0,2216,0.03294223826714802
110094,2016,69.0,2259,0.03054448871181939
110094,2017,49.0,2297,0.02133217239878102
110094,2018,50.0,2339,0.021376656690893545
110094,2019,41.0,2371,0.017292281737663433
110009,2012,105.0,2822,0.03720765414599575
110009,2013,112.0,2804,0.039942938659058486
110009,2014,103.0,2771,0.03717069649945868
110009,2015,103.0,2737,0.037632444282060654
110009,2016,119.0,2708,0.04394387001477105
110009,2017,99.0,2663,0.037176117161096506
110009,2018,102.0,2621,0.038916444105303316
110009,2019,86.0,2578,0.03335919317300233
110100,2012,18.0,986,0.018255578093306288
110100,2013,25.0,923,0.027085590465872156
110100,2014,20.0,861,0.023228803716608595
110100,2015,25.0,796,0.031407035175879394
110100,2016,24.0,743,0.03230148048452221
110100,2017,20.0,689,0.02902757619738752
110100,2018,19.0,635,0.029921259842519685
110100,2019,26.0,581,0.04475043029259897
110010,2012,272.0,4448,0.06115107913669065
110010,2013,213.0,4419,0.048200950441276307
110010,2014,249.0,4378,0.0568752855185016
110010,2015,181.0,4336,0.04174354243542435
110010,2016,220.0,4286,0.05132991133924405
110010,2017,206.0,4227,0.04873432694582446
110010,2018,220.0,4162,0.05285920230658337
110010,2019,174.0,4100,0.042439024390243905
110110,2012,36.0,893,0.040313549832026875
110110,2013,39.0,885,0.04406779661016949
110110,2014,23.0,875,0.026285714285714287
110110,2015,36.0,865,0.04161849710982659
110110,2016,35.0,845,0.04142011834319527
110110,2017,32.0,823,0.038882138517618466
110110,2018,18.0,800,0.0225
110110,2019,23.0,777,0.029601029601029602
110011,2012,173.0,5033,0.03437313729386052
110011,2013,174.0,4929,0.03530127814972611
110011,2014,184.0,4806,0.03828547648772368
110011,2015,126.0,4685,0.02689434364994664
110011,2016,128.0,4572,0.02799650043744532
110011,2017,122.0,4449,0.027421892560125873
110011,2018,135.0,4322,0.03123553910226747
110011,2019,139.0,4194,0.03314258464473057
110012,2012,413.0,11097,0.03721726592772821
110012,2013,368.0,10927,0.033678045209115035
110012,2014,357.0,10742,0.03323403463042264
110012,2015,366.0,10553,0.03468208092485549
110012,2016,325.0,10457,0.031079659558190687
110012,2017,346.0,10338,0.0334687560456568
110012,2018,341.0,10212,0.033392087739913826
110012,2019,327.0,10077,0.03245013396844299
110013,2012,133.0,3265,0.040735068912710566
110013,2013,145.0,3281,0.04419384334044499
110013,2014,137.0,3293,0.04160340115396295
110013,2015,122.0,3303,0.03693611867998789
110013,2016,107.0,3286,0.03256238587948874
110013,2017,91.0,3261,0.02790555044464888
110013,2018,99.0,3236,0.030593325092707045
110013,2019,95.0,3208,0.02961346633416459
110120,2012,21.0,1072,0.01958955223880597
110120,2013,23.0,1024,0.0224609375
110120,2014,18.0,970,0.018556701030927835
110120,2015,17.0,919,0.018498367791077257
110120,2016,14.0,884,0.01583710407239819
110120,2017,18.0,843,0.021352313167259787
110120,2018,11.0,802,0.01371571072319202
110120,2019,6.0,762,0.007874015748031496
110130,2012,28.0,1225,0.022857142857142857
110130,2013,22.0,1182,0.018612521150592216
110130,2014,30.0,1153,0.026019080659150044
110130,2015,38.0,1108,0.03429602888086643
110130,2016,33.0,1053,0.03133903133903134
110130,2017,25.0,996,0.025100401606425703
110130,2018,29.0,937,0.030949839914621132
110130,2019,22.0,877,0.02508551881413911
110140,2012,32.0,1451,0.022053756030323914
110140,2013,54.0,1446,0.03734439834024896
110140,2014,50.0,1439,0.03474635163307853
110140,2015,57.0,1430,0.03986013986013986
110140,2016,39.0,1394,0.027977044476327116
110140,2017,36.0,1359,0.026490066225165563
110140,2018,52.0,1314,0.0395738203957382
110140,2019,34.0,1273,0.02670856245090338
110014,2012,55.0,1914,0.028735632183908046
110014,2013,69.0,1850,0.0372972972972973
110014,2014,59.0,1784,0.033071748878923765
110014,2015,50.0,1718,0.02910360884749709
110014,2016,56.0,1672,0.03349282296650718
110014,2017,32.0,1622,0.01972872996300863
110014,2018,57.0,1571,0.036282622533418206
110014,2019,27.0,1519,0.017774851876234364
110033,2012,108.0,2557,0.0422369964802503
110033,2013,106.0,2615,0.04053537284894838
110033,2014,97.0,2664,0.03641141141141141
110033,2015,91.0,2719,0.03346818683339463
110033,2016,89.0,2728,0.03262463343108504
110033,2017,109.0,2732,0.039897510980966326
110033,2018,116.0,2736,0.04239766081871345
110033,2019,100.0,2738,0.036523009495982466
110143,2012,14.0,711,0.01969057665260197
110143,2013,13.0,666,0.01951951951951952
110143,2014,19.0,621,0.030595813204508857
110143,2015,15.0,575,0.02608695652173913
110143,2016,15.0,552,0.02717391304347826
110143,2017,14.0,528,0.026515151515151516
110143,2018,10.0,503,0.019880715705765408
110143,2019,13.0,479,0.027139874739039668
110050,2012,28.0,923,0.030335861321776816
110050,2013,16.0,862,0.018561484918793503
110050,2014,14.0,799,0.017521902377972465
110050,2015,20.0,734,0.027247956403269755
110050,2016,18.0,692,0.02601156069364162
110050,2017,21.0,649,0.032357473035439135
110050,2018,16.0,605,0.026446280991735537
110050,2019,8.0,561,0.0142602495543672
110015,2012,119.0,3551,0.033511686848774994
110015,2013,121.0,3436,0.03521536670547148
110015,2014,127.0,3303,0.0384498940357251
110015,2015,135.0,3173,0.04254648597541759
110015,2016,89.0,3082,0.028877352368591822
110015,2017,100.0,2984,0.03351206434316354
110015,2018,99.0,2884,0.03432732316227462
110015,2019,110.0,2783,0.039525691699604744
110145,2012,13.0,465,0.02795698924731183
110145,2013,16.0,468,0.03418803418803419
110145,2014,9.0,469,0.019189765458422176
110145,2015,11.0,471,0.02335456475583864
110145,2016,7.0,472,0.014830508474576272
110145,2017,12.0,472,0.025423728813559324
110145,2018,8.0,472,0.01694915254237288
110145,2019,7.0,472,0.014830508474576272
110018,2012,133.0,3256,0.040847665847665846
110018,2013,134.0,3210,0.041744548286604365
110018,2014,111.0,3160,0.03512658227848101
