CODMUNRES,Ano,Qtd_Menor20,Pop_Fem_menor20,Ratio
110000,2012,1,0.0,inf
110000,2013,9,0.0,inf
110000,2016,1,0.0,inf
110001,2012,76,2256.0,33.687943262411345
110001,2013,79,2162.0,36.54024051803885
110001,2014,69,2065.0,33.41404358353511
110001,2015,74,1966.0,37.639877924720246
110001,2016,58,1900.0,30.526315789473685
110001,2017,62,1830.0,33.87978142076503
110001,2018,61,1758.0,34.69852104664391
110001,2019,55,1687.0,32.602252519264965
110002,2012,301,9407.0,31.997448708408633
110002,2013,365,9448.0,38.63251481795089
110002,2014,387,9481.0,40.81847906338994
110002,2015,385,9510.0,40.483701366982125
110002,2016,344,9450.0,36.402116402116405
110002,2017,340,9373.0,36.274405206444044
110002,2018,304,9298.0,32.69520326952033
110002,2019,334,9211.0,36.26099229182499
110003,2012,17,523.0,32.504780114722756
110003,2013,11,494.0,22.267206477732792
110003,2014,12,460.0,26.08695652173913
110003,2015,15,428.0,35.046728971962615
110003,2016,12,409.0,29.339853300733495
110003,2017,8,388.0,20.61855670103093
110003,2018,7,369.0,18.97018970189702
110003,2019,14,348.0,40.229885057471265
110004,2012,227,7515.0,30.206254158349967
110004,2013,225,7379.0,30.49193657677192
110004,2014,222,7211.0,30.786298710303704
110004,2015,215,7045.0,30.518097941802697
110004,2016,213,6920.0,30.78034682080925
110004,2017,199,6778.0,29.35969312481558
110004,2018,200,6628.0,30.175015087507543
110004,2019,174,6479.0,26.855996295724648
110005,2012,49,1564.0,31.32992327365729
110005,2013,61,1491.0,40.9121395036888
110005,2014,53,1422.0,37.271448663853725
110005,2015,41,1354.0,30.280649926144758
110005,2016,43,1309.0,32.84950343773873
110005,2017,46,1261.0,36.47898493259318
110005,2018,39,1212.0,32.17821782178218
110005,2019,27,1162.0,23.23580034423408
110006,2012,49,1588.0,30.856423173803528
110006,2013,41,1502.0,27.29693741677763
110006,2014,46,1414.0,32.53182461103253
110006,2015,44,1323.0,33.25774754346183
110006,2016,33,1264.0,26.10759493670886
110006,2017,31,1202.0,25.79034941763727
110006,2018,41,1138.0,36.02811950790861
110006,2019,31,1075.0,28.837209302325583
110007,2012,24,794.0,30.22670025188917
110007,2013,30,744.0,40.32258064516129
110007,2014,22,689.0,31.93033381712627
110007,2015,23,635.0,36.22047244094488
110007,2016,28,597.0,46.901172529313236
110007,2017,18,558.0,32.25806451612903
110007,2018,28,518.0,54.054054054054056
110007,2019,24,477.0,50.314465408805034
110008,2012,70,1574.0,44.47268106734435
110008,2013,75,1613.0,46.49721016738996
110008,2014,86,1650.0,52.121212121212125
110008,2015,79,1685.0,46.88427299703264
110008,2016,69,1671.0,41.292639138240574
110008,2017,45,1652.0,27.239709443099272
110008,2018,74,1632.0,45.34313725490196
110008,2019,70,1613.0,43.39739615623063
110009,2012,105,2822.0,37.20765414599575
110009,2013,112,2804.0,39.94293865905849
110009,2014,103,2771.0,37.17069649945868
110009,2015,103,2737.0,37.63244428206065
110009,2016,119,2708.0,43.94387001477105
110009,2017,99,2663.0,37.176117161096506
110009,2018,102,2621.0,38.91644410530332
110009,2019,86,2578.0,33.359193173002325
110010,2012,272,4448.0,61.15107913669065
110010,2013,213,4419.0,48.200950441276305
110010,2014,249,4378.0,56.8752855185016
110010,2015,181,4336.0,41.74354243542435
110010,2016,220,4286.0,51.32991133924405
110010,2017,206,4227.0,48.73432694582446
110010,2018,220,4162.0,52.85920230658337
110010,2019,174,4100.0,42.4390243902439
110011,2012,173,5033.0,34.37313729386052
110011,2013,174,4929.0,35.30127814972611
110011,2014,184,4806.0,38.28547648772368
110011,2015,126,4685.0,26.894343649946638
110011,2016,128,4572.0,27.99650043744532
110011,2017,122,4449.0,27.421892560125873
110011,2018,135,4322.0,31.23553910226747
110011,2019,139,4194.0,33.14258464473057
110012,2012,413,11097.0,37.217265927728214
110012,2013,368,10927.0,33.678045209115034
110012,2014,357,10742.0,33.23403463042264
110012,2015,366,10553.0,34.68208092485549
110012,2016,325,10457.0,31.079659558190684
110012,2017,346,10338.0,33.468756045656804
110012,2018,341,10212.0,33.392087739913826
110012,2019,327,10077.0,32.45013396844299
110013,2012,133,3265.0,40.73506891271057
110013,2013,145,3281.0,44.193843340444985
110013,2014,137,3293.0,41.60340115396295
110013,2015,122,3303.0,36.93611867998789
110013,2016,107,3286.0,32.56238587948874
110013,2017,91,3261.0,27.90555044464888
110013,2018,99,3236.0,30.593325092707047
110013,2019,95,3208.0,29.61346633416459
110014,2012,55,1914.0,28.735632183908045
110014,2013,69,1850.0,37.2972972972973
110014,2014,59,1784.0,33.07174887892376
110014,2015,50,1718.0,29.10360884749709
110014,2016,56,1672.0,33.49282296650718
110014,2017,32,1622.0,19.728729963008632
110014,2018,57,1571.0,36.282622533418206
110014,2019,27,1519.0,17.774851876234365
110015,2012,119,3551.0,33.51168684877499
110015,2013,121,3436.0,35.21536670547148
110015,2014,127,3303.0,38.4498940357251
110015,2015,135,3173.0,42.54648597541759
110015,2016,89,3082.0,28.877352368591822
110015,2017,100,2984.0,33.51206434316354
110015,2018,99,2884.0,34.32732316227462
110015,2019,110,2783.0,39.52569169960474
110018,2012,133,3256.0,40.847665847665844
110018,2013,134,3210.0,41.74454828660436
110018,2014,111,3160.0,35.12658227848101
110018,2015,142,3109.0,45.67385011257639
110018,2016,138,3069.0,44.965786901270775
110018,2017,109,3023.0,36.05689712206417
110018,2018,113,2974.0,37.995965030262276
110018,2019,120,2925.0,41.02564102564103
110020,2012,1976,42963.0,45.99306379908293
110020,2013,1991,43190.0,46.09863394304237
110020,2014,1942,43349.0,44.79918798588203
110020,2015,1893,43502.0,43.51524067858949
110020,2016,1718,43498.0,39.496068784771715
110020,2017,1569,43403.0,36.14957491417644
110020,2018,1537,43272.0,35.51950452948789
110020,2019,1412,43130.0,32.738233248319034
110025,2012,50,1941.0,25.75991756826378
110025,2013,41,1837.0,22.31899836690256
110025,2014,44,1731.0,25.41883304448296
110025,2015,41,1623.0,25.261860751694392
110025,2016,55,1546.0,35.57567917205692
110025,2017,42,1467.0,28.629856850715747
110025,2018,53,1388.0,38.184438040345825
110025,2019,56,1307.0,42.84621270084162
110026,2012,12,336.0,35.714285714285715
