CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110001,2012,23.0,2471,9.307972480777012
110001,2013,26.0,2470,10.526315789473683
110001,2014,36.0,2468,14.586709886547812
110001,2015,22.0,2464,8.928571428571429
110001,2016,24.0,2467,9.728415079043373
110001,2017,35.0,2469,14.175779667881734
110001,2018,53.0,2472,21.440129449838185
110001,2019,38.0,2473,15.365952284674485
110037,2012,9.0,1243,7.240547063555913
110037,2013,13.0,1284,10.12461059190031
110037,2014,15.0,1325,11.320754716981131
110037,2015,10.0,1366,7.320644216691069
110037,2016,9.0,1388,6.4841498559077815
110037,2017,18.0,1411,12.756909992912828
110037,2018,15.0,1434,10.460251046025103
110037,2019,10.0,1455,6.8728522336769755
110040,2012,13.0,1762,7.377979568671964
110040,2013,13.0,1845,7.046070460704607
110040,2014,16.0,1928,8.298755186721992
110040,2015,17.0,2011,8.453505718547987
110040,2016,13.0,2082,6.243996157540826
110040,2017,13.0,2152,6.040892193308551
110040,2018,23.0,2222,10.351035103510352
110040,2019,18.0,2291,7.856831078131821
110034,2012,10.0,1643,6.086427267194157
110034,2013,12.0,1652,7.263922518159807
110034,2014,18.0,1660,10.843373493975903
110034,2015,12.0,1667,7.198560287942412
110034,2016,11.0,1659,6.630500301386378
110034,2017,17.0,1651,10.29678982434888
110034,2018,14.0,1643,8.520998174071819
110034,2019,25.0,1634,15.299877600979192
110002,2012,87.0,9818,8.861275208800164
110002,2013,106.0,10129,10.465001480896435
110002,2014,117.0,10449,11.19724375538329
110002,2015,133.0,10767,12.352558744311322
110002,2016,138.0,11059,12.47852427886789
110002,2017,134.0,11340,11.81657848324515
110002,2018,162.0,11614,13.948682624418804
110002,2019,168.0,11894,14.124768790987053
110045,2012,19.0,3142,6.0471037555697
110045,2013,18.0,3287,5.476118040766657
110045,2014,34.0,3433,9.903874162540053
110045,2015,35.0,3579,9.779267951941883
110045,2016,29.0,3739,7.75608451457609
110045,2017,43.0,3899,11.028468838163631
110045,2018,44.0,4060,10.83743842364532
110045,2019,58.0,4216,13.757115749525617
110003,2012,0.0,638,0.0
110003,2013,7.0,636,11.0062893081761
110003,2014,4.0,628,6.369426751592357
110003,2015,8.0,624,12.82051282051282
110003,2016,9.0,623,14.446227929373997
110003,2017,8.0,623,12.841091492776886
110003,2018,11.0,622,17.684887459807076
110003,2019,11.0,620,17.741935483870968
110060,2012,2.0,554,3.6101083032490977
110060,2013,4.0,573,6.980802792321117
110060,2014,2.0,593,3.372681281618887
110060,2015,7.0,612,11.437908496732025
110060,2016,4.0,626,6.3897763578274756
110060,2017,3.0,642,4.672897196261682
110060,2018,9.0,657,13.698630136986301
110060,2019,7.0,670,10.447761194029852
110004,2012,96.0,8835,10.865874363327675
110004,2013,84.0,9013,9.319871297015421
110004,2014,119.0,9190,12.94885745375408
110004,2015,127.0,9370,13.553895410885806
110004,2016,128.0,9505,13.466596528143082
110004,2017,167.0,9641,17.321854579400476
110004,2018,160.0,9774,16.36996112134234
110004,2019,180.0,9900,18.18181818181818
110070,2012,5.0,1204,4.152823920265781
110070,2013,14.0,1255,11.155378486055778
110070,2014,10.0,1305,7.662835249042145
110070,2015,10.0,1357,7.369196757553427
110070,2016,9.0,1404,6.41025641025641
110070,2017,9.0,1451,6.202618883528601
110070,2018,15.0,1498,10.013351134846463
110070,2019,9.0,1544,5.829015544041451
110080,2012,35.0,1910,18.32460732984293
110080,2013,31.0,2022,15.331355093966371
110080,2014,22.0,2136,10.299625468164793
110080,2015,23.0,2249,10.226767452200978
110080,2016,19.0,2382,7.97649034424853
110080,2017,22.0,2516,8.744038155802862
110080,2018,38.0,2649,14.345035862589656
110080,2019,29.0,2780,10.431654676258994
110090,2012,4.0,361,11.0803324099723
110090,2013,1.0,361,2.770083102493075
110090,2014,0.0,360,0.0
110090,2015,3.0,359,8.356545961002785
110090,2016,2.0,357,5.602240896358543
110090,2017,6.0,355,16.901408450704224
110090,2018,1.0,352,2.840909090909091
110090,2019,3.0,350,8.571428571428571
110005,2012,14.0,1869,7.49063670411985
110005,2013,16.0,1873,8.542445274959956
110005,2014,18.0,1870,9.625668449197862
110005,2015,25.0,1872,13.354700854700853
110005,2016,24.0,1871,12.827365045430252
110005,2017,34.0,1870,18.18181818181818
110005,2018,27.0,1867,14.4617032672737
110005,2019,29.0,1865,15.549597855227882
110092,2012,7.0,860,8.13953488372093
110092,2013,16.0,906,17.660044150110377
110092,2014,12.0,951,12.618296529968454
110092,2015,9.0,997,9.027081243731194
110092,2016,11.0,1054,10.436432637571158
110092,2017,10.0,1112,8.992805755395683
110092,2018,13.0,1169,11.120615911035072
110092,2019,17.0,1226,13.866231647634585
110006,2012,20.0,1897,10.542962572482868
110006,2013,18.0,1883,9.559214020180564
110006,2014,25.0,1869,13.37613697164259
110006,2015,23.0,1853,12.4123043712898
110006,2016,25.0,1849,13.52082206598161
110006,2017,18.0,1845,9.75609756097561
110006,2018,29.0,1840,15.76086956521739
110006,2019,33.0,1834,17.993456924754636
110007,2012,8.0,853,9.378663540445485
110007,2013,11.0,862,12.761020881670532
110007,2014,13.0,871,14.925373134328359
110007,2015,8.0,879,9.101251422070535
110007,2016,12.0,872,13.761467889908257
110007,2017,6.0,867,6.920415224913495
110007,2018,8.0,861,9.291521486643438
110007,2019,6.0,855,7.017543859649123
110008,2012,13.0,1212,10.726072607260726
110008,2013,13.0,1288,10.093167701863354
110008,2014,21.0,1363,15.40719002201027
110008,2015,16.0,1439,11.118832522585128
110008,2016,13.0,1516,8.575197889182057
110008,2017,18.0,1594,11.292346298619824
110008,2018,21.0,1670,12.574850299401197
110008,2019,24.0,1745,13.753581661891117
110094,2012,12.0,1571,7.638446849140674
110094,2013,10.0,1699,5.885815185403178
110094,2014,18.0,1828,9.846827133479213
110094,2015,16.0,1959,8.167432363450741
110094,2016,16.0,2116,7.561436672967864
110094,2017,17.0,2272,7.482394366197183
110094,2018,20.0,2429,8.233841086867022
110094,2019,17.0,2584,6.578947368421052
110009,2012,31.0,2957,10.48359824146094
110009,2013,35.0,3053,11.464133639043565
110009,2014,38.0,3148,12.07115628970775
110009,2015,42.0,3244,12.946979038224415
110009,2016,44.0,3332,13.205282112845138
110009,2017,57.0,3422,16.656925774400936
110009,2018,48.0,3509,13.679110857794242
110009,2019,49.0,3594,13.633834168057874
110100,2012,11.0,955,11.518324607329843
110100,2013,4.0,956,4.184100418410042
110100,2014,10.0,954,10.482180293501049
110100,2015,7.0,952,7.352941176470588
110100,2016,6.0,935,6.4171122994652405
110100,2017,10.0,917,10.905125408942203
110100,2018,10.0,900,11.11111111111111
110100,2019,6.0,882,6.802721088435374
110010,2012,83.0,4027,20.610876583064314
110010,2013,94.0,4131,22.75478092471557
110010,2014,71.0,4231,16.78090285984401
110010,2015,96.0,4333,22.15555042695592
110010,2016,95.0,4419,21.49807648789319
110010,2017,112.0,4507,24.850232970934105
110010,2018,103.0,4589,22.444977119198082
110010,2019,96.0,4670,20.556745182012847
110110,2012,12.0,837,14.336917562724015
110110,2013,7.0,870,8.045977011494253
110110,2014,5.0,903,5.537098560354375
110110,2015,5.0,937,5.3361792956243335
110110,2016,12.0,968,12.396694214876034
110110,2017,6.0,1001,5.994005994005994
110110,2018,15.0,1030,14.563106796116505
110110,2019,17.0,1061,16.022620169651272
110011,2012,53.0,5314,9.973654497553632
110011,2013,66.0,5427,12.161415146489773
110011,2014,65.0,5539,11.734970211229463
110011,2015,54.0,5650,9.557522123893806
110011,2016,68.0,5745,11.836379460400348
110011,2017,85.0,5841,14.552302687895908
110011,2018,92.0,5934,15.503875968992247
110011,2019,98.0,6023,16.270961314959322
110012,2012,154.0,12976,11.868064118372379
110012,2013,143.0,13246,10.795711913030349
110012,2014,156.0,13517,11.541022416216617
110012,2015,215.0,13785,15.596663039535727
110012,2016,207.0,14069,14.713199232354823
110012,2017,222.0,14350,15.470383275261325
110012,2018,261.0,14638,17.830304686432573
110012,2019,249.0,14904,16.70692431561997
110013,2012,35.0,3055,11.456628477905074
110013,2013,28.0,3197,8.758210822646232
110013,2014,36.0,3337,10.788133053640994
110013,2015,25.0,3479,7.185972980741592
110013,2016,27.0,3647,7.403345215245407
110013,2017,42.0,3814,11.012060828526481
110013,2018,42.0,3985,10.53952321204517
110013,2019,55.0,4147,13.262599469496022
110120,2012,9.0,1009,8.919722497522299
110120,2013,14.0,1020,13.72549019607843
110120,2014,6.0,1032,5.813953488372093
110120,2015,11.0,1045,10.526315789473683
110120,2016,8.0,1044,7.662835249042145
110120,2017,5.0,1044,4.7892720306513406
110120,2018,10.0,1041,9.606147934678194
110120,2019,15.0,1039,14.436958614051973
110130,2012,8.0,1099,7.279344858962694
110130,2013,8.0,1116,7.168458781362007
110130,2014,10.0,1132,8.8339222614841
110130,2015,13.0,1149,11.314186248912097
110130,2016,8.0,1162,6.884681583476764
110130,2017,14.0,1174,11.92504258943782
110130,2018,5.0,1186,4.2158516020236085
110130,2019,21.0,1197,17.543859649122805
110140,2012,7.0,1323,5.291005291005291
110140,2013,13.0,1375,9.454545454545455
110140,2014,11.0,1425,7.719298245614035
110140,2015,12.0,1476,8.130081300813009
110140,2016,10.0,1536,6.510416666666667
110140,2017,22.0,1595,13.793103448275861
110140,2018,16.0,1654,9.673518742442562
