CODMUNRES,Ano,Qtd_Morte_Materna,Qtd_Total,Ratio
110000,2012,0.0,2.0,0.0
110000,2013,0.0,16.0,0.0
110000,2014,0.0,4.0,0.0
110000,2015,0.0,4.0,0.0
110000,2016,0.0,2.0,0.0
110000,2018,0.0,2.0,0.0
110000,2019,0.0,1.0,0.0
110001,2012,0.0,386.0,0.0
110001,2013,0.0,382.0,0.0
110001,2014,0.0,341.0,0.0
110001,2015,1.0,403.0,248.13895781637717
110001,2016,0.0,331.0,0.0
110001,2017,0.0,357.0,0.0
110001,2018,0.0,405.0,0.0
110001,2019,0.0,387.0,0.0
110002,2012,1.0,1339.0,74.68259895444362
110002,2013,1.0,1654.0,60.45949214026602
110002,2014,2.0,1647.0,121.43290831815423
110002,2015,2.0,1769.0,113.05822498586771
110002,2016,2.0,1576.0,126.90355329949237
110002,2017,1.0,1678.0,59.594755661501786
110002,2018,0.0,1654.0,0.0
110002,2019,1.0,1718.0,58.20721769499418
110003,2012,0.0,64.0,0.0
110003,2013,0.0,74.0,0.0
110003,2014,0.0,75.0,0.0
110003,2015,0.0,90.0,0.0
110003,2016,0.0,76.0,0.0
110003,2017,0.0,66.0,0.0
110003,2018,0.0,82.0,0.0
110003,2019,0.0,80.0,0.0
110004,2012,0.0,1201.0,0.0
110004,2013,0.0,1185.0,0.0
110004,2014,1.0,1307.0,76.51109410864575
110004,2015,0.0,1414.0,0.0
110004,2016,1.0,1376.0,72.67441860465117
110004,2017,0.0,1479.0,0.0
110004,2018,0.0,1466.0,0.0
110004,2019,0.0,1387.0,0.0
110005,2012,0.0,245.0,0.0
110005,2013,0.0,271.0,0.0
110005,2014,0.0,250.0,0.0
110005,2015,0.0,269.0,0.0
110005,2016,1.0,264.0,378.7878787878788
110005,2017,0.0,275.0,0.0
110005,2018,0.0,260.0,0.0
110005,2019,0.0,232.0,0.0
110006,2012,0.0,214.0,0.0
110006,2013,0.0,256.0,0.0
110006,2014,0.0,273.0,0.0
110006,2015,0.0,243.0,0.0
110006,2016,1.0,218.0,458.7155963302753
110006,2017,1.0,231.0,432.9004329004329
110006,2018,0.0,231.0,0.0
110006,2019,1.0,214.0,467.28971962616816
110007,2012,0.0,116.0,0.0
110007,2013,0.0,116.0,0.0
110007,2014,0.0,125.0,0.0
110007,2015,0.0,108.0,0.0
110007,2016,0.0,138.0,0.0
110007,2017,0.0,86.0,0.0
110007,2018,0.0,126.0,0.0
110007,2019,0.0,131.0,0.0
110008,2012,0.0,234.0,0.0
110008,2013,0.0,234.0,0.0
110008,2014,0.0,267.0,0.0
110008,2015,0.0,242.0,0.0
110008,2016,0.0,211.0,0.0
110008,2017,0.0,214.0,0.0
110008,2018,0.0,252.0,0.0
110008,2019,0.0,234.0,0.0
110009,2012,1.0,476.0,210.08403361344537
110009,2013,0.0,463.0,0.0
110009,2014,0.0,496.0,0.0
110009,2015,0.0,489.0,0.0
110009,2016,0.0,487.0,0.0
110009,2017,0.0,488.0,0.0
