CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,0.0,386,0.0
110001,2013,0.0,382,0.0
110001,2014,0.0,341,0.0
110001,2015,0.0,373,0.0
110001,2016,0.0,326,0.0
110001,2017,0.0,354,0.0
110001,2018,0.0,408,0.0
110001,2019,0.0,367,0.0
110002,2012,0.0,1339,0.0
110002,2013,0.0,1654,0.0
110002,2014,1.0,1647,60.71645415907712
110002,2015,1.0,1783,56.08524957936063
110002,2016,1.0,1662,60.168471720818296
110002,2017,1.0,1724,58.0046403712297
110002,2018,0.0,1682,0.0
110002,2019,1.0,1729,57.83689994216309
110003,2012,0.0,64,0.0
110003,2013,0.0,74,0.0
110003,2014,0.0,75,0.0
110003,2015,0.0,86,0.0
110003,2016,0.0,73,0.0
110003,2017,0.0,67,0.0
110003,2018,0.0,82,0.0
110003,2019,0.0,80,0.0
110004,2012,0.0,1201,0.0
110004,2013,0.0,1185,0.0
110004,2014,1.0,1307,76.51109410864575
110004,2015,0.0,1360,0.0
110004,2016,1.0,1338,74.73841554559044
110004,2017,0.0,1452,0.0
110004,2018,0.0,1446,0.0
110004,2019,0.0,1374,0.0
110005,2012,0.0,245,0.0
110005,2013,0.0,271,0.0
110005,2014,0.0,250,0.0
110005,2015,0.0,277,0.0
110005,2016,1.0,263,380.22813688212926
110005,2017,0.0,277,0.0
110005,2018,0.0,264,0.0
110005,2019,0.0,237,0.0
110006,2012,0.0,214,0.0
110006,2013,0.0,256,0.0
110006,2014,0.0,273,0.0
110006,2015,0.0,251,0.0
110006,2016,1.0,223,448.4304932735426
110006,2017,1.0,243,411.522633744856
110006,2018,0.0,235,0.0
110006,2019,0.0,214,0.0
110007,2012,0.0,116,0.0
110007,2013,0.0,116,0.0
110007,2014,0.0,125,0.0
110007,2015,0.0,111,0.0
110007,2016,0.0,139,0.0
110007,2017,0.0,87,0.0
110007,2018,0.0,129,0.0
110007,2019,0.0,127,0.0
110008,2012,0.0,234,0.0
110008,2013,0.0,234,0.0
110008,2014,0.0,267,0.0
110008,2015,0.0,245,0.0
110008,2016,0.0,213,0.0
110008,2017,0.0,216,0.0
110008,2018,0.0,246,0.0
110008,2019,0.0,233,0.0
110009,2012,1.0,476,210.08403361344537
110009,2013,0.0,463,0.0
110009,2014,0.0,496,0.0
110009,2015,0.0,548,0.0
110009,2016,0.0,486,0.0
110009,2017,0.0,533,0.0
110009,2018,1.0,476,210.08403361344537
110009,2019,0.0,450,0.0
110010,2012,0.0,940,0.0
110010,2013,0.0,879,0.0
110010,2014,1.0,923,108.34236186348862
110010,2015,0.0,831,0.0
110010,2016,0.0,884,0.0
110010,2017,1.0,842,118.76484560570071
110010,2018,0.0,926,0.0
110010,2019,0.0,781,0.0
110011,2012,0.0,808,0.0
110011,2013,0.0,914,0.0
110011,2014,0.0,867,0.0
110011,2015,0.0,788,0.0
110011,2016,0.0,807,0.0
110011,2017,1.0,846,118.2033096926714
110011,2018,1.0,911,109.76948408342481
110011,2019,0.0,881,0.0
110012,2012,0.0,2075,0.0
110012,2013,0.0,1971,0.0
110012,2014,2.0,1956,102.24948875255625
110012,2015,0.0,2094,0.0
110012,2016,0.0,1976,0.0
110012,2017,2.0,2050,97.5609756097561
110012,2018,1.0,2278,43.89815627743635
110012,2019,2.0,2182,91.65902841429882
110013,2012,0.0,542,0.0
110013,2013,1.0,514,194.55252918287937
110013,2014,0.0,507,0.0
110013,2015,0.0,480,0.0
110013,2016,0.0,398,0.0
110013,2017,0.0,449,0.0
110013,2018,0.0,517,0.0
110013,2019,0.0,500,0.0
110014,2012,0.0,271,0.0
110014,2013,0.0,278,0.0
110014,2014,0.0,254,0.0
110014,2015,0.0,256,0.0
110014,2016,0.0,276,0.0
110014,2017,0.0,224,0.0
110014,2018,0.0,290,0.0
110014,2019,0.0,261,0.0
110015,2012,0.0,647,0.0
110015,2013,0.0,639,0.0
110015,2014,1.0,674,148.3679525222552
110015,2015,0.0,767,0.0
110015,2016,0.0,582,0.0
110015,2017,1.0,578,173.01038062283737
110015,2018,0.0,614,0.0
110015,2019,0.0,631,0.0
110018,2012,0.0,553,0.0
110018,2013,1.0,581,172.1170395869191
110018,2014,0.0,597,0.0
110018,2015,0.0,594,0.0
110018,2016,0.0,601,0.0
110018,2017,0.0,615,0.0
110018,2018,0.0,651,0.0
110018,2019,0.0,616,0.0
110020,2012,6.0,8941,67.10658763001902
110020,2013,4.0,8927,44.80788618796908
110020,2014,5.0,9130,54.76451259583789
110020,2015,4.0,9093,43.98988232706478
110020,2016,6.0,8611,69.67831842991524
110020,2017,4.0,8800,45.45454545454545
