CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,2.0,386,5.181347150259067
110001,2013,1.0,382,2.617801047120419
110001,2014,0.0,341,0.0
110001,2015,1.0,373,2.680965147453083
110001,2016,1.0,326,3.067484662576687
110001,2017,0.0,354,0.0
110001,2018,1.0,408,2.450980392156863
110001,2019,0.0,367,0.0
110001,2020,1.0,333,3.003003003003003
110002,2012,6.0,1339,4.480955937266617
110002,2013,4.0,1654,2.4183796856106405
110002,2014,7.0,1647,4.250151791135397
110002,2015,5.0,1783,2.8042624789680315
110002,2016,5.0,1662,3.0084235860409145
110002,2017,3.0,1724,1.740139211136891
110002,2018,5.0,1682,2.972651605231867
110002,2019,7.0,1729,4.048582995951417
110002,2020,4.0,1507,2.6542800265428004
110003,2012,1.0,64,15.625
110003,2013,0.0,74,0.0
110003,2014,1.0,75,13.333333333333334
110003,2015,2.0,86,23.25581395348837
110003,2016,0.0,73,0.0
110003,2017,0.0,67,0.0
110003,2018,0.0,82,0.0
110003,2019,0.0,80,0.0
110003,2020,0.0,69,0.0
110004,2012,5.0,1201,4.163197335553705
110004,2013,7.0,1185,5.9071729957805905
110004,2014,3.0,1307,2.295332823259373
110004,2015,4.0,1360,2.941176470588235
110004,2016,3.0,1338,2.242152466367713
110004,2017,3.0,1452,2.066115702479339
110004,2018,5.0,1446,3.457814661134163
110004,2019,1.0,1374,0.727802037845706
110004,2020,3.0,1325,2.2641509433962264
110005,2012,3.0,245,12.244897959183673
110005,2013,1.0,271,3.6900369003690034
110005,2014,0.0,250,0.0
110005,2015,0.0,277,0.0
110005,2016,1.0,263,3.802281368821293
110005,2017,1.0,277,3.6101083032490977
110005,2018,0.0,264,0.0
110005,2019,0.0,237,0.0
110005,2020,1.0,269,3.717472118959108
110006,2012,1.0,214,4.672897196261682
110006,2013,1.0,256,3.90625
110006,2014,2.0,273,7.326007326007326
110006,2015,0.0,251,0.0
110006,2016,0.0,223,0.0
110006,2017,1.0,243,4.11522633744856
110006,2018,1.0,235,4.25531914893617
110006,2019,1.0,214,4.672897196261682
110006,2020,0.0,203,0.0
110007,2012,0.0,116,0.0
110007,2013,0.0,116,0.0
110007,2014,1.0,125,8.0
110007,2015,0.0,111,0.0
110007,2016,1.0,139,7.194244604316547
110007,2017,1.0,87,11.494252873563218
110007,2018,0.0,129,0.0
110007,2019,0.0,127,0.0
110007,2020,1.0,107,9.345794392523365
110008,2012,1.0,234,4.273504273504274
110008,2013,0.0,234,0.0
110008,2014,1.0,267,3.745318352059925
110008,2015,1.0,245,4.081632653061225
110008,2016,1.0,213,4.694835680751174
110008,2017,2.0,216,9.25925925925926
110008,2018,0.0,246,0.0
110008,2019,3.0,233,12.875536480686696
110008,2020,1.0,190,5.263157894736842
110009,2012,1.0,476,2.100840336134454
110009,2013,2.0,463,4.319654427645789
110009,2014,0.0,496,0.0
110009,2015,4.0,548,7.299270072992701
110009,2016,0.0,486,0.0
110009,2017,2.0,533,3.75234521575985
110009,2018,1.0,476,2.100840336134454
110009,2019,1.0,450,2.2222222222222223
110009,2020,4.0,471,8.492569002123142
110010,2012,2.0,940,2.127659574468085
110010,2013,3.0,879,3.4129692832764507
110010,2014,8.0,923,8.66738894907909
110010,2015,7.0,831,8.42358604091456
110010,2016,8.0,884,9.04977375565611
110010,2017,6.0,842,7.125890736342043
110010,2018,4.0,926,4.319654427645789
110010,2019,0.0,781,0.0
110010,2020,5.0,858,5.827505827505828
110011,2012,4.0,808,4.9504950495049505
110011,2013,1.0,914,1.0940919037199124
110011,2014,3.0,867,3.4602076124567476
110011,2015,6.0,788,7.614213197969543
110011,2016,5.0,807,6.195786864931847
110011,2017,5.0,846,5.91016548463357
110011,2018,4.0,911,4.390779363336993
110011,2019,0.0,881,0.0
110011,2020,3.0,892,3.36322869955157
110012,2012,7.0,2075,3.373493975903614
110012,2013,3.0,1971,1.5220700152207
110012,2014,12.0,1956,6.134969325153374
110012,2015,10.0,2094,4.7755491881566385
110012,2016,3.0,1976,1.5182186234817814
110012,2017,7.0,2050,3.4146341463414633
110012,2018,12.0,2278,5.267778753292362
110012,2019,9.0,2182,4.124656278643446
110012,2020,12.0,2133,5.625879043600563
110013,2012,2.0,542,3.6900369003690034
110013,2013,2.0,514,3.8910505836575875
110013,2014,2.0,507,3.9447731755424065
110013,2015,2.0,480,4.166666666666667
110013,2016,2.0,398,5.025125628140704
110013,2017,1.0,449,2.2271714922048997
110013,2018,0.0,517,0.0
110013,2019,2.0,500,4.0
110013,2020,2.0,561,3.5650623885918002
110014,2012,1.0,271,3.6900369003690034
