CODMUNRES,Ano,OICFSI,OISFSI,ONI,Total,Indicador
110000,2013,1,0,0,1,100.0
110000,2014,0,0,2,2,0.0
110000,2015,0,1,0,1,100.0
110000,2016,3,1,0,4,100.0
110000,2018,0,0,1,1,0.0
110000,2019,0,1,1,2,50.0
110000,2020,2,0,1,3,66.66666666666666
110001,2012,1,0,4,5,20.0
110001,2013,6,0,0,6,100.0
110001,2014,5,0,0,5,100.0
110001,2015,11,0,0,11,100.0
110001,2016,8,0,0,8,100.0
110001,2017,7,0,0,7,100.0
110001,2018,3,0,0,3,100.0
110001,2019,8,0,1,9,88.88888888888889
110001,2020,1,1,3,5,40.0
110002,2012,33,0,0,33,100.0
110002,2013,36,0,0,36,100.0
110002,2014,35,0,0,35,100.0
110002,2015,41,0,0,41,100.0
110002,2016,35,0,0,35,100.0
110002,2017,25,0,0,25,100.0
110002,2018,27,0,0,27,100.0
110002,2019,44,0,0,44,100.0
110002,2020,44,0,0,44,100.0
110003,2012,1,0,1,2,50.0
110003,2013,2,0,1,3,66.66666666666666
110003,2014,1,0,0,1,100.0
110003,2015,1,0,0,1,100.0
110003,2016,1,1,1,3,66.66666666666666
110003,2017,0,1,0,1,100.0
110003,2018,0,0,1,1,0.0
110003,2019,0,1,1,2,50.0
110003,2020,1,0,0,1,100.0
110004,2012,27,0,0,27,100.0
110004,2013,27,0,0,27,100.0
110004,2014,31,0,1,32,96.875
110004,2015,22,0,0,22,100.0
110004,2016,31,0,0,31,100.0
110004,2017,32,0,0,32,100.0
110004,2018,21,0,0,21,100.0
110004,2019,23,0,0,23,100.0
110004,2020,37,0,0,37,100.0
110005,2012,7,0,0,7,100.0
110005,2013,10,0,0,10,100.0
110005,2014,7,0,0,7,100.0
110005,2015,5,0,0,5,100.0
110005,2016,7,0,0,7,100.0
110005,2017,5,0,0,5,100.0
110005,2018,5,0,0,5,100.0
110005,2019,8,0,0,8,100.0
110005,2020,13,0,0,13,100.0
110006,2012,3,0,2,5,60.0
110006,2013,1,0,4,5,20.0
110006,2014,1,0,2,3,33.33333333333333
110006,2015,1,1,3,5,40.0
110006,2016,4,0,1,5,80.0
110006,2017,3,0,3,6,50.0
110006,2018,1,0,4,5,20.0
110006,2019,5,0,0,5,100.0
110006,2020,8,0,0,8,100.0
110007,2012,1,0,0,1,100.0
110007,2013,1,0,1,2,50.0
110007,2016,1,0,0,1,100.0
110007,2017,4,0,0,4,100.0
110007,2018,2,0,0,2,100.0
110007,2019,0,0,1,1,0.0
110007,2020,4,0,0,4,100.0
110008,2012,5,0,1,6,83.33333333333334
