CODMUNRES,Ano,OICFSI,OISFSI,ONI,Total,Indicador
110001,2015,1,0,0,1,100.0
110002,2012,1,0,0,1,100.0
110002,2013,1,0,0,1,100.0
110002,2014,2,0,0,2,100.0
110002,2015,2,0,0,2,100.0
110002,2016,2,0,0,2,100.0
110002,2017,1,0,0,1,100.0
110002,2019,1,0,0,1,100.0
110002,2020,2,0,0,2,100.0
110004,2014,1,0,0,1,100.0
110004,2016,1,0,0,1,100.0
110004,2020,3,0,0,3,100.0
110005,2016,1,0,0,1,100.0
110006,2016,1,0,0,1,100.0
110006,2017,1,0,0,1,100.0
110006,2019,1,0,0,1,100.0
110009,2012,0,0,1,1,0.0
110009,2018,1,0,0,1,100.0
110010,2014,1,0,0,1,100.0
110010,2017,1,0,0,1,100.0
110010,2020,3,0,0,3,100.0
110011,2017,2,0,0,2,100.0
110011,2018,1,0,0,1,100.0
110011,2020,2,0,0,2,100.0
110012,2014,2,0,0,2,100.0
110012,2017,3,0,0,3,100.0
110012,2018,1,0,0,1,100.0
110012,2019,2,0,0,2,100.0
110013,2013,1,0,0,1,100.0
110015,2014,1,0,0,1,100.0
110015,2017,2,0,0,2,100.0
110018,2013,1,0,0,1,100.0
110020,2012,8,0,0,8,100.0
110020,2013,7,0,0,7,100.0
110020,2014,8,0,0,8,100.0
110020,2015,5,0,0,5,100.0
110020,2016,8,0,0,8,100.0
110020,2017,5,0,0,5,100.0
110020,2018,4,0,0,4,100.0
110020,2019,6,0,0,6,100.0
110020,2020,5,0,0,5,100.0
110025,2014,1,0,0,1,100.0
110028,2012,1,0,0,1,100.0
110028,2015,1,0,0,1,100.0
110028,2016,1,0,0,1,100.0
110030,2012,2,0,0,2,100.0
110030,2013,3,0,0,3,100.0
110030,2014,3,0,0,3,100.0
110030,2015,1,0,0,1,100.0
110030,2018,1,0,0,1,100.0
110030,2020,2,0,0,2,100.0
110032,2016,1,0,0,1,100.0
110033,2012,1,0,0,1,100.0
110033,2020,0,0,1,1,0.0
110034,2015,1,0,0,1,100.0
110034,2018,1,0,0,1,100.0
110037,2017,1,0,0,1,100.0
110040,2013,1,0,0,1,100.0
110045,2014,1,0,0,1,100.0
110045,2018,1,0,0,1,100.0
110070,2017,1,0,0,1,100.0
110080,2012,1,0,0,1,100.0
110080,2019,1,0,0,1,100.0
110092,2013,1,0,0,1,100.0
110092,2017,1,0,0,1,100.0
110094,2014,0,0,1,1,0.0
110094,2017,1,0,0,1,100.0
110110,2013,2,0,0,2,100.0
110145,2015,1,0,0,1,100.0
110149,2012,1,0,0,1,100.0
110149,2013,1,0,0,1,100.0
110149,2014,1,0,0,1,100.0
110150,2015,1,0,0,1,100.0
110150,2019,2,0,0,2,100.0
110170,2012,1,0,0,1,100.0
110170,2015,0,0,1,1,0.0
120010,2015,1,0,0,1,100.0
120010,2017,1,0,0,1,100.0
120013,2014,1,0,0,1,100.0
120013,2016,1,0,0,1,100.0
120017,2020,1,0,0,1,100.0
120020,2013,1,0,1,2,50.0
120020,2014,1,0,0,1,100.0
120020,2015,2,0,0,2,100.0
120020,2017,1,0,0,1,100.0
120020,2020,1,0,0,1,100.0
120030,2012,1,0,0,1,100.0
120030,2013,0,0,1,1,0.0
120030,2017,1,0,0,1,100.0
120030,2018,1,0,0,1,100.0
120032,2015,1,0,0,1,100.0
120032,2019,1,0,0,1,100.0
120033,2015,1,0,0,1,100.0
120034,2014,1,0,0,1,100.0
120034,2016,1,0,0,1,100.0
120034,2019,1,0,0,1,100.0
120035,2016,1,0,0,1,100.0
120035,2017,1,0,0,1,100.0
120035,2020,1,0,0,1,100.0
120038,2013,1,0,0,1,100.0
120039,2016,1,0,0,1,100.0
120040,2012,7,0,0,7,100.0
120040,2013,4,0,0,4,100.0
120040,2014,3,0,0,3,100.0
120040,2015,3,0,0,3,100.0
120040,2016,3,0,0,3,100.0
120040,2017,2,0,0,2,100.0
120040,2018,6,0,0,6,100.0
120040,2019,4,0,0,4,100.0
120040,2020,1,0,0,1,100.0
120042,2014,1,0,0,1,100.0
120043,2012,0,0,1,1,0.0
120043,2014,1,0,0,1,100.0
120043,2015,1,0,0,1,100.0
120043,2017,1,0,0,1,100.0
120045,2015,1,0,0,1,100.0
120045,2018,1,0,0,1,100.0
120050,2019,1,0,0,1,100.0
120050,2020,1,0,0,1,100.0
120060,2013,1,0,1,2,50.0
120060,2016,1,0,0,1,100.0
120060,2018,1,0,0,1,100.0
120060,2019,1,0,0,1,100.0
120070,2017,1,0,0,1,100.0
120080,2016,1,0,0,1,100.0
130002,2013,1,0,0,1,100.0
130006,2012,1,0,0,1,100.0
130006,2020,1,0,0,1,100.0
130008,2014,0,1,0,1,100.0
130008,2016,1,0,0,1,100.0
130010,2016,1,0,0,1,100.0
130010,2018,1,0,0,1,100.0
130014,2020,1,0,0,1,100.0
130020,2012,1,0,0,1,100.0
130020,2014,1,0,0,1,100.0
130020,2017,1,0,0,1,100.0
130020,2018,0,0,1,1,0.0
130020,2020,1,0,0,1,100.0
130030,2014,1,0,0,1,100.0
130030,2015,1,0,0,1,100.0
130030,2020,1,0,0,1,100.0
130040,2012,0,0,1,1,0.0
130040,2013,1,0,0,1,100.0
130040,2016,1,0,0,1,100.0
130050,2013,2,0,0,2,100.0
130050,2016,1,0,0,1,100.0
130050,2019,2,0,0,2,100.0
130060,2012,2,0,0,2,100.0
130060,2014,2,0,0,2,100.0
130060,2015,1,0,0,1,100.0
130060,2019,3,0,0,3,100.0
130060,2020,2,0,1,3,66.66666666666666
130063,2012,2,0,0,2,100.0
130063,2013,0,0,1,1,0.0
130063,2018,1,0,0,1,100.0
130063,2019,1,0,0,1,100.0
130068,2015,1,0,0,1,100.0
130068,2017,1,0,0,1,100.0
130068,2018,1,0,0,1,100.0
130068,2019,1,0,0,1,100.0
130070,2019,1,0,0,1,100.0
130070,2020,1,0,0,1,100.0
130080,2015,1,0,0,1,100.0
130080,2018,1,0,0,1,100.0
130083,2013,1,0,0,1,100.0
130083,2016,1,0,0,1,100.0
130083,2020,1,0,0,1,100.0
130090,2014,1,0,0,1,100.0
130090,2015,1,0,0,1,100.0
130090,2018,1,0,0,1,100.0
130100,2013,1,0,0,1,100.0
130100,2014,2,0,0,2,100.0
130100,2015,2,0,0,2,100.0
130100,2018,1,0,0,1,100.0
130110,2019,0,0,1,1,0.0
130110,2020,1,0,0,1,100.0
130115,2012,0,0,1,1,0.0
130115,2014,1,0,0,1,100.0
130120,2012,2,0,0,2,100.0
130120,2014,2,0,0,2,100.0
130120,2015,2,0,0,2,100.0
130120,2016,1,0,0,1,100.0
130120,2017,3,0,0,3,100.0
130120,2018,3,0,0,3,100.0
130120,2019,3,0,0,3,100.0
130130,2016,2,0,0,2,100.0
130130,2017,2,0,0,2,100.0
130130,2019,1,0,0,1,100.0
130140,2013,3,0,0,3,100.0
130140,2017,2,0,0,2,100.0
130140,2020,1,0,0,1,100.0
130150,2013,1,0,0,1,100.0
130150,2014,1,0,0,1,100.0
130150,2017,1,0,0,1,100.0
130160,2015,1,0,0,1,100.0
130160,2017,3,0,0,3,100.0
130160,2018,1,0,0,1,100.0
130160,2019,1,0,0,1,100.0
130160,2020,1,0,0,1,100.0
130165,2018,1,0,0,1,100.0
130170,2014,1,0,0,1,100.0
130170,2017,1,0,0,1,100.0
130180,2012,0,0,1,1,0.0
130180,2019,0,0,1,1,0.0
130185,2012,1,0,0,1,100.0
130185,2013,1,0,0,1,100.0
130185,2014,1,0,0,1,100.0
130185,2015,1,0,0,1,100.0
130185,2018,1,0,0,1,100.0
130190,2014,1,0,0,1,100.0
130190,2015,4,0,0,4,100.0
130190,2016,1,0,0,1,100.0
130190,2017,2,0,0,2,100.0
130190,2019,2,0,0,2,100.0
130190,2020,1,0,0,1,100.0
130195,2014,1,0,0,1,100.0
130195,2017,1,0,0,1,100.0
130195,2019,1,0,0,1,100.0
130200,2014,1,0,0,1,100.0
130210,2012,1,0,0,1,100.0
130230,2014,1,0,0,1,100.0
130230,2016,1,0,0,1,100.0
130230,2017,1,0,0,1,100.0
130240,2014,2,0,0,2,100.0
130240,2015,2,0,0,2,100.0
130250,2012,2,0,0,2,100.0
130250,2015,2,0,0,2,100.0
130250,2016,3,0,0,3,100.0
130250,2017,2,0,0,2,100.0
130250,2018,3,0,0,3,100.0
130250,2019,1,0,0,1,100.0
130250,2020,4,0,0,4,100.0
130255,2013,1,0,0,1,100.0
130255,2020,0,1,0,1,100.0
130260,2012,22,0,0,22,100.0
130260,2013,28,0,0,28,100.0
