NOME,Ano,Ratio
Brasil,2012,54.41
Brasil,2013,57.99
Brasil,2014,58.31
Brasil,2015,57.56
Brasil,2016,58.33
Brasil,2017,58.73
Brasil,2018,56.23
Brasil,2019,55.28
RONDONIA,2012,64.12
RONDONIA,2013,66.47
RONDONIA,2014,79.84
RONDONIA,2015,50.15
RONDONIA,2016,56.39
RONDONIA,2017,69.08
RONDONIA,2018,35.6
RONDONIA,2019,48.1
ACRE,2012,53.9
ACRE,2013,58.57
ACRE,2014,46.68
ACRE,2015,58.89
ACRE,2016,57.06
ACRE,2017,48.91
ACRE,2018,54.4
ACRE,2019,49.14
AMAZONAS,2012,64.58
AMAZONAS,2013,63.27
AMAZONAS,2014,96.15
AMAZONAS,2015,64.94
AMAZONAS,2016,71.73
AMAZONAS,2017,64.06
AMAZONAS,2018,90.95
AMAZONAS,2019,77.31
RORAIMA,2012,37.74
RORAIMA,2013,55.52
RORAIMA,2014,44.99
RORAIMA,2015,96.42
RORAIMA,2016,52.75
RORAIMA,2017,51.12
RORAIMA,2018,74.95
RORAIMA,2019,75.24
PARA,2012,68.2
PARA,2013,86.08
PARA,2014,80.84
PARA,2015,66.13
PARA,2016,74.81
PARA,2017,93.02
PARA,2018,76.15
PARA,2019,87.47
AMAPA,2012,40.28
AMAPA,2013,89.12
AMAPA,2014,49.17
AMAPA,2015,82.56
AMAPA,2016,109.53
AMAPA,2017,45.46
AMAPA,2018,88.25
AMAPA,2019,32.56
TOCANTINS,2012,53.3
TOCANTINS,2013,58.06
TOCANTINS,2014,60.15
TOCANTINS,2015,75.68
TOCANTINS,2016,75.41
TOCANTINS,2017,84.23
TOCANTINS,2018,31.4
TOCANTINS,2019,61.36
MARANHAO,2012,72.39
MARANHAO,2013,96.53
MARANHAO,2014,79.44
MARANHAO,2015,99.53
MARANHAO,2016,99.56
MARANHAO,2017,84.97
MARANHAO,2018,78.53
MARANHAO,2019,75.02
PIAUI,2012,100.08
PIAUI,2013,94.79
PIAUI,2014,68.83
PIAUI,2015,83.25
PIAUI,2016,80.88
PIAUI,2017,72.09
PIAUI,2018,82.85
PIAUI,2019,85.54
CEARA,2012,69.36
CEARA,2013,74.48
CEARA,2014,65.28
CEARA,2015,49.05
CEARA,2016,58.62
CEARA,2017,65.73
CEARA,2018,68.45
CEARA,2019,58.06
RIO GRANDE DO NORTE,2012,65.97
RIO GRANDE DO NORTE,2013,47.01
RIO GRANDE DO NORTE,2014,74.83
RIO GRANDE DO NORTE,2015,61.1
RIO GRANDE DO NORTE,2016,68.33
RIO GRANDE DO NORTE,2017,75.72
RIO GRANDE DO NORTE,2018,51.97
RIO GRANDE DO NORTE,2019,70.4
PARAIBA,2012,47.57
PARAIBA,2013,70.36
PARAIBA,2014,53.88
PARAIBA,2015,64.31
PARAIBA,2016,87.37
PARAIBA,2017,62.62
PARAIBA,2018,53.15
PARAIBA,2019,62.39
PERNAMBUCO,2012,51.63
PERNAMBUCO,2013,64.33
PERNAMBUCO,2014,63.42
PERNAMBUCO,2015,67.58
PERNAMBUCO,2016,54.31
PERNAMBUCO,2017,61.81
PERNAMBUCO,2018,57.85
PERNAMBUCO,2019,48.0
ALAGOAS,2012,45.71
ALAGOAS,2013,59.06
ALAGOAS,2014,104.13
ALAGOAS,2015,57.41
ALAGOAS,2016,51.91
ALAGOAS,2017,31.77
ALAGOAS,2018,49.53
ALAGOAS,2019,58.23
SERGIPE,2012,70.36
SERGIPE,2013,67.2
SERGIPE,2014,66.92
SERGIPE,2015,51.55
SERGIPE,2016,55.87
SERGIPE,2017,50.2
SERGIPE,2018,58.38
SERGIPE,2019,36.7
BAHIA,2012,70.0
BAHIA,2013,79.68
BAHIA,2014,72.55
BAHIA,2015,69.2
BAHIA,2016,60.56
BAHIA,2017,65.66
BAHIA,2018,57.47
BAHIA,2019,53.23
MINAS GERAIS,2012,33.78
MINAS GERAIS,2013,47.56
MINAS GERAIS,2014,49.04
MINAS GERAIS,2015,46.59
MINAS GERAIS,2016,46.94
MINAS GERAIS,2017,45.22
MINAS GERAIS,2018,51.21
MINAS GERAIS,2019,44.77
ESPIRITO SANTO,2012,64.36
ESPIRITO SANTO,2013,48.09
ESPIRITO SANTO,2014,88.42
ESPIRITO SANTO,2015,63.22
ESPIRITO SANTO,2016,39.32
ESPIRITO SANTO,2017,59.09
ESPIRITO SANTO,2018,56.42
ESPIRITO SANTO,2019,52.8
RIO DE JANEIRO,2012,80.33
RIO DE JANEIRO,2013,79.46
RIO DE JANEIRO,2014,71.07
RIO DE JANEIRO,2015,67.1
RIO DE JANEIRO,2016,71.19
RIO DE JANEIRO,2017,76.61
RIO DE JANEIRO,2018,61.68
RIO DE JANEIRO,2019,74.53
SAO PAULO,2012,36.65
SAO PAULO,2013,39.29
SAO PAULO,2014,42.03
SAO PAULO,2015,48.89
SAO PAULO,2016,51.05
SAO PAULO,2017,56.88
SAO PAULO,2018,49.82
SAO PAULO,2019,48.36
PARANA,2012,38.33
PARANA,2013,41.73
PARANA,2014,41.27
PARANA,2015,51.57
PARANA,2016,47.08
PARANA,2017,31.71
PARANA,2018,38.41
PARANA,2019,44.31
SANTA CATARINA,2012,36.05
SANTA CATARINA,2013,28.93
SANTA CATARINA,2014,25.74
