Regiao;Codigo;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Norte;1;84,4;78,4;74,7;73,2;83,8;93,6;76;84,5;88,9;80,8;82,5
Rondônia;11;97,8;83,2;58,3;64,1;94,2;87,7;57,7;56,4;87,3;47,8;59,6
Acre;12;41,4;48,8;33,7;53,9;58,6;46,7;58,9;69,7;48,9;54,4;49,1
Amazonas;13;109,9;119,5;84,6;85;81,6;120,8;78,8;84,7;75,6;108,4;84,8
Roraima;14;125;13,8;67,5;38;74,5;60,4;96,4;52,7;59,6;100,6;91,9
Pará;15;73,2;69,7;73,8;78,9;86,7;96,4;72,9;86,4;107,4;81,4;96,1
Amapá;16;37,6;26,8;53,3;54,1;119,7;66;110,8;141,7;45,5;88,3;32,6
Tocantins;17;97;76,8;112,6;53,3;61,2;60,1;85,6;92,2;96,3;31,6;71,4
Nordeste;2;82,5;83,3;77,9;72,7;82,4;77,9;75,3;78;73,2;67,1;63,6
Maranhão;21;109,7;133,7;109,8;96,1;123,8;100,9;116,5;122,2;101,8;90,6;80,6
Piauí;22;100,1;125;107,1;126;130,2;86,8;103,6;108,5;88,6;105,8;98,1
Ceará;23;66,2;70,6;68,4;69,4;74,5;65,3;49,1;63,4;65,7;68,4;58,1
Rio Grande do Norte;24;63,1;36,6;68,6;66;54,5;74,8;68,4;77,2;77,9;58,6;70,4
Paraíba;25;64,9;61,8;61,7;61,5;70,9;63;81,8;99,9;67,8;53,2;62,8
Pernambuco;26;62,1;61,9;57,5;56;64,3;63,4;67,6;58,1;63,3;59,2;48
Alagoas;27;34,3;74,4;66,8;56,3;71,6;104,1;59,1;51,9;37,7;49,5;58,2
Sergipe;28;118,6;71,1;83;70,4;67,2;66,9;51,6;55,9;56,1;58,8;36,7
Bahia;29;101,8;87,3;80,6;70;80,6;81;75,4;72,6;76,9;60,8;64
Sudeste;3;64,4;56;48,7;46,5;50,1;53,9;54,3;55,8;62,3;53,2;53,5
Minas Gerais;31;52,1;50,5;40,3;36,6;47,6;49;47;46,9;45,2;51,2;44,4
Espírito Santo;32;91,3;65,6;60,8;64,4;59,6;109,2;73,1;48,7;71,6;63,9;56,2
Rio de Janeiro;33;93,7;83,6;74,3;80,8;80,3;71,9;67,1;71,6;84,7;61,7;74,5
São Paulo;35;56,6;47,6;42;36,8;39,3;44,2;50,8;54,4;60,6;50;49,7
Sul;4;61,1;62,8;50,4;54,5;36,6;41,7;43,7;44,2;38,5;38,2;38,3
Paraná;41;71,7;65,4;52,7;38,4;41,7;41,3;51,7;50,3;31,7;38,4;45,5
Santa Catarina;42;32,2;38,1;30,7;45,4;31,4;30,2;30,9;31,5;40,7;35,1;30,6
Rio Grande do Sul;43;67,3;75,6;60,5;78,3;34,2;49,7;43,4;46;44,5;40,3;39,9
Centro-Oeste;5;75,6;77,2;68,2;64,3;62,5;60,2;65,9;67,3;56,9;64,9;59
Mato Grosso do Sul;50;126,7;113,8;92,4;73,1;66,7;79,3;88,2;80,1;60,3;84,9;64,5
Mato Grosso;51;85,9;76,9;83,9;58,5;71,6;63,7;82,9;78,5;61,1;58;64,6
Goiás;52;50,7;69,1;50,9;70,5;56,7;53,8;56,6;56,5;56,4;64,7;69,7
Distrito Federal;53;67,3;60,7;61,8;49,4;60,3;51;43,7;64,6;49,4;54,3;21,2
Brasil;0;72,4;68,9;61,8;59,3;62,1;63,8;62;64,4;64,5;59,1;57,9
