Regiao;Codigo;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Norte;1;67,3;62,7;62,5;62,6;74,1;78,6;66,7;72,5;76,8;72;74,3
Rondônia;11;65,2;61,9;54,2;64,1;66,4;79,8;50,1;56,4;69,1;35,6;48,1
Acre;12;41,4;36,4;33,7;53,9;58,6;46,7;58,9;57,1;48,9;54,4;49,1
Amazonas;13;88,5;94,4;68,2;64,6;63,3;96,1;64,9;71,7;64;90,9;77,3
Roraima;14;103,4;10,3;60,3;37,7;55,5;45;96,4;52,7;51,1;74,9;75,2
Pará;15;57,3;55,4;59,9;68,2;86,1;81,5;66,1;74,8;93;76,2;87,5
Amapá;16;28;20;39,7;40,3;89,1;49,2;82,5;109,5;45,5;88,3;32,6
Tocantins;17;88,3;73,6;103,9;53,3;58;60,1;75,7;75,4;84,2;31,4;61,4
Nordeste;2;72,9;71,1;69;65,6;75,1;71,3;68,5;67,6;65,8;62,7;59,4
Maranhão;21;84,1;102,9;86,7;72,4;96,5;79,4;99,5;99,6;85,9;78,5;75
Piauí;22;86,3;95,1;89,7;100,1;94,8;68,8;83,2;80,9;72,1;84,9;85,5
Ceará;23;66,2;70,6;68,4;69,4;74,5;65,3;49,1;58,6;65,7;68,4;58,1
Rio Grande do Norte;24;51,1;33,6;68,6;66;47;74,8;61,1;68,3;75,7;52;70,4
Paraíba;25;55;49,4;52,8;47,6;70,4;53,9;64,3;87,4;62,6;53,2;62,4
Pernambuco;26;62,1;55,6;56,4;51,6;64,3;63,4;67,6;54,3;61,8;57,8;48
Alagoas;27;34,3;59,1;51,6;45,7;59,1;104,1;57,4;51,9;31,8;49,5;58,2
Sergipe;28;102,5;67,6;83;70,4;67,2;66,9;51,6;55,9;50,2;58,4;36,7
Bahia;29;89,6;75,9;69,3;70;79,7;73;69,2;61,1;65,7;57,5;53,2
Sudeste;3;62,1;53,8;47,2;45,9;49,6;51,6;52,7;53,7;58,1;52,8;52,7
Minas Gerais;31;43,1;46,6;36,6;33,8;47,6;49;46,6;46,9;44,8;51,2;44,4
Espírito Santo;32;85,5;65,6;60,3;64,4;48,1;88,4;63,2;39,3;59,1;56,4;52,8
Rio de Janeiro;33;93,7;83,6;74,3;80,8;80,3;71,1;67,1;71,6;76,6;61,7;74,5
São Paulo;35;56,6;45,1;40,8;36,8;39,3;42;49,1;51,2;56,9;50;48,5
Sul;4;54,9;52,2;44,4;47,9;34,9;37,6;40,8;40,1;36;36,9;38,1
Paraná;41;71,7;59,2;51,7;38,3;41,7;41,3;51,6;47,1;31,7;38,4;44,3
Santa Catarina;42;22,8;28,4;25,1;36;28,9;25,7;30,9;30,4;38,6;35,1;30,6
Rio Grande do Sul;43;56,1;59,3;48,7;66,2;31,1;41,2;35,7;38,9;38,9;36,4;36,4
Centro-Oeste;5;61,8;59,8;52,5;57,3;56,7;54,3;59,4;62,6;52;61,4;56,4
Mato Grosso do Sul;50;89,4;74,8;68,8;68,6;52;59;70,2;66;46,9;65,5;50,3
Mato Grosso;51;72,2;71,5;66,4;58,5;71,6;63,7;75,9;78,5;59,4;58;64,6
Goiás;52;46,9;53,7;41,2;57,9;51,7;51,1;56,6;55,5;52,3;64,7;69,7
Distrito Federal;53;54,6;45,2;43,7;43,7;53,9;44,7;34,7;55,4;47,1;54,3;21,2
Total;0;65;60,1;55,3;54,5;58,1;58,4;57,6;58,4;58,7;56,3;55,3
