Código Município;Total Estimado
110001;405
110002;1654
110003;82
110004;1466
110005;260
110006;231
110007;126
110008;252
110009;470
110010;920
110011;909
110012;2216
110013;515
110014;280
110015;614
110018;650
110020;8720
110025;301
110026;49
110028;911
110029;115
110030;1566
110032;394
110033;499
110034;183
110037;169
110040;244
110045;607
110050;106
110060;82
110070;202
110080;409
110090;54
110092;184
110094;257
110100;146
110110;125
110120;90
110130;159
110140;219
110143;85
110145;56
110146;54
110147;42
110148;59
110149;328
110150;156
110155;64
110160;128
110170;152
110175;104
110180;97
120001;222
120005;286
120010;522
120013;290
120017;222
120020;1768
120025;288
120030;853
120032;315
120033;389
120034;283
120035;424
120038;314
120039;284
120040;6679
120042;413
120043;205
120045;472
120050;788
120060;1169
120070;317
120080;359
130002;369
130006;266
130008;252
130010;256
130014;241
130020;367
130030;969
130040;620
130050;793
130060;934
130063;508
130068;338
130070;708
130080;727
130083;216
130090;235
130100;660
130110;504
130115;321
130120;1741
130130;456
130140;845
130150;371
130160;603
130165;305
130170;1033
130180;426
130185;879
130190;2061
130195;311
130200;178
130210;172
130220;243
130230;691
130240;829
130250;2100
130255;311
130260;38950
130270;1035
130280;392
130290;1689
130300;322
130310;657
130320;360
130330;399
130340;2231
130350;390
130353;548
130356;415
130360;382
130370;746
130380;1277
130390;991
130395;176
130400;183
130406;2023
130410;423
130420;1872
130423;407
130426;316
130430;270
130440;314
140002;421
140005;782
140010;8686
140015;370
140017;272
140020;430
140023;177
140028;138
140030;311
140040;438
140045;505
140047;614
140050;110
140060;33
140070;625
150010;2853
150013;160
150020;1055
150030;982
150034;223
150040;1211
150050;729
150060;2538
150070;779
150080;7005
150085;670
150090;879
150095;410
150100;193
150110;613
150120;597
150125;49
150130;2289
150140;19528
150145;332
150150;1076
150157;264
150160;207
150170;2242
150172;379
150175;100
150178;819
150180;2897
150190;520
150195;353
150200;376
150210;2669
150215;1240
150220;963
150230;936
150240;3270
150250;443
150260;207
150270;790
150275;630
150276;174
150277;390
150280;813
150285;278
150290;563
150293;687
150295;585
150300;151
150304;370
150307;484
150309;501
150310;720
150320;584
150330;1125
150340;198
150345;627
150350;535
150360;2450
150370;808
150375;618
150380;834
