"Municipio";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"110001";2256;2162;2065;1966;1900;1830;1758;1687
"110037";1272;1258;1241;1225;1192;1158;1122;1086
"110040";1840;1860;1872;1885;1864;1835;1803;1773
"110034";1555;1471;1384;1297;1238;1177;1114;1052
"110002";9407;9448;9481;9510;9450;9373;9298;9211
"110045";3514;3535;3554;3576;3552;3520;3487;3461
"110003";523;494;460;428;409;388;369;348
"110060";599;602;598;596;580;564;543;526
"110004";7515;7379;7211;7045;6920;6778;6628;6479
"110070";1298;1291;1281;1271;1244;1213;1182;1152
"110080";2212;2251;2291;2330;2334;2326;2319;2312
"110090";352;335;309;288;274;256;237;220
"110005";1564;1491;1422;1354;1309;1261;1212;1162
"110092";891;911;929;947;953;957;960;963
"110006";1588;1502;1414;1323;1264;1202;1138;1075
"110007";794;744;689;635;597;558;518;477
"110008";1574;1613;1650;1685;1671;1652;1632;1613
"110094";1915;2017;2116;2216;2259;2297;2339;2371
"110009";2822;2804;2771;2737;2708;2663;2621;2578
"110100";986;923;861;796;743;689;635;581
"110010";4448;4419;4378;4336;4286;4227;4162;4100
"110110";893;885;875;865;845;823;800;777
"110011";5033;4929;4806;4685;4572;4449;4322;4194
"110012";11097;10927;10742;10553;10457;10338;10212;10077
"110013";3265;3281;3293;3303;3286;3261;3236;3208
"110120";1072;1024;970;919;884;843;802;762
"110130";1225;1182;1153;1108;1053;996;937;877
"110140";1451;1446;1439;1430;1394;1359;1314;1273
"110014";1914;1850;1784;1718;1672;1622;1571;1519
"110033";2557;2615;2664;2719;2728;2732;2736;2738
"110143";711;666;621;575;552;528;503;479
"110050";923;862;799;734;692;649;605;561
"110015";3551;3436;3303;3173;3082;2984;2884;2783
"110145";465;468;469;471;472;472;472;472
"110018";3256;3210;3160;3109;3069;3023;2974;2925
"110146";215;211;206;201;193;185;176;168
"110020";42963;43190;43349;43502;43498;43403;43272;43130
"110025";1941;1837;1731;1623;1546;1467;1388;1307
"110147";335;314;298;282;259;236;213;189
"110026";336;336;330;327;316;304;294;280
"110028";4864;4788;4706;4623;4555;4476;4393;4309
"110029";744;683;619;554;520;485;449;413
"110148";549;511;486;450;424;398;370;344
"110149";1740;1738;1733;1729;1708;1683;1657;1630
"110032";2279;2211;2140;2069;2004;1933;1861;1788
"110150";1220;1183;1146;1108;1067;1024;979;935
"110155";451;425;400;374;355;335;315;295
"110160";1017;982;947;913;875;835;795;754
"110170";1183;1122;1061;998;955;909;864;818
"110175";952;948;943;938;912;886;857;829
"110180";780;747;703;651;611;572;530;489
"110030";7726;7803;7882;7957;8040;8109;8162;8220
"120001";1470;1486;1495;1502;1489;1472;1444;1416
"120005";730;744;753;762;780;795;808;818
"120010";2446;2478;2500;2519;2517;2503;2486;2458
"120013";917;932;943;954;947;936;924;908
"120017";1111;1148;1179;1210;1187;1164;1133;1099
"120020";9731;9776;9761;9755;9752;9689;9622;9519
"120025";1749;1765;1773;1779;1797;1801;1799;1794
"120030";4035;4068;4080;4089;4082;4058;4025;3976
"120032";921;959;992;1024;1041;1052;1063;1069
"120033";1885;1912;1933;1950;1959;1960;1956;1947
"120034";938;946;951;954;953;947;940;929
"120035";1993;2067;2132;2194;2246;2288;2328;2359
"120038";1975;1983;1985;1985;1953;1915;1869;1817
"120080";1704;1740;1767;1793;1783;1764;1741;1713
"120039";1261;1316;1365;1412;1420;1422;1422;1417
"120040";37322;37947;38399;38821;39426;39862;40240;40459
"120042";1952;2024;2091;2154;2161;2157;2151;2135
"120043";616;651;684;715;733;749;763;774
"120050";4577;4637;4680;4717;4730;4714;4697;4662
"120045";2285;2303;2319;2319;2315;2301;2283;2244
"120060";4557;4658;4737;4807;4872;4921;4962;4986
"120070";1855;1880;1897;1911;1910;1900;1886;1865
"130002";1753;1754;1747;1742;1724;1704;1685;1669
"130006";1200;1192;1180;1166;1163;1157;1151;1148
"130008";1244;1269;1289;1309;1297;1284;1271;1259
"130010";2076;2086;2089;2090;2071;2048;2023;2003
"130014";1977;1995;2015;2029;1984;1941;1892;1846
"130020";1922;1943;1954;1965;2007;2046;2086;2128
"130030";3799;3818;3820;3824;3790;3752;3713;3681
"130040";3089;3026;2950;2874;2793;2706;2616;2532
"130050";3388;3385;3366;3350;3308;3264;3220;3181
"130060";4114;4132;4133;4135;4257;4376;4494;4623
