"Municipio";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"110001";24516;24293;24066;23835;23614;23392;23167;22945
"110037";13141;13155;13170;13184;13199;13213;13227;13241
"110040";18388;18819;19258;19705;20134;20563;20999;21428
"110034";16621;16308;15989;15664;15352;15040;14722;14411
"110002";95836;97540;99278;101048;102744;104441;106168;107863
"110045";34567;35287;36023;36771;37488;38206;38937;39654
"110003";6207;6080;5951;5819;5693;5567;5438;5312
"110060";5948;5988;6029;6070;6110;6150;6190;6230
"110004";81487;82035;82595;83164;83710;84257;84813;85359
"110070";13218;13349;13482;13617;13747;13877;14009;14139
"110080";21657;22370;23098;23839;24549;25260;25983;26693
"110090";3525;3458;3390;3320;3254;3187;3119;3052
"110005";17182;17060;16936;16810;16689;16567;16444;16323
"110092";9084;9381;9684;9993;10289;10585;10886;11182
"110006";18332;17985;17631;17270;16925;16579;16227;15882
"110007";8636;8460;8280;8097;7921;7746;7567;7391
"110008";14948;15427;15916;16414;16891;17369;17855;18331
"110094";18198;19192;20207;21239;22228;23218;24226;25215
"110009";30050;30379;30715;31057;31385;31713;32047;32374
"110100";10099;9769;9431;9088;8759;8430;8095;7767
"110010";43403;43795;44196;44603;44994;45385;45783;46174
"110110";9137;9324;9515;9710;9896;10082;10272;10458
"110011";52895;52737;52575;52410;52252;52094;51933;51775
"110012";121436;122503;123592;124700;125762;126826;127907;128969
"110013";33645;34544;35461;36395;37289;38185;39097;39991
"110120";10387;10284;10179;10072;9969;9867;9762;9660
"110130";11888;11755;11619;11480;11348;11215;11080;10947
"110140";14733;14892;15054;15218;15376;15534;15695;15852
"110014";20366;20381;20397;20413;20428;20443;20459;20474
"110033";24720;25551;26398;27261;28088;28915;29757;30583
"110143";7514;7437;7358;7278;7202;7125;7047;6970
"110050";10051;9836;9618;9395;9182;8968;8751;8538
"110015";38198;37891;37579;37261;36956;36650;36340;36035
"110145";5175;5302;5432;5565;5691;5818;5947;6074
"110018";35057;35284;35516;35752;35978;36204;36434;36660
"110146";2325;2303;2281;2258;2236;2214;2191;2169
"110020";458477;468543;478816;489272;499293;509323;519531;529544
"110025";21990;21564;21130;20688;20264;19840;19409;18986
"110147";3441;3358;3274;3188;3105;3023;2939;2856
"110026";3475;3516;3557;3600;3641;3682;3723;3764
"110028";52533;52891;53256;53627;53983;54340;54702;55058
"110029";8521;8234;7941;7643;7358;7072;6781;6495
"110148";5941;5832;5721;5608;5499;5391;5280;5172
"110149";17255;17682;18117;18560;18984;19409;19842;20266
"110032";22481;22555;22631;22708;22782;22856;22931;23005
"110150";11889;11885;11880;11875;11870;11865;11860;11856
"110155";4849;4772;4694;4614;4538;4462;4384;4308
"110160";10797;10747;10696;10644;10594;10544;10494;10444
"110170";12878;12678;12474;12266;12067;11868;11665;11467
"110175";9954;10131;10312;10496;10672;10848;11028;11204
"110180";8054;7880;7702;7521;7348;7175;6998;6825
"110030";82779;85198;87666;90178;92585;94995;97448;99854
"120001";13579;13821;14069;14318;14551;14781;15020;15256
"120005";6583;6703;6826;6951;7067;7181;7300;7417
"120010";23231;23670;24120;24574;24996;25414;25848;26278
"120013";9165;9324;9486;9650;9803;9954;10111;10266
"120017";9764;10048;10339;10632;10905;11175;11456;11733
"120020";83389;84109;84845;85587;86279;86963;87673;88376
"120025";16363;16658;16960;17265;17550;17830;18122;18411
"120030";34037;34144;34254;34364;34467;34569;34675;34780
"120032";7195;7357;7523;7690;7845;7999;8159;8317
"120033";16577;16924;17277;17635;17968;18297;18638;18977
"120034";8586;8712;8841;8971;9092;9212;9336;9459
"120035";15765;16213;16670;17132;17563;17988;18430;18867
"120038";18368;18569;18774;18982;19175;19366;19565;19761
"120080";16207;16538;16877;17219;17538;17853;18180;18504
"120039";10125;10393;10667;10944;11201;11456;11720;11982
"120040";363589;369899;376348;382864;388932;394924;401155;407319
"120042";15910;16345;16791;17241;17660;18074;18504;18930
"120043";5271;5454;5642;5831;6007;6181;6362;6540
"120050";41090;41777;42478;43187;43847;44499;45177;45848
"120045";21505;21724;21948;22174;22385;22593;22810;23024
"120060";38377;38981;39599;40224;40805;41379;41976;42567
"120070";17369;17651;17939;18230;18501;18769;19048;19323
"130002";14739;14929;15122;15315;15497;15677;15860;16041
"130006";10072;10285;10502;10719;10924;11126;11332;11536
"130008";11126;11488;11858;12226;12574;12918;13269;13614
"130010";17610;18105;18610;19113;19589;20059;20538;21010
"130014";19165;19573;19990;20406;20799;21187;21583;21973
"130020";16445;16950;17467;17981;18468;18948;19438;19921
"130030";34279;35048;35833;36615;37355;38086;38830;39565
"130040";26511;26655;26802;26949;27088;27225;27364;27502
"130050";28817;29286;29765;30242;30693;31139;31593;32041
"130060";36050;37059;38089;39115;40085;41044;42020;42984
"130063";16655;17095;17544;17991;18414;18833;19258;19679
"130068";16148;16593;17047;17500;17928;18351;18781;19207
"130070";31920;32268;32622;32976;33310;33640;33976;34308
"130080";36876;37499;38136;38770;39369;39962;40565;41161
"130083";11612;11826;12044;12261;12467;12670;12877;13081
"130090";14336;14524;14716;14907;15089;15267;15450;15629
"130100";26731;26959;27191;27422;27640;27856;28076;28294
"130110";34379;34887;35405;35921;36410;36892;37384;37869
"130115";25696;26355;27027;27697;28331;28958;29595;30225
"130120";79164;80027;80908;81786;82616;83437;84272;85097
"130130";24769;25332;25906;26479;27020;27555;28100;28637
"130140";32161;32614;33076;33536;33972;34402;34840;35273
"130150";17410;17791;18181;18569;18936;19299;19668;20033
"130160";22014;21373;20719;20067;19451;18842;18221;17609
"130165";14789;15064;15345;15624;15889;16150;16416;16678
"130170";47317;48447;49599;50748;51835;52908;54001;55080
"130180";24247;25039;25847;26652;27414;28167;28933;29689
"130185";43078;43837;44612;45384;46115;46836;47571;48296
"130190";91396;92843;94319;95790;97181;98556;99955;101337
"130195";8121;8082;8042;8002;7964;7926;7888;7851
"130200";8546;8633;8723;8812;8896;8979;9064;9148
"130210";6425;5891;5346;4803;4289;3782;3265;2755
"130220";11836;12254;12681;13107;13509;13907;14312;14712
"130230";17455;16998;16532;16068;15628;15195;14753;14317
"130240";40139;41002;41882;42760;43590;44410;45245;46069
"130250";89170;90364;91583;92797;93946;95080;96236;97377
"130255";25217;26219;27242;28261;29225;30178;31147;32105
"130260";1914299;1953360;1993222;2032944;2070529;2107646;2145444;2182763
"130270";49680;50563;51465;52363;53213;54052;54907;55751
"130280";17953;17993;18033;18073;18111;18148;18186;18224
"130290";55631;56835;58063;59288;60446;61590;62755;63905
"130300";19203;19489;19782;20073;20349;20621;20899;21173
"130310";32652;33340;34041;34741;35402;36056;36721;37378
"130320";16000;16502;17015;17526;18010;18488;18974;19454
"130330";22713;23139;23574;24008;24419;24824;25237;25644
"130340";106324;107481;108661;109837;110950;112049;113168;114273
"130350";18726;18828;18932;19036;19133;19230;19329;19426
"130353";29614;30583;31573;32559;33492;34414;35352;36279
"130356";27808;28614;29437;30256;31031;31797;32577;33347
"130360";19981;20734;21502;22268;22992;23708;24436;25156
"130370";24221;23840;23451;23063;22697;22335;21966;21602
"130380";40182;40965;41764;42561;43314;44058;44816;45564
"130390";33655;34476;35314;36149;36939;37720;38515;39299
"130395";11606;11957;12316;12673;13011;13345;13685;14020
"130400";8736;8799;8864;8928;8989;9049;9110;9171
"130406";56090;57509;58958;60401;61766;63115;64488;65844
"130410";18186;18036;17883;17732;17587;17445;17299;17156
"130420";62047;61727;61400;61075;60767;60464;60154;59849
"130423";17714;17866;18020;18174;18320;18464;18610;18755
"130426";12440;12600;12763;12926;13080;13232;13387;13540
"130430";17172;17039;16903;16767;16639;16512;16383;16256
"130440";19272;19824;20387;20948;21479;22003;22537;23065
"140005";16471;16329;16186;16043;15902;15766;15638;15510
"140002";10195;10543;10896;11249;11605;11988;12394;12796
"140010";303862;311030;318284;325965;334801;351112;375374;399213
"140015";11413;11547;11683;11818;11956;12102;12257;12409
"140017";15075;15534;15999;16462;16925;17396;17868;18335
"140020";19433;19782;20135;20486;20838;21199;21564;21926
"140023";8677;8885;9095;9303;9514;9730;9950;10169
"140028";9532;9871;10213;10555;10897;11247;11600;11950
"140030";15666;15968;16273;16577;16882;17200;17528;17853
"140040";9585;9825;10068;10310;10553;10799;11045;11290
"140045";11215;11511;11810;12150;12596;13723;15580;17401
"140047";25902;26491;27087;27681;28278;28898;29533;30163
"140050";7178;7321;7466;7609;7753;7902;8052;8201
"140060";7117;7239;7362;7485;7608;7733;7860;7986
"140070";8969;9190;9413;9635;9859;10090;10325;10559
"150010";147588;149071;150565;152062;153474;154863;156292;157698
"150013";7058;7113;7169;7225;7277;7329;7382;7434
"150020";55027;55110;55193;55277;55356;55433;55513;55591
"150030";36666;37040;37417;37795;38152;38502;38863;39218
"150034 Á";26074;26273;26473;26674;26863;27050;27241;27430
"150040";54570;54895;55223;55552;55862;56167;56480;56789
"150050";34348;34313;34277;34242;34209;34176;34142;34109
"150060";104537;106012;107499;108988;110392;111774;113195;114594
"150070";26274;26715;27158;27603;28022;28435;28859;29277
"150080";494408;499717;505066;510424;515478;520450;525566;530598
"150085";22645;23414;24190;24966;25699;26419;27161;27890
