 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Ano
Sexo: Feminino
Faixa Etária 2: De 10 a 14 anos, De 15 a 19 anos
Período:2012-2019
"Município";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"110001 Alta Floresta D'Oeste";2256;2162;2065;1966;1900;1830;1758;1687
"110037 Alto Alegre dos Parecis";1272;1258;1241;1225;1192;1158;1122;1086
"110040 Alto Paraíso";1840;1860;1872;1885;1864;1835;1803;1773
"110034 Alvorada D'Oeste";1555;1471;1384;1297;1238;1177;1114;1052
"110002 Ariquemes";9407;9448;9481;9510;9450;9373;9298;9211
"110045 Buritis";3514;3535;3554;3576;3552;3520;3487;3461
"110003 Cabixi";523;494;460;428;409;388;369;348
"110060 Cacaulândia";599;602;598;596;580;564;543;526
"110004 Cacoal";7515;7379;7211;7045;6920;6778;6628;6479
"110070 Campo Novo de Rondônia";1298;1291;1281;1271;1244;1213;1182;1152
"110080 Candeias do Jamari";2212;2251;2291;2330;2334;2326;2319;2312
"110090 Castanheiras";352;335;309;288;274;256;237;220
"110005 Cerejeiras";1564;1491;1422;1354;1309;1261;1212;1162
"110092 Chupinguaia";891;911;929;947;953;957;960;963
"110006 Colorado do Oeste";1588;1502;1414;1323;1264;1202;1138;1075
"110007 Corumbiara";794;744;689;635;597;558;518;477
"110008 Costa Marques";1574;1613;1650;1685;1671;1652;1632;1613
"110094 Cujubim";1915;2017;2116;2216;2259;2297;2339;2371
"110009 Espigão D'Oeste";2822;2804;2771;2737;2708;2663;2621;2578
"110100 Governador Jorge Teixeira";986;923;861;796;743;689;635;581
"110010 Guajará-Mirim";4448;4419;4378;4336;4286;4227;4162;4100
"110110 Itapuã do Oeste";893;885;875;865;845;823;800;777
"110011 Jaru";5033;4929;4806;4685;4572;4449;4322;4194
"110012 Ji-Paraná";11097;10927;10742;10553;10457;10338;10212;10077
"110013 Machadinho D'Oeste";3265;3281;3293;3303;3286;3261;3236;3208
"110120 Ministro Andreazza";1072;1024;970;919;884;843;802;762
"110130 Mirante da Serra";1225;1182;1153;1108;1053;996;937;877
"110140 Monte Negro";1451;1446;1439;1430;1394;1359;1314;1273
"110014 Nova Brasilândia D'Oeste";1914;1850;1784;1718;1672;1622;1571;1519
"110033 Nova Mamoré";2557;2615;2664;2719;2728;2732;2736;2738
"110143 Nova União";711;666;621;575;552;528;503;479
"110050 Novo Horizonte do Oeste";923;862;799;734;692;649;605;561
"110015 Ouro Preto do Oeste";3551;3436;3303;3173;3082;2984;2884;2783
"110145 Parecis";465;468;469;471;472;472;472;472
"110018 Pimenta Bueno";3256;3210;3160;3109;3069;3023;2974;2925
"110146 Pimenteiras do Oeste";215;211;206;201;193;185;176;168
"110020 Porto Velho";42963;43190;43349;43502;43498;43403;43272;43130
"110025 Presidente Médici";1941;1837;1731;1623;1546;1467;1388;1307
"110147 Primavera de Rondônia";335;314;298;282;259;236;213;189
"110026 Rio Crespo";336;336;330;327;316;304;294;280
"110028 Rolim de Moura";4864;4788;4706;4623;4555;4476;4393;4309
"110029 Santa Luzia D'Oeste";744;683;619;554;520;485;449;413
"110148 São Felipe D'Oeste";549;511;486;450;424;398;370;344
"110149 São Francisco do Guaporé";1740;1738;1733;1729;1708;1683;1657;1630
"110032 São Miguel do Guaporé";2279;2211;2140;2069;2004;1933;1861;1788
"110150 Seringueiras";1220;1183;1146;1108;1067;1024;979;935
"110155 Teixeirópolis";451;425;400;374;355;335;315;295
"110160 Theobroma";1017;982;947;913;875;835;795;754
"110170 Urupá";1183;1122;1061;998;955;909;864;818
"110175 Vale do Anari";952;948;943;938;912;886;857;829
"110180 Vale do Paraíso";780;747;703;651;611;572;530;489
"110030 Vilhena";7726;7803;7882;7957;8040;8109;8162;8220
"120001 Acrelândia";1470;1486;1495;1502;1489;1472;1444;1416
"120005 Assis Brasil";730;744;753;762;780;795;808;818
"120010 Brasiléia";2446;2478;2500;2519;2517;2503;2486;2458
"120013 Bujari";917;932;943;954;947;936;924;908
"120017 Capixaba";1111;1148;1179;1210;1187;1164;1133;1099
"120020 Cruzeiro do Sul";9731;9776;9761;9755;9752;9689;9622;9519
"120025 Epitaciolândia";1749;1765;1773;1779;1797;1801;1799;1794
"120030 Feijó";4035;4068;4080;4089;4082;4058;4025;3976
