 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Ano
Sexo: Feminino
Faixa Etária 2: De 10 a 14 anos, De 15 a 19 anos, De 20 a 24 anos, De 25 a 29 anos, De 30 a 34 anos, De 35 a 39 anos, De 40 a 44 anos, De 45 a 49 anos
Período:2012-2019
"Município";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"110001 Alta Floresta D'Oeste";7810;7704;7591;7466;7352;7227;7096;6961
"110037 Alto Alegre dos Parecis";4127;4157;4181;4202;4193;4181;4165;4144
"110040 Alto Paraíso";5795;5971;6138;6302;6434;6555;6676;6778
"110034 Alvorada D'Oeste";5263;5153;5037;4914;4795;4670;4534;4409
"110002 Ariquemes";32588;33143;33684;34218;34619;34984;35361;35679
"110045 Buritis";11343;11613;11875;12132;12337;12525;12708;12882
"110003 Cabixi";1873;1835;1789;1733;1690;1649;1598;1549
"110060 Cacaulândia";1894;1920;1938;1955;1964;1972;1973;1977
"110004 Cacoal";27621;27704;27761;27787;27824;27824;27800;27748
"110070 Campo Novo de Rondônia";4089;4149;4202;4255;4296;4330;4362;4393
"110080 Candeias do Jamari";6911;7163;7417;7663;7901;8123;8340;8552
"110090 Castanheiras";1111;1094;1070;1045;1023;996;967;943
"110005 Cerejeiras";5676;5602;5526;5451;5387;5309;5221;5136
"110092 Chupinguaia";2938;3046;3149;3252;3358;3460;3558;3655
"110006 Colorado do Oeste";5863;5719;5570;5411;5280;5140;4980;4826
"110007 Corumbiara";2698;2648;2588;2530;2466;2399;2330;2254
"110008 Costa Marques";4643;4816;4983;5146;5291;5428;5560;5689
"110094 Cujubim";5848;6216;6579;6943;7284;7616;7947;8262
"110009 Espigão D'Oeste";9816;9917;9995;10068;10147;10210;10263;10307
"110100 Governador Jorge Teixeira";3143;3053;2958;2858;2744;2630;2503;2393
"110010 Guajará-Mirim";13994;14113;14210;14297;14372;14429;14464;14496
"110110 Itapuã do Oeste";2801;2858;2911;2964;3011;3057;3095;3135
"110011 Jaru";17746;17712;17642;17563;17455;17319;17160;16994
"110012 Ji-Paraná";41137;41326;41460;41569;41689;41751;41793;41777
"110013 Machadinho D'Oeste";10539;10828;11104;11373;11644;11898;12152;12384
"110120 Ministro Andreazza";3386;3358;3322;3288;3250;3205;3152;3100
"110130 Mirante da Serra";3817;3780;3751;3706;3648;3588;3513;3444
"110140 Monte Negro";4602;4667;4725;4781;4819;4855;4879;4902
"110014 Nova Brasilândia D'Oeste";6499;6516;6527;6535;6528;6512;6490;6463
"110033 Nova Mamoré";7928;8228;8520;8813;9078;9334;9588;9827
"110143 Nova União";2331;2301;2267;2232;2201;2169;2133;2099
"110050 Novo Horizonte do Oeste";3151;3076;2994;2902;2822;2735;2642;2545
"110015 Ouro Preto do Oeste";12861;12728;12572;12408;12245;12062;11858;11659
"110145 Parecis";1575;1614;1650;1687;1720;1750;1778;1804
"110018 Pimenta Bueno";11730;11764;11788;11804;11831;11842;11845;11836
"110146 Pimenteiras do Oeste";722;716;709;701;693;683;670;661
"110020 Porto Velho";155216;157862;160392;162849;165223;167420;169516;171450
"110025 Presidente Médici";6936;6784;6625;6457;6294;6119;5924;5739
"110147 Primavera de Rondônia";1076;1046;1020;993;961;929;895;862
"110026 Rio Crespo";1084;1097;1103;1113;1122;1130;1137;1140
"110028 Rolim de Moura";17989;18103;18193;18263;18306;18324;18318;18303
"110029 Santa Luzia D'Oeste";2695;2593;2483;2365;2259;2148;2035;1921
"110148 São Felipe D'Oeste";1890;1854;1809;1764;1724;1681;1631;1588
"110149 São Francisco do Guaporé";5539;5674;5806;5934;6049;6157;6259;6355
"110032 São Miguel do Guaporé";7331;7357;7376;7392;7397;7392;7380;7361
"110150 Seringueiras";3831;3837;3843;3846;3824;3800;3770;3737
"110155 Teixeirópolis";1505;1473;1443;1409;1379;1347;1313;1278
"110160 Theobroma";3289;3277;3265;3251;3227;3197;3170;3134
"110170 Urupá";4008;3934;3858;3773;3707;3637;3556;3478
"110175 Vale do Anari";3085;3154;3222;3287;3334;3376;3412;3444
"110180 Vale do Paraíso";2586;2543;2488;2424;2357;2291;2218;2143
"110030 Vilhena";28368;29092;29803;30499;31203;31867;32507;33127
"120001 Acrelândia";4202;4319;4428;4537;4629;4715;4793;4870
"120005 Assis Brasil";2036;2096;2150;2206;2264;2319;2372;2422
"120010 Brasiléia";7361;7551;7732;7913;8065;8208;8348;8475
"120013 Bujari";2674;2748;2819;2890;2945;2995;3046;3092
"120017 Capixaba";2961;3085;3206;3326;3424;3520;3613;3697
"120020 Cruzeiro do Sul";26777;27215;27597;27991;28378;28715;29044;29332
"120025 Epitaciolândia";5295;5408;5514;5617;5733;5836;5932;6026
"120030 Feijó";9957;10074;10169;10266;10341;10402;10452;10485
"120032 Jordão";2012;2094;2173;2250;2322;2389;2456;2518
"120033 Mâncio Lima";4990;5136;5277;5414;5556;5689;5818;5943
"120034 Manoel Urbano";2470;2529;2584;2638;2692;2740;2789;2832
"120035 Marechal Thaumaturgo";4424;4601;4771;4938;5120;5293;5465;5628
"120038 Plácido de Castro";5492;5572;5644;5715;5777;5834;5882;5925
"120080 Porto Acre";4883;5036;5182;5326;5436;5535;5631;5722
"120039 Porto Walter";2788;2904;3015;3125;3226;3322;3414;3502
"120040 Rio Branco";124942;127394;129700;131987;134308;136453;138545;140476
"120042 Rodrigues Alves";4738;4945;5149;5348;5526;5694;5861;6016
"120043 Santa Rosa do Purus";1507;1588;1666;1744;1816;1886;1953;2020
"120050 Sena Madureira";12746;13068;13374;13677;13957;14214;14464;14698
"120045 Senador Guiomard";6683;6802;6918;7022;7129;7226;7318;7391
"120060 Tarauacá";11079;11375;11651;11920;12189;12443;12689;12919
"120070 Xapuri";5255;5387;5512;5633;5743;5845;5943;6034
"130002 Alvarães";4166;4243;4311;4384;4441;4498;4554;4608
"130006 Amaturá";3129;3193;3252;3311;3390;3468;3543;3619
"130008 Anamã";3348;3483;3614;3747;3858;3967;4076;4182
"130010 Anori";5529;5706;5875;6045;6218;6388;6554;6719
"130014 Apuí";6215;6342;6472;6599;6721;6845;6956;7079
"130020 Atalaia do Norte";5141;5312;5474;5637;5813;5987;6159;6329
"130030 Autazes";9850;10098;10330;10569;10782;10994;11202;11409
"130040 Barcelos";8088;8106;8114;8125;8130;8132;8129;8126
"130050 Barreirinha";7989;8160;8314;8474;8624;8774;8921;9066
"130060 Benjamin Constant";10608;10892;11162;11437;11787;12138;12486;12834
"130063 Beruri";4707;4856;5000;5145;5276;5406;5537;5662
"130068 Boa Vista do Ramos";4696;4840;4979;5119;5239;5355;5471;5586
"130070 Boca do Acre";9685;9817;9936;10059;10176;10290;10401;10510
"130080 Borba";10894;11105;11297;11498;11697;11893;12086;12276
"130083 Caapiranga";3495;3581;3661;3743;3812;3879;3947;4012
"130090 Canutama";4235;4271;4305;4339;4364;4384;4405;4424
"130100 Carauari";8221;8313;8387;8471;8531;8587;8643;8694
"130110 Careiro";10753;10949;11132;11317;11454;11585;11716;11841
"130115 Careiro da Várzea";7796;8002;8202;8405;8611;8818;9020;9221
"130120 Coari";24894;25147;25369;25596;25828;26054;26274;26488
"130130 Codajás";7846;8091;8323;8558;8745;8933;9115;9292
"130140 Eirunepé";9617;9762;9894;10032;10187;10340;10490;10640
"130150 Envira";5353;5468;5573;5684;5810;5933;6055;6177
"130160 Fonte Boa";6459;6257;6041;5830;5658;5484;5305;5127
"130165 Guajará";4523;4632;4729;4832;4923;5013;5102;5192
"130170 Humaitá";14830;15227;15610;15995;16325;16653;16975;17287
"130180 Ipixuna";7184;7482;7767;8053;8287;8522;8757;8987
"130185 Iranduba";13140;13416;13676;13941;14155;14372;14584;14788
"130190 Itacoatiara";28270;28770;29242;29706;30158;30619;31052;31477
"130195 Itamarati";2450;2445;2438;2432;2413;2390;2373;2348
"130200 Itapiranga";2558;2592;2623;2655;2686;2714;2744;2771
"130210 Japurá";1967;1795;1618;1443;1292;1141;986;836
"130220 Juruá";3643;3795;3942;4089;4227;4363;4500;4636
"130230 Jutaí";4844;4720;4585;4454;4333;4210;4087;3963
"130240 Lábrea";12059;12355;12633;12915;13183;13447;13709;13966
"130250 Manacapuru";28033;28498;28906;29336;29727;30103;30481;30840
"130255 Manaquiri";7817;8186;8551;8913;9264;9612;9961;10305
"130260 Manaus";666415;678116;689192;700360;712390;724135;735724;746952
